ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,2,810,6212,810
2,10,1810,6212,1810
3,18,2280,6212,2280
4,20,2510,6212,2510
5,28,2510,6212,2510
6,32,2990,6212,2990
7,40,3990,6212,3990
8,48,4990,6212,4990
9,56,5990,6212,5990
10,64,6990,6212,6990
11,66,7990,6212,7990
12,74,8990,6212,8990
13,76,9990,6212,9990
14,84,10800,6212,10800
15,92,11800,6212,11800
16,94,12800,6212,12800
17,96,12800,6212,12800
18,98,13800,6212,13800
19,106,14800,6212,14800
20,108,14800,6212,14800
21,116,15270,6212,15270
22,124,16270,6212,16270
23,126,16270,6212,16270
24,128,16920,6212,16920
25,130,17920,6212,17920
26,134,18290,6212,18290
27,136,19290,6212,19290
28,138,19520,6212,19520
29,146,20520,6212,20520
30,154,20990,6212,20990
31,162,21640,6212,21640
32,170,22640,6212,22640
33,174,23110,6212,23110
34,176,24110,6212,24110
35,180,25110,6212,25110
36,182,26110,6212,26110
37,184,27110,6212,27110
38,192,27920,6212,27920
39,200,28390,6212,28390
40,208,29390,6212,29390
41,210,29850,6212,29850
42,212,30070,6212,30070
43,220,32070,6212,32070
44,228,33070,6212,33070
45,230,33880,6212,33880
46,238,33880,6212,33880
47,240,34340,6212,34340
48,248,34990,6212,34990
49,250,35990,6212,35990
50,252,36990,6212,36990
51,254,37800,6212,37800
52,262,38800,6212,38800
53,270,39800,6212,39800
54,278,40270,6212,40270
55,286,41080,6212,41080
56,288,42080,6212,42080
57,296,42730,6212,42730
57,296,43730,6212,43730
58,298,44730,6212,44730
59,300,45050,6212,45050
60,308,45280,6212,45280
61,310,45750,6212,45750
62,318,46750,6212,46750
63,320,47560,6212,47560
64,328,48560,6212,48560
65,330,49030,6212,49030
66,338,49680,6212,49680
67,346,50490,6212,50490
68,354,50960,6212,50960
69,362,51960,6212,51960
70,364,52610,6212,52610
70,364,53080,6212,53080
70,364,54080,6212,54080
71,372,54890,6212,54890
72,374,55890,6212,55890
73,376,56210,6212,56210
74,378,57210,6212,57210
75,380,58210,6212,58210
76,388,59210,6212,59210
77,390,60210,6212,60210
78,392,61020,6212,61020
79,400,61830,6212,61830
80,402,62300,6212,62300
81,410,63300,6212,63300
82,412,63770,6212,63770
83,414,64770,6212,64770
84,416,65420,6212,65420
85,418,66230,6212,66230
86,426,67230,6212,67230
87,434,67710,6212,67710
88,436,68030,6212,68030
89,438,68840,6212,68840
90,440,69490,6212,69490
91,448,69960,6212,69960
92,456,70960,6212,70960
93,464,71960,6212,71960
93,464,72960,6212,72960
94,472,73960,6212,73960
95,480,74960,6212,74960
95,480,75960,6212,75960
96,482,76430,6212,76430
97,484,76900,6212,76900
98,486,77370,6212,77370
99,494,78370,6212,78370
100,496,79370,6212,79370
101,498,80370,6212,80370
101,498,80960,6212,80960
102,506,81960,6212,81960
103,508,82960,6212,82960
104,516,83960,6212,83960
105,524,84960,6212,84960
106,532,85960,6212,85960
106,532,86960,6212,86960
107,534,87960,6212,87960
107,534,88430,6212,88430
108,542,89020,6212,89020
109,550,90020,6212,90020
110,552,91020,6212,91020
111,560,91830,6212,91830
111,560,92480,6212,92480
112,568,93480,6212,93480
113,572,94480,6212,94480
113,572,95480,6212,95480
114,580,95950,6212,95950
115,582,96950,6212,96950
116,590,97410,6212,97410
117,592,98410,6212,98410
118,594,99410,6212,99410
119,598,99880,6212,99880
120,599,100880,6212,100880
121,601,100880,6212,100880
121,601,101690,6212,101690
122,609,102690,6212,102690
123,617,103160,6212,103160
124,625,103620,6212,103620
125,627,104620,6212,104620
126,629,105620,6212,105620
127,631,106620,6212,106620
127,631,107430,6212,107430
128,633,108430,6212,108430
129,641,109430,6212,109430
130,643,109430,6212,109430
130,643,110240,6212,110240
131,645,111240,6212,111240
131,645,112240,6212,112240
132,647,113050,6212,113050
133,649,114050,6212,114050
133,649,115050,6212,115050
134,657,116050,6212,116050
135,665,117050,6212,117050
136,667,118050,6212,118050
137,675,119050,6212,119050
138,677,120050,6212,120050
139,685,120860,6212,120860
140,693,120860,6212,120860
140,693,121330,6212,121330
141,695,121920,6212,121920
142,697,122920,6212,122920
143,699,123920,6212,123920
144,707,124920,6212,124920
145,709,125390,6212,125390
146,717,125390,6212,125390
146,717,126200,6212,126200
147,719,127200,6212,127200
148,727,127850,6212,127850
149,735,128080,6212,128080
150,743,128670,6212,128670
150,743,129140,6212,129140
151,745,129950,6212,129950
152,753,130420,6212,130420
153,761,131230,6212,131230
154,763,132040,6212,132040
155,771,133040,6212,133040
156,773,134040,6212,134040
157,775,134510,6212,134510
158,783,135510,6212,135510
159,791,135510,6212,135510
160,793,136510,6212,136510
161,801,137320,6212,137320
162,809,138130,6212,138130
162,809,139130,6212,139130
163,811,140130,6212,140130
163,811,140130,6212,140130
164,813,140940,6212,140940
165,821,141940,6212,141940
165,821,142750,6212,142750
165,821,143750,6212,143750
166,829,144560,6212,144560
167,831,145560,6212,145560
168,833,146210,6212,146210
169,841,147020,6212,147020
170,843,148020,6212,148020
171,845,149020,6212,149020
171,845,150020,6212,150020
172,853,150830,6212,150830
173,855,151830,6212,151830
174,857,152640,6212,152640
175,865,153640,6212,153640
175,865,154290,6212,154290
176,867,154760,6212,154760
177,875,155760,6212,155760
178,877,156760,6212,156760
179,885,157760,6212,157760
180,893,158570,6212,158570
181,895,159380,6212,159380
182,903,160190,6212,160190
183,905,161190,6212,161190
184,913,162190,6212,162190
185,915,162660,6212,162660
186,923,163660,6212,163660
187,931,164660,6212,164660
188,933,165660,6212,165660
188,933,166660,6212,166660
189,935,167660,6212,167660
190,943,168130,6212,168130
191,951,168130,6212,168130
191,951,168360,6212,168360
192,959,169010,6212,169010
192,959,169330,6212,169330
193,967,170330,6212,170330
194,975,170330,6212,170330
195,983,170790,6212,170790
196,991,171790,6212,171790
197,993,172790,6212,172790
198,1001,173790,6212,173790
199,1009,174790,6212,174790
200,1013,175790,6212,175790
201,1021,176600,6212,176600
201,1021,177600,6212,177600
202,1029,178410,6212,178410
203,1037,179410,6212,179410
204,1039,179880,6212,179880
205,1043,180880,6212,180880
205,1043,181350,6212,181350
205,1043,182350,6212,182350
206,1051,183000,6212,183000
207,1053,184000,6212,184000
208,1054,184810,6212,184810
209,1062,185810,6212,185810
209,1062,186810,6212,186810
210,1064,186970,6212,186970
211,1066,187970,6212,187970
212,1067,188780,6212,188780
213,1075,189010,6212,189010
214,1077,189330,6212,189330
215,1079,190330,6212,190330
216,1081,190880,6212,190880
217,1089,191880,6212,191880
217,1089,192690,6212,192690
217,1089,193500,6212,193500
218,1091,193970,6212,193970
219,1095,194970,6212,194970
220,1097,195970,6212,195970
221,1105,196970,6212,196970
222,1113,197970,6212,197970
223,1115,198970,6212,198970
224,1123,199970,6212,199970
225,1125,200970,6212,200970
225,1125,201440,6212,201440
226,1133,202440,6212,202440
227,1141,202440,6212,202440
228,1143,203090,6212,203090
229,1151,204090,6212,204090
230,1159,205090,6212,205090
231,1167,205640,6212,205640
232,1175,206450,6212,206450
233,1183,207450,6212,207450
233,1183,208450,6212,208450
234,1191,209450,6212,209450
234,1191,210450,6212,210450
235,1199,211450,6212,211450
235,1199,211590,6212,211590
236,1207,212590,6212,212590
237,1209,213590,6212,213590
238,1211,214590,6212,214590
239,1219,215590,6212,215590
239,1219,216590,6212,216590
240,1227,217060,6212,217060
241,1229,218060,6212,218060
242,1237,219060,6212,219060
242,1237,223060,6212,223060
243,1239,224060,6212,224060
244,1247,224650,6212,224650
245,1249,225650,6212,225650
246,1251,225810,6212,225810
247,1259,226130,6212,226130
248,1267,226290,6212,226290
249,1275,227290,6212,227290
250,1277,228290,6212,228290
251,1285,229290,6212,229290
252,1293,230290,6212,230290
252,1293,230760,6212,230760
253,1301,231410,6212,231410
254,1309,232410,6212,232410
254,1309,232880,6212,232880
255,1313,233880,6212,233880
255,1313,234880,6212,234880
256,1315,235880,6212,235880
257,1317,236880,6212,236880
258,1325,237880,6212,237880
259,1327,238880,6212,238880
260,1335,239880,6212,239880
261,1343,240200,6212,240200
262,1345,241200,6212,241200
263,1353,242010,6212,242010
264,1361,242820,6212,242820
265,1363,243290,6212,243290
265,1363,244100,6212,244100
266,1371,244570,6212,244570
267,1373,244890,6212,244890
268,1381,245700,6212,245700
269,1389,246700,6212,246700
270,1391,247290,6212,247290
271,1393,248290,6212,248290
272,1401,249290,6212,249290
272,1401,250100,6212,250100
273,1405,251100,6212,251100
274,1407,252100,6212,252100
274,1407,252750,6212,252750
275,1415,253750,6212,253750
276,1423,254750,6212,254750
277,1425,255560,6212,255560
278,1427,256020,6212,256020
279,1429,256670,6212,256670
280,1431,257670,6212,257670
281,1435,258670,6212,258670
282,1437,259670,6212,259670
283,1445,259720,6212,259720
284,1453,260720,6212,260720
284,1453,261190,6212,261190
285,1461,261660,6212,261660
285,1461,262310,6212,262310
285,1461,263310,6212,263310
286,1463,263780,6212,263780
287,1465,264430,6212,264430
288,1467,265430,6212,265430
289,1469,266430,6212,266430
289,1469,267240,6212,267240
290,1471,268240,6212,268240
290,1471,269240,6212,269240
290,1471,270240,6212,270240
291,1473,271050,6212,271050
291,1473,271050,6212,271050
292,1481,272050,6212,272050
293,1489,272520,6212,272520
294,1491,273520,6212,273520
295,1493,274520,6212,274520
295,1493,274840,6212,274840
295,1493,275840,6212,275840
296,1501,276840,6212,276840
297,1509,277430,6212,277430
297,1509,278430,6212,278430
298,1511,279430,6212,279430
299,1513,280430,6212,280430
300,1521,281080,6212,281080
301,1529,282080,6212,282080
302,1531,283080,6212,283080
303,1539,284080,6212,284080
304,1547,285080,6212,285080
305,1549,286080,6212,286080
306,1557,286080,6212,286080
306,1557,286550,6212,286550
307,1565,287020,6212,287020
308,1567,287830,6212,287830
309,1575,288830,6212,288830
310,1583,289830,6212,289830
311,1585,290830,6212,290830
311,1585,291640,6212,291640
312,1587,292110,6212,292110
312,1587,292920,6212,292920
313,1589,293730,6212,293730
313,1589,294540,6212,294540
314,1591,295540,6212,295540
315,1593,296540,6212,296540
316,1601,297350,6212,297350
317,1609,298160,6212,298160
318,1617,298970,6212,298970
318,1617,299290,6212,299290
319,1625,299750,6212,299750
319,1625,300220,6212,300220
320,1633,308220,6212,308220
321,1641,308770,6212,308770
322,1649,309770,6212,309770
322,1649,310580,6212,310580
323,1657,311580,6212,311580
324,1659,311810,6212,311810
325,1667,312280,6212,312280
326,1675,312750,6212,312750
327,1683,313560,6212,313560
328,1691,314560,6212,314560
329,1699,315030,6212,315030
330,1701,316030,6212,316030
331,1703,317030,6212,317030
332,1711,318030,6212,318030
333,1713,319030,6212,319030
334,1717,320030,6212,320030
335,1725,320840,6212,320840
336,1726,321650,6212,321650
337,1728,322120,6212,322120
338,1730,323120,6212,323120
339,1738,323120,6212,323120
340,1740,324120,6212,324120
