ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
345102.91,5.56,0.38,171899.98,2.77
345051.18,5.56,0.38,171899.98,2.77
345421.9,5.56,0.39,171899.98,2.77
345942.13,5.57,0.4,171995.82,2.77
345942.13,5.57,0.4,171995.82,2.77
346304.88,5.58,0.41,172019.04,2.77
346253.15,5.58,0.41,172019.04,2.77
346201.43,5.58,0.41,172019.04,2.77
346149.7,5.58,0.41,172019.04,2.77
346097.98,5.58,0.41,172019.04,2.77
346046.25,5.58,0.41,172015.8,2.77
345994.53,5.58,0.41,172015.8,2.77
345942.81,5.58,0.41,171995.48,2.77
346079.63,5.58,0.41,171995.48,2.77
346027.91,5.58,0.41,171995.48,2.77
345976.18,5.58,0.41,172014.43,2.77
345976.18,5.58,0.41,171901.33,2.77
345924.46,5.58,0.41,171836.33,2.77
345872.74,5.58,0.41,171836.33,2.77
345872.74,5.58,0.41,171725.7,2.77
346243.45,5.59,0.42,171725.7,2.77
346191.73,5.59,0.42,171725.7,2.77
346191.73,5.59,0.42,171612.6,2.77
346464.14,5.59,0.42,171676.5,2.77
346412.41,5.59,0.42,171673.25,2.77
346849.75,5.6,0.43,171058.63,2.76
346798.02,5.6,0.43,171055.39,2.76
347318.25,5.61,0.44,171151.22,2.76
347266.53,5.61,0.44,171151.22,2.76
347637.24,5.62,0.44,171151.22,2.76
347909.65,5.62,0.45,171151.22,2.76
347857.93,5.62,0.45,171151.22,2.77
348228.64,5.63,0.45,171151.22,2.77
348176.92,5.63,0.45,171121.73,2.77
348268.92,5.63,0.46,171340.92,2.77
348217.2,5.63,0.46,171227.82,2.77
348179.32,5.63,0.46,170663.33,2.76
348316.15,5.63,0.46,170663.33,2.76
348686.87,5.64,0.47,170663.33,2.76
348635.14,5.64,0.47,170663.33,2.76
349013.83,5.65,0.47,170680.45,2.76
349541.49,5.65,0.48,171043.07,2.77
349438.04,5.65,0.48,171043.26,2.77
349386.31,5.65,0.48,171043.26,2.77
349523.14,5.66,0.49,171165.88,2.77
349523.14,5.66,0.49,171165.88,2.77
350350.6,5.67,0.5,171557.65,2.78
350623.01,5.68,0.5,171557.65,2.78
350571.28,5.68,0.5,171554.41,2.78
350519.56,5.68,0.5,171441.31,2.78
350656.38,5.68,0.51,171563.93,2.78
350604.66,5.68,0.51,171563.93,2.78
350552.94,5.68,0.51,171563.93,2.78
350923.65,5.69,0.51,171563.93,2.78
351060.48,5.69,0.52,171563.93,2.78
351008.76,5.69,0.52,171451.69,2.78
351281.16,5.69,0.52,171451.1,2.78
351253.18,5.69,0.52,172143.16,2.79
351704.85,5.7,0.53,171978.49,2.79
352158.22,5.71,0.54,172105.03,2.79
352678.45,5.72,0.55,172105.03,2.79
353049.17,5.73,0.55,172234.21,2.79
352997.44,5.73,0.55,172234.21,2.79
353134.27,5.73,0.56,172356.83,2.8
353082.55,5.73,0.56,172356.83,2.8
353453.26,5.74,0.56,172471.77,2.8
353725.67,5.74,0.57,172471.77,2.8
353862.5,5.74,0.57,172471.77,2.8
354233.21,5.75,0.58,172471.77,2.8
354181.49,5.75,0.58,172471.77,2.8
354998.72,5.76,0.59,172699.72,2.8
355369.44,5.77,0.6,173389.02,2.82
355317.72,5.77,0.6,173340.92,2.81
355454.54,5.77,0.6,173340.92,2.82
355402.82,5.77,0.6,173275.92,2.81
356335.42,5.79,0.62,173527.83,2.82
356283.7,5.79,0.62,173462.84,2.82
356231.97,5.79,0.62,173442.52,2.82
356180.25,5.79,0.62,173442.52,2.82
356128.52,5.79,0.62,173329.42,2.82
356279.2,5.79,0.62,172970.06,2.81
356416.02,5.8,0.62,172970.06,2.81
356786.74,5.8,0.63,173099.23,2.81
356735.02,5.8,0.63,173099.23,2.82
357105.74,5.81,0.64,173214.17,2.82
357054.01,5.81,0.64,173210.93,2.82
357326.42,5.81,0.64,173274.83,2.82
357477.09,5.82,0.64,172915.46,2.81
357425.37,5.82,0.64,172915.46,2.81
357788.12,5.82,0.65,172915.48,2.81
358241.49,5.83,0.66,173042.03,2.82
358378.32,5.83,0.66,173164.32,2.82
359195.55,5.85,0.68,173392.27,2.82
359566.27,5.85,0.68,173392.27,2.82
359514.55,5.85,0.68,173392.27,2.82
359462.82,5.85,0.68,173392.27,2.82
359411.1,5.85,0.68,173392.27,2.82
359359.37,5.85,0.68,173392.27,2.82
359307.65,5.85,0.68,173392.27,2.83
359255.93,5.85,0.68,173392.27,2.83
360241.69,5.87,0.7,173834.37,2.83
360612.41,5.88,0.71,173963.54,2.84
360983.12,5.88,0.71,174078.48,2.84
360931.4,5.88,0.71,174078.48,2.84
360879.67,5.88,0.71,174075.24,2.84
360827.95,5.88,0.71,173962.14,2.84
361153.32,5.89,0.72,173962.14,2.84
361101.59,5.89,0.72,173962.14,2.84
361049.87,5.89,0.72,173958.9,2.84
360998.14,5.89,0.72,173958.9,2.84
360946.42,5.89,0.72,173958.9,2.84
360894.69,5.89,0.72,173958.9,2.84
360842.97,5.89,0.72,173935.67,2.84
361643.71,5.91,0.73,174120.06,2.84
362014.42,5.91,0.74,174120.7,2.84
362339.79,5.92,0.75,174120.7,2.84
362288.06,5.92,0.75,174120.7,2.84
362236.34,5.92,0.75,174007.6,2.84
362373.17,5.92,0.75,174007.6,2.84
362645.57,5.93,0.75,174244.04,2.85
362593.85,5.93,0.75,174244.04,2.85
362542.12,5.93,0.75,174224.28,2.85
362490.4,5.93,0.75,174114.42,2.85
362861.12,5.93,0.76,174114.42,2.85
363329.74,5.94,0.77,174030.38,2.85
363708.43,5.95,0.78,174030.38,2.85
363656.71,5.95,0.78,173917.28,2.84
363604.98,5.95,0.78,173804.18,2.84
364011.32,5.96,0.78,174186.48,2.85
363959.59,5.96,0.78,174054.43,2.85
363959.59,5.96,0.78,173941.33,2.85
364096.42,5.96,0.79,173941.33,2.85
364044.69,5.96,0.79,173941.33,2.85
364415.41,5.97,0.79,173941.33,2.85
364794.1,5.97,0.8,173941.33,2.85
365262.73,5.98,0.81,173857.3,2.85
365211.0,5.98,0.81,173836.98,2.85
365159.28,5.98,0.81,173833.74,2.85
365371.71,5.99,0.81,173179.65,2.84
365319.99,5.99,0.81,173071.33,2.84
365268.26,5.99,0.81,173071.33,2.84
365268.26,5.99,0.81,172958.23,2.83
365405.09,5.99,0.82,172959.77,2.83
365873.72,6.0,0.82,172875.74,2.83
365821.99,6.0,0.82,172875.74,2.83
365958.82,6.0,0.83,172998.35,2.84
365907.09,6.0,0.83,172933.36,2.84
365855.37,6.0,0.83,172933.36,2.84
365803.64,6.0,0.83,172933.36,2.84
365751.92,6.0,0.83,172933.36,2.84
365700.2,6.0,0.83,172929.92,2.84
365648.47,6.0,0.83,172929.92,2.84
365596.75,6.0,0.83,172864.92,2.84
365733.57,6.0,0.83,172864.92,2.84
365733.57,6.0,0.83,172864.92,2.84
366104.29,6.01,0.84,173150.09,2.84
366429.66,6.02,0.84,173036.99,2.84
366377.93,6.02,0.84,173033.75,2.84
366326.21,6.02,0.84,173004.25,2.84
366274.48,6.02,0.84,173004.25,2.84
366645.2,6.02,0.85,173133.43,2.84
366645.2,6.02,0.85,173411.81,2.85
366782.03,6.03,0.85,173411.81,2.85
366730.3,6.03,0.85,173382.32,2.85
367002.71,6.03,0.86,173382.32,2.85
367522.94,6.04,0.87,173382.32,2.85
367848.3,6.05,0.87,173382.32,2.85
368219.02,6.05,0.88,173382.6,2.85
368369.69,6.06,0.88,173023.24,2.84
368740.41,6.06,0.89,173023.24,2.85
368877.24,6.07,0.89,173023.24,2.85
369014.06,6.07,0.9,173145.85,2.85
368962.34,6.07,0.9,173145.85,2.85
368910.62,6.07,0.9,173125.54,2.85
369896.38,6.09,0.91,173567.63,2.86
369844.65,6.09,0.91,173567.63,2.86
369844.65,6.09,0.91,173567.63,2.86
369792.93,6.09,0.91,173454.53,2.85
369929.76,6.09,0.92,173454.53,2.86
370066.58,6.09,0.92,173454.53,2.86
370014.86,6.09,0.92,173454.53,2.86
370504.4,6.1,0.93,173378.13,2.86
370504.4,6.1,0.93,173390.29,2.86
370641.23,6.11,0.93,173512.9,2.86
370589.5,6.11,0.93,173512.9,2.86
370726.33,6.11,0.94,173512.9,2.86
370674.6,6.11,0.94,173403.04,2.86
370811.43,6.11,0.94,173403.04,2.86
371300.97,6.12,0.95,173326.65,2.86
372118.21,6.13,0.96,173554.6,2.86
372255.03,6.14,0.97,173554.6,2.86
372203.31,6.14,0.97,173551.36,2.86
372151.58,6.14,0.97,173548.12,2.86
372099.86,6.14,0.97,173680.17,2.87
372236.68,6.14,0.97,173680.17,2.87
372184.96,6.14,0.97,173650.68,2.87
372321.79,6.14,0.97,173773.29,2.87
372270.06,6.14,0.97,173773.29,2.87
372542.47,6.15,0.98,173969.46,2.87
372913.19,6.16,0.98,174098.64,2.87
372861.46,6.16,0.98,174098.64,2.87
372809.74,6.16,0.98,173986.4,2.87
372758.01,6.16,0.98,173986.4,2.87
372894.84,6.16,0.99,173986.4,2.87
373031.67,6.16,0.99,174109.01,2.88
373168.49,6.17,0.99,174109.01,2.88
373116.77,6.17,0.99,174105.77,2.88
373065.04,6.17,0.99,174105.77,2.88
373435.76,6.17,1.0,174234.95,2.88
373384.04,6.17,1.0,174234.95,2.88
373332.31,6.17,1.0,174234.95,2.88
373821.86,6.18,1.01,174108.15,2.88
373770.13,6.18,1.01,174108.15,2.88
373718.41,6.18,1.01,174104.91,2.88
374089.13,6.19,1.02,174104.91,2.88
374089.13,6.19,1.02,174104.91,2.88
374609.35,6.2,1.03,174532.61,2.89
374881.76,6.2,1.03,174532.61,2.89
375335.13,6.21,1.04,174535.05,2.89
375283.41,6.21,1.04,174535.05,2.89
375283.41,6.21,1.04,174535.05,2.89
375662.1,6.22,1.05,174535.05,2.89
375610.37,6.22,1.05,174535.05,2.89
375558.65,6.22,1.05,174531.81,2.89
375506.92,6.22,1.05,174531.81,2.89
