ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,2,320,6212,320
2,10,1320,6212,1320
3,12,2320,6212,2320
4,20,3320,6212,3320
5,22,4320,6212,4320
6,30,5130,6212,5130
7,38,6130,6212,6130
8,40,7130,6212,7130
9,48,7600,6212,7600
10,50,8410,6212,8410
11,54,8780,6212,8780
12,56,9780,6212,9780
13,58,10250,6212,10250
14,60,11250,6212,11250
15,68,11250,6212,11250
16,70,12250,6212,12250
17,72,12720,6212,12720
18,74,12940,6212,12940
19,82,13940,6212,13940
20,90,14530,6212,14530
21,92,15530,6212,15530
22,94,16530,6212,16530
23,102,16850,6212,16850
24,110,17660,6212,17660
25,112,18660,6212,18660
26,120,19660,6212,19660
27,128,20470,6212,20470
28,136,21280,6212,21280
29,144,22280,6212,22280
30,146,22830,6212,22830
31,154,23830,6212,23830
32,162,24480,6212,24480
33,170,25480,6212,25480
34,178,26480,6212,26480
35,186,26800,6212,26800
36,188,28800,6212,28800
37,196,29450,6212,29450
38,200,30450,6212,30450
39,202,31260,6212,31260
40,210,32260,6212,32260
41,218,33260,6212,33260
42,226,34260,6212,34260
43,234,34730,6212,34730
44,242,35730,6212,35730
45,246,36730,6212,36730
46,248,37540,6212,37540
46,248,38540,6212,38540
47,256,39540,6212,39540
48,264,40540,6212,40540
49,272,41540,6212,41540
50,280,42090,6212,42090
51,284,43090,6212,43090
52,292,44090,6212,44090
53,300,45090,6212,45090
54,308,45900,6212,45900
55,316,46900,6212,46900
56,318,47710,6212,47710
57,320,48520,6212,48520
58,322,49520,6212,49520
59,330,50520,6212,50520
60,338,51520,6212,51520
60,338,52330,6212,52330
61,346,53330,6212,53330
62,350,54330,6212,54330
63,358,55140,6212,55140
64,366,56140,6212,56140
65,374,57140,6212,57140
66,382,58140,6212,58140
66,382,59140,6212,59140
67,384,60140,6212,60140
68,386,61140,6212,61140
69,394,61140,6212,61140
70,396,61950,6212,61950
71,400,62950,6212,62950
72,402,63420,6212,63420
73,404,63890,6212,63890
74,406,64890,6212,64890
75,414,65890,6212,65890
75,414,66700,6212,66700
76,422,67700,6212,67700
77,424,68170,6212,68170
78,432,69170,6212,69170
79,436,70170,6212,70170
80,440,70980,6212,70980
81,448,71300,6212,71300
82,450,71620,6212,71620
83,452,72430,6212,72430
84,454,73430,6212,73430
84,454,73910,6212,73910
85,456,74910,6212,74910
86,458,75380,6212,75380
87,466,76380,6212,76380
88,474,77380,6212,77380
88,474,77380,6212,77380
89,476,78380,6212,78380
90,478,79380,6212,79380
91,486,80380,6212,80380
92,494,80650,6212,80650
93,502,81460,6212,81460
94,510,82270,6212,82270
95,512,83270,6212,83270
95,512,83590,6212,83590
96,520,84590,6212,84590
97,522,85590,6212,85590
98,530,86400,6212,86400
99,532,86400,6212,86400
99,532,86870,6212,86870
100,534,87870,6212,87870
101,536,88870,6212,88870
102,544,89420,6212,89420
103,552,90420,6212,90420
104,560,91420,6212,91420
105,562,91970,6212,91970
106,570,92970,6212,92970
107,578,93300,6212,93300
107,578,93620,6212,93620
108,580,94620,6212,94620
109,582,95620,6212,95620
110,590,96620,6212,96620
111,598,97620,6212,97620
112,606,98090,6212,98090
113,608,99090,6212,99090
114,616,99900,6212,99900
114,616,100710,6212,100710
115,624,101360,6212,101360
116,632,102360,6212,102360
117,634,103360,6212,103360
118,636,104360,6212,104360
119,644,105360,6212,105360
120,652,105360,6212,105360
121,660,105830,6212,105830
122,668,105830,6212,105830
123,670,106640,6212,106640
123,670,107640,6212,107640
124,671,108450,6212,108450
125,673,108920,6212,108920
126,681,109920,6212,109920
126,681,110920,6212,110920
127,683,111920,6212,111920
128,687,112920,6212,112920
129,689,113920,6212,113920
130,691,113920,6212,113920
131,699,114080,6212,114080
132,707,114080,6212,114080
132,707,114890,6212,114890
133,709,114890,6212,114890
134,717,115890,6212,115890
135,725,115890,6212,115890
136,727,116890,6212,116890
136,727,117890,6212,117890
137,729,118110,6212,118110
138,731,119110,6212,119110
139,733,119110,6212,119110
140,735,120110,6212,120110
141,743,120920,6212,120920
142,751,121920,6212,121920
143,755,122920,6212,122920
144,763,123470,6212,123470
145,765,124470,6212,124470
146,767,125470,6212,125470
147,769,126020,6212,126020
148,771,126490,6212,126490
148,771,126960,6212,126960
149,779,127960,6212,127960
149,779,128420,6212,128420
150,787,129420,6212,129420
151,795,137420,6212,137420
152,803,137650,6212,137650
153,811,138650,6212,138650
154,819,139650,6212,139650
155,827,139650,6212,139650
156,835,139880,6212,139880
