ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
345884.83,5.57,0.4,172511.26,2.78
345833.11,5.57,0.4,172535.15,2.78
345781.38,5.57,0.4,172514.83,2.78
345729.66,5.57,0.4,172514.83,2.78
345677.94,5.57,0.4,172485.34,2.78
345814.76,5.57,0.4,172485.34,2.78
345763.04,5.57,0.4,172485.34,2.78
345711.31,5.57,0.4,172372.24,2.78
346082.03,5.58,0.41,172372.24,2.78
346232.71,5.58,0.41,172012.88,2.77
346670.04,5.59,0.42,172012.88,2.77
346618.32,5.59,0.42,171983.39,2.77
346989.04,5.6,0.42,172098.33,2.77
347356.48,5.6,0.43,171846.03,2.77
347356.48,5.6,0.43,171846.03,2.77
347304.75,5.6,0.43,171825.71,2.77
347675.47,5.61,0.44,171954.89,2.77
348203.12,5.62,0.44,171841.78,2.77
348151.4,5.62,0.44,171841.78,2.77
348476.77,5.62,0.45,171841.78,2.77
348425.04,5.62,0.45,171728.68,2.77
348893.67,5.63,0.46,171644.65,2.77
349347.04,5.64,0.47,171627.19,2.77
349483.87,5.64,0.47,171627.19,2.77
349432.14,5.64,0.47,171514.09,2.77
349380.42,5.64,0.47,171514.09,2.77
349517.25,5.65,0.47,171514.09,2.77
349654.07,5.65,0.48,171514.09,2.77
349602.35,5.65,0.48,171514.09,2.77
349964.5,5.65,0.48,171400.99,2.77
349912.78,5.65,0.48,171400.99,2.77
350185.18,5.66,0.49,171400.99,2.77
350133.46,5.66,0.49,171400.99,2.77
350081.74,5.66,0.49,171400.99,2.77
350535.11,5.67,0.49,171401.01,2.77
350431.66,5.67,0.5,171287.91,2.77
350704.07,5.67,0.5,171287.91,2.77
350687.96,5.67,0.5,171464.95,2.77
350824.78,5.68,0.5,171587.57,2.78
350773.06,5.68,0.5,171587.57,2.78
350721.34,5.68,0.5,171587.57,2.78
350669.61,5.68,0.5,171587.57,2.78
351040.33,5.68,0.51,171587.57,2.78
350988.61,5.68,0.51,171587.57,2.78
350936.88,5.68,0.51,171587.57,2.78
351073.71,5.69,0.51,171710.19,2.78
351021.98,5.69,0.51,171710.19,2.78
350970.26,5.69,0.51,171710.19,2.78
350918.53,5.69,0.51,171710.19,2.78
350866.81,5.69,0.51,171710.19,2.78
351228.96,5.69,0.52,171710.19,2.78
351212.85,5.69,0.52,171939.56,2.79
351161.13,5.69,0.52,171939.56,2.79
351109.41,5.69,0.52,171939.56,2.79
351246.23,5.7,0.52,171939.56,2.79
351194.51,5.7,0.52,171939.56,2.79
351331.33,5.7,0.53,172062.18,2.79
351468.16,5.7,0.53,172184.47,2.79
351416.43,5.7,0.53,172076.15,2.79
