ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
1,2,320,6212,320
2,6,1320,6212,1320
3,8,2320,6212,2320
4,12,3320,6212,3320
4,12,4320,6212,4320
5,13,5130,6212,5130
6,17,6130,6212,6130
7,21,7130,6212,7130
8,23,7600,6212,7600
9,24,8410,6212,8410
9,24,8780,6212,8780
10,26,9780,6212,9780
11,27,10250,6212,10250
12,28,11250,6212,11250
13,32,11250,6212,11250
13,32,12250,6212,12250
14,34,12720,6212,12720
14,34,12940,6212,12940
15,36,13940,6212,13940
15,36,14530,6212,14530
15,36,15530,6212,15530
16,38,16530,6212,16530
16,38,16850,6212,16850
16,38,17660,6212,17660
17,40,18660,6212,18660
17,40,19660,6212,19660
18,41,20470,6212,20470
19,42,21280,6212,21280
20,44,22280,6212,22280
20,44,22830,6212,22830
21,48,23830,6212,23830
22,50,24480,6212,24480
23,52,25480,6212,25480
24,54,26480,6212,26480
25,56,26800,6212,26800
26,58,28800,6212,28800
27,60,29450,6212,29450
28,62,30450,6212,30450
28,62,31260,6212,31260
29,64,32260,6212,32260
30,68,33260,6212,33260
30,68,34260,6212,34260
31,70,34730,6212,34730
32,74,35730,6212,35730
33,76,36730,6212,36730
33,76,37540,6212,37540
34,78,38540,6212,38540
34,78,39540,6212,39540
35,80,40540,6212,40540
35,80,41540,6212,41540
35,80,42090,6212,42090
36,82,43090,6212,43090
37,84,44090,6212,44090
38,86,45090,6212,45090
38,86,45900,6212,45900
39,88,46900,6212,46900
39,88,47710,6212,47710
39,88,48520,6212,48520
40,89,49520,6212,49520
41,91,50520,6212,50520
42,95,51520,6212,51520
42,95,52330,6212,52330
43,97,53330,6212,53330
44,99,54330,6212,54330
44,99,55140,6212,55140
45,101,56140,6212,56140
46,103,57140,6212,57140
46,103,58140,6212,58140
46,103,59140,6212,59140
47,105,60140,6212,60140
48,107,61140,6212,61140
49,111,61140,6212,61140
49,111,61950,6212,61950
50,113,62950,6212,62950
51,114,63420,6212,63420
51,114,63890,6212,63890
52,116,64890,6212,64890
53,120,65890,6212,65890
53,120,66700,6212,66700
54,121,67700,6212,67700
55,123,68170,6212,68170
56,125,69170,6212,69170
57,129,70170,6212,70170
57,129,70980,6212,70980
57,129,71300,6212,71300
57,129,71620,6212,71620
57,129,72430,6212,72430
58,133,73430,6212,73430
58,133,73910,6212,73910
59,135,74910,6212,74910
60,136,75380,6212,75380
61,138,76380,6212,76380
62,140,77380,6212,77380
63,142,77380,6212,77380
63,142,78380,6212,78380
64,144,79380,6212,79380
65,148,80380,6212,80380
65,148,80650,6212,80650
65,148,81460,6212,81460
65,148,82270,6212,82270
66,150,83270,6212,83270
66,150,83590,6212,83590
66,150,84590,6212,84590
67,152,85590,6212,85590
67,152,86400,6212,86400
68,156,86400,6212,86400
69,157,86870,6212,86870
69,157,87870,6212,87870
70,159,88870,6212,88870
70,159,89420,6212,89420
71,161,90420,6212,90420
72,163,91420,6212,91420
72,163,91970,6212,91970
73,164,92970,6212,92970
73,164,93300,6212,93300
73,164,93620,6212,93620
73,164,94620,6212,94620
74,165,95620,6212,95620
75,167,96620,6212,96620
76,169,97620,6212,97620
77,171,98090,6212,98090
78,173,99090,6212,99090
78,173,99900,6212,99900
78,173,100710,6212,100710
79,175,101360,6212,101360
80,177,102360,6212,102360
81,179,103360,6212,103360
81,179,104360,6212,104360
81,179,105360,6212,105360
81,179,105360,6212,105360
82,180,105830,6212,105830
83,182,105830,6212,105830
83,182,106640,6212,106640
83,182,107640,6212,107640
83,182,108450,6212,108450
84,184,108920,6212,108920
85,186,109920,6212,109920
85,186,110920,6212,110920
86,188,111920,6212,111920
87,190,112920,6212,112920
88,191,113920,6212,113920
89,193,113920,6212,113920
89,193,114080,6212,114080
89,193,114080,6212,114080
89,193,114890,6212,114890
90,195,114890,6212,114890
91,197,115890,6212,115890
92,201,115890,6212,115890
92,201,116890,6212,116890
93,203,117890,6212,117890
93,203,118110,6212,118110
93,203,119110,6212,119110
94,205,119110,6212,119110
95,207,120110,6212,120110
95,207,120920,6212,120920
96,209,121920,6212,121920
97,211,122920,6212,122920
97,211,123470,6212,123470
98,215,124470,6212,124470
99,217,125470,6212,125470
99,217,126020,6212,126020
100,219,126490,6212,126490
101,220,126960,6212,126960
102,222,127960,6212,127960
103,223,128420,6212,128420
104,225,129420,6212,129420
105,233,137420,6212,137420
105,233,137650,6212,137650
106,235,138650,6212,138650
107,239,139650,6212,139650
108,243,139650,6212,139650
108,243,139880,6212,139880
109,244,140880,6212,140880
110,248,140880,6212,140880
110,248,141880,6212,141880
110,248,142880,6212,142880
111,250,143880,6212,143880
112,254,144880,6212,144880
113,256,145880,6212,145880
114,258,146880,6212,146880
114,258,147100,6212,147100
115,260,148100,6212,148100
116,262,149100,6212,149100
117,266,149100,6212,149100
117,266,149580,6212,149580
117,266,150390,6212,150390
118,268,151390,6212,151390
118,268,152200,6212,152200
119,270,153200,6212,153200
120,272,153200,6212,153200
121,274,154200,6212,154200
122,276,155200,6212,155200
123,278,155200,6212,155200
123,278,155360,6212,155360
124,280,155830,6212,155830
125,282,156830,6212,156830
125,282,157640,6212,157640
126,284,158640,6212,158640
126,284,158800,6212,158800
127,286,159270,6212,159270
128,288,160270,6212,160270
129,290,160740,6212,160740
130,292,161740,6212,161740
130,292,162330,6212,162330
131,294,162800,6212,162800
132,298,163800,6212,163800
132,298,164610,6212,164610
132,298,165610,6212,165610
133,300,166610,6212,166610
134,302,167610,6212,167610
135,304,168610,6212,168610
135,304,169420,6212,169420
135,304,170230,6212,170230
136,306,171230,6212,171230
136,306,172040,6212,172040
136,306,173040,6212,173040
137,308,174040,6212,174040
137,308,174360,6212,174360
138,310,175360,6212,175360
139,312,176360,6212,176360
140,314,177360,6212,177360
141,315,178170,6212,178170
142,317,179170,6212,179170
143,319,180170,6212,180170
144,321,181170,6212,181170
145,323,182170,6212,182170
146,325,183170,6212,183170
146,325,183400,6212,183400
147,326,184400,6212,184400
148,328,184400,6212,184400
149,330,185400,6212,185400
150,332,186400,6212,186400
151,334,187400,6212,187400
151,334,188210,6212,188210
152,336,189210,6212,189210
152,336,189530,6212,189530
153,337,190530,6212,190530
154,338,191530,6212,191530
154,338,192340,6212,192340
155,340,193340,6212,193340
156,342,194340,6212,194340
156,342,195340,6212,195340
157,344,195990,6212,195990
158,348,196460,6212,196460
158,348,197460,6212,197460
158,348,197930,6212,197930
158,348,197930,6212,197930
159,352,198930,6212,198930
159,352,199930,6212,199930
160,354,200930,6212,200930
160,354,201930,6212,201930
160,354,202740,6212,202740
160,354,203060,6212,203060
160,354,204060,6212,204060
160,354,204060,6212,204060
161,356,205060,6212,205060
161,356,206060,6212,206060
162,358,207060,6212,207060
162,358,207380,6212,207380
162,358,208380,6212,208380
162,358,209380,6212,209380
162,358,209850,6212,209850
162,358,209850,6212,209850
162,358,210170,6212,210170
163,360,211170,6212,211170
163,360,212170,6212,212170
163,360,212980,6212,212980
163,360,213790,6212,213790
164,362,214790,6212,214790
164,362,214790,6212,214790
164,362,215260,6212,215260
165,366,215910,6212,215910
165,366,216910,6212,216910
165,366,217130,6212,217130
165,366,218130,6212,218130
165,366,219130,6212,219130
166,368,220130,6212,220130
166,368,220600,6212,220600
166,368,221410,6212,221410
166,368,221520,6212,221520
166,368,222520,6212,222520
166,368,223330,6212,223330
166,368,224330,6212,224330
166,368,224330,6212,224330
167,370,225330,6212,225330
167,370,225800,6212,225800
168,372,226800,6212,226800
168,372,227610,6212,227610
169,374,229610,6212,229610
169,374,230610,6212,230610
170,376,231610,6212,231610
170,376,232610,6212,232610
171,378,233610,6212,233610
171,378,233830,6212,233830
171,378,234300,6212,234300
171,378,235300,6212,235300
171,378,235300,6212,235300
171,378,235620,6212,235620
171,378,236620,6212,236620
171,378,237620,6212,237620
172,382,238090,6212,238090
172,382,238090,6212,238090
172,382,239090,6212,239090
173,386,239740,6212,239740
173,386,240740,6212,240740
173,386,241210,6212,241210
173,386,241680,6212,241680
174,388,242680,6212,242680
174,388,243680,6212,243680
175,390,244680,6212,244680
175,390,245680,6212,245680
176,392,246680,6212,246680
176,392,247680,6212,247680
177,394,248680,6212,248680
177,394,249680,6212,249680
177,394,250680,6212,250680
177,394,250910,6212,250910
177,394,250910,6212,250910
178,396,251910,6212,251910
178,396,252230,6212,252230
178,396,253230,6212,253230
178,396,253880,6212,253880
178,396,253880,6212,253880
179,398,254880,6212,254880
179,398,255200,6212,255200
179,398,256200,6212,256200
180,402,256850,6212,256850
180,402,257850,6212,257850
180,402,258850,6212,258850
180,402,259320,6212,259320
181,406,260320,6212,260320
182,408,261320,6212,261320
182,408,262320,6212,262320
182,408,262790,6212,262790
183,412,263440,6212,263440
183,412,264440,6212,264440
183,412,265440,6212,265440
183,412,266440,6212,266440
183,412,267440,6212,267440
184,413,268440,6212,268440
185,417,268910,6212,268910
185,417,269720,6212,269720
185,417,270190,6212,270190
185,417,271190,6212,271190
186,421,271660,6212,271660
187,423,272660,6212,272660
187,423,273660,6212,273660
188,425,274660,6212,274660
188,425,275660,6212,275660
188,425,276470,6212,276470
188,425,277470,6212,277470
188,425,278280,6212,278280
188,425,279280,6212,279280
189,427,281280,6212,281280
189,427,281750,6212,281750
189,427,282560,6212,282560
189,427,283370,6212,283370
190,431,284370,6212,284370
190,431,284690,6212,284690
190,431,285160,6212,285160
190,431,285710,6212,285710
190,431,286710,6212,286710
191,435,287710,6212,287710
191,435,288520,6212,288520
191,435,289330,6212,289330
191,435,289330,6212,289330
191,435,290330,6212,290330
191,435,290790,6212,290790
192,439,291260,6212,291260
192,439,291260,6212,291260
192,439,291910,6212,291910
192,439,292380,6212,292380
192,439,292750,6212,292750
192,439,293750,6212,293750
192,439,293750,6212,293750
193,443,294750,6212,294750
193,443,295750,6212,295750
193,443,296750,6212,296750
194,445,297400,6212,297400
194,445,298400,6212,298400
194,445,298870,6212,298870
194,445,299680,6212,299680
194,445,300490,6212,300490
194,445,301300,6212,301300
195,446,302110,6212,302110
196,448,303110,6212,303110
196,448,304110,6212,304110
197,450,305110,6212,305110
197,450,305580,6212,305580
198,452,306580,6212,306580
198,452,307580,6212,307580
198,452,308390,6212,308390
198,452,308710,6212,308710
199,454,309710,6212,309710
199,454,310030,6212,310030
199,454,311030,6212,311030
199,454,311840,6212,311840
199,454,312310,6212,312310
200,456,312780,6212,312780
200,456,313780,6212,313780
200,456,314590,6212,314590
201,458,315590,6212,315590
201,458,316060,6212,316060
201,458,317060,6212,317060
201,458,317280,6212,317280
201,458,317280,6212,317280
201,458,317510,6212,317510
202,460,318100,6212,318100
202,460,319100,6212,319100
202,460,319100,6212,319100
203,462,320100,6212,320100
203,462,320910,6212,320910
203,462,321720,6212,321720
204,464,322720,6212,322720
204,464,323530,6212,323530
205,466,324340,6212,324340
205,466,324340,6212,324340
205,466,325150,6212,325150
206,468,326150,6212,326150
206,468,327150,6212,327150
206,468,327470,6212,327470
207,470,328470,6212,328470
207,470,328790,6212,328790
207,470,329260,6212,329260
208,472,330260,6212,330260
208,472,330630,6212,330630
209,474,331630,6212,331630
209,474,332630,6212,332630
209,474,332950,6212,332950
210,476,333760,6212,333760
210,476,333760,6212,333760
210,476,334080,6212,334080
211,478,334890,6212,334890
211,478,335700,6212,335700
212,480,336700,6212,336700
212,480,337700,6212,337700
213,482,338700,6212,338700
213,482,339700,6212,339700
214,484,340700,6212,340700
214,484,341700,6212,341700
215,486,342510,6212,342510
215,486,343510,6212,343510
216,488,344510,6212,344510
216,488,345510,6212,345510
217,490,346510,6212,346510
217,490,347510,6212,347510
218,492,348510,6212,348510
218,492,348740,6212,348740
218,492,349390,6212,349390
218,492,350390,6212,350390
218,492,351390,6212,351390
219,494,352390,6212,352390
219,494,353390,6212,353390
220,496,354390,6212,354390
220,496,355390,6212,355390
221,498,356390,6212,356390
221,498,356390,6212,356390
221,498,356390,6212,356390
221,498,357390,6212,357390
222,502,357860,6212,357860
223,504,358230,6212,358230
223,504,359230,6212,359230
223,504,360230,6212,360230
223,504,360820,6212,360820
223,504,361630,6212,361630
224,506,362630,6212,362630
224,506,363630,6212,363630
224,506,364100,6212,364100
225,508,365100,6212,365100
225,508,365420,6212,365420
225,508,366420,6212,366420
225,508,366650,6212,366650
226,510,367240,6212,367240
