ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2944-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
345884.83,5.57,0.4,173551.53,2.79
346162.11,5.57,0.4,174613.88,2.81
346630.73,5.58,0.41,174523.46,2.81
346908.01,5.59,0.42,175585.8,2.83
346240.12,5.58,0.41,174854.23,2.82
345861.96,5.57,0.4,174350.21,2.81
346139.24,5.58,0.41,175412.55,2.83
347885.14,5.61,0.43,177011.23,2.85
348870.9,5.62,0.45,177446.93,2.86
348492.75,5.62,0.45,176942.91,2.85
348445.9,5.62,0.44,176623.34,2.85
348935.44,5.63,0.45,176540.57,2.85
348898.74,5.63,0.45,176378.0,2.84
348332.03,5.62,0.45,175685.43,2.83
352125.13,5.68,0.51,178958.05,2.89
353640.96,5.7,0.53,179168.33,2.89
354626.72,5.72,0.55,179604.04,2.9
354751.7,5.72,0.55,179656.34,2.9
355220.32,5.73,0.56,179565.92,2.9
354855.31,5.73,0.55,179270.66,2.89
356371.14,5.75,0.58,179480.94,2.9
356839.76,5.76,0.59,179390.52,2.9
356830.96,5.76,0.59,179331.3,2.89
356353.07,5.75,0.58,178789.73,2.89
357153.8,5.77,0.59,178967.73,2.89
356485.91,5.76,0.58,178236.16,2.88
356107.75,5.75,0.58,177732.14,2.87
355729.6,5.75,0.57,177228.12,2.86
356181.27,5.75,0.58,177057.06,2.86
355980.33,5.75,0.58,176856.13,2.86
356257.61,5.76,0.58,177918.47,2.88
357074.84,5.77,0.6,178140.04,2.88
357543.47,5.78,0.61,178049.62,2.88
358344.21,5.79,0.62,178227.63,2.88
358797.58,5.8,0.63,178515.28,2.89
358598.32,5.8,0.63,177693.28,2.87
359415.55,5.81,0.64,177914.85,2.88
359884.18,5.82,0.65,177824.43,2.88
359407.68,5.81,0.64,177320.87,2.87
359876.3,5.82,0.65,177230.46,2.87
360153.58,5.83,0.66,178292.8,2.89
361669.41,5.85,0.68,178503.08,2.89
362655.17,5.87,0.7,178938.79,2.9
362932.44,5.88,0.7,180001.13,2.91
363401.07,5.88,0.71,179910.71,2.91
362923.18,5.88,0.71,179369.14,2.91
363391.8,5.89,0.71,179278.72,2.9
362723.91,5.88,0.7,178547.14,2.89
363192.54,5.89,0.71,178456.72,2.89
362524.65,5.88,0.7,177725.15,2.88
362306.76,5.87,0.7,177443.57,2.88
362775.38,5.88,0.71,177353.16,2.87
363227.05,5.89,0.72,177182.09,2.87
364027.79,5.9,0.73,177360.1,2.88
363551.29,5.9,0.72,176856.54,2.87
364040.83,5.9,0.73,176723.35,2.87
