ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
345065.53,5.56,0.38,172246.78,2.77
345013.8,5.56,0.38,172114.73,2.77
344962.08,5.56,0.38,171982.68,2.77
344910.36,5.56,0.38,171917.69,2.77
344858.63,5.56,0.38,171869.58,2.77
344480.48,5.55,0.38,171365.56,2.76
344428.75,5.55,0.38,171300.57,2.76
344377.03,5.55,0.38,171252.46,2.76
344747.75,5.56,0.38,171381.64,2.76
344884.57,5.56,0.39,171676.0,2.77
344620.91,5.56,0.38,171486.98,2.76
344569.19,5.56,0.38,171457.49,2.76
344532.48,5.56,0.38,171294.92,2.76
344480.76,5.56,0.38,171211.31,2.76
344480.76,5.56,0.38,171211.31,2.76
344949.38,5.56,0.39,171127.28,2.76
345320.1,5.57,0.4,171256.45,2.76
345198.07,5.57,0.4,171387.94,2.76
345146.34,5.57,0.4,171367.62,2.76
345471.71,5.57,0.4,171618.82,2.77
345419.98,5.57,0.4,171526.04,2.77
345888.61,5.58,0.41,171442.0,2.77
345601.52,5.58,0.41,171208.81,2.76
345223.36,5.57,0.4,170704.79,2.76
346024.1,5.59,0.41,170889.18,2.76
345356.21,5.58,0.4,170157.61,2.75
344978.05,5.57,0.4,169653.59,2.74
344599.9,5.57,0.39,169149.57,2.73
344548.18,5.57,0.39,169036.47,2.73
344431.47,5.57,0.39,168793.9,2.73
344379.75,5.57,0.39,168793.9,2.73
344652.15,5.57,0.4,168857.79,2.73
344600.43,5.57,0.4,168837.48,2.73
344548.71,5.57,0.4,168744.69,2.73
344228.71,5.57,0.39,168424.69,2.72
344125.26,5.57,0.39,168311.59,2.72
344397.66,5.57,0.4,168805.84,2.73
344866.29,5.58,0.41,168721.81,2.73
344488.14,5.57,0.4,168217.79,2.72
344436.41,5.57,0.4,168214.55,2.72
344384.69,5.57,0.4,168104.69,2.72
344332.96,5.57,0.4,168075.2,2.72
344703.68,5.58,0.41,168204.37,2.72
344651.96,5.58,0.41,168120.76,2.72
344600.23,5.58,0.41,168117.52,2.72
344737.06,5.58,0.41,168411.89,2.73
344685.33,5.58,0.41,168302.02,2.73
344017.44,5.57,0.4,167570.45,2.71
343965.72,5.57,0.4,167550.13,2.71
343297.83,5.56,0.39,166818.56,2.7
343181.12,5.56,0.39,166575.99,2.7
343129.4,5.56,0.39,166483.2,2.7
343077.68,5.56,0.39,166370.1,2.7
343025.95,5.56,0.39,166370.1,2.7
342647.8,5.56,0.38,165866.08,2.69
343137.34,5.57,0.39,165739.28,2.69
342759.18,5.56,0.39,165235.27,2.68
342381.03,5.55,0.38,164731.25,2.67
341814.33,5.55,0.37,164038.68,2.66
341762.6,5.55,0.37,164018.36,2.66
341710.88,5.55,0.37,163925.58,2.66
341332.72,5.54,0.37,163550.82,2.66
341801.35,5.55,0.38,163466.79,2.65
341749.63,5.55,0.38,163446.47,2.65
341371.47,5.54,0.37,162942.45,2.65
341319.75,5.54,0.37,162849.67,2.65
341268.02,5.54,0.37,162829.35,2.65
340579.22,5.53,0.36,162140.55,2.63
340527.49,5.53,0.36,162047.76,2.63
340475.77,5.53,0.36,162044.52,2.63
340424.04,5.53,0.36,161934.66,2.63
340424.04,5.53,0.36,161934.66,2.63
340045.89,5.53,0.36,161430.64,2.62
339994.16,5.53,0.36,161427.4,2.63
339631.72,5.52,0.35,161138.08,2.62
340617.48,5.54,0.37,161580.17,2.63
340565.76,5.54,0.37,161470.31,2.63
340514.04,5.54,0.37,161405.32,2.63
340049.01,5.53,0.36,160867.62,2.62
339997.29,5.53,0.36,160819.51,2.62
340368.0,5.54,0.37,160948.69,2.62
340836.63,5.55,0.38,160864.66,2.62
340784.91,5.55,0.38,160799.66,2.62
340921.73,5.55,0.38,161094.02,2.62
340627.6,5.55,0.37,160755.04,2.62
340333.47,5.54,0.37,160482.78,2.61
339955.32,5.54,0.36,159978.76,2.61
339903.59,5.54,0.36,159930.65,2.61
339531.15,5.53,0.36,159631.44,2.6
340020.69,5.54,0.37,159504.64,2.6
339983.99,5.54,0.37,159471.34,2.6
339932.26,5.54,0.37,159451.02,2.6
339880.54,5.54,0.37,159358.23,2.6
339880.54,5.54,0.37,159358.23,2.6
339212.65,5.53,0.36,158626.66,2.59
339681.27,5.54,0.37,158542.63,2.59
339629.55,5.54,0.37,158429.52,2.58
339369.14,5.53,0.36,158167.76,2.58
338990.99,5.53,0.36,157793.0,2.57
338612.83,5.52,0.35,157288.98,2.57
338561.11,5.52,0.35,157288.98,2.57
338623.86,5.53,0.35,157225.87,2.57
338572.13,5.53,0.35,157222.63,2.57
338520.41,5.53,0.35,157112.76,2.56
338142.26,5.52,0.35,156608.75,2.56
338142.26,5.52,0.35,156608.75,2.56
338961.2,5.53,0.36,156872.91,2.56
338293.31,5.52,0.35,156141.33,2.55
339094.04,5.54,0.37,156325.73,2.55
339055.83,5.54,0.37,156225.96,2.55
339004.11,5.54,0.37,156222.71,2.55
338952.39,5.54,0.37,156112.85,2.55
339314.54,5.54,0.37,155999.75,2.55
339262.82,5.54,0.37,155891.43,2.55
338968.94,5.54,0.37,156127.12,2.55
339422.31,5.55,0.38,156444.29,2.56
338733.5,5.54,0.36,155755.48,2.55
338681.78,5.54,0.36,155750.7,2.55
338630.06,5.54,0.36,155747.26,2.55
338578.33,5.54,0.36,155637.04,2.55
338281.63,5.53,0.36,155411.95,2.54
338771.17,5.54,0.37,155285.15,2.54
338908.0,5.54,0.37,155407.77,2.54
339044.82,5.55,0.38,155529.5,2.54
339862.06,5.56,0.39,155757.45,2.55
339810.33,5.56,0.39,155776.39,2.55
339758.61,5.56,0.39,155644.35,2.55
339706.89,5.56,0.39,155624.03,2.55
339655.16,5.56,0.39,155531.24,2.55
339655.16,5.56,0.39,155531.24,2.55
340474.11,5.58,0.4,155795.41,2.55
340474.11,5.58,0.4,157628.09,2.58
339997.61,5.57,0.4,157124.52,2.57
340487.15,5.58,0.41,157048.13,2.57
340150.34,5.57,0.4,156637.89,2.57
340521.06,5.58,0.41,156767.07,2.57
340469.33,5.58,0.41,156763.83,2.57
340417.61,5.58,0.41,156653.97,2.57
340365.88,5.58,0.41,156540.86,2.57
340314.16,5.58,0.41,156540.86,2.57
340262.44,5.58,0.41,156432.54,2.57
340357.41,5.58,0.41,156494.63,2.57
340198.86,5.58,0.41,156337.3,2.56
344897.56,5.66,0.48,162147.15,2.66
345034.38,5.66,0.49,162441.51,2.66
345034.38,5.66,0.49,162441.51,2.66
344982.66,5.66,0.49,162436.73,2.66
344982.66,5.66,0.49,162436.73,2.66
344314.77,5.65,0.48,161705.15,2.65
344263.04,5.65,0.48,161592.05,2.65
344081.64,5.65,0.47,161422.52,2.65
343392.83,5.64,0.46,160733.71,2.64
343392.83,5.64,0.46,160735.29,2.64
343341.11,5.64,0.46,160735.29,2.64
343655.58,5.64,0.47,160294.37,2.63
343603.86,5.64,0.47,160274.05,2.63
343552.13,5.64,0.47,160181.27,2.63
343645.4,5.64,0.47,160427.21,2.63
343593.68,5.64,0.47,160361.66,2.63
343541.96,5.64,0.47,160313.55,2.63
344081.75,5.65,0.48,159954.5,2.63
343719.31,5.65,0.48,159665.18,2.62
343960.25,5.65,0.48,160188.63,2.63
344760.98,5.67,0.49,160373.02,2.64
345139.67,5.67,0.5,160390.14,2.64
345087.95,5.67,0.5,160276.48,2.64
344674.15,5.67,0.5,160276.48,2.64
344477.15,5.67,0.5,160065.85,2.64
344425.42,5.67,0.5,160065.85,2.64
344373.7,5.67,0.5,159952.75,2.63
344373.7,5.67,0.5,160022.52,2.64
344243.69,5.67,0.5,160266.06,2.64
344191.97,5.67,0.5,160266.06,2.64
346379.65,5.71,0.53,162713.65,2.68
345690.84,5.69,0.52,161974.44,2.67
346142.51,5.7,0.53,161809.76,2.67
346090.78,5.7,0.53,161806.33,2.67
346039.06,5.7,0.53,161696.11,2.67
345987.33,5.7,0.53,161666.62,2.67
345935.61,5.7,0.53,161583.01,2.66
345725.2,5.7,0.53,161209.25,2.66
345673.48,5.7,0.53,161096.14,2.66
345621.76,5.7,0.53,161096.14,2.66
345621.76,5.7,0.53,161096.14,2.66
345984.5,5.71,0.53,161616.11,2.67
346121.33,5.71,0.54,161738.72,2.67
346589.95,5.72,0.55,161654.69,2.67
346726.78,5.72,0.55,161776.42,2.67
347527.52,5.74,0.56,161960.81,2.67
347527.52,5.74,0.56,161960.81,2.67
347475.79,5.74,0.56,161847.71,2.67
347424.07,5.74,0.56,161847.71,2.67
347424.07,5.74,0.56,161847.71,2.67
347265.52,5.73,0.56,161690.28,2.67
346901.05,5.73,0.56,161310.31,2.66
346849.32,5.73,0.56,161307.07,2.66
346986.15,5.73,0.56,161429.69,2.67
346934.42,5.73,0.56,161319.83,2.66
346775.87,5.73,0.56,161161.28,2.66
347146.59,5.74,0.56,161462.2,2.67
347615.22,5.74,0.57,161378.17,2.67
347252.78,5.74,0.57,161088.85,2.66
347201.05,5.74,0.57,160975.75,2.66
347526.42,5.74,0.57,160862.65,2.66
347897.13,5.75,0.58,161689.1,2.67
347845.41,5.75,0.58,161689.1,2.67
347982.24,5.75,0.58,161811.71,2.68
347331.3,5.74,0.57,161160.78,2.67
348132.04,5.76,0.59,161345.17,2.67
348080.31,5.76,0.59,161315.68,2.67
348028.59,5.76,0.59,161232.07,2.67
348165.42,5.76,0.59,161353.8,2.67
348302.24,5.76,0.59,161476.41,2.67
348250.52,5.77,0.59,161455.95,2.67
348387.34,5.77,0.6,161577.67,2.68
347719.45,5.76,0.59,160846.1,2.66
347667.73,5.76,0.59,160752.91,2.66
347380.64,5.75,0.58,160388.57,2.66
347328.91,5.75,0.58,160385.33,2.66
347277.19,5.75,0.58,160275.47,2.66
347225.47,5.75,0.58,160255.15,2.66
347362.29,5.76,0.58,160377.77,2.66
347310.57,5.76,0.58,160284.98,2.66
348111.3,5.77,0.6,160469.37,2.66
348059.58,5.77,0.6,160466.13,2.66
348007.85,5.77,0.6,160356.27,2.66
347956.13,5.77,0.6,160326.78,2.66
347824.4,5.77,0.6,160246.48,2.66
347156.51,5.76,0.59,159514.9,2.65
347156.51,5.76,0.59,159514.9,2.65
347104.79,5.76,0.59,159431.29,2.65
347053.06,5.76,0.59,159428.05,2.65
347001.34,5.76,0.59,159318.19,2.64
347138.17,5.76,0.59,159439.92,2.65
347086.44,5.76,0.59,159436.68,2.65
347539.82,5.77,0.6,159563.22,2.65
347488.09,5.77,0.6,159453.36,2.65
