ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
345065.53,5.56,0.38,172246.78,2.77
345013.8,5.56,0.38,172114.73,2.77
344962.08,5.56,0.38,171982.68,2.77
344910.36,5.56,0.38,171917.69,2.77
344858.63,5.56,0.38,171869.58,2.77
344480.48,5.55,0.38,171365.56,2.76
344428.75,5.55,0.38,171300.57,2.76
344377.03,5.55,0.38,171252.46,2.76
344747.75,5.56,0.38,171381.64,2.76
344884.57,5.56,0.39,171676.0,2.77
344620.91,5.56,0.38,171486.98,2.76
344569.19,5.56,0.38,171457.49,2.76
344939.9,5.56,0.39,171768.91,2.77
344373.2,5.55,0.38,171076.34,2.76
344373.2,5.55,0.38,171076.34,2.76
344841.83,5.56,0.39,170992.31,2.76
344479.38,5.56,0.38,170657.28,2.75
344591.49,5.56,0.39,170705.7,2.75
344539.77,5.56,0.39,170685.38,2.75
344865.13,5.56,0.39,170975.6,2.76
344813.41,5.56,0.39,170862.49,2.76
344761.68,5.56,0.39,170862.49,2.76
344474.6,5.56,0.39,170569.5,2.75
344096.44,5.56,0.38,170065.48,2.75
344897.18,5.57,0.4,170249.87,2.75
344330.47,5.56,0.39,169557.3,2.74
343952.32,5.56,0.38,169053.29,2.73
343574.16,5.55,0.38,168549.27,2.72
344025.83,5.56,0.39,168384.59,2.72
343824.9,5.56,0.38,168183.66,2.72
343773.17,5.56,0.38,168118.66,2.72
344045.58,5.56,0.39,168395.85,2.72
343993.86,5.56,0.39,168375.53,2.72
343942.13,5.56,0.39,168282.75,2.72
343648.0,5.56,0.38,167987.46,2.72
343544.55,5.56,0.38,167874.35,2.72
343816.96,5.56,0.39,167938.25,2.72
343765.24,5.56,0.39,168086.54,2.72
343387.08,5.56,0.38,167582.52,2.71
343855.71,5.56,0.39,167498.49,2.71
343803.98,5.56,0.39,167433.5,2.71
343752.26,5.56,0.39,167385.39,2.71
344122.98,5.57,0.4,167514.57,2.71
344071.25,5.57,0.4,167667.32,2.71
344019.53,5.57,0.4,167664.07,2.72
343541.64,5.56,0.39,167122.5,2.71
343489.91,5.56,0.39,167012.64,2.71
342923.21,5.56,0.38,166320.07,2.69
342871.49,5.56,0.38,166299.75,2.69
342819.76,5.56,0.38,166206.97,2.69
342703.06,5.55,0.38,165964.4,2.69
342651.33,5.55,0.38,165961.16,2.69
342599.61,5.55,0.38,165851.3,2.69
342547.88,5.55,0.38,165738.2,2.69
342684.71,5.56,0.39,165924.37,2.69
343174.25,5.57,0.39,165797.57,2.69
342675.45,5.56,0.39,165298.76,2.68
342297.29,5.55,0.38,164794.75,2.67
341730.59,5.55,0.37,164102.18,2.66
341678.86,5.55,0.37,164081.86,2.66
341627.14,5.55,0.37,163989.08,2.66
341248.98,5.54,0.37,163485.06,2.65
341717.61,5.55,0.38,163401.03,2.65
341665.89,5.55,0.38,163380.71,2.65
341187.99,5.54,0.37,162839.13,2.64
341136.27,5.54,0.37,162746.35,2.64
341084.55,5.54,0.37,162726.03,2.64
341032.82,5.54,0.37,162633.25,2.64
340981.1,5.54,0.37,162630.0,2.64
340929.37,5.54,0.37,162520.14,2.64
340877.65,5.54,0.37,162407.04,2.64
340877.65,5.54,0.37,162407.04,2.64
341014.48,5.54,0.37,162593.22,2.64
341483.1,5.55,0.38,162509.18,2.64
341120.66,5.55,0.38,162174.16,2.64
341491.38,5.55,0.38,162303.33,2.64
341439.65,5.55,0.38,162456.08,2.64
341387.93,5.55,0.38,162391.08,2.64
340910.04,5.55,0.38,161849.51,2.63
340858.31,5.55,0.38,161801.4,2.63
340495.87,5.54,0.37,161466.38,2.63
340964.5,5.55,0.38,161382.34,2.63
340912.77,5.55,0.38,161317.35,2.63
340434.88,5.54,0.37,160775.77,2.62
340140.75,5.54,0.37,160480.48,2.61
339820.75,5.53,0.36,160160.48,2.61
339957.58,5.54,0.36,160291.1,2.61
339905.85,5.54,0.36,160226.1,2.61
340268.6,5.54,0.37,160608.68,2.62
340758.14,5.55,0.38,160481.88,2.61
340393.67,5.55,0.37,160101.2,2.61
340862.3,5.56,0.38,160017.16,2.61
340810.57,5.56,0.38,160013.92,2.61
340810.57,5.56,0.38,160013.92,2.61
340121.77,5.55,0.37,159325.11,2.6
340070.04,5.55,0.37,159215.25,2.6
340018.32,5.55,0.37,159102.15,2.59
340080.43,5.55,0.37,159100.58,2.59
340217.25,5.55,0.38,159286.75,2.6
339839.1,5.54,0.37,158911.99,2.59
340307.72,5.55,0.38,158827.96,2.59
340319.83,5.55,0.38,158776.39,2.59
340788.46,5.56,0.39,158692.35,2.59
340736.74,5.56,0.39,158689.11,2.59
340258.84,5.55,0.38,158147.54,2.58
340258.84,5.55,0.38,158147.54,2.58
340629.56,5.56,0.39,158432.7,2.59
340062.86,5.55,0.38,157740.14,2.58
340011.13,5.55,0.38,157627.03,2.57
340373.29,5.56,0.39,158050.29,2.58
340321.56,5.56,0.39,158047.05,2.58
340269.84,5.56,0.39,157937.19,2.58
340153.13,5.56,0.39,157694.62,2.58
339586.43,5.55,0.38,157002.05,2.57
339292.55,5.55,0.37,156698.8,2.56
339078.51,5.54,0.37,156511.52,2.56
338511.8,5.53,0.36,155948.21,2.55
337945.1,5.53,0.35,155384.91,2.54
337893.37,5.53,0.35,155381.47,2.54
337841.65,5.53,0.35,155271.25,2.54
337804.95,5.53,0.35,155108.68,2.54
338294.49,5.53,0.36,154981.88,2.54
337795.68,5.53,0.35,154483.08,2.53
337417.53,5.52,0.35,153979.06,2.52
337689.93,5.53,0.35,154042.95,2.52
337638.21,5.53,0.35,154191.25,2.52
338438.94,5.54,0.37,154375.64,2.53
338387.22,5.54,0.37,154355.32,2.53
338335.5,5.54,0.37,154262.54,2.53
338335.5,5.54,0.37,154262.54,2.53
338298.79,5.54,0.37,154099.97,2.52
338298.79,5.54,0.37,155932.65,2.55
338435.62,5.54,0.37,156055.26,2.56
338383.89,5.54,0.37,155998.27,2.56
338534.57,5.55,0.37,155638.9,2.55
338904.63,5.55,0.38,155902.66,2.55
339373.25,5.56,0.39,155818.63,2.55
339321.53,5.56,0.39,155798.31,2.55
339269.81,5.56,0.39,155705.52,2.55
339218.08,5.56,0.39,155685.21,2.55
339166.36,5.56,0.39,155592.42,2.55
339261.33,5.56,0.39,155654.51,2.55
339102.55,5.56,0.39,155485.61,2.55
343801.25,5.64,0.47,161295.45,2.65
343323.36,5.63,0.46,160753.88,2.64
343323.36,5.63,0.46,160753.88,2.64
343271.63,5.63,0.46,160724.39,2.64
343271.63,5.63,0.46,160724.39,2.64
343219.91,5.63,0.46,160640.78,2.64
343168.18,5.63,0.46,160527.68,2.63
342974.05,5.63,0.46,160332.39,2.63
342922.33,5.63,0.46,160332.39,2.63
342922.33,5.63,0.46,160333.96,2.63
342870.6,5.63,0.46,160220.86,2.63
343007.43,5.63,0.46,160407.03,2.63
343476.06,5.64,0.47,160323.0,2.63
343424.33,5.64,0.47,160209.89,2.63
343206.44,5.64,0.46,159928.32,2.63
343154.72,5.64,0.46,159928.32,2.63
343644.26,5.65,0.47,159851.93,2.63
344184.06,5.66,0.48,159492.88,2.62
344554.77,5.66,0.49,159622.04,2.62
344192.33,5.66,0.48,159379.22,2.62
344140.61,5.66,0.48,159439.22,2.62
344322.15,5.66,0.49,159953.29,2.63
344270.43,5.66,0.49,159840.19,2.63
343856.63,5.66,0.49,159840.19,2.63
343696.03,5.66,0.49,159629.56,2.63
343644.3,5.66,0.49,159629.56,2.63
343592.58,5.66,0.49,159524.92,2.63
343592.58,5.66,0.49,159594.7,2.63
343673.77,5.66,0.49,159625.48,2.63
343622.05,5.66,0.49,159616.47,2.63
345809.73,5.7,0.52,162064.06,2.67
345758.0,5.7,0.52,161951.82,2.67
345706.28,5.7,0.52,161950.95,2.67
346174.9,5.7,0.53,161866.92,2.67
346123.18,5.7,0.53,161762.28,2.67
346071.46,5.7,0.53,161753.27,2.67
346019.73,5.71,0.53,161750.03,2.67
346131.84,5.71,0.53,161798.45,2.67
346080.12,5.71,0.53,161688.59,2.67
346028.39,5.71,0.53,161685.35,2.67
346028.39,5.71,0.53,161685.35,2.67
346391.14,5.71,0.54,162006.17,2.67
346527.96,5.72,0.54,162128.78,2.67
346476.24,5.72,0.54,162071.79,2.67
346626.92,5.72,0.55,161712.42,2.67
347427.65,5.73,0.56,161896.82,2.67
347427.65,5.73,0.56,161896.82,2.67
347375.93,5.73,0.56,161783.71,2.67
347215.99,5.73,0.56,161517.47,2.67
347215.99,5.73,0.56,161517.47,2.67
347057.44,5.73,0.56,161368.75,2.66
346692.96,5.72,0.55,160988.07,2.66
346641.24,5.72,0.55,160988.07,2.66
346778.07,5.73,0.56,161110.68,2.66
346726.34,5.73,0.56,161053.69,2.66
346567.79,5.73,0.55,160897.51,2.66
346938.51,5.73,0.56,161026.69,2.66
346886.79,5.73,0.56,161179.44,2.66
346524.34,5.73,0.55,160844.41,2.66
346976.01,5.73,0.56,160679.74,2.66
346735.08,5.73,0.56,160438.8,2.65
347105.8,5.74,0.57,160553.75,2.65
347054.07,5.74,0.57,160767.07,2.66
347190.9,5.74,0.57,160889.69,2.66
347139.17,5.74,0.57,160832.69,2.66
347087.45,5.74,0.57,160719.59,2.66
347035.73,5.74,0.57,160719.59,2.66
347487.39,5.75,0.58,160554.92,2.66
347025.01,5.74,0.57,160092.53,2.65
347161.84,5.75,0.57,160215.15,2.65
347110.11,5.75,0.57,160158.15,2.65
347246.94,5.75,0.58,160280.77,2.65
347195.21,5.75,0.58,160223.77,2.65
347143.49,5.75,0.58,160220.34,2.65
346929.45,5.75,0.57,159976.5,2.65
346877.72,5.75,0.57,159866.28,2.65
346826.0,5.75,0.57,159836.79,2.65
346774.27,5.75,0.57,159753.18,2.65
346911.1,5.75,0.58,159875.8,2.65
346859.38,5.75,0.58,159818.8,2.65
346807.65,5.75,0.58,159705.7,2.65
346755.93,5.75,0.58,159705.7,2.65
347224.55,5.76,0.59,159621.67,2.65
347172.83,5.76,0.59,159592.18,2.65
347274.94,5.76,0.59,159630.6,2.65
347223.21,5.76,0.59,159546.99,2.65
347223.21,5.76,0.59,159546.99,2.65
347171.49,5.76,0.59,159433.89,2.65
347119.77,5.76,0.59,159433.89,2.65
347068.04,5.76,0.59,159413.57,2.65
347204.87,5.76,0.59,159499.51,2.65
347153.14,5.76,0.59,159496.27,2.65
347606.52,5.77,0.6,159856.33,2.65
347554.79,5.77,0.6,159748.01,2.65
