ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
1,1,320,6212,320
2,5,1320,6212,1320
3,7,2320,6212,2320
4,11,3320,6212,3320
4,11,4320,6212,4320
5,12,5130,6212,5130
6,14,6130,6212,6130
6,14,7130,6212,7130
7,16,7600,6212,7600
8,17,8410,6212,8410
9,18,8780,6212,8780
10,20,9780,6212,9780
11,21,10250,6212,10250
12,22,11250,6212,11250
13,26,11250,6212,11250
14,28,12250,6212,12250
15,30,12720,6212,12720
15,30,12940,6212,12940
16,32,13940,6212,13940
16,32,14530,6212,14530
17,34,15530,6212,15530
18,36,16530,6212,16530
18,36,16850,6212,16850
18,36,17660,6212,17660
19,38,18660,6212,18660
19,38,19660,6212,19660
19,38,20470,6212,20470
20,39,21280,6212,21280
21,41,22280,6212,22280
21,41,22830,6212,22830
22,45,23830,6212,23830
23,47,24480,6212,24480
24,49,25480,6212,25480
25,51,26480,6212,26480
25,51,26800,6212,26800
26,53,28800,6212,28800
27,55,29450,6212,29450
28,57,30450,6212,30450
28,57,31260,6212,31260
29,59,32260,6212,32260
30,61,33260,6212,33260
31,63,34260,6212,34260
32,65,34730,6212,34730
32,65,35730,6212,35730
33,67,36730,6212,36730
33,67,37540,6212,37540
34,69,38540,6212,38540
34,69,39540,6212,39540
35,71,40540,6212,40540
35,71,41540,6212,41540
35,71,42090,6212,42090
36,73,43090,6212,43090
37,75,44090,6212,44090
38,77,45090,6212,45090
38,77,45900,6212,45900
39,79,46900,6212,46900
39,79,47710,6212,47710
39,79,48520,6212,48520
40,80,49520,6212,49520
41,82,50520,6212,50520
42,84,51520,6212,51520
42,84,52330,6212,52330
43,86,53330,6212,53330
44,88,54330,6212,54330
44,88,55140,6212,55140
45,90,56140,6212,56140
46,92,57140,6212,57140
46,92,58140,6212,58140
47,94,59140,6212,59140
48,96,60140,6212,60140
49,98,61140,6212,61140
49,98,61140,6212,61140
49,98,61950,6212,61950
49,98,62950,6212,62950
50,99,63420,6212,63420
51,101,63890,6212,63890
52,103,64890,6212,64890
53,105,65890,6212,65890
53,105,66700,6212,66700
54,106,67700,6212,67700
55,108,68170,6212,68170
56,110,69170,6212,69170
56,110,70170,6212,70170
56,110,70980,6212,70980
56,110,71300,6212,71300
56,110,71620,6212,71620
56,110,72430,6212,72430
57,112,73430,6212,73430
57,112,73910,6212,73910
58,114,74910,6212,74910
59,115,75380,6212,75380
60,117,76380,6212,76380
61,119,77380,6212,77380
61,119,77380,6212,77380
61,119,78380,6212,78380
62,121,79380,6212,79380
62,121,80380,6212,80380
62,121,80650,6212,80650
62,121,81460,6212,81460
62,121,82270,6212,82270
63,123,83270,6212,83270
63,123,83590,6212,83590
64,125,84590,6212,84590
65,127,85590,6212,85590
65,127,86400,6212,86400
66,131,86400,6212,86400
67,132,86870,6212,86870
67,132,87870,6212,87870
68,134,88870,6212,88870
68,134,89420,6212,89420
69,136,90420,6212,90420
70,138,91420,6212,91420
70,138,91970,6212,91970
71,139,92970,6212,92970
71,139,93300,6212,93300
72,140,93620,6212,93620
73,141,94620,6212,94620
74,142,95620,6212,95620
75,144,96620,6212,96620
76,146,97620,6212,97620
77,147,98090,6212,98090
78,149,99090,6212,99090
78,149,99900,6212,99900
78,149,100710,6212,100710
79,151,101360,6212,101360
80,155,102360,6212,102360
81,157,103360,6212,103360
82,159,104360,6212,104360
83,161,105360,6212,105360
83,161,105360,6212,105360
84,162,105830,6212,105830
84,162,105830,6212,105830
84,162,106640,6212,106640
85,164,107640,6212,107640
85,164,108450,6212,108450
86,166,108920,6212,108920
87,168,109920,6212,109920
88,170,110920,6212,110920
89,172,111920,6212,111920
90,174,112920,6212,112920
91,175,113920,6212,113920
91,175,113920,6212,113920
91,175,114080,6212,114080
92,179,114080,6212,114080
92,179,114890,6212,114890
92,179,114890,6212,114890
93,181,115890,6212,115890
94,183,115890,6212,115890
94,183,116890,6212,116890
95,185,117890,6212,117890
95,185,118110,6212,118110
95,185,119110,6212,119110
95,185,119110,6212,119110
96,187,120110,6212,120110
96,187,120920,6212,120920
97,189,121920,6212,121920
98,191,122920,6212,122920
98,191,123470,6212,123470
98,191,124470,6212,124470
98,191,125470,6212,125470
98,191,126020,6212,126020
99,193,126490,6212,126490
100,194,126960,6212,126960
101,196,127960,6212,127960
101,196,128420,6212,128420
102,198,129420,6212,129420
103,206,137420,6212,137420
103,206,137650,6212,137650
104,208,138650,6212,138650
105,210,139650,6212,139650
105,210,139650,6212,139650
105,210,139880,6212,139880
106,211,140880,6212,140880
107,215,140880,6212,140880
107,215,141880,6212,141880
108,217,142880,6212,142880
109,219,143880,6212,143880
110,223,144880,6212,144880
111,225,145880,6212,145880
112,227,146880,6212,146880
112,227,147100,6212,147100
113,229,148100,6212,148100
114,231,149100,6212,149100
115,235,149100,6212,149100
115,235,149580,6212,149580
115,235,150390,6212,150390
116,237,151390,6212,151390
116,237,152200,6212,152200
