ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_886d-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
345065.53,5.56,0.38,172246.78,2.77
345342.8,5.56,0.39,173309.12,2.79
345811.43,5.57,0.4,173225.09,2.79
346088.71,5.57,0.4,174287.44,2.81
345420.81,5.56,0.39,173555.86,2.8
345042.66,5.56,0.39,173051.84,2.79
344990.94,5.56,0.39,172986.29,2.79
344939.21,5.56,0.39,172938.19,2.79
345924.97,5.58,0.4,173380.28,2.79
345546.82,5.57,0.4,172876.26,2.79
345603.44,5.57,0.4,172807.02,2.79
346092.98,5.58,0.41,172730.62,2.78
346056.27,5.58,0.41,172568.06,2.78
345489.57,5.57,0.4,171875.49,2.77
349282.67,5.63,0.46,175148.11,2.82
349751.3,5.64,0.47,175064.08,2.82
350737.06,5.66,0.49,175506.17,2.83
350828.25,5.66,0.49,175546.95,2.83
351296.88,5.67,0.5,175462.92,2.83
350713.56,5.66,0.49,174879.6,2.82
351203.1,5.67,0.5,174752.8,2.82
351671.73,5.68,0.5,174668.77,2.82
351683.84,5.68,0.5,174617.19,2.82
351205.94,5.67,0.5,174075.62,2.81
352006.68,5.68,0.51,174260.01,2.81
351317.87,5.67,0.5,173571.2,2.8
350839.98,5.67,0.49,173029.62,2.79
350461.83,5.66,0.49,172525.61,2.79
350913.49,5.67,0.5,172360.93,2.78
350712.56,5.67,0.49,172160.0,2.78
350989.84,5.67,0.5,173222.34,2.8
351807.07,5.69,0.51,173450.3,2.8
352275.7,5.69,0.52,173366.26,2.8
353076.43,5.71,0.54,173550.65,2.81
352756.43,5.7,0.53,173230.65,2.8
352557.17,5.7,0.53,172415.05,2.79
353374.4,5.72,0.54,172643.0,2.79
353843.03,5.72,0.55,172558.97,2.79
353365.14,5.72,0.54,172017.39,2.78
353833.76,5.73,0.55,171933.36,2.78
353782.04,5.73,0.55,171867.81,2.78
354271.58,5.73,0.56,171791.42,2.78
355257.34,5.75,0.58,172233.51,2.79
355205.62,5.75,0.58,172185.4,2.79
355674.24,5.76,0.59,172101.37,2.79
355196.35,5.75,0.58,171559.8,2.78
355664.98,5.76,0.59,171475.76,2.78
354976.17,5.75,0.58,170736.55,2.77
355444.8,5.76,0.59,170652.51,2.77
354776.91,5.75,0.58,169920.94,2.75
354559.01,5.75,0.57,169639.36,2.75
355027.64,5.76,0.58,169555.33,2.75
355479.31,5.76,0.59,169390.66,2.75
356280.04,5.78,0.6,169575.05,2.75
355802.15,5.77,0.6,169033.47,2.74
356291.69,5.78,0.61,168906.67,2.74
355813.8,5.77,0.6,168365.09,2.73
355335.91,5.77,0.59,167823.52,2.72
354769.21,5.76,0.58,167130.95,2.71
355237.83,5.77,0.59,167046.92,2.71
355186.11,5.77,0.59,166981.37,2.71
354687.3,5.76,0.59,166482.56,2.7
355155.93,5.77,0.59,166398.53,2.7
355624.55,5.78,0.6,166314.5,2.7
355146.66,5.77,0.6,165772.92,2.69
355636.21,5.78,0.6,165646.12,2.69
356104.83,5.79,0.61,165562.09,2.69
355436.94,5.78,0.6,164830.51,2.68
355905.57,5.78,0.61,164746.48,2.68
356374.19,5.79,0.62,164662.45,2.68
357174.93,5.81,0.63,164846.84,2.68
357284.59,5.81,0.64,165113.63,2.68
356806.7,5.8,0.63,164572.05,2.68
356645.31,5.8,0.63,164257.16,2.67
356608.61,5.8,0.63,164094.59,2.67
357594.37,5.82,0.64,164536.68,2.68
358063.0,5.82,0.65,164452.65,2.68
358011.27,5.83,0.65,164387.1,2.67
357512.46,5.82,0.65,163888.29,2.67
356945.76,5.81,0.64,163195.72,2.66
357931.52,5.83,0.65,163637.82,2.66
358400.15,5.83,0.66,163553.78,2.66
358348.42,5.83,0.66,163505.68,2.66
357870.53,5.83,0.66,162964.1,2.65
357882.64,5.83,0.66,162912.53,2.65
357887.54,5.83,0.66,162853.74,2.65
357409.65,5.82,0.65,162312.17,2.64
357357.93,5.82,0.65,162246.62,2.64
357210.04,5.82,0.65,162035.04,2.64
357699.58,5.83,0.66,161908.24,2.64
357662.87,5.83,0.66,161745.67,2.64
358131.5,5.84,0.66,161661.64,2.63
358600.13,5.85,0.67,161577.61,2.63
358600.13,5.85,0.67,161577.61,2.63
357911.32,5.84,0.66,160888.8,2.62
358379.94,5.84,0.67,160804.77,2.62
358328.22,5.84,0.67,160756.66,2.62
358390.33,5.85,0.67,160755.09,2.62
357912.44,5.84,0.67,160213.51,2.61
357434.55,5.83,0.66,159671.94,2.6
357903.17,5.84,0.67,159587.9,2.6
357915.28,5.84,0.67,159536.33,2.6
