ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_043e-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_043e-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_043e-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_043e-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_043e-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
345065.53,5.56,0.38,172246.78,2.77
345013.8,5.56,0.38,172181.78,2.77
344962.08,5.56,0.38,172133.68,2.77
344910.36,5.56,0.38,172133.68,2.77
344343.65,5.55,0.37,171441.11,2.76
343965.5,5.54,0.37,170937.09,2.75
343913.77,5.54,0.37,170937.09,2.75
343862.05,5.54,0.37,171874.22,2.77
344232.77,5.55,0.38,171874.22,2.77
343854.61,5.54,0.37,171370.21,2.76
343590.95,5.54,0.37,171370.21,2.76
343539.23,5.54,0.37,171370.21,2.76
343502.52,5.54,0.37,171207.64,2.76
342935.82,5.53,0.36,170515.07,2.75
342935.82,5.53,0.36,170515.07,2.75
342884.09,5.53,0.36,170515.07,2.75
343254.81,5.54,0.36,170515.07,2.75
343132.77,5.54,0.36,170515.81,2.75
343081.05,5.54,0.36,170515.74,2.75
342895.61,5.53,0.36,170204.43,2.75
342843.88,5.53,0.36,170203.76,2.75
342792.16,5.53,0.36,170741.04,2.76
342500.9,5.53,0.36,170449.78,2.75
342122.74,5.52,0.35,169945.77,2.74
342071.02,5.52,0.35,169846.14,2.74
341504.31,5.51,0.34,169153.57,2.73
341126.16,5.51,0.34,168649.55,2.72
340748.01,5.5,0.33,168145.53,2.72
340696.28,5.5,0.33,167693.83,2.71
340579.58,5.5,0.33,167451.26,2.71
340527.85,5.5,0.33,167386.26,2.7
340800.26,5.51,0.34,167663.45,2.71
340748.54,5.51,0.34,167663.45,2.71
340696.81,5.51,0.34,167663.45,2.71
340402.68,5.5,0.33,167368.16,2.71
340203.42,5.5,0.33,166552.55,2.69
340475.82,5.51,0.33,166579.76,2.69
340424.1,5.51,0.33,166578.61,2.69
340045.94,5.5,0.33,166074.59,2.69
339994.22,5.5,0.33,166079.2,2.69
339942.5,5.5,0.33,166079.2,2.69
339890.77,5.5,0.33,166079.2,2.69
340285.23,5.51,0.34,166122.61,2.69
340233.51,5.51,0.34,166305.13,2.69
340181.78,5.51,0.34,166317.93,2.69
339803.63,5.5,0.33,165943.18,2.69
339751.91,5.5,0.33,165939.94,2.69
339185.2,5.5,0.32,165247.37,2.68
339133.48,5.5,0.32,165137.51,2.68
338566.77,5.49,0.31,164444.94,2.67
338450.07,5.49,0.31,164202.37,2.66
338398.34,5.49,0.31,164202.37,2.66
338346.62,5.49,0.31,164058.29,2.66
338294.9,5.49,0.31,164058.29,2.66
337916.74,5.48,0.31,163683.54,2.65
337865.02,5.48,0.31,163706.99,2.66
337486.86,5.47,0.3,163332.23,2.65
337108.71,5.47,0.3,162828.21,2.64
336542.0,5.46,0.29,162135.64,2.63
336490.28,5.46,0.29,162133.96,2.63
336438.56,5.46,0.29,162170.32,2.63
336060.4,5.46,0.28,161666.3,2.62
336008.68,5.46,0.28,161666.3,2.63
335956.95,5.46,0.28,161666.3,2.63
335679.99,5.45,0.28,161194.57,2.62
335628.26,5.45,0.28,161194.57,2.62
335576.54,5.45,0.28,161244.69,2.62
334910.1,5.44,0.27,160635.63,2.61
334858.37,5.44,0.27,160645.96,2.61
334806.65,5.44,0.27,160643.5,2.61
334754.92,5.44,0.27,160643.5,2.61
334754.92,5.44,0.27,160643.5,2.61
334477.96,5.44,0.27,160171.76,2.6
334426.23,5.44,0.27,160171.76,2.6
334259.38,5.44,0.26,161610.38,2.63
334630.1,5.44,0.27,161637.12,2.63
334578.37,5.44,0.27,161644.65,2.63
334526.65,5.44,0.27,161704.07,2.63
334050.21,5.44,0.26,161285.01,2.62
333998.49,5.44,0.26,161176.68,2.62
