ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,8,0,6212,0
2,10,810,6212,810
3,12,1810,6212,1810
4,20,2810,6212,2810
5,22,3810,6212,3810
6,26,4620,6212,4620
7,34,5090,6212,5090
8,36,5740,6212,5740
9,44,6550,6212,6550
10,46,6780,6212,6780
11,54,7590,6212,7590
12,56,8590,6212,8590
13,58,9060,6212,9060
14,66,9520,6212,9520
15,74,9520,6212,9520
16,76,10520,6212,10520
17,78,10980,6212,10980
18,86,11440,6212,11440
19,88,12440,6212,12440
20,90,13440,6212,13440
21,92,13440,6212,13440
22,100,13910,6212,13910
23,102,13910,6212,13910
24,110,14720,6212,14720
25,118,14880,6212,14880
26,126,14880,6212,14880
27,128,15880,6212,15880
28,136,16880,6212,16880
29,138,17690,6212,17690
30,140,18690,6212,18690
31,148,18800,6212,18800
32,156,19800,6212,19800
33,164,19800,6212,19800
34,172,20270,6212,20270
35,176,21270,6212,21270
36,184,22270,6212,22270
37,186,23270,6212,23270
38,188,24270,6212,24270
39,190,25270,6212,25270
40,192,25740,6212,25740
41,194,25740,6212,25740
42,196,26740,6212,26740
43,204,26740,6212,26740
44,206,27740,6212,27740
45,214,28060,6212,28060
46,222,29060,6212,29060
47,224,29060,6212,29060
48,232,29380,6212,29380
49,240,30380,6212,30380
49,240,31190,6212,31190
50,242,31190,6212,31190
51,250,31560,6212,31560
52,258,32560,6212,32560
53,266,33560,6212,33560
54,267,34560,6212,34560
55,269,34880,6212,34880
55,269,35880,6212,35880
56,271,36880,6212,36880
57,273,37880,6212,37880
58,275,38690,6212,38690
59,283,39690,6212,39690
60,291,40690,6212,40690
61,299,41010,6212,41010
62,307,42010,6212,42010
63,309,43010,6212,43010
64,317,44010,6212,44010
64,317,45010,6212,45010
65,325,45010,6212,45010
66,333,46010,6212,46010
67,335,47010,6212,47010
68,343,47480,6212,47480
69,345,48290,6212,48290
70,353,49290,6212,49290
71,361,50290,6212,50290
72,369,51100,6212,51100
73,371,51100,6212,51100
74,375,52100,6212,52100
75,377,53100,6212,53100
76,385,53910,6212,53910
77,393,57910,6212,57910
78,395,57910,6212,57910
