ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
866232.55,13.94,0.35,181382.31,2.92
866285.25,13.95,0.35,181493.39,2.92
866149.28,13.95,0.35,181529.11,2.92
866013.3,13.95,0.35,181528.79,2.92
865877.32,13.95,0.35,181518.9,2.92
865930.02,13.95,0.35,181518.9,2.92
866226.04,13.96,0.36,181518.58,2.92
866416.5,13.96,0.36,181586.22,2.93
866469.2,13.96,0.37,181586.22,2.93
866935.39,13.97,0.37,181284.06,2.92
866988.09,13.97,0.38,181284.13,2.92
866852.11,13.97,0.38,181274.23,2.92
867148.13,13.98,0.38,181384.41,2.92
867452.3,13.99,0.39,181384.1,2.92
867452.3,13.99,0.39,181383.79,2.92
867316.33,13.99,0.39,181304.48,2.92
867620.5,13.99,0.39,181292.01,2.92
867924.67,14.0,0.4,181291.7,2.92
867788.69,14.0,0.4,181276.16,2.92
867652.72,14.0,0.4,181266.26,2.92
867652.72,14.0,0.4,181186.95,2.92
867948.74,14.0,0.41,181186.64,2.92
867948.74,14.0,0.41,181107.33,2.92
868001.44,14.01,0.41,181107.39,2.92
868392.0,14.01,0.42,181107.08,2.92
868392.0,14.01,0.42,181106.77,2.92
868256.02,14.01,0.42,181096.87,2.92
868120.05,14.01,0.42,181096.57,2.92
868185.37,14.02,0.42,180673.3,2.92
868049.39,14.02,0.42,180646.01,2.92
868471.3,14.02,0.43,180646.52,2.92
868335.32,14.02,0.43,180646.22,2.92
868335.32,14.02,0.43,180645.9,2.92
868631.34,14.03,0.43,180645.59,2.92
868495.36,14.03,0.43,180617.07,2.92
868359.39,14.03,0.43,180617.23,2.92
868223.41,14.03,0.43,180607.33,2.92
868087.43,14.03,0.43,180597.44,2.92
868425.57,14.04,0.44,180405.2,2.92
868721.59,14.04,0.45,180515.39,2.92
868721.59,14.04,0.45,180436.07,2.92
868585.62,14.04,0.45,180356.76,2.92
868585.62,14.04,0.45,180356.45,2.92
868449.64,14.04,0.45,180333.76,2.92
868834.3,14.05,0.45,180333.45,2.92
868698.32,14.05,0.45,180273.75,2.92
868698.32,14.05,0.45,180191.0,2.91
869082.98,14.06,0.46,180190.69,2.91
868947.01,14.06,0.46,180190.37,2.91
868999.71,14.06,0.46,180190.37,2.92
868999.71,14.06,0.46,180111.06,2.91
869365.31,14.07,0.47,180110.75,2.91
869229.34,14.07,0.47,180110.91,2.91
869093.36,14.07,0.47,180110.91,2.92
868488.16,14.06,0.46,179390.63,2.9
868872.82,14.07,0.47,179492.3,2.91
868736.84,14.07,0.47,179492.3,2.91
868600.86,14.07,0.47,179412.99,2.91
868477.5,14.07,0.47,178707.18,2.89
868530.21,14.07,0.47,178818.26,2.9
868394.23,14.07,0.47,178817.95,2.9
868258.25,14.07,0.47,178817.64,2.9
868642.91,14.08,0.48,178817.33,2.9
868506.94,14.08,0.48,178817.02,2.9
868370.96,14.08,0.48,178807.12,2.9
868234.98,14.08,0.48,178806.81,2.9
868099.0,14.08,0.48,178806.81,2.9
868099.0,14.08,0.48,178812.04,2.9
867963.03,14.08,0.48,178811.73,2.9
867827.05,14.08,0.48,178817.95,2.9
868123.07,14.08,0.48,178817.64,2.9
868175.77,14.09,0.49,178923.35,2.9
868039.79,14.09,0.49,178923.04,2.9
867903.82,14.09,0.49,178927.9,2.9
