ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,2,1000,6212,1000
2,4,2000,6212,2000
3,12,2470,6212,2470
4,13,3280,6212,3280
5,15,3280,6212,3280
6,17,3750,6212,3750
7,25,5750,6212,5750
8,33,6560,6212,6560
9,41,7560,6212,7560
10,49,8560,6212,8560
11,57,8560,6212,8560
12,59,9560,6212,9560
13,67,9560,6212,9560
14,75,10560,6212,10560
15,83,11560,6212,11560
16,91,11560,6212,11560
17,93,12560,6212,12560
18,97,12560,6212,12560
19,99,13370,6212,13370
20,101,14370,6212,14370
21,103,14960,6212,14960
22,104,15770,6212,15770
23,108,16770,6212,16770
24,116,17090,6212,17090
25,124,17550,6212,17550
26,132,18020,6212,18020
27,134,18020,6212,18020
28,142,19020,6212,19020
29,144,19340,6212,19340
30,148,19990,6212,19990
31,150,19990,6212,19990
32,152,20990,6212,20990
33,160,21990,6212,21990
34,162,22990,6212,22990
35,164,22990,6212,22990
36,172,23990,6212,23990
37,180,24150,6212,24150
38,188,25150,6212,25150
39,190,26150,6212,26150
40,198,27150,6212,27150
41,206,27620,6212,27620
42,208,28430,6212,28430
42,208,28900,6212,28900
43,216,29900,6212,29900
44,218,30370,6212,30370
45,226,31180,6212,31180
46,228,32180,6212,32180
47,236,32180,6212,32180
48,244,32180,6212,32180
49,252,33180,6212,33180
50,260,34180,6212,34180
51,262,34990,6212,34990
52,270,35800,6212,35800
53,278,36260,6212,36260
54,286,37260,6212,37260
55,288,38070,6212,38070
55,288,39070,6212,39070
55,288,39720,6212,39720
56,290,40190,6212,40190
57,292,40510,6212,40510
58,300,41320,6212,41320
59,302,41320,6212,41320
60,310,41320,6212,41320
61,318,42320,6212,42320
62,326,43320,6212,43320
63,334,44320,6212,44320
64,342,45130,6212,45130
65,350,45450,6212,45450
66,358,46260,6212,46260
67,366,47260,6212,47260
67,366,47260,6212,47260
68,368,48070,6212,48070
69,370,49070,6212,49070
70,372,50070,6212,50070
71,374,51070,6212,51070
72,382,52070,6212,52070
73,390,52540,6212,52540
74,392,53350,6212,53350
75,400,54350,6212,54350
76,408,54350,6212,54350
77,410,55350,6212,55350
78,418,55820,6212,55820
79,422,56820,6212,56820
79,422,57820,6212,57820
80,430,58820,6212,58820
81,432,59820,6212,59820
82,440,60630,6212,60630
83,444,61440,6212,61440
84,452,62090,6212,62090
85,454,62560,6212,62560
85,454,62560,6212,62560
86,462,63560,6212,63560
87,470,64560,6212,64560
88,478,65560,6212,65560
89,480,66560,6212,66560
90,488,67030,6212,67030
91,490,68030,6212,68030
92,492,69030,6212,69030
93,500,70030,6212,70030
94,508,71030,6212,71030
95,510,71490,6212,71490
95,510,72490,6212,72490
96,518,73490,6212,73490
97,519,74490,6212,74490
98,527,74960,6212,74960
99,529,75960,6212,75960
100,537,76440,6212,76440
101,539,77090,6212,77090
102,541,77740,6212,77740
103,549,78740,6212,78740
104,551,79210,6212,79210
105,553,79680,6212,79680
106,561,80680,6212,80680
106,561,81140,6212,81140
107,569,82140,6212,82140
108,577,83140,6212,83140
109,579,83610,6212,83610
110,587,83930,6212,83930
111,589,84930,6212,84930
112,597,85930,6212,85930
112,597,86930,6212,86930
113,599,87930,6212,87930
114,601,88400,6212,88400
115,609,88720,6212,88720
116,617,89720,6212,89720
117,625,90720,6212,90720
118,627,91530,6212,91530
119,635,92530,6212,92530
120,637,92530,6212,92530
121,639,93530,6212,93530
122,647,94340,6212,94340
123,655,95340,6212,95340
124,657,95340,6212,95340
124,657,95340,6212,95340
125,661,95450,6212,95450
126,663,96450,6212,96450
127,665,96450,6212,96450
128,673,97260,6212,97260
129,675,98260,6212,98260
130,683,99260,6212,99260
131,685,99730,6212,99730
132,693,100730,6212,100730
132,693,101100,6212,101100
133,701,101100,6212,101100
134,709,102100,6212,102100
135,717,102470,6212,102470
136,725,103280,6212,103280
137,733,104280,6212,104280
138,741,105280,6212,105280
138,741,106280,6212,106280
139,743,107090,6212,107090
140,745,107310,6212,107310
141,753,108310,6212,108310
142,761,109310,6212,109310
143,763,110120,6212,110120
144,771,110930,6212,110930
144,771,111930,6212,111930
145,779,112250,6212,112250
146,781,113060,6212,113060
147,785,117060,6212,117060
148,787,118060,6212,118060
149,789,119060,6212,119060
150,791,120060,6212,120060
151,799,128060,6212,128060
151,799,129060,6212,129060
152,807,129870,6212,129870
153,809,130460,6212,130460
154,817,131270,6212,131270
155,818,131820,6212,131820
156,826,132820,6212,132820
157,828,133050,6212,133050
157,828,133510,6212,133510
158,836,134320,6212,134320
159,844,135320,6212,135320
160,852,136130,6212,136130
161,860,137130,6212,137130
162,868,137940,6212,137940
163,870,138750,6212,138750
164,878,139750,6212,139750
165,886,140750,6212,140750
166,894,141220,6212,141220
167,902,142030,6212,142030
168,904,143030,6212,143030
169,906,143350,6212,143350
170,908,143670,6212,143670
171,910,144670,6212,144670
172,914,145670,6212,145670
173,922,146670,6212,146670
174,924,147140,6212,147140
175,926,147140,6212,147140
176,934,147140,6212,147140
177,936,148140,6212,148140
178,944,148950,6212,148950
179,946,149950,6212,149950
180,948,150950,6212,150950
180,948,151950,6212,151950
181,950,151950,6212,151950
182,958,152950,6212,152950
183,960,153500,6212,153500
183,960,153970,6212,153970
184,962,154970,6212,154970
185,970,155970,6212,155970
