ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
866096.57,13.94,0.35,181372.72,2.92
866434.72,13.95,0.35,181192.58,2.92
866730.74,13.96,0.36,181192.27,2.92
866314.21,13.95,0.36,180660.67,2.91
866314.21,13.95,0.36,180705.55,2.91
866610.23,13.96,0.36,180815.73,2.91
866338.28,13.96,0.36,180817.21,2.91
866390.98,13.96,0.36,180817.21,2.91
866255.0,13.96,0.36,180817.37,2.91
866119.03,13.96,0.36,180817.06,2.91
866119.03,13.96,0.36,180822.29,2.91
866457.17,13.97,0.37,180630.05,2.91
866457.17,13.97,0.37,180574.49,2.91
866321.19,13.97,0.37,180574.18,2.91
866185.21,13.97,0.37,180573.87,2.91
866185.21,13.97,0.37,180573.56,2.91
866049.24,13.97,0.37,180579.79,2.91
869505.33,14.03,0.43,183604.3,2.96
869558.03,14.03,0.43,183715.38,2.96
869896.17,14.04,0.44,183535.24,2.96
870152.82,14.04,0.44,182832.25,2.95
869736.3,14.04,0.44,182300.65,2.94
869632.77,14.04,0.44,182317.36,2.94
870017.43,14.04,0.45,182317.05,2.94
870321.6,14.05,0.45,182317.05,2.94
870617.63,14.06,0.46,182317.05,2.94
870617.63,14.06,0.46,182240.06,2.94
870481.65,14.06,0.46,182239.75,2.94
870866.31,14.06,0.47,182524.44,2.95
871056.76,14.07,0.47,182524.44,2.95
871056.76,14.07,0.47,182445.13,2.95
870920.78,14.07,0.47,182451.36,2.95
870784.81,14.07,0.47,182451.52,2.95
870648.83,14.07,0.47,182372.21,2.95
870648.83,14.07,0.47,182292.9,2.95
870512.85,14.07,0.47,182292.59,2.95
870903.42,14.07,0.48,182293.38,2.95
870767.44,14.07,0.48,182293.07,2.95
870631.46,14.07,0.48,182299.29,2.95
870495.48,14.07,0.48,182298.98,2.95
870791.51,14.08,0.48,182298.67,2.95
870844.21,14.08,0.49,182409.75,2.95
871307.62,14.09,0.49,181954.11,2.94
871171.65,14.09,0.49,181953.8,2.94
871467.67,14.1,0.5,182063.99,2.95
871520.37,14.1,0.5,182064.05,2.95
871384.39,14.1,0.5,182070.28,2.95
871384.39,14.1,0.5,182069.99,2.95
871384.39,14.1,0.5,182069.68,2.95
871248.41,14.1,0.5,182069.37,2.95
871112.44,14.1,0.5,182069.06,2.95
871165.14,14.1,0.51,182180.14,2.95
871217.84,14.11,0.51,182179.83,2.95
871522.01,14.11,0.51,182179.52,2.95
871386.04,14.11,0.51,182179.52,2.95
871438.74,14.11,0.52,182290.6,2.95
871302.76,14.11,0.52,182221.18,2.95
871493.21,14.12,0.52,182414.48,2.96
871789.23,14.13,0.53,182524.67,2.96
872174.54,14.13,0.53,182540.63,2.96
872227.24,14.14,0.54,182540.69,2.96
873457.99,14.15,0.56,183416.09,2.97
873457.99,14.15,0.56,183415.8,2.97
873322.01,14.16,0.56,183415.49,2.97
873186.03,14.16,0.56,183415.18,2.97
873050.06,14.16,0.56,183414.87,2.97
873102.76,14.16,0.56,183414.93,2.97
873487.42,14.16,0.57,183414.62,2.97
873540.12,14.17,0.57,183414.68,2.97
873404.14,14.17,0.57,183414.37,2.98
873404.14,14.17,0.57,183414.37,2.98
873456.85,14.17,0.57,183525.45,2.98
873320.87,14.17,0.57,183446.14,2.98
873184.89,14.17,0.57,183366.83,2.98
873523.03,14.18,0.58,183174.59,2.97
873387.05,14.18,0.58,183174.28,2.97
873683.07,14.18,0.59,183173.97,2.97
873748.4,14.19,0.59,182750.71,2.97
873612.42,14.19,0.59,182750.93,2.97
873612.42,14.19,0.59,182750.62,2.97
873476.44,14.19,0.59,182740.73,2.97
873772.46,14.19,0.6,182740.41,2.97
873668.93,14.19,0.6,182254.74,2.96
874295.14,14.21,0.61,183248.18,2.98
874159.16,14.21,0.61,183248.34,2.98
874023.18,14.21,0.61,183254.57,2.98
874075.88,14.21,0.61,183254.63,2.98
874128.58,14.21,0.61,182721.45,2.97
874319.04,14.22,0.62,182721.14,2.97
874615.06,14.22,0.62,182831.33,2.97
874615.06,14.22,0.62,182831.33,2.97
874479.08,14.22,0.63,182831.49,2.97
874343.1,14.22,0.63,182831.65,2.97
874207.12,14.22,0.63,182831.34,2.97
874071.15,14.22,0.63,182837.56,2.98
874367.17,14.23,0.63,182837.25,2.98
874231.19,14.23,0.63,182827.35,2.98
874095.21,14.23,0.63,182833.58,2.98
873959.24,14.23,0.63,182833.27,2.98
873823.26,14.23,0.63,182832.96,2.98
874127.43,14.24,0.64,182820.49,2.98
873991.45,14.24,0.64,182820.49,2.98
873855.48,14.24,0.64,182820.18,2.98
873250.27,14.23,0.63,182099.9,2.97
873546.3,14.23,0.64,182099.59,2.97
873410.32,14.23,0.64,182020.28,2.97
873698.19,14.24,0.64,182020.75,2.97
873888.64,14.24,0.65,182088.38,2.97
