ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
1,1,1000,6212,1000
2,2,2000,6212,2000
3,3,2470,6212,2470
4,4,3280,6212,3280
5,12,3280,6212,3280
5,12,3750,6212,3750
6,14,5750,6212,5750
7,15,6560,6212,6560
8,17,7560,6212,7560
9,19,8560,6212,8560
9,19,8560,6212,8560
9,19,9560,6212,9560
9,19,9560,6212,9560
9,19,10560,6212,10560
10,21,11560,6212,11560
10,21,11560,6212,11560
10,21,12560,6212,12560
11,29,12560,6212,12560
12,30,13370,6212,13370
13,32,14370,6212,14370
14,33,14960,6212,14960
15,34,15770,6212,15770
15,34,16770,6212,16770
16,35,17090,6212,17090
17,36,17550,6212,17550
18,38,18020,6212,18020
18,38,18020,6212,18020
19,40,19020,6212,19020
19,40,19340,6212,19340
19,40,19990,6212,19990
19,40,19990,6212,19990
19,40,20990,6212,20990
20,42,21990,6212,21990
21,44,22990,6212,22990
21,44,22990,6212,22990
22,46,23990,6212,23990
22,46,24150,6212,24150
22,46,25150,6212,25150
23,48,26150,6212,26150
23,48,27150,6212,27150
23,48,27620,6212,27620
24,49,28430,6212,28430
25,50,28900,6212,28900
25,50,29900,6212,29900
26,51,30370,6212,30370
27,52,31180,6212,31180
28,54,32180,6212,32180
28,54,32180,6212,32180
29,62,32180,6212,32180
29,62,33180,6212,33180
30,64,34180,6212,34180
31,65,34990,6212,34990
32,66,35800,6212,35800
33,67,36260,6212,36260
33,67,37260,6212,37260
34,68,38070,6212,38070
35,69,39070,6212,39070
36,71,39720,6212,39720
36,71,40190,6212,40190
36,71,40510,6212,40510
37,72,41320,6212,41320
37,72,41320,6212,41320
37,72,41320,6212,41320
38,73,42320,6212,42320
38,73,43320,6212,43320
39,75,44320,6212,44320
40,76,45130,6212,45130
40,76,45450,6212,45450
41,77,46260,6212,46260
41,77,47260,6212,47260
41,77,47260,6212,47260
42,78,48070,6212,48070
43,80,49070,6212,49070
44,82,50070,6212,50070
44,82,51070,6212,51070
45,84,52070,6212,52070
45,84,52540,6212,52540
46,86,53350,6212,53350
46,86,54350,6212,54350
46,86,54350,6212,54350
47,88,55350,6212,55350
47,88,55820,6212,55820
48,90,56820,6212,56820
48,90,57820,6212,57820
49,92,58820,6212,58820
49,92,59820,6212,59820
50,94,60630,6212,60630
50,94,61440,6212,61440
51,96,62090,6212,62090
51,96,62560,6212,62560
51,96,62560,6212,62560
52,98,63560,6212,63560
52,98,64560,6212,64560
53,100,65560,6212,65560
53,100,66560,6212,66560
53,100,67030,6212,67030
53,100,68030,6212,68030
54,102,69030,6212,69030
54,102,70030,6212,70030
55,104,71030,6212,71030
56,106,71490,6212,71490
57,108,72490,6212,72490
57,108,73490,6212,73490
58,110,74490,6212,74490
58,110,74960,6212,74960
59,112,75960,6212,75960
59,112,76440,6212,76440
60,114,77090,6212,77090
61,116,77740,6212,77740
61,116,78740,6212,78740
61,116,79210,6212,79210
62,118,79680,6212,79680
62,118,80680,6212,80680
62,118,81140,6212,81140
63,120,82140,6212,82140
63,120,83140,6212,83140
63,120,83610,6212,83610
63,120,83930,6212,83930
64,122,84930,6212,84930
64,122,85930,6212,85930
65,124,86930,6212,86930
65,124,87930,6212,87930
65,124,88400,6212,88400
65,124,88720,6212,88720
66,126,89720,6212,89720
67,128,90720,6212,90720
67,128,91530,6212,91530
67,128,92530,6212,92530
67,128,92530,6212,92530
68,130,93530,6212,93530
69,132,94340,6212,94340
70,134,95340,6212,95340
70,134,95340,6212,95340
70,134,95340,6212,95340
70,134,95450,6212,95450
70,134,96450,6212,96450
70,134,96450,6212,96450
70,134,97260,6212,97260
71,136,98260,6212,98260
72,138,99260,6212,99260
73,140,99730,6212,99730
73,140,100730,6212,100730
73,140,101100,6212,101100
73,140,101100,6212,101100
74,142,102100,6212,102100
74,142,102470,6212,102470
75,144,103280,6212,103280
76,146,104280,6212,104280
76,146,105280,6212,105280
77,148,106280,6212,106280
77,148,107090,6212,107090
77,148,107310,6212,107310
77,148,108310,6212,108310
77,148,109310,6212,109310
78,150,110120,6212,110120
78,150,110930,6212,110930
79,152,111930,6212,111930
79,152,112250,6212,112250
80,154,113060,6212,113060
81,158,117060,6212,117060
82,160,118060,6212,118060
82,160,119060,6212,119060
83,162,120060,6212,120060
84,170,128060,6212,128060
85,172,129060,6212,129060
85,172,129870,6212,129870
86,174,130460,6212,130460
86,174,131270,6212,131270
87,176,131820,6212,131820
87,176,132820,6212,132820
87,176,133050,6212,133050
87,176,133510,6212,133510
88,178,134320,6212,134320
89,180,135320,6212,135320
89,180,136130,6212,136130
89,180,137130,6212,137130
90,182,137940,6212,137940
90,182,138750,6212,138750
91,184,139750,6212,139750
91,184,140750,6212,140750
91,184,141220,6212,141220
92,186,142030,6212,142030
92,186,143030,6212,143030
92,186,143350,6212,143350
92,186,143670,6212,143670
93,188,144670,6212,144670
94,190,145670,6212,145670
94,190,146670,6212,146670
94,190,147140,6212,147140
94,190,147140,6212,147140
95,198,147140,6212,147140
96,200,148140,6212,148140
97,202,148950,6212,148950
97,202,149950,6212,149950
98,204,150950,6212,150950
98,204,151950,6212,151950
98,204,151950,6212,151950
99,206,152950,6212,152950
99,206,153500,6212,153500
100,208,153970,6212,153970
100,208,154970,6212,154970
100,208,155970,6212,155970
101,210,156970,6212,156970
101,210,157780,6212,157780
101,210,158780,6212,158780
102,212,159780,6212,159780
103,214,160430,6212,160430
103,214,161430,6212,161430
104,216,162430,6212,162430
104,216,162900,6212,162900
104,216,163900,6212,163900
104,216,164270,6212,164270
104,216,164270,6212,164270
105,218,165270,6212,165270
106,220,166080,6212,166080
106,220,167080,6212,167080
107,222,168080,6212,168080
107,222,168310,6212,168310
107,222,169310,6212,169310
108,224,170310,6212,170310
108,224,171310,6212,171310
108,224,171310,6212,171310
109,226,172310,6212,172310
109,226,172860,6212,172860
109,226,173860,6212,173860
109,226,174020,6212,174020
109,226,174340,6212,174340
110,228,175150,6212,175150
111,230,176150,6212,176150
111,230,176960,6212,176960
112,234,180960,6212,180960
112,234,181960,6212,181960
113,236,182960,6212,182960
113,236,182960,6212,182960
113,236,182960,6212,182960
113,236,183960,6212,183960
113,236,184430,6212,184430
114,238,185240,6212,185240
114,238,185240,6212,185240
115,240,186240,6212,186240
115,240,187240,6212,187240
115,240,187710,6212,187710
116,242,188710,6212,188710
117,244,189520,6212,189520
118,246,190520,6212,190520
119,254,190520,6212,190520
119,254,190840,6212,190840
119,254,191650,6212,191650
119,254,191650,6212,191650
119,254,192650,6212,192650
119,254,193650,6212,193650
120,256,194650,6212,194650
121,258,195460,6212,195460
121,258,196110,6212,196110
121,258,197110,6212,197110
122,260,198110,6212,198110
122,260,206110,6212,206110
122,260,206430,6212,206430
122,260,207430,6212,207430
122,260,207750,6212,207750
123,262,208750,6212,208750
124,264,209070,6212,209070
124,264,209880,6212,209880
125,272,209880,6212,209880
126,274,210880,6212,210880
126,274,211350,6212,211350
127,276,212160,6212,212160
128,278,213160,6212,213160
128,278,214160,6212,214160
128,278,214160,6212,214160
129,280,215160,6212,215160
129,280,216160,6212,216160
130,282,217160,6212,217160
130,282,217630,6212,217630
130,282,218630,6212,218630
130,282,219630,6212,219630
130,282,219850,6212,219850
130,282,220850,6212,220850
131,284,221500,6212,221500
132,286,222500,6212,222500
132,286,222970,6212,222970
133,288,223780,6212,223780
134,290,224780,6212,224780
134,290,225100,6212,225100
134,290,226100,6212,226100
135,292,227100,6212,227100
135,292,228100,6212,228100
135,292,228570,6212,228570
136,294,229570,6212,229570
136,294,230570,6212,230570
136,294,230570,6212,230570
136,294,231380,6212,231380
136,294,231380,6212,231380
137,296,232380,6212,232380
137,296,232380,6212,232380
137,296,232380,6212,232380
138,298,233190,6212,233190
138,298,234190,6212,234190
138,298,235190,6212,235190
139,300,236190,6212,236190
140,308,236190,6212,236190
141,310,237190,6212,237190
141,310,237190,6212,237190
141,310,237650,6212,237650
141,310,237700,6212,237700
142,312,238700,6212,238700
142,312,238700,6212,238700
142,312,238700,6212,238700
142,312,239700,6212,239700
142,312,240700,6212,240700
143,314,241700,6212,241700
143,314,242700,6212,242700
144,316,243510,6212,243510
144,316,243670,6212,243670
144,316,244480,6212,244480
144,316,244950,6212,244950
145,318,245950,6212,245950
146,320,246320,6212,246320
146,320,246790,6212,246790
146,320,247160,6212,247160
146,320,247630,6212,247630
146,320,248630,6212,248630
147,322,249630,6212,249630
147,322,250630,6212,250630
147,322,250630,6212,250630
148,324,251280,6212,251280
149,326,252280,6212,252280
149,326,253090,6212,253090
149,326,254090,6212,254090
150,328,254460,6212,254460
151,330,255460,6212,255460
151,330,256270,6212,256270
152,332,257080,6212,257080
152,332,258080,6212,258080
152,332,258400,6212,258400
153,334,259400,6212,259400
153,334,260400,6212,260400
154,336,261400,6212,261400
155,338,262400,6212,262400
155,338,263400,6212,263400
155,338,264400,6212,264400
155,338,265400,6212,265400
155,338,265630,6212,265630
156,340,266630,6212,266630
156,340,267630,6212,267630
156,340,268100,6212,268100
157,342,268750,6212,268750
158,344,269750,6212,269750
158,344,270560,6212,270560
158,344,271560,6212,271560
159,346,272560,6212,272560
159,346,273560,6212,273560
160,348,274560,6212,274560
160,348,275030,6212,275030
161,350,275490,6212,275490
161,350,276490,6212,276490
162,352,277490,6212,277490
162,352,278490,6212,278490
162,352,278960,6212,278960
162,352,279190,6212,279190
163,354,280190,6212,280190
163,354,281000,6212,281000
163,354,282000,6212,282000
164,356,283000,6212,283000
164,356,284000,6212,284000
165,358,285000,6212,285000
165,358,286000,6212,286000
166,360,287000,6212,287000
167,362,287590,6212,287590
167,362,288400,6212,288400
168,364,289210,6212,289210
168,364,290210,6212,290210
169,366,291210,6212,291210
169,366,292210,6212,292210
169,366,293020,6212,293020
170,368,294020,6212,294020
170,368,295020,6212,295020
171,370,296020,6212,296020
171,370,296020,6212,296020
171,370,297020,6212,297020
172,372,299020,6212,299020
172,372,299020,6212,299020
173,374,299830,6212,299830
174,376,300830,6212,300830
175,378,301830,6212,301830
175,378,301830,6212,301830
175,378,302300,6212,302300
176,380,302890,6212,302890
176,380,302890,6212,302890
176,380,303210,6212,303210
176,380,304210,6212,304210
177,382,305210,6212,305210
177,382,306210,6212,306210
178,384,307210,6212,307210
178,384,308210,6212,308210
178,384,308680,6212,308680
178,384,309680,6212,309680
179,386,310680,6212,310680
180,388,311490,6212,311490
180,388,312300,6212,312300
181,396,320300,6212,320300
181,396,321300,6212,321300
182,398,322300,6212,322300
182,398,322530,6212,322530
182,398,323000,6212,323000
183,400,323810,6212,323810
183,400,324810,6212,324810
184,402,325810,6212,325810
184,402,325810,6212,325810
184,402,325810,6212,325810
184,402,326810,6212,326810
185,404,327810,6212,327810
185,404,328280,6212,328280
185,404,328280,6212,328280
185,404,328600,6212,328600
185,404,328600,6212,328600
186,406,329250,6212,329250
186,406,329720,6212,329720
186,406,330530,6212,330530
186,406,331530,6212,331530
187,408,332000,6212,332000
188,410,333000,6212,333000
188,410,334000,6212,334000
189,412,335000,6212,335000
189,412,336000,6212,336000
189,412,336000,6212,336000
189,412,336470,6212,336470
190,414,337470,6212,337470
190,414,338470,6212,338470
191,416,339470,6212,339470
191,416,340470,6212,340470
192,418,341470,6212,341470
192,418,341930,6212,341930
192,418,342400,6212,342400
192,418,342630,6212,342630
193,420,343630,6212,343630
194,422,344630,6212,344630
195,424,344950,6212,344950
195,424,344950,6212,344950
195,424,345950,6212,345950
195,424,346950,6212,346950
195,424,346950,6212,346950
195,424,346950,6212,346950
195,424,346950,6212,346950
196,426,347950,6212,347950
196,426,348950,6212,348950
196,426,348950,6212,348950
196,426,348950,6212,348950
196,426,349410,6212,349410
197,428,350410,6212,350410
198,430,351410,6212,351410
198,430,352410,6212,352410
199,432,353410,6212,353410
199,432,354410,6212,354410
200,434,355410,6212,355410
200,434,356410,6212,356410
200,434,357220,6212,357220
201,436,358220,6212,358220
201,436,359220,6212,359220
202,438,359690,6212,359690
202,438,360340,6212,360340
202,438,360660,6212,360660
202,438,360660,6212,360660
203,440,361660,6212,361660
203,440,362130,6212,362130
203,440,363130,6212,363130
203,440,363130,6212,363130
204,442,364130,6212,364130
204,442,365130,6212,365130
205,444,366130,6212,366130
205,444,366130,6212,366130
205,444,367130,6212,367130
206,446,368130,6212,368130
206,446,368130,6212,368130
206,446,369130,6212,369130
207,448,369940,6212,369940
207,448,370940,6212,370940
207,448,371050,6212,371050
208,450,372050,6212,372050
208,450,372860,6212,372860
208,450,373860,6212,373860
208,450,374860,6212,374860
208,450,374860,6212,374860
209,452,375860,6212,375860
210,460,375860,6212,375860
211,462,376090,6212,376090
211,462,377090,6212,377090
211,462,377900,6212,377900
212,464,378900,6212,378900
212,464,379370,6212,379370
212,464,379370,6212,379370
212,464,380370,6212,380370
213,466,381370,6212,381370
214,468,382180,6212,382180
214,468,382990,6212,382990
214,468,383990,6212,383990
215,470,384990,6212,384990
216,472,385800,6212,385800
216,472,386800,6212,386800
217,474,387800,6212,387800
217,474,388800,6212,388800
218,476,389800,6212,389800
218,476,390800,6212,390800
219,478,391800,6212,391800
220,480,392800,6212,392800
220,480,392800,6212,392800
220,480,393800,6212,393800
220,480,394450,6212,394450
220,480,394770,6212,394770
221,482,395580,6212,395580
221,482,396390,6212,396390
222,484,396710,6212,396710
222,484,397710,6212,397710
222,484,398030,6212,398030
222,484,398840,6212,398840
223,486,399840,6212,399840
224,488,400310,6212,400310
224,488,401310,6212,401310
224,488,401310,6212,401310
225,490,402310,6212,402310
225,490,402310,6212,402310
