ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d01c-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
865627.35,13.94,0.34,180653.5,2.91
865491.37,13.94,0.34,180538.54,2.91
865787.39,13.94,0.35,180800.47,2.91
865370.87,13.94,0.34,180268.87,2.9
865370.87,13.94,0.34,180274.09,2.9
864998.87,13.93,0.34,179957.2,2.9
864726.92,13.93,0.34,179877.89,2.9
864310.39,13.93,0.33,179346.29,2.89
864648.53,13.94,0.34,179166.15,2.89
864512.56,13.94,0.34,179156.25,2.89
864512.56,13.94,0.34,179224.85,2.89
864376.58,13.94,0.34,179155.43,2.89
864725.79,13.94,0.34,185763.04,2.99
864028.4,13.93,0.33,185007.62,2.98
863892.42,13.93,0.34,184928.31,2.98
867254.77,13.99,0.39,185536.03,2.99
867118.79,13.99,0.39,185536.03,2.99
867118.79,13.99,0.39,185541.26,2.99
866702.27,13.98,0.38,185009.65,2.98
866566.29,13.98,0.38,185015.88,2.99
866344.9,13.98,0.38,184679.41,2.98
865928.38,13.98,0.38,184147.81,2.97
865792.4,13.98,0.38,184062.27,2.97
865867.2,13.98,0.38,184160.89,2.97
865802.0,13.98,0.38,183980.61,2.97
866098.02,13.98,0.39,184090.79,2.97
869298.64,14.03,0.44,184801.32,2.98
869162.66,14.03,0.44,184791.42,2.98
868868.84,14.03,0.43,184497.61,2.98
869059.3,14.04,0.44,184905.74,2.99
869059.3,14.04,0.44,184900.2,2.99
868923.32,14.04,0.44,184830.79,2.99
869261.46,14.04,0.45,184650.65,2.98
869584.15,14.05,0.45,184397.03,2.98
869933.36,14.06,0.46,191078.77,3.09
869797.38,14.06,0.46,191068.88,3.09
869659.63,14.05,0.46,191081.08,3.09
869523.66,14.05,0.46,191011.67,3.09
869387.68,14.05,0.46,191017.9,3.09
868690.28,14.05,0.45,190262.47,3.08
868318.28,14.04,0.44,189866.91,3.07
867901.76,14.04,0.44,189335.31,3.06
867826.56,14.04,0.44,189145.03,3.06
867690.58,14.04,0.44,189059.49,3.06
867615.38,14.04,0.44,188869.21,3.06
867198.85,14.03,0.43,188337.6,3.05
867062.88,14.03,0.43,188343.83,3.05
873625.84,14.14,0.54,189662.08,3.07
873625.84,14.14,0.54,189661.77,3.07
873489.87,14.14,0.54,189576.23,3.07
873353.89,14.14,0.54,189496.92,3.07
872937.37,14.13,0.53,188965.32,3.06
872522.16,14.13,0.53,188435.04,3.05
872456.96,14.13,0.53,188393.66,3.05
872320.98,14.13,0.53,188393.66,3.05
871904.46,14.12,0.52,187862.05,3.04
871299.26,14.11,0.52,187141.77,3.03
871489.71,14.12,0.52,187209.4,3.03
871785.73,14.13,0.53,187660.08,3.04
871465.73,14.12,0.52,187340.08,3.04
871049.21,14.12,0.52,186947.38,3.03
871049.21,14.12,0.52,186947.38,3.03
871049.21,14.12,0.52,187300.8,3.04
870444.01,14.11,0.51,186580.52,3.02
869762.06,14.1,0.5,185898.57,3.01
869626.08,14.1,0.5,185819.26,3.01
869209.56,14.09,0.5,185287.66,3.0
868913.13,14.09,0.49,185150.22,3.0
868496.61,14.09,0.49,184618.62,2.99
868360.63,14.09,0.49,184618.62,2.99
868360.63,14.09,0.49,184700.74,3.0
867944.11,14.08,0.48,184169.13,2.99
867733.7,14.08,0.48,183682.04,2.98
867597.72,14.08,0.48,183602.73,2.98
867461.75,14.08,0.48,183602.73,2.98
867325.77,14.08,0.48,183541.85,2.98
866953.77,14.08,0.48,183171.66,2.97
867019.09,14.08,0.48,182748.4,2.97
866883.11,14.08,0.48,182722.93,2.97
866883.11,14.08,0.48,182330.88,2.96
867221.25,14.09,0.49,182138.64,2.96
867516.68,14.09,0.49,182346.34,2.96
867380.7,14.09,0.49,182267.03,2.96
867244.72,14.09,0.49,182267.03,2.96
867108.74,14.09,0.49,182273.26,2.96
866972.77,14.09,0.49,182187.72,2.96
867025.47,14.09,0.5,182298.8,2.96
867078.17,14.1,0.5,182434.09,2.97
867268.62,14.1,0.5,182501.73,2.97
867564.64,14.11,0.51,182952.4,2.98
867913.86,14.11,0.52,189363.22,3.08
867777.88,14.11,0.52,189369.45,3.08
867641.9,14.11,0.52,189283.91,3.08
867505.92,14.11,0.52,189204.6,3.08
867369.95,14.11,0.52,189204.6,3.08
866997.95,14.11,0.51,188986.93,3.08
866300.55,14.1,0.5,188243.6,3.06
866164.57,14.1,0.5,188249.83,3.06
866028.6,14.1,0.5,188164.29,3.06
866669.34,14.11,0.52,188228.73,3.07
866973.51,14.12,0.52,188216.25,3.07
866837.53,14.12,0.52,188206.35,3.07
866701.55,14.12,0.52,188136.94,3.06
866578.2,14.12,0.52,187521.08,3.06
866208.05,14.11,0.52,187628.78,3.06
866072.07,14.11,0.52,187549.47,3.06
866359.94,14.12,0.52,187865.12,3.06
867046.81,14.13,0.54,187969.58,3.06
867733.68,14.15,0.55,188074.03,3.07
867497.78,14.14,0.55,187754.33,3.06
867123.94,14.14,0.54,187384.14,3.06
