ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
1,1,1000,6212,1000
2,2,2000,6212,2000
3,3,2470,6212,2470
4,4,3280,6212,3280
5,12,3280,6212,3280
5,12,3750,6212,3750
6,14,5750,6212,5750
7,15,6560,6212,6560
8,17,7560,6212,7560
9,19,8560,6212,8560
9,19,8560,6212,8560
9,19,9560,6212,9560
9,19,9560,6212,9560
9,19,10560,6212,10560
10,21,11560,6212,11560
10,21,11560,6212,11560
10,21,12560,6212,12560
11,29,12560,6212,12560
12,30,13370,6212,13370
13,32,14370,6212,14370
13,32,14960,6212,14960
14,33,15770,6212,15770
15,35,16770,6212,16770
15,35,17090,6212,17090
15,35,17550,6212,17550
15,35,18020,6212,18020
15,35,18020,6212,18020
16,37,19020,6212,19020
16,37,19340,6212,19340
16,37,19990,6212,19990
16,37,19990,6212,19990
17,39,20990,6212,20990
18,41,21990,6212,21990
19,43,22990,6212,22990
19,43,22990,6212,22990
19,43,23990,6212,23990
20,44,24150,6212,24150
21,46,25150,6212,25150
21,46,26150,6212,26150
21,46,27150,6212,27150
22,48,27620,6212,27620
22,48,28430,6212,28430
22,48,28900,6212,28900
22,48,29900,6212,29900
23,49,30370,6212,30370
24,50,31180,6212,31180
25,52,32180,6212,32180
25,52,32180,6212,32180
26,60,32180,6212,32180
26,60,33180,6212,33180
27,62,34180,6212,34180
27,62,34990,6212,34990
28,63,35800,6212,35800
29,64,36260,6212,36260
30,66,37260,6212,37260
30,66,38070,6212,38070
31,67,39070,6212,39070
32,69,39720,6212,39720
32,69,40190,6212,40190
32,69,40510,6212,40510
33,70,41320,6212,41320
33,70,41320,6212,41320
33,70,41320,6212,41320
34,71,42320,6212,42320
35,72,43320,6212,43320
36,74,44320,6212,44320
36,74,45130,6212,45130
36,74,45450,6212,45450
37,75,46260,6212,46260
38,77,47260,6212,47260
38,77,47260,6212,47260
39,78,48070,6212,48070
40,79,49070,6212,49070
41,81,50070,6212,50070
42,83,51070,6212,51070
42,83,52070,6212,52070
43,84,52540,6212,52540
44,85,53350,6212,53350
45,86,54350,6212,54350
45,86,54350,6212,54350
46,88,55350,6212,55350
46,88,55820,6212,55820
47,90,56820,6212,56820
47,90,57820,6212,57820
48,92,58820,6212,58820
48,92,59820,6212,59820
49,93,60630,6212,60630
50,94,61440,6212,61440
51,96,62090,6212,62090
51,96,62560,6212,62560
51,96,62560,6212,62560
51,96,63560,6212,63560
52,98,64560,6212,64560
52,98,65560,6212,65560
53,100,66560,6212,66560
53,100,67030,6212,67030
54,102,68030,6212,68030
55,104,69030,6212,69030
56,106,70030,6212,70030
56,106,71030,6212,71030
56,106,71490,6212,71490
56,106,72490,6212,72490
57,108,73490,6212,73490
57,108,74490,6212,74490
57,108,74960,6212,74960
58,110,75960,6212,75960
58,110,76440,6212,76440
58,110,77090,6212,77090
59,112,77740,6212,77740
60,114,78740,6212,78740
61,116,79210,6212,79210
62,118,79680,6212,79680
62,118,80680,6212,80680
62,118,81140,6212,81140
63,120,82140,6212,82140
63,120,83140,6212,83140
63,120,83610,6212,83610
63,120,83930,6212,83930
63,120,84930,6212,84930
63,120,85930,6212,85930
63,120,86930,6212,86930
64,122,87930,6212,87930
64,122,88400,6212,88400
64,122,88720,6212,88720
65,124,89720,6212,89720
65,124,90720,6212,90720
66,126,91530,6212,91530
66,126,92530,6212,92530
66,126,92530,6212,92530
67,128,93530,6212,93530
67,128,94340,6212,94340
68,130,95340,6212,95340
68,130,95340,6212,95340
68,130,95340,6212,95340
68,130,95450,6212,95450
69,132,96450,6212,96450
69,132,96450,6212,96450
69,132,97260,6212,97260
69,132,98260,6212,98260
70,134,99260,6212,99260
70,134,99730,6212,99730
70,134,100730,6212,100730
71,136,101100,6212,101100
71,136,101100,6212,101100
71,136,102100,6212,102100
72,138,102470,6212,102470
72,138,103280,6212,103280
73,140,104280,6212,104280
73,140,105280,6212,105280
74,142,106280,6212,106280
74,142,107090,6212,107090
74,142,107310,6212,107310
75,144,108310,6212,108310
75,144,109310,6212,109310
76,146,110120,6212,110120
76,146,110930,6212,110930
77,148,111930,6212,111930
77,148,112250,6212,112250
78,150,113060,6212,113060
79,154,117060,6212,117060
79,154,118060,6212,118060
80,156,119060,6212,119060
81,158,120060,6212,120060
82,166,128060,6212,128060
82,166,129060,6212,129060
82,166,129870,6212,129870
83,168,130460,6212,130460
83,168,131270,6212,131270
84,170,131820,6212,131820
84,170,132820,6212,132820
84,170,133050,6212,133050
85,172,133510,6212,133510
85,172,134320,6212,134320
86,174,135320,6212,135320
86,174,136130,6212,136130
87,176,137130,6212,137130
87,176,137940,6212,137940
88,178,138750,6212,138750
88,178,139750,6212,139750
89,180,140750,6212,140750
89,180,141220,6212,141220
89,180,142030,6212,142030
90,182,143030,6212,143030
90,182,143350,6212,143350
90,182,143670,6212,143670
91,184,144670,6212,144670
91,184,145670,6212,145670
92,186,146670,6212,146670
92,186,147140,6212,147140
92,186,147140,6212,147140
93,194,147140,6212,147140
94,196,148140,6212,148140
94,196,148950,6212,148950
95,198,149950,6212,149950
95,198,150950,6212,150950
96,200,151950,6212,151950
96,200,151950,6212,151950
97,202,152950,6212,152950
97,202,153500,6212,153500
97,202,153970,6212,153970
97,202,154970,6212,154970
98,204,155970,6212,155970
98,204,156970,6212,156970
99,206,157780,6212,157780
99,206,158780,6212,158780
100,208,159780,6212,159780
101,210,160430,6212,160430
101,210,161430,6212,161430
101,210,162430,6212,162430
102,212,162900,6212,162900
102,212,163900,6212,163900
102,212,164270,6212,164270
102,212,164270,6212,164270
103,214,165270,6212,165270
103,214,166080,6212,166080
104,216,167080,6212,167080
104,216,168080,6212,168080
104,216,168310,6212,168310
105,218,169310,6212,169310
105,218,170310,6212,170310
106,220,171310,6212,171310
106,220,171310,6212,171310
106,220,172310,6212,172310
107,222,172860,6212,172860
107,222,173860,6212,173860
107,222,174020,6212,174020
107,222,174340,6212,174340
108,224,175150,6212,175150
108,224,176150,6212,176150
109,226,176960,6212,176960
110,230,180960,6212,180960
110,230,181960,6212,181960
111,232,182960,6212,182960
111,232,182960,6212,182960
111,232,182960,6212,182960
111,232,183960,6212,183960
112,234,184430,6212,184430
112,234,185240,6212,185240
112,234,185240,6212,185240
113,236,186240,6212,186240
113,236,187240,6212,187240
113,236,187710,6212,187710
114,238,188710,6212,188710
114,238,189520,6212,189520
115,240,190520,6212,190520
116,248,190520,6212,190520
116,248,190840,6212,190840
117,250,191650,6212,191650
117,250,191650,6212,191650
117,250,192650,6212,192650
118,252,193650,6212,193650
118,252,194650,6212,194650
119,254,195460,6212,195460
119,254,196110,6212,196110
119,254,197110,6212,197110
120,256,198110,6212,198110
120,256,206110,6212,206110
120,256,206430,6212,206430
121,258,207430,6212,207430
121,258,207750,6212,207750
121,258,208750,6212,208750
121,258,209070,6212,209070
122,260,209880,6212,209880
123,268,209880,6212,209880
123,268,210880,6212,210880
124,270,211350,6212,211350
124,270,212160,6212,212160
125,272,213160,6212,213160
125,272,214160,6212,214160
125,272,214160,6212,214160
126,274,215160,6212,215160
126,274,216160,6212,216160
127,276,217160,6212,217160
128,278,217630,6212,217630
128,278,218630,6212,218630
129,280,219630,6212,219630
129,280,219850,6212,219850
129,280,220850,6212,220850
130,282,221500,6212,221500
130,282,222500,6212,222500
131,284,222970,6212,222970
131,284,223780,6212,223780
132,286,224780,6212,224780
132,286,225100,6212,225100
133,288,226100,6212,226100
133,288,227100,6212,227100
134,290,228100,6212,228100
134,290,228570,6212,228570
134,290,229570,6212,229570
135,292,230570,6212,230570
135,292,230570,6212,230570
135,292,231380,6212,231380
135,292,231380,6212,231380
135,292,232380,6212,232380
135,292,232380,6212,232380
135,292,232380,6212,232380
136,294,233190,6212,233190
136,294,234190,6212,234190
137,296,235190,6212,235190
137,296,236190,6212,236190
138,304,236190,6212,236190
139,306,237190,6212,237190
139,306,237190,6212,237190
139,306,237650,6212,237650
139,306,237700,6212,237700
140,308,238700,6212,238700
140,308,238700,6212,238700
140,308,238700,6212,238700
141,310,239700,6212,239700
141,310,240700,6212,240700
142,312,241700,6212,241700
142,312,242700,6212,242700
143,314,243510,6212,243510
143,314,243670,6212,243670
143,314,244480,6212,244480
143,314,244950,6212,244950
144,316,245950,6212,245950
144,316,246320,6212,246320
144,316,246790,6212,246790
145,318,247160,6212,247160
145,318,247630,6212,247630
145,318,248630,6212,248630
146,320,249630,6212,249630
146,320,250630,6212,250630
146,320,250630,6212,250630
147,322,251280,6212,251280
148,324,252280,6212,252280
148,324,253090,6212,253090
148,324,254090,6212,254090
149,326,254460,6212,254460
149,326,255460,6212,255460
150,328,256270,6212,256270
150,328,257080,6212,257080
151,330,258080,6212,258080
151,330,258400,6212,258400
151,330,259400,6212,259400
152,332,260400,6212,260400
152,332,261400,6212,261400
153,334,262400,6212,262400
153,334,263400,6212,263400
154,336,264400,6212,264400
154,336,265400,6212,265400
154,336,265630,6212,265630
155,338,266630,6212,266630
155,338,267630,6212,267630
156,340,268100,6212,268100
156,340,268750,6212,268750
157,342,269750,6212,269750
157,342,270560,6212,270560
158,344,271560,6212,271560
158,344,272560,6212,272560
159,346,273560,6212,273560
159,346,274560,6212,274560
159,346,275030,6212,275030
160,348,275490,6212,275490
160,348,276490,6212,276490
161,350,277490,6212,277490
161,350,278490,6212,278490
161,350,278960,6212,278960
161,350,279190,6212,279190
162,352,280190,6212,280190
162,352,281000,6212,281000
163,354,282000,6212,282000
163,354,283000,6212,283000
164,356,284000,6212,284000
164,356,285000,6212,285000
165,358,286000,6212,286000
165,358,287000,6212,287000
166,360,287590,6212,287590
166,360,288400,6212,288400
167,362,289210,6212,289210
167,362,290210,6212,290210
168,364,291210,6212,291210
168,364,292210,6212,292210
169,366,293020,6212,293020
169,366,294020,6212,294020
170,368,295020,6212,295020
170,368,296020,6212,296020
170,368,296020,6212,296020
171,370,297020,6212,297020
172,372,299020,6212,299020
172,372,299020,6212,299020
172,372,299830,6212,299830
173,374,300830,6212,300830
174,376,301830,6212,301830
174,376,301830,6212,301830
175,378,302300,6212,302300
175,378,302890,6212,302890
175,378,302890,6212,302890
175,378,303210,6212,303210
175,378,304210,6212,304210
176,380,305210,6212,305210
176,380,306210,6212,306210
177,382,307210,6212,307210
177,382,308210,6212,308210
177,382,308680,6212,308680
177,382,309680,6212,309680
178,384,310680,6212,310680
178,384,311490,6212,311490
179,386,312300,6212,312300
180,394,320300,6212,320300
180,394,321300,6212,321300
181,396,322300,6212,322300
181,396,322530,6212,322530
181,396,323000,6212,323000
182,398,323810,6212,323810
182,398,324810,6212,324810
183,400,325810,6212,325810
183,400,325810,6212,325810
183,400,325810,6212,325810
183,400,326810,6212,326810
184,402,327810,6212,327810
184,402,328280,6212,328280
184,402,328280,6212,328280
184,402,328600,6212,328600
184,402,328600,6212,328600
184,402,329250,6212,329250
185,404,329720,6212,329720
185,404,330530,6212,330530
186,406,331530,6212,331530
186,406,332000,6212,332000
186,406,333000,6212,333000
187,408,334000,6212,334000
187,408,335000,6212,335000
188,410,336000,6212,336000
188,410,336000,6212,336000
188,410,336470,6212,336470
189,412,337470,6212,337470
189,412,338470,6212,338470
190,414,339470,6212,339470
190,414,340470,6212,340470
191,416,341470,6212,341470
191,416,341930,6212,341930
191,416,342400,6212,342400
192,418,342630,6212,342630
193,420,343630,6212,343630
194,422,344630,6212,344630
194,422,344950,6212,344950
194,422,344950,6212,344950
194,422,345950,6212,345950
194,422,346950,6212,346950
194,422,346950,6212,346950
194,422,346950,6212,346950
194,422,346950,6212,346950
195,424,347950,6212,347950
195,424,348950,6212,348950
195,424,348950,6212,348950
195,424,348950,6212,348950
196,426,349410,6212,349410
196,426,350410,6212,350410
197,428,351410,6212,351410
197,428,352410,6212,352410
198,430,353410,6212,353410
199,432,354410,6212,354410
199,432,355410,6212,355410
200,434,356410,6212,356410
200,434,357220,6212,357220
200,434,358220,6212,358220
201,436,359220,6212,359220
201,436,359690,6212,359690
201,436,360340,6212,360340
201,436,360660,6212,360660
201,436,360660,6212,360660
202,438,361660,6212,361660
202,438,362130,6212,362130
203,440,363130,6212,363130
203,440,363130,6212,363130
203,440,364130,6212,364130
204,442,365130,6212,365130
204,442,366130,6212,366130
204,442,366130,6212,366130
205,444,367130,6212,367130
205,444,368130,6212,368130
205,444,368130,6212,368130
206,446,369130,6212,369130
206,446,369940,6212,369940
206,446,370940,6212,370940
206,446,371050,6212,371050
207,448,372050,6212,372050
207,448,372860,6212,372860
208,450,373860,6212,373860
208,450,374860,6212,374860
208,450,374860,6212,374860
209,452,375860,6212,375860
209,452,375860,6212,375860
209,452,376090,6212,376090
209,452,377090,6212,377090
210,454,377900,6212,377900
210,454,378900,6212,378900
211,456,379370,6212,379370
212,464,379370,6212,379370
212,464,380370,6212,380370
213,466,381370,6212,381370
213,466,382180,6212,382180
214,468,382990,6212,382990
215,470,383990,6212,383990
215,470,384990,6212,384990
215,470,385800,6212,385800
216,472,386800,6212,386800
216,472,387800,6212,387800
217,474,388800,6212,388800
217,474,389800,6212,389800
218,476,390800,6212,390800
218,476,391800,6212,391800
219,478,392800,6212,392800
219,478,392800,6212,392800
219,478,393800,6212,393800
220,480,394450,6212,394450
220,480,394770,6212,394770
220,480,395580,6212,395580
221,482,396390,6212,396390
221,482,396710,6212,396710
222,484,397710,6212,397710
222,484,398030,6212,398030
222,484,398840,6212,398840
223,486,399840,6212,399840
223,486,400310,6212,400310
224,488,401310,6212,401310
224,488,401310,6212,401310
224,488,402310,6212,402310
224,488,402310,6212,402310
