ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
1,1,1000,6212,1000
2,3,2000,6212,2000
3,5,2470,6212,2470
3,5,3280,6212,3280
4,9,3280,6212,3280
5,10,3750,6212,3750
6,12,5750,6212,5750
7,13,6560,6212,6560
8,15,7560,6212,7560
9,17,8560,6212,8560
10,19,8560,6212,8560
11,21,9560,6212,9560
12,23,9560,6212,9560
12,23,10560,6212,10560
13,25,11560,6212,11560
14,26,11560,6212,11560
15,28,12560,6212,12560
15,28,12560,6212,12560
15,28,13370,6212,13370
16,30,14370,6212,14370
16,30,14960,6212,14960
16,30,15770,6212,15770
17,32,16770,6212,16770
18,33,17090,6212,17090
19,34,17550,6212,17550
20,36,18020,6212,18020
21,37,18020,6212,18020
22,39,19020,6212,19020
22,39,19340,6212,19340
23,41,19990,6212,19990
24,43,19990,6212,19990
25,45,20990,6212,20990
26,47,21990,6212,21990
27,49,22990,6212,22990
28,53,22990,6212,22990
29,55,23990,6212,23990
29,55,24150,6212,24150
30,59,25150,6212,25150
31,61,26150,6212,26150
31,61,27150,6212,27150
32,63,27620,6212,27620
32,63,28430,6212,28430
33,64,28900,6212,28900
34,66,29900,6212,29900
35,67,30370,6212,30370
35,67,31180,6212,31180
36,69,32180,6212,32180
37,71,32180,6212,32180
38,73,32180,6212,32180
39,75,33180,6212,33180
40,77,34180,6212,34180
40,77,34990,6212,34990
40,77,35800,6212,35800
41,78,36260,6212,36260
41,78,37260,6212,37260
41,78,38070,6212,38070
42,79,39070,6212,39070
43,81,39720,6212,39720
44,83,40190,6212,40190
44,83,40510,6212,40510
44,83,41320,6212,41320
44,83,41320,6212,41320
45,85,41320,6212,41320
46,86,42320,6212,42320
46,86,43320,6212,43320
47,88,44320,6212,44320
47,88,45130,6212,45130
48,89,45450,6212,45450
48,89,46260,6212,46260
49,91,47260,6212,47260
50,93,47260,6212,47260
50,93,48070,6212,48070
51,94,49070,6212,49070
52,96,50070,6212,50070
53,98,51070,6212,51070
53,98,52070,6212,52070
54,99,52540,6212,52540
54,99,53350,6212,53350
55,100,54350,6212,54350
55,100,54350,6212,54350
56,102,55350,6212,55350
57,104,55820,6212,55820
58,106,56820,6212,56820
59,108,57820,6212,57820
60,110,58820,6212,58820
61,112,59820,6212,59820
61,112,60630,6212,60630
61,112,61440,6212,61440
62,114,62090,6212,62090
63,115,62560,6212,62560
63,115,62560,6212,62560
64,117,63560,6212,63560
65,119,64560,6212,64560
66,121,65560,6212,65560
67,123,66560,6212,66560
68,125,67030,6212,67030
68,125,68030,6212,68030
69,127,69030,6212,69030
70,131,70030,6212,70030
71,133,71030,6212,71030
72,134,71490,6212,71490
72,134,72490,6212,72490
73,136,73490,6212,73490
73,136,74490,6212,74490
74,137,74960,6212,74960
75,141,75960,6212,75960
75,141,76440,6212,76440
76,143,77090,6212,77090
77,145,77740,6212,77740
78,147,78740,6212,78740
79,148,79210,6212,79210
80,150,79680,6212,79680
81,152,80680,6212,80680
82,153,81140,6212,81140
83,155,82140,6212,82140
83,155,83140,6212,83140
84,156,83610,6212,83610
84,156,83930,6212,83930
84,156,84930,6212,84930
84,156,85930,6212,85930
84,156,86930,6212,86930
85,158,87930,6212,87930
86,160,88400,6212,88400
86,160,88720,6212,88720
87,162,89720,6212,89720
88,164,90720,6212,90720
88,164,91530,6212,91530
89,166,92530,6212,92530
90,168,92530,6212,92530
91,170,93530,6212,93530
91,170,94340,6212,94340
92,172,95340,6212,95340
93,176,95340,6212,95340
94,180,95340,6212,95340
95,182,95450,6212,95450
96,184,96450,6212,96450
97,186,96450,6212,96450
97,186,97260,6212,97260
98,188,98260,6212,98260
99,190,99260,6212,99260
100,192,99730,6212,99730
101,194,100730,6212,100730
101,194,101100,6212,101100
102,196,101100,6212,101100
103,198,102100,6212,102100
103,198,102470,6212,102470
103,198,103280,6212,103280
104,200,104280,6212,104280
105,202,105280,6212,105280
106,204,106280,6212,106280
106,204,107090,6212,107090
106,204,107310,6212,107310
106,204,108310,6212,108310
106,204,109310,6212,109310
106,204,110120,6212,110120
106,204,110930,6212,110930
107,206,111930,6212,111930
107,206,112250,6212,112250
107,206,113060,6212,113060
108,210,117060,6212,117060
109,212,118060,6212,118060
110,214,119060,6212,119060
111,216,120060,6212,120060
112,224,128060,6212,128060
113,226,129060,6212,129060
113,226,129870,6212,129870
113,226,130460,6212,130460
113,226,131270,6212,131270
114,228,131820,6212,131820
114,228,132820,6212,132820
114,228,133050,6212,133050
115,230,133510,6212,133510
115,230,134320,6212,134320
115,230,135320,6212,135320
115,230,136130,6212,136130
116,232,137130,6212,137130
116,232,137940,6212,137940
116,232,138750,6212,138750
117,234,139750,6212,139750
118,236,140750,6212,140750
119,238,141220,6212,141220
119,238,142030,6212,142030
119,238,143030,6212,143030
119,238,143350,6212,143350
119,238,143670,6212,143670
120,240,144670,6212,144670
121,242,145670,6212,145670
122,244,146670,6212,146670
123,246,147140,6212,147140
123,246,147140,6212,147140
124,248,147140,6212,147140
125,250,148140,6212,148140
125,250,148950,6212,148950
125,250,149950,6212,149950
126,252,150950,6212,150950
127,254,151950,6212,151950
128,256,151950,6212,151950
128,256,152950,6212,152950
128,256,153500,6212,153500
129,258,153970,6212,153970
129,258,154970,6212,154970
129,258,155970,6212,155970
130,260,156970,6212,156970
130,260,157780,6212,157780
131,262,158780,6212,158780
132,264,159780,6212,159780
133,266,160430,6212,160430
133,266,161430,6212,161430
134,268,162430,6212,162430
135,270,162900,6212,162900
136,272,163900,6212,163900
136,272,164270,6212,164270
137,276,164270,6212,164270
137,276,165270,6212,165270
137,276,166080,6212,166080
138,278,167080,6212,167080
139,280,168080,6212,168080
139,280,168310,6212,168310
139,280,169310,6212,169310
140,282,170310,6212,170310
141,284,171310,6212,171310
142,286,171310,6212,171310
143,288,172310,6212,172310
143,288,172860,6212,172860
144,290,173860,6212,173860
144,290,174020,6212,174020
144,290,174340,6212,174340
144,290,175150,6212,175150
145,292,176150,6212,176150
145,292,176960,6212,176960
146,296,180960,6212,180960
147,298,181960,6212,181960
147,298,182960,6212,182960
148,302,182960,6212,182960
148,302,182960,6212,182960
149,304,183960,6212,183960
149,304,184430,6212,184430
149,304,185240,6212,185240
149,304,185240,6212,185240
149,304,186240,6212,186240
150,308,187240,6212,187240
150,308,187710,6212,187710
150,308,188710,6212,188710
150,308,189520,6212,189520
151,310,190520,6212,190520
151,310,190520,6212,190520
151,310,190840,6212,190840
151,310,191650,6212,191650
151,310,191650,6212,191650
151,310,192650,6212,192650
151,310,193650,6212,193650
151,310,194650,6212,194650
151,310,195460,6212,195460
151,310,196110,6212,196110
151,310,197110,6212,197110
152,314,198110,6212,198110
153,322,206110,6212,206110
153,322,206430,6212,206430
154,326,207430,6212,207430
154,326,207750,6212,207750
154,326,208750,6212,208750
154,326,209070,6212,209070
154,326,209880,6212,209880
155,328,209880,6212,209880
155,328,210880,6212,210880
155,328,211350,6212,211350
155,328,212160,6212,212160
155,328,213160,6212,213160
156,332,214160,6212,214160
156,332,214160,6212,214160
157,334,215160,6212,215160
157,334,216160,6212,216160
157,334,217160,6212,217160
157,334,217630,6212,217630
157,334,218630,6212,218630
158,338,219630,6212,219630
158,338,219850,6212,219850
158,338,220850,6212,220850
158,338,221500,6212,221500
159,342,222500,6212,222500
159,342,222970,6212,222970
159,342,223780,6212,223780
159,342,224780,6212,224780
159,342,225100,6212,225100
160,346,226100,6212,226100
160,346,227100,6212,227100
160,346,228100,6212,228100
161,348,228570,6212,228570
161,348,229570,6212,229570
162,350,230570,6212,230570
162,350,230570,6212,230570
162,350,231380,6212,231380
162,350,231380,6212,231380
162,350,232380,6212,232380
162,350,232380,6212,232380
162,350,232380,6212,232380
162,350,233190,6212,233190
163,352,234190,6212,234190
163,352,235190,6212,235190
163,352,236190,6212,236190
163,352,236190,6212,236190
164,354,237190,6212,237190
164,354,237190,6212,237190
164,354,237650,6212,237650
164,354,237700,6212,237700
164,354,238700,6212,238700
164,354,238700,6212,238700
164,354,238700,6212,238700
165,358,239700,6212,239700
165,358,240700,6212,240700
165,358,241700,6212,241700
166,362,242700,6212,242700
166,362,243510,6212,243510
166,362,243670,6212,243670
166,362,244480,6212,244480
166,362,244950,6212,244950
167,364,245950,6212,245950
167,364,246320,6212,246320
167,364,246790,6212,246790
167,364,247160,6212,247160
167,364,247630,6212,247630
168,368,248630,6212,248630
169,370,249630,6212,249630
169,370,250630,6212,250630
169,370,250630,6212,250630
170,374,251280,6212,251280
170,374,252280,6212,252280
170,374,253090,6212,253090
171,378,254090,6212,254090
171,378,254460,6212,254460
171,378,255460,6212,255460
171,378,256270,6212,256270
171,378,257080,6212,257080
172,382,258080,6212,258080
172,382,258400,6212,258400
173,384,259400,6212,259400
173,384,260400,6212,260400
173,384,261400,6212,261400
173,384,262400,6212,262400
173,384,263400,6212,263400
174,386,264400,6212,264400
174,386,265400,6212,265400
174,386,265630,6212,265630
174,386,266630,6212,266630
175,388,267630,6212,267630
175,388,268100,6212,268100
176,390,268750,6212,268750
176,390,269750,6212,269750
176,390,270560,6212,270560
177,392,271560,6212,271560
177,392,272560,6212,272560
178,396,273560,6212,273560
178,396,274560,6212,274560
178,396,275030,6212,275030
178,396,275490,6212,275490
179,400,276490,6212,276490
179,400,277490,6212,277490
180,402,278490,6212,278490
180,402,278960,6212,278960
180,402,279190,6212,279190
181,406,280190,6212,280190
181,406,281000,6212,281000
181,406,282000,6212,282000
182,408,283000,6212,283000
182,408,284000,6212,284000
182,408,285000,6212,285000
183,412,286000,6212,286000
183,412,287000,6212,287000
183,412,287590,6212,287590
184,416,288400,6212,288400
184,416,289210,6212,289210
184,416,290210,6212,290210
184,416,291210,6212,291210
185,420,292210,6212,292210
185,420,293020,6212,293020
185,420,294020,6212,294020
185,420,295020,6212,295020
186,424,296020,6212,296020
186,424,296020,6212,296020
186,424,297020,6212,297020
186,424,299020,6212,299020
186,424,299020,6212,299020
187,428,299830,6212,299830
187,428,300830,6212,300830
187,428,301830,6212,301830
187,428,301830,6212,301830
187,428,302300,6212,302300
188,432,302890,6212,302890
188,432,302890,6212,302890
188,432,303210,6212,303210
188,432,304210,6212,304210
188,432,305210,6212,305210
188,432,306210,6212,306210
189,436,307210,6212,307210
189,436,308210,6212,308210
189,436,308680,6212,308680
189,436,309680,6212,309680
189,436,310680,6212,310680
190,440,311490,6212,311490
190,440,312300,6212,312300
191,448,320300,6212,320300
191,448,321300,6212,321300
191,448,322300,6212,322300
191,448,322530,6212,322530
192,452,323000,6212,323000
192,452,323810,6212,323810
192,452,324810,6212,324810
192,452,325810,6212,325810
192,452,325810,6212,325810
192,452,325810,6212,325810
193,456,326810,6212,326810
193,456,327810,6212,327810
193,456,328280,6212,328280
193,456,328280,6212,328280
193,456,328600,6212,328600
193,456,328600,6212,328600
193,456,329250,6212,329250
193,456,329720,6212,329720
193,456,330530,6212,330530
194,458,331530,6212,331530
194,458,332000,6212,332000
194,458,333000,6212,333000
195,460,334000,6212,334000
195,460,335000,6212,335000
196,462,336000,6212,336000
196,462,336000,6212,336000
196,462,336470,6212,336470
197,464,337470,6212,337470
197,464,338470,6212,338470
198,466,339470,6212,339470
198,466,340470,6212,340470
199,468,341470,6212,341470
199,468,341930,6212,341930
199,468,342400,6212,342400
199,468,342630,6212,342630
200,470,343630,6212,343630
200,470,344630,6212,344630
201,472,344950,6212,344950
201,472,344950,6212,344950
201,472,345950,6212,345950
202,474,346950,6212,346950
202,474,346950,6212,346950
202,474,346950,6212,346950
202,474,346950,6212,346950
202,474,347950,6212,347950
203,476,348950,6212,348950
203,476,348950,6212,348950
203,476,348950,6212,348950
203,476,349410,6212,349410
203,476,350410,6212,350410
204,478,351410,6212,351410
204,478,352410,6212,352410
205,480,353410,6212,353410
205,480,354410,6212,354410
206,482,355410,6212,355410
206,482,356410,6212,356410
207,484,357220,6212,357220
207,484,358220,6212,358220
208,486,359220,6212,359220
208,486,359690,6212,359690
209,488,360340,6212,360340
209,488,360660,6212,360660
209,488,360660,6212,360660
209,488,361660,6212,361660
210,490,362130,6212,362130
