ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
1,1,1000,6212,1000
2,9,2000,6212,2000
2,9,2470,6212,2470
3,10,3280,6212,3280
3,10,3280,6212,3280
3,10,3750,6212,3750
4,12,5750,6212,5750
5,13,6560,6212,6560
6,21,7560,6212,7560
6,21,8560,6212,8560
6,21,8560,6212,8560
6,21,9560,6212,9560
7,29,9560,6212,9560
8,30,10560,6212,10560
8,30,11560,6212,11560
8,30,11560,6212,11560
8,30,12560,6212,12560
8,30,12560,6212,12560
9,31,13370,6212,13370
10,33,14370,6212,14370
11,34,14960,6212,14960
12,35,15770,6212,15770
12,35,16770,6212,16770
13,36,17090,6212,17090
14,37,17550,6212,17550
15,45,18020,6212,18020
15,45,18020,6212,18020
15,45,19020,6212,19020
15,45,19340,6212,19340
15,45,19990,6212,19990
15,45,19990,6212,19990
15,45,20990,6212,20990
15,45,21990,6212,21990
15,45,22990,6212,22990
15,45,22990,6212,22990
16,53,23990,6212,23990
16,53,24150,6212,24150
16,53,25150,6212,25150
16,53,26150,6212,26150
17,54,27150,6212,27150
17,54,27620,6212,27620
18,55,28430,6212,28430
19,56,28900,6212,28900
19,56,29900,6212,29900
20,57,30370,6212,30370
21,58,31180,6212,31180
21,58,32180,6212,32180
21,58,32180,6212,32180
22,60,32180,6212,32180
22,60,33180,6212,33180
22,60,34180,6212,34180
23,61,34990,6212,34990
24,62,35800,6212,35800
25,63,36260,6212,36260
26,71,37260,6212,37260
27,72,38070,6212,38070
28,73,39070,6212,39070
28,73,39720,6212,39720
28,73,40190,6212,40190
28,73,40510,6212,40510
29,74,41320,6212,41320
29,74,41320,6212,41320
29,74,41320,6212,41320
30,75,42320,6212,42320
31,76,43320,6212,43320
31,76,44320,6212,44320
32,78,45130,6212,45130
32,78,45450,6212,45450
32,78,46260,6212,46260
33,86,47260,6212,47260
33,86,47260,6212,47260
34,88,48070,6212,48070
34,88,49070,6212,49070
34,88,50070,6212,50070
34,88,51070,6212,51070
35,96,52070,6212,52070
35,96,52540,6212,52540
35,96,53350,6212,53350
35,96,54350,6212,54350
35,96,54350,6212,54350
35,96,55350,6212,55350
35,96,55820,6212,55820
35,96,56820,6212,56820
35,96,57820,6212,57820
35,96,58820,6212,58820
35,96,59820,6212,59820
35,96,60630,6212,60630
35,96,61440,6212,61440
36,98,62090,6212,62090
36,98,62560,6212,62560
36,98,62560,6212,62560
37,100,63560,6212,63560
37,100,64560,6212,64560
38,102,65560,6212,65560
38,102,66560,6212,66560
38,102,67030,6212,67030
39,110,68030,6212,68030
39,110,69030,6212,69030
39,110,70030,6212,70030
39,110,71030,6212,71030
39,110,71490,6212,71490
39,110,72490,6212,72490
39,110,73490,6212,73490
39,110,74490,6212,74490
39,110,74960,6212,74960
40,118,75960,6212,75960
40,118,76440,6212,76440
40,118,77090,6212,77090
40,118,77740,6212,77740
40,118,78740,6212,78740
40,118,79210,6212,79210
40,118,79680,6212,79680
41,126,80680,6212,80680
41,126,81140,6212,81140
41,126,82140,6212,82140
41,126,83140,6212,83140
41,126,83610,6212,83610
41,126,83930,6212,83930
41,126,84930,6212,84930
41,126,85930,6212,85930
41,126,86930,6212,86930
41,126,87930,6212,87930
41,126,88400,6212,88400
41,126,88720,6212,88720
41,126,89720,6212,89720
42,128,90720,6212,90720
42,128,91530,6212,91530
42,128,92530,6212,92530
42,128,92530,6212,92530
43,130,93530,6212,93530
43,130,94340,6212,94340
43,130,95340,6212,95340
43,130,95340,6212,95340
43,130,95340,6212,95340
43,130,95450,6212,95450
43,130,96450,6212,96450
43,130,96450,6212,96450
43,130,97260,6212,97260
44,138,98260,6212,98260
44,138,99260,6212,99260
44,138,99730,6212,99730
44,138,100730,6212,100730
44,138,101100,6212,101100
44,138,101100,6212,101100
44,138,102100,6212,102100
44,138,102470,6212,102470
44,138,103280,6212,103280
44,138,104280,6212,104280
45,140,105280,6212,105280
45,140,106280,6212,106280
46,142,107090,6212,107090
46,142,107310,6212,107310
46,142,108310,6212,108310
47,144,109310,6212,109310
47,144,110120,6212,110120
47,144,110930,6212,110930
48,146,111930,6212,111930
48,146,112250,6212,112250
48,146,113060,6212,113060
49,154,117060,6212,117060
49,154,118060,6212,118060
49,154,119060,6212,119060
49,154,120060,6212,120060
50,162,128060,6212,128060
50,162,129060,6212,129060
50,162,129870,6212,129870
50,162,130460,6212,130460
51,164,131270,6212,131270
51,164,131820,6212,131820
52,166,132820,6212,132820
52,166,133050,6212,133050
52,166,133510,6212,133510
53,168,134320,6212,134320
53,168,135320,6212,135320
54,170,136130,6212,136130
54,170,137130,6212,137130
55,172,137940,6212,137940
55,172,138750,6212,138750
56,180,139750,6212,139750
56,180,140750,6212,140750
56,180,141220,6212,141220
56,180,142030,6212,142030
56,180,143030,6212,143030
56,180,143350,6212,143350
56,180,143670,6212,143670
56,180,144670,6212,144670
56,180,145670,6212,145670
56,180,146670,6212,146670
56,180,147140,6212,147140
56,180,147140,6212,147140
56,180,147140,6212,147140
57,188,148140,6212,148140
57,188,148950,6212,148950
57,188,149950,6212,149950
57,188,150950,6212,150950
57,188,151950,6212,151950
57,188,151950,6212,151950
57,188,152950,6212,152950
58,196,153500,6212,153500
58,196,153970,6212,153970
58,196,154970,6212,154970
58,196,155970,6212,155970
58,196,156970,6212,156970
58,196,157780,6212,157780
58,196,158780,6212,158780
58,196,159780,6212,159780
58,196,160430,6212,160430
58,196,161430,6212,161430
59,204,162430,6212,162430
59,204,162900,6212,162900
59,204,163900,6212,163900
59,204,164270,6212,164270
59,204,164270,6212,164270
59,204,165270,6212,165270
59,204,166080,6212,166080
59,204,167080,6212,167080
59,204,168080,6212,168080
59,204,168310,6212,168310
59,204,169310,6212,169310
59,204,170310,6212,170310
60,206,171310,6212,171310
60,206,171310,6212,171310
60,206,172310,6212,172310
61,210,172860,6212,172860
62,212,173860,6212,173860
62,212,174020,6212,174020
62,212,174340,6212,174340
63,214,175150,6212,175150
63,214,176150,6212,176150
63,214,176960,6212,176960
64,222,180960,6212,180960
64,222,181960,6212,181960
65,224,182960,6212,182960
65,224,182960,6212,182960
65,224,182960,6212,182960
65,224,183960,6212,183960
65,224,184430,6212,184430
65,224,185240,6212,185240
65,224,185240,6212,185240
