name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0764,,G2,96,8,412316860416,20000,9,640,412316860416,0,0,60,1200,0,0,530,10600,0,0,350,7000,1000,20000,1000,20000,2940,58800
0001-openb-node-0033,,G2,96,8,412316860416,20000,11,748,412316860416,0,0,0,0,0,0,190,3800,50,1000,0,0,30,600,530,10600,800,16000
0002-openb-node-1085,,G2,96,8,412316860416,20000,8,84,412316860416,0,0,0,0,0,0,210,4200,0,0,1000,20000,1000,20000,1000,20000,3210,64200
0003-openb-node-0775,,T4,104,2,549755813888,15109,7,1900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-1071,,G2,96,8,412316860416,20000,9,168,412316860416,60,1200,0,0,190,3800,0,0,0,0,0,0,350,7000,1000,20000,1600,32000
0005-openb-node-0712,,G2,96,8,412316860416,20000,9,96,412316860416,0,0,0,0,0,0,0,0,0,0,80,1600,190,3800,0,0,270,5400
0006-openb-node-0869,,P100,16,2,128849018880,16280,1,2000,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007-openb-node-1093,,T4,104,2,549755813888,15109,7,3200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-0364,,G2,96,8,412316860416,20000,12,2616,412316860416,0,0,30,600,100,2000,0,0,90,1800,0,0,0,0,0,0,220,4400
0009-openb-node-0782,,G2,96,8,412316860416,20000,10,1240,412316860416,0,0,0,0,0,0,0,0,60,1200,0,0,0,0,30,600,90,1800
0010-openb-node-0839,,G2,96,8,412316860416,20000,8,3088,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,190,3800,0,0,380,7600
0011-openb-node-0482,,T4,104,2,549755813888,15109,8,2184,549755813888,30,453,60,906,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0012-openb-node-0716,,T4,104,2,549755813888,15109,8,2400,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0297,,T4,104,2,549755813888,15109,5,292,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014-openb-node-0169,,G3,128,8,824633720832,30000,12,1936,824633720832,0,0,0,0,0,0,0,0,20,600,0,0,0,0,0,0,20,600
0015-openb-node-0274,,G2,96,8,412316860416,20000,10,360,412316860416,0,0,30,600,130,2600,0,0,70,1400,0,0,350,7000,1000,20000,1580,31600
0016-openb-node-0185,,G2,96,8,412316860416,20000,11,1644,412316860416,0,0,0,0,10,200,0,0,0,0,0,0,0,0,0,0,10,200
0017-openb-node-0552,,T4,104,2,549755813888,15109,5,6390,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0018-openb-node-0966,,P100,16,2,128849018880,16280,3,2848,128849018880,30,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0019-openb-node-0118,,P100,16,2,128849018880,16280,4,1696,128849018880,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0020-openb-node-0348,,T4,104,2,549755813888,15109,7,2390,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021-openb-node-1080,,V100M16,8,1,34359738368,16160,1,4848,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022-openb-node-0521,,G2,96,8,412316860416,20000,12,2026,412316860416,0,0,0,0,0,0,0,0,0,0,50,1000,190,3800,0,0,240,4800
0023-openb-node-0213,,T4,104,2,549755813888,15109,7,0,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0024-openb-node-0588,,T4,104,2,549755813888,15109,8,3300,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-1135,,G2,96,8,412316860416,20000,9,3696,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,80,1600,180,3600,260,5200
0026-openb-node-0643,,T4,104,2,549755813888,15109,11,996,549755813888,30,453,20,302,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0027-openb-node-0760,,T4,104,2,549755813888,15109,9,1292,549755813888,0,0,20,302,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0028-openb-node-0850,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029-openb-node-0601,,T4,104,2,549755813888,15109,9,448,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0030-openb-node-0990,,P100,8,2,64424509440,16280,2,1696,64424509440,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0031-openb-node-1082,,T4,104,2,549755813888,15109,8,3038,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0032-openb-node-0439,,P100,16,2,128849018880,16280,4,1696,128849018880,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0033-openb-node-0115,,G2,96,8,412316860416,20000,10,3432,412316860416,0,0,0,0,30,600,0,0,210,4200,0,0,0,0,0,0,240,4800
0034-openb-node-0660,,G2,96,8,412316860416,20000,9,378,412316860416,0,0,190,3800,0,0,0,0,0,0,0,0,60,1200,0,0,250,5000
0035-openb-node-0195,,G2,96,8,412316860416,20000,13,3984,412316860416,80,1600,0,0,0,0,30,600,0,0,0,0,10,200,0,0,120,2400
0036-openb-node-0259,,G2,96,8,412316860416,20000,11,4744,412316860416,0,0,0,0,0,0,30,600,0,0,0,0,0,0,0,0,30,600
0037-openb-node-1054,,P100,16,2,128849018880,16280,2,3038,128849018880,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0038-openb-node-0226,,V100M16,32,4,137438953472,16160,6,2144,137438953472,130,2100,30,484,190,3070,0,0,0,0,0,0,0,0,0,0,350,5654
0039-openb-node-0013,,P100,64,2,274877906944,16280,4,700,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0040-openb-node-0589,,T4,104,2,549755813888,15109,5,4192,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0041-openb-node-0404,,T4,104,2,549755813888,15109,4,5292,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0042-openb-node-0279,,G2,96,8,412316860416,20000,6,3524,412316860416,0,0,0,0,0,0,0,0,60,1200,0,0,190,3800,0,0,250,5000
0043-openb-node-1035,,G2,96,8,412316860416,20000,12,1936,412316860416,0,0,30,600,30,600,0,0,0,0,0,0,80,1600,0,0,140,2800
0044-openb-node-0895,,G2,96,8,412316860416,20000,12,588,412316860416,0,0,40,800,0,0,0,0,30,600,0,0,190,3800,0,0,260,5200
0045-openb-node-1024,,G2,96,8,412316860416,20000,3,6800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046-openb-node-0835,,G3,128,8,824633720832,30000,12,1130,824633720832,10,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,300
0047-openb-node-0434,,G2,96,8,412316860416,20000,11,1820,412316860416,30,600,0,0,10,200,190,3800,0,0,0,0,0,0,0,0,230,4600
0048-openb-node-0884,,T4,104,2,549755813888,15109,5,500,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0049-openb-node-0134,,T4,104,2,549755813888,15109,6,4348,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0050-openb-node-0704,,T4,104,2,549755813888,15109,7,1048,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0051-openb-node-1070,,T4,96,4,412316860416,15109,9,3240,412316860416,0,0,0,0,0,0,70,1057,0,0,0,0,0,0,0,0,70,1057
0052-openb-node-0873,,T4,104,2,549755813888,15109,5,1990,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053-openb-node-0981,,G2,96,8,412316860416,20000,12,484,412316860416,0,0,0,0,0,0,80,1600,190,3800,0,0,160,3200,160,3200,590,11800
0054-openb-node-0505,,G2,96,8,412316860416,20000,10,7418,412316860416,0,0,0,0,0,0,30,600,0,0,190,3800,170,3400,190,3800,580,11600
0055-openb-node-1202,,G2,96,8,412316860416,20000,9,6180,412316860416,0,0,0,0,30,600,0,0,0,0,0,0,0,0,0,0,30,600
0056-openb-node-1147,,G2,96,8,412316860416,20000,12,3788,412316860416,0,0,0,0,0,0,70,1400,0,0,0,0,0,0,30,600,100,2000
0057-openb-node-0321,,G2,96,8,412316860416,20000,12,3376,412316860416,30,600,0,0,0,0,0,0,80,1600,0,0,20,400,190,3800,320,6400
0058-openb-node-0538,,T4,104,2,549755813888,15109,7,392,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0059-openb-node-0099,,V100M16,32,4,137438953472,16160,6,2396,137438953472,30,484,30,484,0,0,0,0,0,0,0,0,0,0,0,0,60,968
0060-openb-node-1112,,P100,16,2,128849018880,16280,2,3038,128849018880,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0061-openb-node-0249,,G2,96,8,412316860416,20000,9,4296,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0062-openb-node-0830,,G2,96,8,412316860416,20000,10,2788,412316860416,0,0,0,0,0,0,0,0,0,0,30,600,30,600,0,0,60,1200
0063-openb-node-0089,,G2,96,8,412316860416,20000,9,1140,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,40,800,0,0,40,800
0064-openb-node-0048,,G2,96,8,412316860416,20000,11,1272,412316860416,0,0,10,200,0,0,0,0,0,0,0,0,30,600,0,0,40,800
0065-openb-node-1201,,T4,104,2,549755813888,15109,7,3792,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
