ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_daca-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_daca-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_daca-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_daca-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_daca-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
847450.92,13.64,0.08,212525.38,3.42
847605.19,13.65,0.08,212617.35,3.42
847765.51,13.65,0.08,212617.14,3.42
847817.04,13.65,0.09,212735.62,3.43
847817.04,13.65,0.09,212735.02,3.43
847986.43,13.66,0.09,212734.42,3.43
848037.96,13.66,0.09,212734.2,3.43
848089.49,13.66,0.09,212852.67,3.43
848249.81,13.66,0.1,212852.47,3.43
848419.2,13.67,0.1,212683.02,3.43
848470.73,13.67,0.1,212682.42,3.43
848631.05,13.67,0.11,212682.21,3.43
848800.44,13.68,0.11,212592.69,3.43
848851.97,13.68,0.11,212711.17,3.43
849012.29,13.68,0.12,212710.96,3.43
849166.56,13.69,0.12,212802.93,3.43
849332.46,13.69,0.13,212805.86,3.43
849563.32,13.7,0.13,212894.03,3.43
849563.32,13.7,0.13,212893.43,3.43
849717.58,13.7,0.13,213102.72,3.44
849769.11,13.7,0.14,213221.19,3.44
849820.64,13.71,0.14,213220.97,3.44
849990.03,13.71,0.14,213220.37,3.44
850041.56,13.71,0.15,213334.28,3.44
850201.88,13.72,0.15,213334.07,3.44
850362.2,13.72,0.15,213300.9,3.44
850522.52,13.72,0.16,213656.47,3.45
850574.05,13.73,0.16,213656.24,3.45
850625.58,13.73,0.16,213656.02,3.45
850785.89,13.73,0.17,213655.81,3.45
850837.42,13.73,0.17,213655.58,3.45
850888.95,13.74,0.17,213655.36,3.45
850888.95,13.74,0.17,213654.76,3.45
850940.48,13.74,0.17,213654.54,3.45
850992.01,13.74,0.18,213764.1,3.45
851190.29,13.75,0.18,213763.51,3.45
851350.61,13.75,0.18,213763.3,3.45
851560.38,13.75,0.19,213762.7,3.45
851560.38,13.75,0.19,213772.79,3.45
852118.91,13.76,0.2,213870.56,3.45
852317.19,13.77,0.2,213869.97,3.46
852477.51,13.77,0.21,213841.2,3.45
852529.04,13.78,0.21,213494.9,3.45
852738.8,13.78,0.21,213409.88,3.45
852893.07,13.78,0.22,213409.28,3.45
853047.33,13.79,0.22,213408.69,3.45
853207.65,13.79,0.22,213408.48,3.45
853259.18,13.79,0.23,213408.26,3.45
853419.5,13.8,0.23,213408.05,3.45
853573.76,13.8,0.23,213407.66,3.45
853783.53,13.8,0.24,213408.55,3.45
853949.43,13.81,0.24,213355.84,3.45
854000.96,13.81,0.24,213355.61,3.45
854000.96,13.81,0.24,213365.7,3.45
854000.96,13.81,0.24,212743.91,3.44
854000.96,13.81,0.24,212642.21,3.44
854161.28,13.81,0.25,212613.44,3.44
854330.68,13.82,0.25,212612.85,3.44
854544.93,13.82,0.26,212612.25,3.44
854705.25,13.83,0.26,212667.01,3.44
854705.25,13.83,0.26,212565.31,3.44
854705.25,13.83,0.26,212564.71,3.44
854756.78,13.83,0.26,212683.19,3.44
854756.78,13.83,0.26,212682.59,3.44
854911.51,13.83,0.27,212803.94,3.44
855071.83,13.84,0.27,212775.18,3.44
855232.15,13.84,0.27,212774.97,3.44
855430.42,13.84,0.28,212849.28,3.44
855644.68,13.85,0.28,212857.42,3.44
855696.21,13.85,0.28,212904.26,3.45
855747.74,13.85,0.29,213022.74,3.45
855799.27,13.86,0.29,213022.35,3.45
855850.8,13.86,0.29,213022.12,3.45
856011.12,13.86,0.3,212993.36,3.45
856177.02,13.87,0.3,212992.76,3.45
856155.31,13.87,0.3,212821.46,3.45
856206.84,13.87,0.3,212821.24,3.45
856258.37,13.87,0.3,212820.85,3.45
856418.69,13.87,0.31,212820.64,3.45
856470.22,13.88,0.31,212474.34,3.44
856624.48,13.88,0.32,212566.31,3.44
856784.8,13.89,0.32,212594.03,3.45
856784.8,13.89,0.32,212593.44,3.45
856939.07,13.89,0.32,212802.73,3.45
856939.07,13.89,0.32,212802.13,3.45
856990.6,13.89,0.33,212801.9,3.45
857521.21,13.9,0.33,213124.17,3.45
857690.61,13.9,0.34,213123.57,3.46
857860.0,13.91,0.34,213122.98,3.46
857889.02,13.91,0.34,212885.47,3.45
857940.55,13.91,0.35,212885.24,3.45
858341.98,13.92,0.35,212943.4,3.45
858502.3,13.92,0.36,212943.2,3.45
858662.62,13.93,0.36,212942.99,3.45
858662.62,13.93,0.36,212800.47,3.45
858860.9,13.93,0.37,212799.87,3.45
858912.43,13.93,0.37,212913.78,3.45
862369.78,13.99,0.42,216094.15,3.51
862568.05,13.99,0.43,216094.15,3.51
862728.37,14.0,0.43,216065.39,3.51
862888.69,14.0,0.44,216036.62,3.51
862888.69,14.0,0.44,216036.02,3.51
863058.08,14.01,0.44,216035.65,3.51
863058.08,14.01,0.44,216035.65,3.51
863218.4,14.01,0.44,216035.45,3.51
863372.67,14.01,0.45,216127.42,3.51
863570.94,14.02,0.45,216127.05,3.51
863622.47,14.02,0.45,216126.82,3.51
863782.79,14.02,0.46,216098.06,3.51
863943.11,14.03,0.46,216097.85,3.51
863994.64,14.03,0.46,216097.48,3.51
864148.9,14.03,0.47,216189.45,3.51
864200.43,14.04,0.47,216307.92,3.51
864390.45,14.04,0.48,216230.72,3.51
864368.75,14.04,0.48,216059.42,3.51
864529.07,14.04,0.48,216059.21,3.51
864580.6,14.05,0.48,216177.69,3.51
864632.13,14.05,0.48,215831.38,3.51
864683.66,14.05,0.49,215831.16,3.51
864897.91,14.06,0.49,215751.18,3.51
865058.23,14.06,0.49,215750.97,3.51
865109.76,14.06,0.5,215404.67,3.5
865279.15,14.07,0.5,215404.07,3.5
865330.68,14.07,0.5,215522.54,3.5
865496.58,14.07,0.51,215521.95,3.5
865496.58,14.07,0.51,215521.35,3.5
865656.9,14.08,0.51,215521.35,3.5
865708.43,14.08,0.51,215520.98,3.51
865922.69,14.08,0.52,215520.38,3.51
866077.42,14.09,0.52,215520.77,3.51
866478.86,14.09,0.53,215578.93,3.51
866530.39,14.1,0.53,215688.5,3.51
866581.92,14.1,0.53,215688.27,3.51
866747.82,14.1,0.54,215705.91,3.51
866908.13,14.11,0.54,215705.7,3.51
867316.28,14.12,0.55,215636.96,3.51
867506.31,14.12,0.55,215559.76,3.51
867660.57,14.12,0.56,215651.73,3.51
869389.24,14.15,0.59,216719.98,3.53
869389.24,14.15,0.59,216614.52,3.53
869549.56,14.16,0.59,216614.31,3.53
869601.09,14.16,0.59,216614.09,3.53
869755.36,14.16,0.6,216614.46,3.53
869806.89,14.16,0.6,216732.93,3.53
869967.2,14.17,0.6,216704.17,3.53
869967.2,14.17,0.6,216704.17,3.53
870198.06,14.17,0.61,216703.57,3.53
870358.38,14.18,0.61,216703.36,3.53
870409.91,14.18,0.61,216357.06,3.52
870409.91,14.18,0.61,216356.46,3.52
870570.23,14.18,0.62,216356.46,3.52
871044.15,14.19,0.63,216339.16,3.52
871095.68,14.19,0.63,216338.93,3.53
871256.0,14.2,0.63,216338.72,3.53
871256.0,14.2,0.63,216233.26,3.52
871256.0,14.2,0.63,216232.67,3.52
872984.67,14.23,0.66,217300.91,3.54
873036.21,14.23,0.66,217300.69,3.54
873087.74,14.23,0.67,217300.46,3.54
873248.05,14.24,0.67,217271.7,3.54
873417.45,14.24,0.67,216902.79,3.54
873417.45,14.24,0.67,216730.27,3.53
873468.98,14.24,0.68,216730.04,3.53
873629.29,14.25,0.68,216729.83,3.53
873629.29,14.25,0.68,216557.31,3.53
873783.56,14.25,0.68,216649.28,3.53
873835.09,14.25,0.69,216648.91,3.53
873886.62,14.26,0.69,216648.54,3.53
874046.94,14.26,0.69,216648.33,3.53
874098.47,14.26,0.7,216766.81,3.54
874258.78,14.27,0.7,216738.04,3.54
874419.1,14.27,0.7,216737.83,3.54
874588.49,14.27,0.71,216648.31,3.54
874566.79,14.27,0.71,216647.72,3.54
874566.79,14.27,0.71,216647.12,3.54
874618.32,14.28,0.71,216646.9,3.54
874669.85,14.28,0.71,216765.37,3.54
874830.17,14.28,0.72,216736.61,3.54
874829.87,14.28,0.72,216473.13,3.53
875039.64,14.29,0.72,216392.2,3.53
875229.66,14.29,0.72,216391.6,3.53
875399.05,14.29,0.73,216222.15,3.53
875559.37,14.3,0.73,216221.94,3.53
875610.9,14.3,0.73,216221.72,3.53
875662.43,14.3,0.74,216340.19,3.53
875822.75,14.31,0.74,216311.43,3.53
876055.55,14.31,0.75,215728.54,3.52
876107.08,14.32,0.75,215728.32,3.52
876158.61,14.32,0.75,215728.09,3.53
876318.92,14.32,0.76,215727.89,3.53
876370.45,14.32,0.76,215846.36,3.53
876530.77,14.33,0.76,215846.15,3.53
876582.3,14.33,0.76,215845.93,3.53
876742.62,14.33,0.77,215873.65,3.53
876902.94,14.34,0.77,215844.89,3.53
876924.02,14.34,0.77,215753.3,3.53
876909.1,14.34,0.77,215753.74,3.53
876909.1,14.34,0.77,215611.22,3.53
876960.63,14.34,0.78,215611.0,3.53
877012.16,14.35,0.78,215729.47,3.53
877063.69,14.35,0.78,215729.25,3.53
877233.09,14.35,0.79,215639.73,3.53
877233.09,14.35,0.79,215649.81,3.53
877393.4,14.36,0.79,215649.6,3.53
877553.72,14.36,0.79,215649.4,3.53
877719.62,14.36,0.8,215596.68,3.53
877879.94,14.37,0.8,215616.97,3.53
877931.47,14.37,0.8,215616.97,3.53
877983.0,14.37,0.81,215735.44,3.53
878143.32,14.38,0.81,215706.68,3.53
878312.71,14.38,0.81,215706.08,3.53
878473.03,14.38,0.82,215677.32,3.53
878642.42,14.39,0.82,215676.72,3.53
878642.42,14.39,0.82,215537.5,3.53
879054.55,14.39,0.83,215325.89,3.53
880110.56,14.41,0.85,216116.86,3.54
880270.88,14.42,0.85,216088.09,3.54
880431.2,14.42,0.85,216059.33,3.54
880585.46,14.42,0.86,216279.73,3.54
880745.78,14.43,0.86,216250.96,3.54
880906.1,14.43,0.86,216250.76,3.54
881066.41,14.43,0.87,216250.55,3.54
881235.81,14.44,0.87,216161.03,3.54
881396.12,14.44,0.88,216132.26,3.54
881447.65,14.44,0.88,216250.74,3.54
881657.42,14.45,0.88,216169.81,3.54
881823.32,14.45,0.89,216169.21,3.54
881992.72,14.46,0.89,216168.61,3.54
882044.25,14.46,0.89,216168.39,3.54
882275.11,14.46,0.9,216101.24,3.54
882429.37,14.47,0.9,216193.21,3.54
