ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,2,650,6212,650
2,10,1120,6212,1120
3,12,1590,6212,1590
4,14,2060,6212,2060
5,22,2870,6212,2870
6,30,2870,6212,2870
7,32,3190,6212,3190
8,34,4000,6212,4000
9,36,4480,6212,4480
10,44,5290,6212,5290
11,46,5340,6212,5340
12,54,5810,6212,5810
13,62,6030,6212,6030
14,63,6030,6212,6030
15,65,6500,6212,6500
16,73,6820,6212,6820
17,81,7140,6212,7140
18,83,7730,6212,7730
19,91,7960,6212,7960
20,93,8430,6212,8430
21,95,8750,6212,8750
22,97,9220,6212,9220
23,99,9690,6212,9690
24,101,10160,6212,10160
25,103,10970,6212,10970
26,111,10970,6212,10970
27,115,11780,6212,11780
28,123,12250,6212,12250
29,125,12720,6212,12720
30,127,13530,6212,13530
31,135,14180,6212,14180
32,143,14990,6212,14990
33,145,15310,6212,15310
34,153,15780,6212,15780
35,155,15940,6212,15940
36,163,16410,6212,16410
37,171,16850,6212,16850
38,179,17320,6212,17320
39,187,17780,6212,17780
40,195,18370,6212,18370
41,197,18840,6212,18840
42,199,19490,6212,19490
43,207,20300,6212,20300
44,215,20300,6212,20300
45,216,20620,6212,20620
46,218,21430,6212,21430
47,220,22240,6212,22240
48,222,23050,6212,23050
49,230,23050,6212,23050
50,232,23370,6212,23370
51,240,23590,6212,23590
52,242,24400,6212,24400
53,244,24400,6212,24400
54,246,25210,6212,25210
55,254,25370,6212,25370
56,262,26180,6212,26180
56,262,26650,6212,26650
