ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_18f4-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
847605.19,13.65,0.08,212615.95,3.42
847765.51,13.65,0.08,212615.75,3.42
848661.64,13.67,0.1,213017.51,3.43
848821.96,13.67,0.1,212988.74,3.43
848873.49,13.67,0.11,212988.52,3.43
848873.49,13.67,0.11,212987.92,3.43
849042.88,13.67,0.11,212898.4,3.43
849094.41,13.68,0.11,212552.1,3.42
849249.15,13.68,0.11,212673.4,3.43
849300.68,13.68,0.12,212673.18,3.43
849293.89,13.68,0.12,212666.53,3.43
849454.21,13.69,0.12,212666.32,3.43
849668.47,13.69,0.12,212666.32,3.43
849668.47,13.69,0.12,212451.31,3.42
850381.37,13.7,0.14,212750.09,3.43
850550.77,13.71,0.14,212749.49,3.43
850720.16,13.71,0.14,212748.89,3.43
850918.44,13.72,0.15,212823.21,3.43
851128.21,13.72,0.15,212822.61,3.43
851288.53,13.72,0.16,212793.85,3.43
851457.92,13.73,0.16,212704.33,3.43
851618.24,13.73,0.16,212675.56,3.43
852019.67,13.74,0.17,212733.72,3.43
852179.99,13.74,0.17,212704.96,3.43
852231.52,13.74,0.18,212823.43,3.43
852231.52,13.74,0.18,212822.84,3.43
852283.05,13.75,0.18,212795.46,3.43
852443.37,13.75,0.18,212795.25,3.43
852603.69,13.75,0.19,212766.48,3.43
852655.22,13.76,0.19,212884.96,3.43
852809.48,13.76,0.19,212884.36,3.43
852861.01,13.76,0.2,212884.14,3.44
853030.4,13.77,0.2,212794.62,3.43
853190.72,13.77,0.2,212794.41,3.43
853169.02,13.77,0.2,212619.14,3.43
853329.33,13.77,0.21,212618.93,3.43
853496.12,13.78,0.21,212619.89,3.43
853656.43,13.78,0.21,212619.68,3.43
853822.34,13.78,0.22,212619.08,3.43
854020.61,13.79,0.22,212618.48,3.43
854733.52,13.8,0.23,212917.26,3.44
854887.79,13.81,0.24,213144.65,3.44
854939.32,13.81,0.24,213144.42,3.44
