ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
1,2,650,6212,650
2,4,1120,6212,1120
3,5,1590,6212,1590
4,6,2060,6212,2060
4,6,2870,6212,2870
5,8,2870,6212,2870
5,8,3190,6212,3190
6,9,4000,6212,4000
7,11,4480,6212,4480
8,12,5290,6212,5290
8,12,5340,6212,5340
9,14,5810,6212,5810
9,14,6030,6212,6030
10,16,6030,6212,6030
11,18,6500,6212,6500
11,18,6820,6212,6820
11,18,7140,6212,7140
12,19,7730,6212,7730
13,21,7960,6212,7960
13,21,8430,6212,8430
14,23,8750,6212,8750
14,23,9220,6212,9220
15,24,9690,6212,9690
16,26,10160,6212,10160
17,27,10970,6212,10970
18,31,10970,6212,10970
19,32,11780,6212,11780
20,34,12250,6212,12250
21,36,12720,6212,12720
22,37,13530,6212,13530
23,39,14180,6212,14180
23,39,14990,6212,14990
23,39,15310,6212,15310
24,41,15780,6212,15780
24,41,15940,6212,15940
25,42,16410,6212,16410
26,43,16850,6212,16850
27,44,17320,6212,17320
28,45,17780,6212,17780
28,45,18370,6212,18370
29,47,18840,6212,18840
29,47,19490,6212,19490
30,48,20300,6212,20300
30,48,20300,6212,20300
31,50,20620,6212,20620
32,51,21430,6212,21430
33,52,22240,6212,22240
34,53,23050,6212,23050
35,57,23050,6212,23050
35,57,23370,6212,23370
35,57,23590,6212,23590
36,58,24400,6212,24400
37,62,24400,6212,24400
38,63,25210,6212,25210
38,63,25370,6212,25370
39,64,26180,6212,26180
40,65,26650,6212,26650
41,67,27120,6212,27120
42,68,27930,6212,27930
43,70,28400,6212,28400
43,70,28870,6212,28870
43,70,29190,6212,29190
44,72,29510,6212,29510
44,72,29510,6212,29510
45,74,29510,6212,29510
46,76,30160,6212,30160
46,76,30630,6212,30630
46,76,31440,6212,31440
46,76,31910,6212,31910
47,78,32560,6212,32560
47,78,33370,6212,33370
48,80,33840,6212,33840
49,82,34310,6212,34310
50,84,34780,6212,34780
50,84,35260,6212,35260
51,86,36070,6212,36070
51,86,36880,6212,36880
52,87,37690,6212,37690
52,87,38160,6212,38160
53,89,38160,6212,38160
54,91,38970,6212,38970
55,93,39620,6212,39620
56,95,40090,6212,40090
56,95,40410,6212,40410
57,97,41060,6212,41060
57,97,41870,6212,41870
57,97,42680,6212,42680
58,99,43150,6212,43150
59,101,43620,6212,43620
60,103,44090,6212,44090
60,103,44900,6212,44900
61,105,45370,6212,45370
62,107,45830,6212,45830
62,107,46060,6212,46060
63,109,46530,6212,46530
63,109,47000,6212,47000
64,113,47000,6212,47000
64,113,47470,6212,47470
65,115,47940,6212,47940
66,117,48410,6212,48410
66,117,48730,6212,48730
67,119,48730,6212,48730
68,121,49200,6212,49200
68,121,49360,6212,49360
68,121,49580,6212,49580
69,123,50050,6212,50050
69,123,50520,6212,50520
70,125,51330,6212,51330
70,125,52140,6212,52140
70,125,52950,6212,52950
71,127,53320,6212,53320
71,127,53790,6212,53790
71,127,54600,6212,54600
72,129,54600,6212,54600
73,131,55060,6212,55060
73,131,55380,6212,55380
73,131,56190,6212,56190
73,131,56660,6212,56660
73,131,57470,6212,57470
74,135,57470,6212,57470
75,137,57940,6212,57940
76,139,57940,6212,57940
77,141,58410,6212,58410
78,143,58410,6212,58410
