ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
848009.46,13.65,0.09,212947.25,3.43
848722.36,13.67,0.1,213243.15,3.43
848935.43,13.67,0.1,213189.69,3.43
849148.5,13.67,0.11,213136.23,3.43
848858.64,13.67,0.1,212625.69,3.42
850587.32,13.7,0.13,213691.07,3.44
850813.08,13.7,0.14,213670.54,3.44
850683.34,13.7,0.14,213274.27,3.44
850838.08,13.71,0.14,213155.41,3.43
850708.34,13.71,0.14,212759.14,3.43
851115.13,13.71,0.15,213067.19,3.43
851828.04,13.73,0.16,213363.09,3.44
852236.84,13.73,0.17,213478.85,3.44
853965.51,13.76,0.19,214544.22,3.46
854678.42,13.77,0.21,214840.13,3.46
854904.19,13.78,0.21,214819.6,3.46
855129.95,13.78,0.22,214799.07,3.46
855158.97,13.78,0.22,214561.56,3.46
855368.74,13.79,0.22,214408.06,3.46
856187.64,13.8,0.24,214926.94,3.46
856357.04,13.8,0.24,214754.61,3.46
857126.32,13.82,0.25,215202.31,3.47
857339.39,13.82,0.26,215148.85,3.47
858052.29,13.84,0.27,215444.76,3.47
857922.56,13.84,0.27,215048.49,3.47
857922.56,13.84,0.27,214776.22,3.46
857792.82,13.83,0.27,214379.95,3.46
858688.95,13.85,0.28,214781.72,3.46
859401.86,13.86,0.3,215077.62,3.47
859272.12,13.86,0.3,214681.36,3.46
859830.65,13.87,0.31,214797.27,3.47
859540.8,13.87,0.3,214286.73,3.46
859766.56,13.87,0.31,214266.2,3.46
860662.7,13.89,0.32,214667.97,3.46
860640.99,13.89,0.32,214266.36,3.46
860854.06,13.89,0.33,214212.9,3.46
861097.13,13.9,0.33,214189.44,3.46
861310.19,13.9,0.34,214135.98,3.46
861528.75,13.91,0.34,214088.01,3.46
861484.52,13.91,0.34,213797.48,3.45
862197.43,13.92,0.36,214093.39,3.46
861552.85,13.91,0.35,213451.15,3.45
861423.12,13.91,0.35,213054.89,3.44
862642.6,13.93,0.37,216241.97,3.49
863116.53,13.94,0.37,216221.8,3.49
862986.79,13.94,0.37,215825.53,3.49
862857.05,13.94,0.37,215429.26,3.48
862727.31,13.94,0.37,215033.0,3.47
866184.66,14.0,0.43,218213.36,3.53
866410.42,14.0,0.43,218192.83,3.53
867125.17,14.01,0.45,218738.39,3.53
866995.43,14.01,0.45,218342.12,3.53
866995.43,14.01,0.45,218069.85,3.52
866865.69,14.01,0.45,217673.58,3.52
868774.53,14.04,0.48,218018.07,3.52
868644.79,14.04,0.48,217621.8,3.52
868857.86,14.05,0.48,217568.34,3.52
869570.77,14.06,0.49,217864.25,3.52
869441.03,14.06,0.49,217467.98,3.52
869842.47,14.07,0.5,217523.27,3.52
870229.7,14.07,0.51,217593.36,3.52
870455.47,14.08,0.51,217572.83,3.52
870929.4,14.09,0.52,217552.65,3.52
871654.47,14.1,0.53,218463.05,3.53
873383.15,14.13,0.56,219528.43,3.55
873941.68,14.14,0.57,219644.35,3.55
