name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0860,,G2,96,8,412316860416,20000,12,272,412316860416,410,8200,30,600,190,3800,190,3800,60,1200,70,1400,450,9000,190,3800,1590,31800
0001-openb-node-0956,,G2,96,8,412316860416,20000,15,272,412316860416,80,1600,30,600,60,1200,30,600,190,3800,190,3800,190,3800,190,3800,960,19200
0002-openb-node-0987,,T4,104,2,549755813888,15109,10,1148,549755813888,40,604,30,453,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0003-openb-node-0569,,G2,96,8,412316860416,20000,15,1168,412316860416,50,1000,60,1200,60,1200,120,2400,190,3800,190,3800,90,1800,30,600,790,15800
0004-openb-node-1093,,T4,104,2,549755813888,15109,11,896,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0005-openb-node-0042,,G2,96,8,412316860416,20000,12,1180,412316860416,190,3800,190,3800,190,3800,60,1200,190,3800,190,3800,60,1200,190,3800,1260,25200
0006-openb-node-0773,,G2,96,8,412316860416,20000,14,1536,412316860416,0,0,60,1200,30,600,190,3800,190,3800,190,3800,190,3800,190,3800,1040,20800
0007-openb-node-1008,,G2,96,8,412316860416,20000,14,1680,412316860416,30,600,190,3800,190,3800,60,1200,190,3800,190,3800,190,3800,120,2400,1160,23200
0008-openb-node-1015,,T4,104,2,549755813888,15109,9,1896,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0009-openb-node-0828,,G2,96,8,412316860416,20000,14,1760,412316860416,190,3800,70,1400,30,600,120,2400,190,3800,60,1200,90,1800,190,3800,940,18800
0010-openb-node-1151,,T4,104,2,549755813888,15109,9,1196,549755813888,190,2870,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,320,4834
0011-openb-node-0784,,G2,96,8,412316860416,20000,12,1620,412316860416,190,3800,190,3800,190,3800,190,3800,190,3800,190,3800,190,3800,60,1200,1390,27800
0012-openb-node-0094,,G2,96,8,412316860416,20000,13,636,412316860416,190,3800,60,1200,190,3800,80,1600,210,4200,190,3800,360,7200,1000,20000,2280,45600
0013-openb-node-0037,,G3,128,8,824633720832,30000,17,3772,824633720832,90,2700,190,5700,70,2100,190,5700,10,300,190,5700,0,0,190,5700,930,27900
0014-openb-node-0324,,G2,96,8,412316860416,20000,13,504,412316860416,60,1200,60,1200,120,2400,190,3800,190,3800,190,3800,210,4200,710,14200,1730,34600
0015-openb-node-0327,,G2,96,8,412316860416,20000,14,3128,412316860416,60,1200,30,600,190,3800,190,3800,0,0,190,3800,190,3800,190,3800,1040,20800
0016-openb-node-1071,,G2,96,8,412316860416,20000,14,628,412316860416,190,3800,160,3200,30,600,190,3800,190,3800,190,3800,190,3800,90,1800,1230,24600
0017-openb-node-0601,,T4,104,2,549755813888,15109,9,2196,549755813888,80,1208,30,453,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
0018-openb-node-0999,,G2,96,8,412316860416,20000,13,1272,412316860416,190,3800,60,1200,190,3800,180,3600,30,600,190,3800,190,3800,190,3800,1220,24400
0019-openb-node-0776,,T4,104,2,549755813888,15109,8,1196,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0020-openb-node-1059,,P100,16,2,128849018880,16280,2,940,128849018880,350,5698,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0021-openb-node-0273,,G2,96,8,412316860416,20000,12,3180,412316860416,190,3800,190,3800,190,3800,70,1400,120,2400,190,3800,190,3800,190,3800,1330,26600
0022-openb-node-0360,,G2,96,8,412316860416,20000,12,1272,412316860416,80,1600,190,3800,60,1200,190,3800,190,3800,190,3800,190,3800,60,1200,1150,23000
0023-openb-node-0963,,T4,104,2,549755813888,15109,7,696,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0024-openb-node-0697,,T4,104,2,549755813888,15109,8,196,549755813888,80,1208,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,270,4078
0025-openb-node-1006,,G2,96,8,412316860416,20000,13,680,412316860416,80,1600,190,3800,190,3800,190,3800,190,3800,190,3800,210,4200,190,3800,1430,28600
0026-openb-node-0549,,G2,96,8,412316860416,20000,14,180,412316860416,190,3800,190,3800,190,3800,0,0,190,3800,190,3800,60,1200,190,3800,1200,24000
0027-openb-node-1183,,T4,104,2,549755813888,15109,9,3196,549755813888,30,453,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
0028-openb-node-0163,,P100,16,2,128849018880,16280,2,92,128849018880,210,3418,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1210,19698
0029-openb-node-0553,,P100,16,2,128849018880,16280,1,600,128849018880,1000,16280,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,2000,32560
0030-openb-node-0385,,G2,96,8,412316860416,20000,14,1680,412316860416,30,600,190,3800,50,1000,210,4200,190,3800,190,3800,190,3800,190,3800,1240,24800
0031-openb-node-0423,,T4,104,2,549755813888,15109,8,796,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0032-openb-node-0671,,T4,104,2,549755813888,15109,8,5196,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0033-openb-node-0985,,P100,16,2,128849018880,16280,5,0,128849018880,250,4070,30,488,0,0,0,0,0,0,0,0,0,0,0,0,280,4558
0034-openb-node-0227,,G2,96,8,412316860416,20000,14,1912,412316860416,130,2600,190,3800,30,600,120,2400,190,3800,60,1200,120,2400,190,3800,1030,20600
0035-openb-node-0849,,G2,96,8,412316860416,20000,13,872,412316860416,190,3800,190,3800,190,3800,30,600,190,3800,190,3800,190,3800,60,1200,1230,24600
0036-openb-node-0387,,T4,104,2,549755813888,15109,10,2696,549755813888,90,1359,20,302,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
0037-openb-node-0708,,G2,96,8,412316860416,20000,15,16,412316860416,30,600,190,3800,190,3800,190,3800,190,3800,60,1200,60,1200,60,1200,970,19400
0038-openb-node-1111,,P100,16,2,128849018880,16280,2,92,128849018880,210,3418,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1210,19698
0039-openb-node-0520,,G2,96,8,412316860416,20000,15,1924,412316860416,190,3800,190,3800,190,3800,10,200,190,3800,190,3800,120,2400,70,1400,1150,23000
0040-openb-node-1002,,G2,96,8,412316860416,20000,13,3168,412316860416,60,1200,190,3800,190,3800,70,1400,30,600,190,3800,220,4400,190,3800,1140,22800
