ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_97c4-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
847605.19,13.65,0.08,212598.99,3.42
847765.51,13.65,0.08,212649.4,3.42
847529.53,13.65,0.08,212439.63,3.42
847742.6,13.65,0.09,212386.17,3.42
847612.86,13.65,0.08,211989.9,3.41
847612.86,13.65,0.08,211989.31,3.41
847352.93,13.65,0.08,211733.63,3.41
847223.19,13.65,0.08,211337.36,3.4
847352.24,13.65,0.08,211235.09,3.4
847222.5,13.65,0.08,210838.83,3.4
847172.5,13.65,0.08,210788.83,3.4
847332.82,13.65,0.09,210760.06,3.4
847186.83,13.65,0.08,210578.87,3.39
847186.83,13.65,0.08,210578.87,3.39
846950.85,13.65,0.08,210435.11,3.39
847120.25,13.65,0.09,210840.16,3.4
847113.4,13.65,0.09,210750.57,3.4
847142.42,13.65,0.09,210513.06,3.39
846974.21,13.65,0.09,210387.61,3.39
847134.53,13.66,0.09,210358.84,3.39
847045.44,13.65,0.09,210215.08,3.39
847205.76,13.66,0.09,210711.44,3.4
846969.78,13.66,0.09,210463.8,3.39
847130.1,13.66,0.09,210435.03,3.39
847181.63,13.66,0.1,210610.0,3.4
847181.63,13.66,0.1,210865.26,3.4
847051.89,13.66,0.1,210468.99,3.39
846815.91,13.66,0.09,210392.8,3.39
846976.23,13.66,0.1,210364.04,3.39
847027.76,13.67,0.1,210539.0,3.4
847182.02,13.67,0.1,210630.98,3.4
847233.55,13.67,0.11,210740.54,3.4
846973.62,13.67,0.1,210578.74,3.4
846737.64,13.67,0.1,210502.55,3.4
846580.75,13.66,0.1,210363.84,3.4
846793.81,13.67,0.1,210310.38,3.39
847036.88,13.67,0.11,210286.92,3.39
847249.95,13.68,0.11,210233.46,3.39
847468.51,13.68,0.12,210185.49,3.39
847497.53,13.68,0.12,209947.98,3.39
847657.84,13.69,0.12,209919.22,3.39
847812.11,13.69,0.12,210340.74,3.4
847682.37,13.69,0.12,209944.47,3.39
847682.37,13.69,0.12,210002.51,3.39
847422.44,13.69,0.12,209673.99,3.39
847292.7,13.69,0.12,209277.73,3.38
847162.96,13.69,0.12,208881.46,3.37
847033.22,13.69,0.12,208485.19,3.37
847033.22,13.69,0.12,210846.88,3.41
846944.14,13.69,0.12,210842.85,3.41
847407.21,13.69,0.13,211039.39,3.41
847277.47,13.69,0.13,210643.13,3.4
850106.86,13.74,0.17,215643.38,3.49
849977.12,13.74,0.17,215247.11,3.48
849819.93,13.74,0.17,215094.57,3.48
849690.19,13.74,0.17,214698.31,3.47
849903.26,13.74,0.17,214644.85,3.47
850616.17,13.75,0.19,214943.63,3.48
850351.93,13.75,0.18,214433.1,3.47
850565.0,13.76,0.19,214379.64,3.47
850725.32,13.76,0.19,214350.87,3.47
850469.37,13.76,0.19,214094.92,3.46
850380.29,13.75,0.19,213951.16,3.46
850380.29,13.75,0.19,213950.57,3.46
850380.29,13.75,0.19,213950.57,3.46
850534.55,13.76,0.19,214432.55,3.47
850694.87,13.76,0.2,214403.79,3.47
850746.4,13.76,0.2,214578.75,3.47
850510.42,13.76,0.2,214502.56,3.47
850664.68,13.77,0.2,214594.54,3.47
850716.21,13.77,0.2,214704.1,3.47
851429.12,13.78,0.21,215002.88,3.48
851830.56,13.79,0.22,215061.04,3.48
851990.88,13.79,0.23,215032.28,3.48
852056.64,13.79,0.23,214851.75,3.48
852018.28,13.8,0.23,214469.36,3.47
852069.81,13.8,0.23,214644.32,3.48
852121.34,13.8,0.23,214762.8,3.48
851885.36,13.8,0.23,214686.61,3.48
851885.36,13.8,0.23,215156.3,3.48
851936.89,13.8,0.23,215215.34,3.49
852495.42,13.81,0.25,215313.12,3.49
852655.73,13.82,0.25,215284.35,3.49
852395.81,13.81,0.25,215006.26,3.48
852550.07,13.82,0.25,215234.56,3.49
852260.22,13.81,0.25,214745.03,3.48
852311.75,13.82,0.25,214398.73,3.48
852075.77,13.81,0.25,214370.82,3.48
852472.91,13.82,0.25,214505.37,3.48
852633.23,13.82,0.26,214476.61,3.48
852684.76,13.83,0.26,214651.57,3.48
852448.78,13.82,0.26,214575.38,3.48
852614.68,13.83,0.26,214522.67,3.48
852444.75,13.83,0.26,214449.92,3.48
852213.19,13.82,0.26,214330.11,3.48
852373.5,13.83,0.26,214700.99,3.48
852373.5,13.83,0.26,217495.45,3.53
852137.52,13.82,0.26,217254.57,3.52
852297.84,13.83,0.26,217225.81,3.52
852061.86,13.82,0.26,217082.05,3.52
851801.93,13.82,0.25,216827.9,3.52
853252.09,13.84,0.28,218375.47,3.54
853412.4,13.85,0.28,218740.41,3.55
853255.21,13.85,0.28,218587.88,3.55
853247.76,13.85,0.28,218517.12,3.55
853408.08,13.85,0.28,218488.36,3.55
853172.1,13.85,0.28,218344.6,3.54
853223.63,13.85,0.28,218587.13,3.55
853275.16,13.85,0.29,218705.61,3.55
853326.69,13.85,0.29,218764.65,3.55
853020.74,13.85,0.28,218458.7,3.55
853181.06,13.85,0.29,218425.46,3.55
853232.59,13.86,0.29,218598.3,3.55
853232.59,13.86,0.29,218598.3,3.55
853006.61,13.85,0.29,218532.81,3.55
852772.21,13.85,0.29,218325.28,3.55
852823.74,13.85,0.29,218443.76,3.55
852984.06,13.86,0.29,218471.48,3.55
853035.59,13.86,0.29,218589.96,3.55
853035.59,13.86,0.29,218589.96,3.55
852799.61,13.86,0.29,218513.77,3.55
852799.61,13.86,0.29,218513.77,3.55
852959.93,13.86,0.29,218541.49,3.55
852959.93,13.86,0.29,218540.9,3.55
852751.39,13.86,0.29,218386.71,3.55
852751.39,13.86,0.29,218386.71,3.55
852802.92,13.86,0.29,218040.41,3.54
852854.45,13.86,0.3,217820.32,3.54
852854.45,13.86,0.3,219334.94,3.57
852854.45,13.86,0.3,219854.29,3.57
852618.47,13.86,0.29,219778.1,3.57
852670.0,13.86,0.3,219896.58,3.58
852839.39,13.87,0.3,219877.85,3.58
852890.92,13.87,0.3,219996.32,3.58
852942.46,13.87,0.31,220055.37,3.58
852667.4,13.87,0.3,219995.36,3.58
852827.72,13.87,0.31,219966.6,3.58
852879.25,13.88,0.31,220141.56,3.58
852790.16,13.87,0.31,220211.78,3.58
852841.69,13.88,0.31,219865.47,3.58
852893.22,13.88,0.31,219645.38,3.57
853053.54,13.88,0.32,219616.62,3.57
853207.81,13.89,0.32,219844.91,3.58
853037.88,13.89,0.32,219890.27,3.58
853089.41,13.89,0.32,220008.74,3.58
853140.94,13.89,0.32,220067.78,3.58
852914.96,13.89,0.32,219840.38,3.58
852914.96,13.89,0.32,221105.03,3.6
852966.49,13.89,0.32,221223.5,3.6
859814.38,14.0,0.44,225922.2,3.68
859983.77,14.01,0.44,225903.47,3.68
859983.77,14.01,0.44,225903.47,3.68
860035.3,14.01,0.44,226021.95,3.68
860035.3,14.01,0.44,226021.95,3.68
859937.15,14.01,0.44,226138.62,3.68
860146.91,14.01,0.45,226148.05,3.68
860198.44,14.01,0.45,225801.75,3.68
859973.01,14.01,0.45,225802.63,3.68
860024.54,14.02,0.45,225582.54,3.68
860076.07,14.02,0.45,225701.01,3.68
860076.07,14.02,0.45,225701.01,3.68
860236.39,14.02,0.46,225728.74,3.68
860287.92,14.02,0.46,225382.43,3.67
860339.45,14.03,0.46,225162.34,3.67
860493.72,14.03,0.46,225254.31,3.67
860257.74,14.03,0.46,225178.12,3.67
860309.27,14.03,0.46,225287.69,3.67
860049.34,14.03,0.46,225125.89,3.67
860049.34,14.03,0.46,225125.29,3.67
860247.62,14.03,0.47,225199.6,3.67
860247.62,14.03,0.47,225199.6,3.67
860299.15,14.03,0.47,225360.07,3.68
860459.46,14.04,0.47,225331.3,3.68
865924.01,14.13,0.56,228519.59,3.73
865698.03,14.13,0.56,228375.83,3.73
865749.56,14.13,0.56,228628.16,3.73
865909.87,14.13,0.57,228599.39,3.73
865673.89,14.13,0.56,228455.63,3.73
865725.42,14.13,0.57,228698.17,3.73
865776.95,14.13,0.57,228816.64,3.74
865975.23,14.14,0.57,228932.94,3.74
866135.55,14.14,0.58,228904.18,3.74
865899.57,14.14,0.57,228760.42,3.74
865951.1,14.14,0.58,229002.96,3.74
866111.42,14.15,0.58,228974.19,3.74
865817.47,14.14,0.58,228789.84,3.74
865869.0,14.14,0.58,228964.8,3.74
865643.02,14.14,0.58,228898.41,3.74
865694.55,14.14,0.58,229016.88,3.74
865537.36,14.14,0.58,228864.62,3.74
865293.42,14.14,0.57,228729.25,3.74
865453.74,14.14,0.58,228756.97,3.74
865505.27,14.15,0.58,228875.45,3.74
865505.27,14.15,0.58,230390.07,3.77
865505.27,14.15,0.58,230390.07,3.77
865505.27,14.15,0.58,230909.42,3.77
865488.51,14.15,0.58,231050.07,3.78
865540.04,14.15,0.58,231109.12,3.78
865540.04,14.15,0.58,232373.77,3.8
865700.36,14.15,0.59,232340.53,3.8
865464.38,14.15,0.58,232194.65,3.8
865464.38,14.15,0.58,232194.05,3.8
865618.65,14.15,0.59,232541.05,3.8
865670.18,14.16,0.59,232659.52,3.8
865721.71,14.16,0.59,232718.56,3.81
865773.24,14.16,0.6,232837.04,3.81
865927.97,14.17,0.6,233013.42,3.81
865687.57,14.16,0.6,232759.52,3.81
865885.85,14.17,0.6,232400.21,3.8
866209.4,14.17,0.61,232620.93,3.81
865949.47,14.17,0.6,232363.93,3.8
866662.38,14.18,0.62,232662.71,3.81
866489.23,14.18,0.61,232489.56,3.8
869029.82,14.22,0.66,234990.44,3.85
869029.82,14.22,0.66,234990.44,3.85
868820.6,14.22,0.65,234751.96,3.84
868980.91,14.22,0.66,234723.19,3.84
868716.68,14.22,0.65,234212.66,3.83
868716.68,14.22,0.65,235708.61,3.86
868699.93,14.22,0.65,235564.85,3.86
868860.24,14.22,0.66,236115.87,3.87
868651.02,14.22,0.66,235830.45,3.86
868561.93,14.22,0.65,235836.77,3.86
868561.93,14.22,0.65,234781.08,3.84
868760.21,14.23,0.66,234855.39,3.85
868920.53,14.23,0.66,235005.98,3.85
868684.55,14.23,0.66,235003.49,3.85
868736.08,14.23,0.66,234657.19,3.84
869133.22,14.24,0.67,234791.74,3.85
869287.49,14.24,0.67,234883.71,3.85
869339.02,14.24,0.68,234993.28,3.85
869504.92,14.25,0.68,234940.56,3.85
869504.92,14.25,0.68,234950.65,3.85
869556.45,14.25,0.68,235139.48,3.85
869607.98,14.25,0.69,235257.95,3.86
869659.51,14.26,0.69,235317.0,3.86
869427.95,14.25,0.69,235260.69,3.86
869479.48,14.26,0.69,235379.17,3.86
869633.74,14.26,0.69,235462.23,3.86
869685.27,14.26,0.7,235580.7,3.86
869845.59,14.27,0.7,235608.43,3.86
869897.12,14.27,0.7,235726.9,3.87
869661.14,14.27,0.7,235650.71,3.87
869712.67,14.27,0.7,235729.11,3.87
869764.2,14.27,0.71,235847.58,3.87
869815.73,14.27,0.71,235906.63,3.87
869976.05,14.28,0.71,235877.86,3.87
870027.58,14.28,0.71,236052.83,3.87
869801.6,14.28,0.71,235986.44,3.87
869557.66,14.28,0.71,235741.5,3.87
869297.73,14.27,0.71,235579.7,3.87
869458.04,14.28,0.71,235550.93,3.87
869198.12,14.27,0.71,235389.13,3.87
868882.63,14.27,0.7,235073.64,3.86
868865.87,14.27,0.7,234929.88,3.86
868917.4,14.27,0.7,235319.48,3.86
868968.93,14.27,0.71,235437.95,3.87
870419.09,14.3,0.73,237343.03,3.9
870588.48,14.3,0.73,237324.3,3.9
870490.32,14.3,0.73,237441.73,3.9
871203.23,14.31,0.75,237740.51,3.91
871761.76,14.32,0.76,237838.28,3.91
871497.53,14.32,0.75,237327.75,3.9
871549.06,14.32,0.76,237155.23,3.9
871339.83,14.32,0.75,237017.97,3.9
871391.36,14.32,0.76,237387.36,3.9
871551.68,14.33,0.76,237358.59,3.9
871261.82,14.32,0.76,236869.07,3.89
871245.07,14.32,0.76,236725.31,3.89
871410.97,14.33,0.76,237284.43,3.9
871462.5,14.33,0.77,237402.91,3.9
871514.03,14.33,0.77,237461.95,3.91
871565.56,14.34,0.77,237580.43,3.91
871333.99,14.33,0.77,237315.48,3.9
871385.52,14.34,0.77,237374.53,3.91
871228.63,14.33,0.77,237221.79,3.9
871382.89,14.34,0.77,237313.76,3.91
871382.89,14.34,0.77,237303.08,3.9
871173.67,14.34,0.77,237148.9,3.9
871333.98,14.34,0.77,237256.46,3.9
871333.98,14.34,0.77,238771.08,3.93
871564.84,14.34,0.78,238859.25,3.93
871616.37,14.35,0.78,239033.01,3.93
871380.39,14.34,0.78,239005.72,3.93
871540.71,14.35,0.78,238976.96,3.93
871304.73,14.35,0.78,238833.2,3.93
871356.26,14.35,0.78,239075.74,3.94
871096.33,14.35,0.78,238820.96,3.93
870859.81,14.34,0.78,238697.62,3.93
870911.34,14.34,0.78,238816.09,3.93
873451.93,14.39,0.82,244806.34,4.03
873612.25,14.39,0.82,244995.9,4.04
873663.78,14.39,0.83,244649.59,4.03
873427.8,14.39,0.82,244399.53,4.03
873783.45,14.4,0.83,244402.02,4.03
873834.98,14.4,0.83,244055.71,4.02
873886.51,14.4,0.84,243835.62,4.02
873958.01,14.4,0.84,243997.69,4.02
874009.54,14.41,0.84,244111.54,4.02
874061.07,14.41,0.84,244169.14,4.03
874112.6,14.41,0.85,243822.83,4.02
874164.13,14.42,0.85,243602.74,4.02
874362.4,14.42,0.85,243677.05,4.02
874413.93,14.42,0.86,243837.51,4.02
874119.99,14.42,0.85,243653.16,4.02
874678.52,14.43,0.86,243750.94,4.02
874521.63,14.43,0.86,243627.04,4.02
874521.63,14.43,0.86,243627.04,4.02
874231.77,14.42,0.86,243137.51,4.01
874231.77,14.42,0.86,243137.51,4.01
874401.16,14.43,0.86,243047.99,4.01
874243.97,14.43,0.86,242895.46,4.01
874295.5,14.43,0.86,243084.72,4.01
874295.5,14.43,0.86,243084.72,4.01
874197.34,14.43,0.86,243201.4,4.01
