name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0860,,G2,96,8,412316860416,20000,8,548,412316860416,190,3800,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6870,137400
0001-openb-node-0956,,G2,96,8,412316860416,20000,6,200,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0002-openb-node-0987,,T4,104,2,549755813888,15109,9,3184,549755813888,60,906,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0003-openb-node-0569,,G2,96,8,412316860416,20000,7,500,412316860416,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7680,153600
0004-openb-node-1093,,T4,104,2,549755813888,15109,8,3184,549755813888,50,755,60,906,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
0005-openb-node-0042,,G2,96,8,412316860416,20000,9,848,412316860416,190,3800,30,600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6220,124400
0006-openb-node-0773,,G2,96,8,412316860416,20000,8,500,412316860416,360,7200,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7360,147200
0007-openb-node-1008,,G2,96,8,412316860416,20000,6,696,412316860416,190,3800,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6380,127600
0008-openb-node-1015,,T4,104,2,549755813888,15109,8,1440,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0009-openb-node-0828,,G2,96,8,412316860416,20000,5,948,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0010-openb-node-1151,,T4,104,2,549755813888,15109,8,540,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0011-openb-node-0784,,G2,96,8,412316860416,20000,8,0,412316860416,40,800,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6720,134400
0012-openb-node-0094,,G2,96,8,412316860416,20000,8,0,412316860416,40,800,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6720,134400
0013-openb-node-0037,,G3,128,8,824633720832,30000,8,500,824633720832,360,10800,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,1000,30000,7360,220800
0014-openb-node-0324,,G2,96,8,412316860416,20000,4,100,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0015-openb-node-0327,,G2,96,8,412316860416,20000,9,896,412316860416,190,3800,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6380,127600
0016-openb-node-1071,,G2,96,8,412316860416,20000,8,448,412316860416,680,13600,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6870,137400
0017-openb-node-0601,,T4,104,2,549755813888,15109,9,1640,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0018-openb-node-0999,,G2,96,8,412316860416,20000,6,696,412316860416,190,3800,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6380,127600
0019-openb-node-0776,,T4,104,2,549755813888,15109,10,4092,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0020-openb-node-1059,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0021-openb-node-0273,,G2,96,8,412316860416,20000,8,500,412316860416,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7680,153600
0022-openb-node-0360,,G2,96,8,412316860416,20000,5,600,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0023-openb-node-0963,,T4,104,2,549755813888,15109,9,192,549755813888,50,755,30,453,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0024-openb-node-0697,,T4,104,2,549755813888,15109,10,448,549755813888,10,151,30,453,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0025-openb-node-1006,,G2,96,8,412316860416,20000,3,0,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0026-openb-node-0549,,G2,96,8,412316860416,20000,9,848,412316860416,190,3800,360,7200,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6550,131000
0027-openb-node-1183,,T4,104,2,549755813888,15109,11,940,549755813888,10,151,30,453,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0028-openb-node-0163,,P100,16,2,128849018880,16280,2,92,128849018880,50,814,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1050,17094
0029-openb-node-0553,,P100,16,2,128849018880,16280,3,848,128849018880,210,3418,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,400,6511
0030-openb-node-0385,,G2,96,8,412316860416,20000,9,296,412316860416,190,3800,190,3800,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6060,121200
0031-openb-node-0423,,T4,104,2,549755813888,15109,9,1040,549755813888,10,151,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0032-openb-node-0671,,T4,104,2,549755813888,15109,8,796,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0033-openb-node-0985,,P100,16,2,128849018880,16280,2,940,128849018880,350,5698,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0034-openb-node-0227,,G2,96,8,412316860416,20000,6,348,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0035-openb-node-0849,,G2,96,8,412316860416,20000,9,700,412316860416,360,7200,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7360,147200
0036-openb-node-0387,,T4,104,2,549755813888,15109,8,3776,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0037-openb-node-0708,,G2,96,8,412316860416,20000,3,0,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0038-openb-node-1111,,P100,16,2,128849018880,16280,2,940,128849018880,190,3093,530,8628,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0039-openb-node-0520,,G2,96,8,412316860416,20000,7,0,412316860416,40,800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7040,140800
0040-openb-node-1002,,G2,96,8,412316860416,20000,9,100,412316860416,70,1400,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7070,141400
0041-openb-node-0756,,T4,104,2,549755813888,15109,7,1032,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0042-openb-node-0188,,G2,96,8,412316860416,20000,7,0,412316860416,30,600,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6710,134200
0043-openb-node-0418,,T4,104,2,549755813888,15109,8,2284,549755813888,70,1057,60,906,0,0,0,0,0,0,0,0,0,0,0,0,130,1963
0044-openb-node-0486,,T4,104,2,549755813888,15109,8,3184,549755813888,60,906,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0045-openb-node-0147,,T4,104,2,549755813888,15109,9,1440,549755813888,10,151,30,453,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0046-openb-node-0982,,G2,96,8,412316860416,20000,8,148,412316860416,190,3800,360,7200,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6550,131000
0047-openb-node-0199,,T4,104,2,549755813888,15109,7,2296,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0048-openb-node-1085,,G2,96,8,412316860416,20000,7,0,412316860416,40,800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7040,140800
0049-openb-node-0098,,V100M16,32,4,137438953472,16160,4,348,137438953472,190,3070,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,3190,51550
0050-openb-node-0014,,P100,64,2,274877906944,16280,8,948,274877906944,20,325,30,488,0,0,0,0,0,0,0,0,0,0,0,0,50,813
0051-openb-node-0456,,T4,104,2,549755813888,15109,7,440,549755813888,80,1208,60,906,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0052-openb-node-0669,,G2,96,8,412316860416,20000,6,0,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0053-openb-node-0899,,G2,96,8,412316860416,20000,6,200,412316860416,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,8000,160000
0054-openb-node-0747,,G2,96,8,412316860416,20000,6,348,412316860416,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7190,143800
0055-openb-node-1029,,G2,96,8,412316860416,20000,9,500,412316860416,360,7200,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7360,147200
0056-openb-node-1074,,G2,96,8,412316860416,20000,7,196,412316860416,190,3800,190,3800,680,13600,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6060,121200
0057-openb-node-0546,,G2,96,8,412316860416,20000,8,196,412316860416,190,3800,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6380,127600
0058-openb-node-0880,,T4,104,2,549755813888,15109,8,1440,549755813888,80,1208,60,906,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0059-openb-node-1035,,G2,96,8,412316860416,20000,9,100,412316860416,70,1400,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7070,141400
0060-openb-node-0836,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0061-openb-node-0720,,T4,104,2,549755813888,15109,7,440,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0062-openb-node-0196,,G2,96,8,412316860416,20000,9,100,412316860416,210,4200,360,7200,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6570,131400
0063-openb-node-0778,,T4,104,2,549755813888,15109,7,1796,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0064-openb-node-0730,,T4,104,2,549755813888,15109,8,3940,549755813888,210,3172,30,453,0,0,0,0,0,0,0,0,0,0,0,0,240,3625
0065-openb-node-0825,,V100M32,96,8,824633720832,32510,3,0,824633720832,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,1000,32510,8000,260080
0066-openb-node-1033,,A10,128,1,1099511627776,22731,9,2592,1099511627776,30,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,681
0067-openb-node-0856,,G2,96,8,412316860416,20000,13,5024,412316860416,60,1200,210,4200,190,3800,190,3800,80,1600,190,3800,190,3800,190,3800,1300,26000
0068-openb-node-0993,,G2,96,8,412316860416,20000,13,984,412316860416,70,1400,190,3800,190,3800,190,3800,50,1000,190,3800,120,2400,350,7000,1350,27000
0069-openb-node-0173,,G2,96,8,412316860416,20000,13,3924,412316860416,60,1200,190,3800,130,2600,190,3800,190,3800,190,3800,190,3800,30,600,1170,23400
0070-openb-node-0516,,G2,96,8,412316860416,20000,10,84,412316860416,130,2600,190,3800,530,10600,190,3800,190,3800,190,3800,1000,20000,1000,20000,3420,68400
0071-openb-node-0270,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0072-openb-node-0749,,T4,104,2,549755813888,15109,10,2184,549755813888,70,1057,10,151,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0073-openb-node-0362,,V100M32,48,4,395136991232,32510,8,880,395136991232,120,3901,90,2925,60,1950,90,2925,0,0,0,0,0,0,0,0,360,11701
0074-openb-node-0038,,G2,96,8,412316860416,20000,13,3260,412316860416,120,2400,190,3800,120,2400,190,3800,190,3800,60,1200,190,3800,210,4200,1270,25400
0075-openb-node-0348,,T4,104,2,549755813888,15109,8,296,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0076-openb-node-0059,,G2,96,8,412316860416,20000,15,2760,412316860416,60,1200,60,1200,60,1200,190,3800,190,3800,190,3800,10,200,190,3800,950,19000
0077-openb-node-0514,,G2,96,8,412316860416,20000,13,912,412316860416,130,2600,60,1200,300,6000,190,3800,190,3800,70,1400,30,600,190,3800,1160,23200
0078-openb-node-0648,,T4,104,2,549755813888,15109,9,3348,549755813888,30,453,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,240,3625
0079-openb-node-0667,,G2,96,8,412316860416,20000,12,3688,412316860416,210,4200,190,3800,190,3800,70,1400,190,3800,190,3800,190,3800,190,3800,1420,28400
0080-openb-node-0716,,T4,104,2,549755813888,15109,9,7940,549755813888,30,453,10,151,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0081-openb-node-0735,,G2,96,8,412316860416,20000,14,3832,412316860416,210,4200,190,3800,190,3800,70,1400,120,2400,190,3800,60,1200,80,1600,1110,22200
0082-openb-node-1169,,G2,96,8,412316860416,20000,14,1668,412316860416,60,1200,90,1800,190,3800,60,1200,130,2600,190,3800,30,600,60,1200,810,16200
0083-openb-node-1148,,G2,96,8,412316860416,20000,13,108,412316860416,60,1200,190,3800,190,3800,80,1600,190,3800,30,600,190,3800,190,3800,1120,22400
0084-openb-node-1144,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0085-openb-node-0329,,G2,96,8,412316860416,20000,14,340,412316860416,80,1600,80,1600,60,1200,190,3800,60,1200,190,3800,190,3800,540,10800,1390,27800
0086-openb-node-1201,,T4,104,2,549755813888,15109,9,1548,549755813888,30,453,10,151,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0087-openb-node-0572,,V100M16,8,1,34359738368,16160,1,0,34359738368,530,8564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,8564
0088-openb-node-0258,,V100M16,32,4,137438953472,16160,6,544,137438953472,190,3070,70,1131,190,3070,190,3070,0,0,0,0,0,0,0,0,640,10341
0089-openb-node-0936,,G2,96,8,412316860416,20000,13,516,412316860416,190,3800,190,3800,60,1200,130,2600,30,600,30,600,190,3800,190,3800,1010,20200
0090-openb-node-0554,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0091-openb-node-1107,,G2,96,8,412316860416,20000,11,5272,412316860416,190,3800,190,3800,190,3800,190,3800,60,1200,190,3800,190,3800,30,600,1230,24600
0092-openb-node-0106,,G2,96,8,412316860416,20000,15,2332,412316860416,130,2600,190,3800,190,3800,60,1200,180,3600,190,3800,70,1400,190,3800,1200,24000
0093-openb-node-0102,,G2,96,8,412316860416,20000,9,380,412316860416,60,1200,60,1200,190,3800,190,3800,350,7000,1000,20000,1000,20000,1000,20000,3850,77000
0094-openb-node-0788,,T4,104,2,549755813888,15109,9,5740,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0095-openb-node-1128,,T4,104,2,549755813888,15109,8,1044,549755813888,40,604,30,453,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0096-openb-node-0919,,T4,104,2,549755813888,15109,9,3940,549755813888,70,1057,30,453,0,0,0,0,0,0,0,0,0,0,0,0,100,1510
0097-openb-node-0374,,T4,104,2,549755813888,15109,8,1440,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0098-openb-node-0440,,V100M16,32,4,137438953472,16160,5,6892,137438953472,190,3070,190,3070,190,3070,190,3070,0,0,0,0,0,0,0,0,760,12280
