ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_0dea-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
847605.19,13.65,0.08,212598.99,3.42
847765.51,13.65,0.08,212649.4,3.42
847529.53,13.65,0.08,212439.63,3.42
847742.6,13.65,0.09,212386.17,3.42
847612.86,13.65,0.08,211989.9,3.41
847612.86,13.65,0.08,211989.31,3.41
847352.93,13.65,0.08,211733.63,3.41
847223.19,13.65,0.08,211337.36,3.4
847352.24,13.65,0.08,211235.09,3.4
847222.5,13.65,0.08,210838.83,3.4
847172.5,13.65,0.08,210788.83,3.4
847332.82,13.65,0.09,210760.06,3.4
847325.37,13.65,0.09,210616.31,3.39
847325.37,13.65,0.09,210616.31,3.39
847485.69,13.66,0.09,211180.68,3.4
847396.6,13.66,0.09,211064.6,3.4
847150.62,13.65,0.09,210783.41,3.4
847179.64,13.65,0.09,210545.9,3.39
846971.11,13.65,0.09,210379.32,3.39
847131.42,13.66,0.09,210350.56,3.39
847042.34,13.65,0.09,210206.8,3.39
847202.66,13.66,0.09,210704.04,3.4
846966.68,13.66,0.09,210455.51,3.39
847127.0,13.66,0.09,210426.75,3.39
847178.53,13.66,0.1,210601.71,3.4
847178.53,13.66,0.1,210856.98,3.4
847048.79,13.66,0.1,210460.71,3.39
846812.81,13.66,0.09,210384.52,3.39
846973.12,13.66,0.1,210355.76,3.39
847024.65,13.67,0.1,210530.72,3.4
847178.92,13.67,0.1,210622.69,3.4
847230.45,13.67,0.11,210732.26,3.4
846970.52,13.67,0.1,210570.46,3.4
846734.54,13.67,0.1,210494.27,3.4
846577.35,13.66,0.1,210341.74,3.39
846790.42,13.67,0.1,210288.28,3.39
847033.48,13.67,0.11,210264.82,3.39
847246.55,13.68,0.11,210211.36,3.39
847465.11,13.68,0.12,210163.39,3.39
847494.13,13.68,0.12,209925.88,3.39
847654.45,13.69,0.12,209897.12,3.39
847808.71,13.69,0.12,210318.64,3.4
847678.97,13.69,0.12,209922.37,3.39
847678.97,13.69,0.12,209980.41,3.39
847419.04,13.69,0.12,209651.89,3.39
847289.3,13.69,0.12,209255.62,3.38
847159.57,13.69,0.12,208859.36,3.37
847029.83,13.69,0.12,208463.09,3.37
847029.83,13.69,0.12,210824.77,3.41
846773.88,13.68,0.12,210568.82,3.4
846766.43,13.68,0.12,210647.05,3.4
846636.69,13.68,0.12,210250.78,3.4
849466.08,13.73,0.16,215251.03,3.48
849336.35,13.73,0.16,214854.77,3.47
849179.15,13.73,0.16,214702.23,3.47
849049.41,13.73,0.16,214305.97,3.46
849262.48,13.73,0.16,214252.51,3.46
849975.39,13.74,0.18,214551.28,3.47
849711.15,13.74,0.17,214040.75,3.46
849924.22,13.74,0.18,213987.29,3.46
850137.29,13.75,0.18,213933.84,3.46
849881.34,13.75,0.18,213677.88,3.46
850050.73,13.75,0.18,213588.36,3.45
850050.73,13.75,0.18,213587.77,3.45
850050.73,13.75,0.18,213587.77,3.45
849775.68,13.75,0.18,213504.77,3.45
849935.99,13.75,0.18,213839.19,3.46
849987.52,13.75,0.19,213957.66,3.46
849751.54,13.75,0.18,213713.24,3.46
849905.81,13.75,0.19,213796.3,3.46
849957.34,13.76,0.19,213914.78,3.46
850117.66,13.76,0.19,213942.5,3.46
849881.68,13.76,0.19,213866.31,3.46
850594.59,13.77,0.2,214165.09,3.47
850660.35,13.77,0.21,213984.56,3.46
850711.88,13.77,0.21,213638.26,3.46
850763.41,13.78,0.21,213418.17,3.46
850814.94,13.78,0.21,213536.64,3.46
850975.26,13.78,0.22,213564.37,3.46
850975.26,13.78,0.22,214034.06,3.47
851026.79,13.79,0.22,214152.53,3.47
851181.05,13.79,0.22,214235.59,3.47
850945.07,13.79,0.22,214159.41,3.47
850685.15,13.78,0.22,213997.61,3.47
851243.68,13.79,0.23,214095.38,3.47
850953.82,13.79,0.23,213605.85,3.46
851005.35,13.79,0.23,213724.33,3.46
851165.67,13.8,0.23,213752.05,3.47
850929.69,13.8,0.23,213675.87,3.46
851642.6,13.81,0.24,213974.64,3.47
851378.36,13.81,0.24,213464.11,3.46
851538.68,13.81,0.24,213435.35,3.46
851312.7,13.81,0.24,213291.59,3.46
851104.16,13.8,0.24,213086.6,3.46
851264.48,13.81,0.24,213457.56,3.46
851028.5,13.8,0.24,213216.6,3.46
851028.5,13.8,0.24,216011.06,3.5
851188.82,13.81,0.24,215982.3,3.5
850952.84,13.81,0.24,215838.54,3.5
851113.16,13.81,0.24,216203.92,3.51
850853.23,13.81,0.24,216042.12,3.51
852303.38,13.83,0.26,217589.68,3.53
852067.4,13.83,0.26,217344.31,3.53
851910.21,13.82,0.26,217192.05,3.52
852124.46,13.83,0.26,217112.07,3.52
852063.08,13.83,0.26,217019.52,3.52
852223.4,13.83,0.27,217583.72,3.53
852274.93,13.83,0.27,217702.19,3.53
852326.46,13.84,0.27,217761.24,3.54
852377.99,13.84,0.27,217879.71,3.54
852239.64,13.84,0.27,217689.21,3.53
852399.96,13.84,0.28,217716.94,3.54
852451.49,13.84,0.28,217830.79,3.54
852451.49,13.84,0.28,217795.44,3.54
852225.51,13.84,0.28,217729.05,3.54
852394.9,13.85,0.28,217708.35,3.54
852446.43,13.85,0.28,217826.82,3.54
852348.27,13.85,0.28,217944.05,3.54
852399.8,13.85,0.28,218003.09,3.54
852399.8,13.85,0.28,218042.91,3.54
852560.12,13.85,0.29,218014.14,3.54
852560.12,13.85,0.29,218006.78,3.54
852324.14,13.85,0.28,217863.02,3.54
852324.14,13.85,0.28,217862.42,3.54
852115.61,13.85,0.28,217721.47,3.54
852115.61,13.85,0.28,217721.47,3.54
852167.14,13.85,0.28,217964.0,3.54
852218.67,13.85,0.29,217617.7,3.54
852218.67,13.85,0.29,219132.32,3.56
852218.67,13.85,0.29,219651.67,3.57
852530.21,13.86,0.29,219673.75,3.57
852581.74,13.86,0.3,219792.22,3.57
852751.13,13.87,0.3,219773.49,3.57
852802.66,13.87,0.3,219891.97,3.58
852854.19,13.87,0.3,219951.01,3.58
852579.14,13.87,0.3,219891.01,3.58
852739.45,13.87,0.31,219862.24,3.58
852790.98,13.87,0.31,220037.21,3.58
852701.9,13.87,0.31,220107.42,3.58
852753.43,13.88,0.31,219761.12,3.58
852804.96,13.88,0.31,219541.03,3.57
852965.28,13.88,0.32,219512.26,3.57
853119.54,13.89,0.32,219740.56,3.58
852949.62,13.88,0.32,219785.91,3.58
853001.15,13.89,0.32,219904.39,3.58
853052.68,13.89,0.32,219963.43,3.58
852826.7,13.89,0.32,219736.02,3.58
852826.7,13.89,0.32,221000.67,3.6
852878.23,13.89,0.32,221119.15,3.6
859726.12,14.0,0.43,225817.85,3.68
859491.72,14.0,0.43,225610.33,3.67
859491.72,14.0,0.43,225590.99,3.67
859543.25,14.0,0.43,225650.04,3.68
859543.25,14.0,0.43,225686.95,3.68
859703.57,14.0,0.44,225658.18,3.68
859686.82,14.0,0.44,225514.42,3.67
859738.35,14.01,0.44,225973.8,3.68
860296.88,14.02,0.45,226071.57,3.68
860007.02,14.02,0.45,225582.04,3.68
860058.55,14.02,0.45,225700.52,3.68
860058.55,14.02,0.45,225700.24,3.68
860218.87,14.02,0.46,225727.97,3.68
860270.4,14.02,0.46,225381.66,3.67
860321.93,14.03,0.46,225161.57,3.67
860476.19,14.03,0.46,225253.54,3.67
860240.21,14.03,0.46,225177.35,3.67
860291.74,14.03,0.46,225286.92,3.67
860031.81,14.03,0.46,225125.12,3.67
860031.81,14.03,0.46,225124.52,3.67
860230.09,14.03,0.47,225198.83,3.67
860230.09,14.03,0.47,225198.83,3.67
860281.62,14.03,0.47,225359.3,3.68
860441.94,14.04,0.47,225330.53,3.68
865906.48,14.13,0.56,228518.82,3.73
865680.5,14.12,0.56,228375.06,3.73
865732.03,14.13,0.56,228627.39,3.73
865892.35,14.13,0.56,228598.62,3.73
865656.37,14.13,0.56,228454.86,3.73
865707.9,14.13,0.56,228697.4,3.73
865759.43,14.13,0.57,228815.87,3.74
865957.71,14.14,0.57,228932.17,3.74
866118.03,14.14,0.58,228903.41,3.74
865882.05,14.14,0.57,228759.65,3.74
865933.58,14.14,0.58,229002.19,3.74
866093.89,14.15,0.58,228973.42,3.74
865799.95,14.14,0.58,228789.07,3.74
865851.48,14.14,0.58,228964.03,3.74
865625.5,14.14,0.58,228897.64,3.74
865677.03,14.14,0.58,229016.11,3.74
865519.84,14.14,0.58,228863.85,3.74
865275.9,14.14,0.57,228728.48,3.74
865436.21,14.14,0.58,228756.2,3.74
865487.74,14.15,0.58,228874.68,3.74
865487.74,14.15,0.58,230389.3,3.77
865490.85,14.15,0.58,230400.48,3.77
865490.85,14.15,0.58,230919.83,3.77
865281.62,14.14,0.58,230681.35,3.77
865333.15,14.15,0.58,230740.39,3.77
865333.15,14.15,0.58,232005.04,3.79
865097.17,14.14,0.58,231928.85,3.79
865257.49,14.15,0.58,231895.61,3.79
865257.49,14.15,0.58,231895.02,3.79
865411.75,14.15,0.58,232319.59,3.8
865463.28,14.15,0.59,232438.06,3.8
865514.81,14.16,0.59,232497.11,3.8
865566.34,14.16,0.59,232615.58,3.81
865320.36,14.16,0.59,232382.57,3.8
865480.68,14.16,0.59,232410.3,3.8
865678.96,14.16,0.6,232050.99,3.8
865442.98,14.16,0.59,231974.8,3.8
865183.05,14.16,0.59,231717.35,3.79
865653.45,14.17,0.6,232084.91,3.8
865822.84,14.17,0.6,231915.46,3.8
868363.44,14.21,0.65,234416.35,3.84
868363.44,14.21,0.65,234416.35,3.84
868606.17,14.22,0.65,234079.14,3.83
868766.49,14.22,0.65,234050.37,3.83
868649.93,14.22,0.65,234221.34,3.83
868649.93,14.22,0.65,235717.29,3.86
868493.03,14.22,0.65,235531.23,3.86
868257.05,14.21,0.65,235387.47,3.85
868466.82,14.22,0.65,235850.27,3.86
868487.91,14.22,0.65,235762.85,3.86
868487.91,14.22,0.65,234707.15,3.84
868686.19,14.22,0.66,234781.47,3.84
868846.51,14.23,0.66,234932.05,3.85
868610.53,14.23,0.66,234929.57,3.85
868662.06,14.23,0.66,234583.27,3.84
869059.2,14.24,0.67,234717.82,3.84
869213.47,14.24,0.67,234809.79,3.85
869265.0,14.24,0.68,234919.36,3.85
869430.9,14.25,0.68,234866.64,3.85
869430.9,14.25,0.68,234876.73,3.85
869482.43,14.25,0.68,235065.56,3.85
869533.96,14.25,0.69,235184.03,3.85
869585.49,14.25,0.69,235243.07,3.86
869353.92,14.25,0.69,235186.77,3.86
869405.45,14.25,0.69,235305.24,3.86
869559.72,14.26,0.69,235388.31,3.86
869611.25,14.26,0.7,235506.78,3.86
869771.57,14.27,0.7,235534.51,3.86
869823.1,14.27,0.7,235652.98,3.87
869587.12,14.27,0.7,235576.79,3.86
869638.65,14.27,0.7,235655.19,3.87
869690.18,14.27,0.7,235773.66,3.87
869741.71,14.27,0.71,235832.71,3.87
869902.02,14.28,0.71,235803.94,3.87
869953.55,14.28,0.71,235978.91,3.87
869727.57,14.28,0.71,235912.51,3.87
869467.65,14.27,0.71,235750.71,3.87
869207.72,14.27,0.7,235588.91,3.87
869368.03,14.27,0.71,235560.15,3.87
869131.51,14.27,0.7,235374.77,3.86
868887.57,14.27,0.7,235129.83,3.86
868870.82,14.27,0.7,234986.07,3.86
868922.35,14.27,0.7,235445.45,3.87
868973.88,14.27,0.71,235563.92,3.87
870424.03,14.3,0.73,237468.99,3.9
870593.43,14.3,0.73,237450.26,3.9
870495.27,14.3,0.73,237567.69,3.9
871208.18,14.31,0.75,237866.47,3.91
871766.71,14.32,0.76,237964.25,3.91
871502.47,14.32,0.76,237453.72,3.9
871554.0,14.32,0.76,237281.2,3.9
871344.78,14.32,0.75,237042.71,3.9
871054.92,14.32,0.75,236553.18,3.89
871215.24,14.32,0.76,237029.39,3.9
871266.77,14.32,0.76,237147.87,3.9
871250.01,14.33,0.76,237061.25,3.9
871415.91,14.33,0.76,237078.89,3.9
871467.44,14.33,0.77,237197.37,3.9
871518.97,14.33,0.77,237256.41,3.9
871570.5,14.34,0.77,237374.89,3.9
871338.94,14.33,0.77,237318.58,3.9
871390.47,14.34,0.77,237377.62,3.91
871233.28,14.33,0.77,237225.09,3.9
871387.54,14.34,0.77,237317.06,3.91
871387.54,14.34,0.77,237306.38,3.9
871178.32,14.34,0.77,237169.37,3.9
871338.63,14.34,0.77,237276.93,3.9
871338.63,14.34,0.77,238791.55,3.93
871569.49,14.35,0.78,238879.72,3.93
871621.02,14.35,0.78,239053.48,3.94
871385.04,14.34,0.78,239026.2,3.93
871545.36,14.35,0.78,238997.43,3.93
871309.38,14.35,0.78,238853.67,3.93
871360.91,14.35,0.78,239096.21,3.94
871100.98,14.35,0.78,238841.43,3.93
870864.46,14.34,0.78,238718.09,3.93
870915.99,14.34,0.78,238836.56,3.93
873456.59,14.39,0.82,244826.81,4.03
873616.9,14.39,0.82,245014.23,4.04
873668.43,14.39,0.83,244667.92,4.03
873432.45,14.39,0.82,244420.0,4.03
873788.1,14.4,0.83,244422.49,4.03
873839.63,14.4,0.83,244076.18,4.02
873891.16,14.4,0.84,243856.09,4.02
873962.66,14.4,0.84,244018.16,4.02
874014.19,14.41,0.84,244132.01,4.02
874065.72,14.41,0.84,244189.61,4.03
874117.25,14.41,0.85,243843.3,4.02
874168.78,14.42,0.85,243623.21,4.02
874367.06,14.42,0.85,243697.52,4.02
874418.59,14.42,0.86,243857.99,4.02
874124.64,14.42,0.85,243673.63,4.02
874683.17,14.43,0.86,243771.41,4.02
874525.98,14.43,0.86,243622.8,4.02
874525.98,14.43,0.86,243622.8,4.02
874236.13,14.42,0.86,243133.27,4.01
874236.13,14.42,0.86,243133.27,4.01
873920.63,14.42,0.85,242817.78,4.01
873763.44,14.42,0.85,242661.03,4.0
873814.97,14.42,0.85,242779.51,4.01
873814.97,14.42,0.85,242779.51,4.01
873975.29,14.42,0.86,242807.23,4.01
