ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
1,2,650,6212,650
2,4,1120,6212,1120
3,5,1590,6212,1590
4,6,2060,6212,2060
4,6,2870,6212,2870
5,8,2870,6212,2870
6,9,3190,6212,3190
7,10,4000,6212,4000
8,11,4480,6212,4480
9,12,5290,6212,5290
10,13,5340,6212,5340
11,15,5810,6212,5810
11,15,6030,6212,6030
12,17,6030,6212,6030
13,19,6500,6212,6500
14,20,6820,6212,6820
15,21,7140,6212,7140
15,21,7730,6212,7730
15,21,7960,6212,7960
16,23,8430,6212,8430
17,24,8750,6212,8750
18,26,9220,6212,9220
19,27,9690,6212,9690
20,29,10160,6212,10160
21,30,10970,6212,10970
22,31,10970,6212,10970
23,32,11780,6212,11780
24,33,12250,6212,12250
25,35,12720,6212,12720
26,36,13530,6212,13530
27,38,14180,6212,14180
27,38,14990,6212,14990
28,39,15310,6212,15310
29,40,15780,6212,15780
29,40,15940,6212,15940
30,41,16410,6212,16410
31,42,16850,6212,16850
32,43,17320,6212,17320
33,44,17780,6212,17780
33,44,18370,6212,18370
34,46,18840,6212,18840
34,46,19490,6212,19490
34,46,20300,6212,20300
35,48,20300,6212,20300
36,50,20620,6212,20620
36,50,21430,6212,21430
36,50,22240,6212,22240
36,50,23050,6212,23050
37,54,23050,6212,23050
37,54,23370,6212,23370
38,56,23590,6212,23590
38,56,24400,6212,24400
39,58,24400,6212,24400
39,58,25210,6212,25210
39,58,25370,6212,25370
39,58,26180,6212,26180
40,60,26650,6212,26650
41,62,27120,6212,27120
41,62,27930,6212,27930
41,62,28400,6212,28400
42,64,28870,6212,28870
42,64,29190,6212,29190
43,66,29510,6212,29510
44,68,29510,6212,29510
45,70,29510,6212,29510
46,72,30160,6212,30160
46,72,30630,6212,30630
46,72,31440,6212,31440
47,74,31910,6212,31910
48,76,32560,6212,32560
48,76,33370,6212,33370
49,78,33840,6212,33840
49,78,34310,6212,34310
50,80,34780,6212,34780
50,80,35260,6212,35260
50,80,36070,6212,36070
50,80,36880,6212,36880
50,80,37690,6212,37690
51,82,38160,6212,38160
52,84,38160,6212,38160
52,84,38970,6212,38970
53,86,39620,6212,39620
54,88,40090,6212,40090
54,88,40410,6212,40410
55,90,41060,6212,41060
55,90,41870,6212,41870
55,90,42680,6212,42680
56,92,43150,6212,43150
57,94,43620,6212,43620
58,96,44090,6212,44090
58,96,44900,6212,44900
59,98,45370,6212,45370
60,100,45830,6212,45830
60,100,46060,6212,46060
61,102,46530,6212,46530
61,102,47000,6212,47000
62,104,47000,6212,47000
63,106,47470,6212,47470
64,108,47940,6212,47940
65,110,48410,6212,48410
65,110,48730,6212,48730
66,112,48730,6212,48730
67,114,49200,6212,49200
67,114,49360,6212,49360
67,114,49580,6212,49580
68,116,50050,6212,50050
68,116,50520,6212,50520
68,116,51330,6212,51330
68,116,52140,6212,52140
68,116,52950,6212,52950
69,118,53320,6212,53320
69,118,53790,6212,53790
69,118,54600,6212,54600
70,120,54600,6212,54600
71,122,55060,6212,55060
71,122,55380,6212,55380
71,122,56190,6212,56190
71,122,56660,6212,56660
71,122,57470,6212,57470
71,122,57470,6212,57470
72,124,57940,6212,57940
73,126,57940,6212,57940
74,128,58410,6212,58410
75,130,58410,6212,58410
