ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
848009.46,13.65,0.09,212947.25,3.43
848722.36,13.67,0.1,213243.15,3.43
848935.43,13.67,0.1,213189.69,3.43
849148.5,13.67,0.11,213136.23,3.43
848858.64,13.67,0.1,212625.69,3.42
850587.32,13.7,0.13,213691.07,3.44
850837.87,13.7,0.14,213717.3,3.44
850708.13,13.7,0.14,213321.04,3.44
850837.18,13.71,0.14,213218.77,3.43
850707.44,13.71,0.14,212822.5,3.43
851332.57,13.72,0.15,213186.33,3.43
852045.48,13.73,0.16,213482.23,3.44
851938.0,13.73,0.16,213332.54,3.44
853666.67,13.76,0.19,214397.91,3.45
854379.58,13.77,0.2,214693.82,3.46
854630.13,13.77,0.21,214720.05,3.46
854880.68,13.78,0.21,214746.29,3.46
854403.2,13.77,0.2,214226.59,3.45
854285.72,13.77,0.2,214066.9,3.45
854998.63,13.78,0.22,214362.8,3.46
855249.18,13.79,0.22,214389.04,3.46
855962.09,13.8,0.23,214684.95,3.46
856175.15,13.8,0.24,214631.49,3.46
856888.06,13.82,0.25,214927.39,3.47
856758.32,13.82,0.25,214531.13,3.46
857441.39,13.83,0.26,214947.67,3.47
857311.65,13.83,0.26,214551.4,3.46
857524.72,13.83,0.27,214497.94,3.46
858237.63,13.84,0.28,214793.84,3.46
858107.89,13.84,0.28,214397.58,3.46
858666.42,13.85,0.29,214513.5,3.46
858376.56,13.85,0.29,214002.95,3.45
858627.11,13.86,0.29,214029.19,3.45
858840.18,13.86,0.29,213975.73,3.45
858682.99,13.86,0.29,213818.54,3.45
858896.05,13.86,0.3,213765.08,3.45
859139.12,13.87,0.3,213741.62,3.45
859352.19,13.87,0.31,213688.16,3.45
859570.75,13.88,0.31,213640.19,3.45
859093.27,13.87,0.3,213120.49,3.44
859806.18,13.88,0.32,213416.4,3.45
859268.69,13.88,0.31,212836.7,3.44
859004.46,13.87,0.31,212326.17,3.43
860060.47,13.89,0.32,213114.27,3.44
861106.61,13.91,0.34,213666.04,3.45
860842.37,13.91,0.34,213155.51,3.44
860578.14,13.9,0.34,212644.98,3.44
860313.9,13.9,0.33,212134.45,3.43
863771.25,13.96,0.39,215314.81,3.48
863997.02,13.96,0.39,215294.28,3.48
865143.15,13.98,0.41,215946.05,3.49
864878.92,13.98,0.41,215435.52,3.48
865241.46,13.98,0.42,215629.13,3.48
864977.22,13.98,0.41,215118.6,3.48
866167.99,14.0,0.43,215827.59,3.49
865903.76,14.0,0.43,215317.06,3.48
866305.2,14.01,0.44,215372.35,3.48
867018.11,14.02,0.45,215668.25,3.49
866753.87,14.02,0.45,215157.72,3.48
867141.11,14.02,0.46,215227.81,3.48
867542.54,14.03,0.46,215283.1,3.48
867606.36,14.03,0.47,214934.09,3.48
868080.28,14.04,0.47,214913.92,3.48
869136.29,14.06,0.49,215702.01,3.49
870864.97,14.09,0.52,216767.39,3.51
871423.5,14.1,0.53,216883.31,3.51
