ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
1,8,650,6212,650
1,8,1120,6212,1120
1,8,1590,6212,1590
1,8,2060,6212,2060
2,9,2870,6212,2870
2,9,2870,6212,2870
2,9,3190,6212,3190
3,10,4000,6212,4000
3,10,4480,6212,4480
4,11,5290,6212,5290
4,11,5340,6212,5340
4,11,5810,6212,5810
5,19,6030,6212,6030
5,19,6030,6212,6030
5,19,6500,6212,6500
5,19,6820,6212,6820
5,19,7140,6212,7140
6,20,7730,6212,7730
6,20,7960,6212,7960
6,20,8430,6212,8430
6,20,8750,6212,8750
6,20,9220,6212,9220
6,20,9690,6212,9690
7,22,10160,6212,10160
8,23,10970,6212,10970
8,23,10970,6212,10970
9,24,11780,6212,11780
9,24,12250,6212,12250
9,24,12720,6212,12720
10,25,13530,6212,13530
11,33,14180,6212,14180
12,34,14990,6212,14990
12,34,15310,6212,15310
12,34,15780,6212,15780
12,34,15940,6212,15940
12,34,16410,6212,16410
12,34,16850,6212,16850
12,34,17320,6212,17320
12,34,17780,6212,17780
13,35,18370,6212,18370
13,35,18840,6212,18840
14,36,19490,6212,19490
15,37,20300,6212,20300
