ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
847605.19,13.65,0.08,212984.97,3.43
847765.51,13.65,0.08,212988.42,3.43
847529.53,13.65,0.08,212981.54,3.43
847689.84,13.65,0.08,212981.54,3.43
847560.11,13.65,0.08,212585.27,3.42
847560.11,13.65,0.08,213365.4,3.44
847300.18,13.65,0.08,213074.67,3.43
847170.44,13.65,0.08,212678.4,3.43
846924.46,13.64,0.08,213400.48,3.44
846794.72,13.64,0.08,213004.21,3.43
846744.72,13.64,0.08,213838.76,3.45
846905.04,13.65,0.08,214797.75,3.46
847119.29,13.65,0.08,214796.32,3.46
847119.29,13.65,0.08,214796.32,3.46
847057.91,13.65,0.08,214862.2,3.46
847227.3,13.65,0.09,214819.89,3.46
847220.46,13.65,0.09,214805.58,3.46
847249.47,13.66,0.09,214568.07,3.46
847040.94,13.65,0.09,214558.81,3.46
847201.26,13.66,0.09,215343.83,3.47
846943.05,13.65,0.09,215051.24,3.47
846707.07,13.65,0.08,215035.67,3.47
846867.38,13.65,0.09,214811.42,3.46
847027.7,13.66,0.09,214782.66,3.46
846897.96,13.66,0.09,214386.39,3.46
846897.96,13.66,0.09,214242.63,3.45
846768.22,13.66,0.09,213846.37,3.45
846532.24,13.65,0.09,214110.96,3.45
846692.56,13.66,0.09,214179.88,3.45
846562.82,13.66,0.09,213783.61,3.45
846717.09,13.66,0.1,213785.61,3.45
846587.35,13.66,0.09,213389.35,3.44
846327.42,13.66,0.09,213385.91,3.44
846091.44,13.65,0.09,213172.4,3.44
845934.24,13.65,0.09,213015.21,3.44
846094.56,13.66,0.09,213015.21,3.44
845888.58,13.65,0.09,213069.02,3.44
846048.9,13.66,0.09,213050.75,3.44
845822.92,13.66,0.09,213015.21,3.44
845851.94,13.66,0.09,212777.7,3.44
846012.25,13.66,0.09,212777.7,3.44
845995.5,13.66,0.1,212505.18,3.43
845865.76,13.66,0.09,212108.91,3.43
845865.76,13.66,0.09,212108.91,3.43
845776.68,13.66,0.09,213364.43,3.45
845646.94,13.66,0.09,212968.16,3.44
845517.2,13.66,0.09,212571.89,3.43
845387.46,13.66,0.09,212175.62,3.43
