ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,8,0,6212,0
2,16,810,6212,810
3,24,1810,6212,1810
4,32,2810,6212,2810
5,34,3810,6212,3810
6,42,4620,6212,4620
7,50,5090,6212,5090
8,58,5740,6212,5740
9,60,6550,6212,6550
10,68,6780,6212,6780
11,76,7590,6212,7590
12,84,8590,6212,8590
13,86,9060,6212,9060
14,90,9520,6212,9520
15,92,9520,6212,9520
16,100,10520,6212,10520
17,108,10980,6212,10980
18,116,11440,6212,11440
19,118,12440,6212,12440
20,126,13440,6212,13440
21,128,13440,6212,13440
22,130,13910,6212,13910
23,138,13910,6212,13910
23,138,14720,6212,14720
24,140,14880,6212,14880
25,148,14880,6212,14880
26,150,15880,6212,15880
27,152,16880,6212,16880
28,154,17690,6212,17690
29,156,18690,6212,18690
30,158,18800,6212,18800
31,166,19800,6212,19800
32,168,19800,6212,19800
33,176,20270,6212,20270
34,184,21270,6212,21270
35,192,22270,6212,22270
36,200,23270,6212,23270
36,200,24270,6212,24270
37,208,25270,6212,25270
38,216,25740,6212,25740
39,218,25740,6212,25740
40,220,26740,6212,26740
41,222,26740,6212,26740
42,224,27740,6212,27740
43,226,28060,6212,28060
44,228,29060,6212,29060
44,228,29060,6212,29060
45,229,29380,6212,29380
46,231,30380,6212,30380
47,233,31190,6212,31190
48,241,31190,6212,31190
49,249,31560,6212,31560
50,257,32560,6212,32560
50,257,33560,6212,33560
51,259,34560,6212,34560
52,261,34880,6212,34880
53,263,35880,6212,35880
54,271,36880,6212,36880
55,279,37880,6212,37880
56,281,38690,6212,38690
57,283,39690,6212,39690
58,291,40690,6212,40690
59,293,41010,6212,41010
60,295,42010,6212,42010
61,297,43010,6212,43010
61,297,44010,6212,44010
62,299,45010,6212,45010
63,307,45010,6212,45010
64,315,46010,6212,46010
65,323,47010,6212,47010
66,331,47480,6212,47480
67,333,48290,6212,48290
68,335,49290,6212,49290
69,343,50290,6212,50290
70,351,51100,6212,51100
71,353,51100,6212,51100
72,361,52100,6212,52100
73,369,53100,6212,53100
74,371,53910,6212,53910
75,379,57910,6212,57910
76,381,57910,6212,57910
77,389,58720,6212,58720
78,393,58720,6212,58720
79,395,59530,6212,59530
80,397,60530,6212,60530
81,399,61530,6212,61530
82,407,61530,6212,61530
83,408,62340,6212,62340
84,416,63340,6212,63340
85,424,64340,6212,64340
86,432,65340,6212,65340
87,440,66340,6212,66340
88,442,66990,6212,66990
89,450,67800,6212,67800
90,458,68800,6212,68800
91,466,69800,6212,69800
92,468,70270,6212,70270
93,476,70590,6212,70590
94,484,70590,6212,70590
95,486,71400,6212,71400
96,494,72210,6212,72210
97,502,72760,6212,72760
97,502,73570,6212,73570
98,510,73570,6212,73570
99,512,73570,6212,73570
100,514,74570,6212,74570
101,516,75570,6212,75570
102,518,76570,6212,76570
103,526,77380,6212,77380
104,528,78380,6212,78380
105,530,78850,6212,78850
105,530,79850,6212,79850
106,532,80850,6212,80850
107,540,81660,6212,81660
108,548,82660,6212,82660
109,550,83660,6212,83660
110,558,84660,6212,84660
111,566,84660,6212,84660
112,574,84660,6212,84660
112,574,84660,6212,84660
113,576,84660,6212,84660
113,576,85660,6212,85660
114,578,86660,6212,86660
115,580,87660,6212,87660
116,582,88470,6212,88470
117,584,88470,6212,88470
118,592,88470,6212,88470
119,594,89470,6212,89470
120,596,89470,6212,89470
121,598,89470,6212,89470
122,600,89470,6212,89470
122,600,90120,6212,90120
123,608,90930,6212,90930
124,616,90930,6212,90930
125,624,91930,6212,91930
126,626,92930,6212,92930
127,628,93400,6212,93400
128,636,94400,6212,94400
129,644,95400,6212,95400
130,652,96210,6212,96210
131,660,97210,6212,97210
132,668,98210,6212,98210
133,676,98210,6212,98210
134,680,98860,6212,98860
135,688,99860,6212,99860
136,690,99860,6212,99860
137,692,100510,6212,100510
138,696,100980,6212,100980
139,704,101980,6212,101980
140,706,102790,6212,102790
141,708,103600,6212,103600
142,710,104600,6212,104600
142,710,105410,6212,105410
142,710,106410,6212,106410
143,711,106880,6212,106880
144,719,107880,6212,107880
145,727,108880,6212,108880
146,729,109690,6212,109690
147,737,110690,6212,110690
148,745,111010,6212,111010
149,753,111560,6212,111560
150,761,112560,6212,112560
151,769,113560,6212,113560
152,777,114020,6212,114020
153,785,115020,6212,115020
154,793,115830,6212,115830
155,795,116830,6212,116830
156,797,117830,6212,117830
156,797,118150,6212,118150
157,799,119150,6212,119150
158,807,119470,6212,119470
158,807,120470,6212,120470
159,808,120790,6212,120790
160,816,120790,6212,120790
161,818,121790,6212,121790
162,826,121790,6212,121790
163,828,122790,6212,122790
164,836,123790,6212,123790
165,838,124600,6212,124600
166,840,125600,6212,125600
167,844,125600,6212,125600
168,852,126600,6212,126600
169,854,127070,6212,127070
170,862,127880,6212,127880
171,864,128880,6212,128880
172,866,129530,6212,129530
173,874,129530,6212,129530
174,876,129530,6212,129530
175,878,129760,6212,129760
176,880,130080,6212,130080
177,888,130400,6212,130400
178,896,131210,6212,131210
178,896,132210,6212,132210
179,898,133020,6212,133020
180,906,133020,6212,133020
181,908,133020,6212,133020
182,916,134020,6212,134020
183,924,134830,6212,134830
184,926,134830,6212,134830
185,928,134830,6212,134830
186,936,135640,6212,135640
187,944,135960,6212,135960
188,952,136960,6212,136960
189,960,137960,6212,137960
190,968,138960,6212,138960
191,970,139610,6212,139610
192,972,140610,6212,140610
193,974,141420,6212,141420
193,974,141420,6212,141420
193,974,142420,6212,142420
194,982,143420,6212,143420
194,982,144420,6212,144420
195,984,145230,6212,145230
196,986,145600,6212,145600
196,986,146070,6212,146070
197,988,147070,6212,147070
198,990,147540,6212,147540
198,990,148540,6212,148540
199,992,149540,6212,149540
200,994,150010,6212,150010
201,1002,151010,6212,151010
202,1010,151820,6212,151820
203,1012,152630,6212,152630
204,1014,153630,6212,153630
205,1022,153630,6212,153630
206,1024,154630,6212,154630
207,1032,155100,6212,155100
208,1034,156100,6212,156100
209,1038,156570,6212,156570
210,1046,156940,6212,156940
211,1054,157940,6212,157940
212,1062,158750,6212,158750
213,1070,159560,6212,159560
214,1072,160020,6212,160020
215,1080,160830,6212,160830
216,1088,161480,6212,161480
217,1096,161710,6212,161710
218,1104,161710,6212,161710
219,1112,161710,6212,161710
220,1114,161710,6212,161710
221,1118,162710,6212,162710
222,1126,163520,6212,163520
223,1134,167520,6212,167520
224,1142,168520,6212,168520
225,1150,169520,6212,169520
225,1150,170520,6212,170520
226,1152,171520,6212,171520
227,1160,172520,6212,172520
228,1162,172990,6212,172990
228,1162,173990,6212,173990
228,1162,174990,6212,174990
229,1164,175460,6212,175460
230,1166,176460,6212,176460
231,1174,177460,6212,177460
232,1182,178270,6212,178270
233,1184,179270,6212,179270
234,1192,179740,6212,179740
235,1194,180740,6212,180740
236,1196,181740,6212,181740
237,1204,182740,6212,182740
237,1204,183740,6212,183740
237,1204,184740,6212,184740
238,1212,185200,6212,185200
239,1214,186200,6212,186200
240,1222,186200,6212,186200
241,1230,187200,6212,187200
242,1232,188200,6212,188200
243,1240,189200,6212,189200
243,1240,189520,6212,189520
244,1242,190330,6212,190330
245,1244,191140,6212,191140
246,1252,191690,6212,191690
247,1260,192160,6212,192160
248,1262,192160,6212,192160
249,1264,192390,6212,192390
250,1272,192860,6212,192860
250,1272,193080,6212,193080
251,1280,194080,6212,194080
252,1282,194890,6212,194890
253,1284,195890,6212,195890
253,1284,196700,6212,196700
254,1292,196700,6212,196700
255,1300,197170,6212,197170
256,1308,198170,6212,198170
257,1316,199170,6212,199170
258,1318,199980,6212,199980
259,1326,200980,6212,200980
260,1334,201980,6212,201980
260,1334,202450,6212,202450
261,1342,203450,6212,203450
262,1344,204260,6212,204260
263,1346,205260,6212,205260
264,1354,205730,6212,205730
265,1362,205730,6212,205730
266,1364,206540,6212,206540
267,1366,207350,6212,207350
268,1374,207350,6212,207350
269,1382,208350,6212,208350
270,1390,209350,6212,209350
271,1398,209580,6212,209580
272,1400,211580,6212,211580
273,1408,211580,6212,211580
274,1416,212390,6212,212390
275,1424,212390,6212,212390
276,1432,213390,6212,213390
277,1434,214390,6212,214390
278,1442,215200,6212,215200
278,1442,216200,6212,216200
279,1450,217200,6212,217200
280,1458,218200,6212,218200
281,1460,219010,6212,219010
281,1460,219330,6212,219330
282,1462,220140,6212,220140
283,1464,221140,6212,221140
284,1472,222140,6212,222140
285,1480,222140,6212,222140
286,1482,223140,6212,223140
287,1484,223790,6212,223790
287,1484,223790,6212,223790
288,1486,224790,6212,224790
289,1488,226790,6212,226790
290,1490,227020,6212,227020
291,1492,227490,6212,227490
292,1500,228490,6212,228490
293,1508,229300,6212,229300
294,1510,230300,6212,230300
295,1518,231300,6212,231300
296,1526,232300,6212,232300
297,1528,233110,6212,233110
298,1530,233110,6212,233110
299,1538,233920,6212,233920
300,1540,234510,6212,234510
301,1548,234830,6212,234830
302,1556,235830,6212,235830
303,1564,235830,6212,235830
304,1572,235830,6212,235830
305,1574,236300,6212,236300
305,1574,237110,6212,237110
306,1582,237110,6212,237110
307,1584,238110,6212,238110
308,1586,238340,6212,238340
309,1594,239340,6212,239340
309,1594,240340,6212,240340
310,1602,241340,6212,241340
311,1610,241340,6212,241340
311,1610,241660,6212,241660
312,1614,242130,6212,242130
313,1616,243130,6212,243130
313,1616,243130,6212,243130
314,1624,243780,6212,243780
315,1626,244590,6212,244590
316,1634,252590,6212,252590
317,1638,253590,6212,253590
317,1638,254590,6212,254590
318,1646,255590,6212,255590
318,1646,256240,6212,256240
319,1648,257240,6212,257240
320,1656,257710,6212,257710
321,1664,258710,6212,258710
322,1672,259710,6212,259710
323,1680,260710,6212,260710
324,1688,261710,6212,261710
324,1688,262710,6212,262710
325,1696,262940,6212,262940
326,1704,263940,6212,263940
326,1704,264940,6212,264940
327,1712,265750,6212,265750
327,1712,266560,6212,266560
327,1712,267030,6212,267030
328,1716,268030,6212,268030
329,1720,269030,6212,269030
330,1728,270030,6212,270030
331,1736,271030,6212,271030
332,1744,271030,6212,271030
333,1746,271580,6212,271580
333,1746,272050,6212,272050
333,1746,272700,6212,272700
334,1748,272700,6212,272700
334,1748,273700,6212,273700
335,1756,274700,6212,274700
336,1758,275510,6212,275510
336,1758,275980,6212,275980
336,1758,276980,6212,276980
337,1766,277980,6212,277980
