ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
1179977.54,19.0,0.41,218688.77,3.52
1180005.96,19.0,0.41,218699.41,3.52
1179846.41,19.0,0.41,218681.48,3.52
1179648.14,19.0,0.41,218563.08,3.52
1179481.11,19.0,0.41,218554.14,3.52
1179509.53,19.0,0.41,218564.78,3.52
1179782.7,19.01,0.42,218570.1,3.52
1179947.63,19.01,0.43,218569.9,3.52
1179968.56,19.02,0.43,218667.22,3.52
1180403.09,19.02,0.44,218667.68,3.52
1180431.51,19.03,0.44,218678.32,3.52
1180271.96,19.03,0.44,218681.58,3.53
1180533.95,19.03,0.44,218776.92,3.53
1180776.56,19.04,0.45,218236.82,3.52
1180776.56,19.04,0.45,218166.93,3.52
1180617.01,19.04,0.45,218153.28,3.52
1180898.35,19.04,0.46,218151.18,3.52
1181169.62,19.05,0.46,218152.09,3.52
1181002.58,19.05,0.46,218130.59,3.52
1180843.04,19.05,0.46,218133.85,3.52
1180843.04,19.05,0.46,218064.46,3.52
1181105.03,19.06,0.47,218159.81,3.52
1181138.07,19.06,0.47,218171.84,3.52
1181159.0,19.06,0.47,218475.37,3.53
1181520.35,19.07,0.48,218401.38,3.52
1181536.87,19.07,0.48,218394.79,3.52
1181369.84,19.07,0.48,218373.28,3.52
1181202.8,19.07,0.48,218364.34,3.52
1181223.74,19.07,0.48,218461.66,3.53
1181056.7,19.07,0.48,218384.52,3.53
1181449.5,19.08,0.49,218310.71,3.53
1181289.95,19.08,0.49,218313.97,3.53
1181289.95,19.08,0.49,218245.03,3.52
1181553.05,19.08,0.49,218253.36,3.52
1181393.51,19.08,0.49,218259.54,3.53
1181233.96,19.08,0.49,218265.72,3.53
1181074.42,19.08,0.5,218268.98,3.53
1180907.38,19.08,0.5,218264.5,3.53
1180747.84,19.09,0.5,218267.76,3.53
1181021.01,19.09,0.5,218273.14,3.53
1181021.01,19.09,0.5,218203.76,3.53
1180853.98,19.09,0.5,218126.61,3.53
1181996.87,19.11,0.52,218997.62,3.54
1181829.84,19.11,0.52,218920.48,3.54
1182181.21,19.12,0.53,218997.95,3.54
1182443.12,19.12,0.53,218777.14,3.54
1182443.12,19.12,0.53,218756.87,3.54
1182497.46,19.13,0.54,218714.85,3.54
1182314.68,19.13,0.54,218084.98,3.53
1182310.05,19.13,0.54,218176.98,3.53
1182326.57,19.13,0.54,218162.96,3.53
1182670.81,19.14,0.55,218153.64,3.53
1182511.27,19.14,0.55,218159.82,3.53
1182318.68,19.14,0.55,218128.5,3.53
1182151.65,19.14,0.55,218107.0,3.53
1182503.02,19.14,0.55,218184.47,3.53
1182335.99,19.14,0.55,218107.33,3.53
1182176.44,19.14,0.55,218103.5,3.53
1182016.89,19.14,0.55,218100.56,3.53
1182037.83,19.15,0.56,218197.88,3.53
1182190.53,19.15,0.56,217841.01,3.53
1182030.98,19.15,0.56,217842.1,3.53
1182382.36,19.16,0.57,217919.58,3.53
1182215.32,19.16,0.57,217842.43,3.53
1182048.29,19.16,0.57,217820.93,3.53
1181855.7,19.16,0.57,217791.21,3.53
1181688.67,19.16,0.57,217782.26,3.53
1181721.71,19.16,0.57,217794.3,3.53
1181552.1,19.16,0.57,217796.41,3.53
1181392.55,19.16,0.57,217802.58,3.53
1181665.72,19.17,0.58,217807.91,3.53
1181686.66,19.17,0.58,217905.23,3.54
