ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,8,1000,6212,1000
2,10,2000,6212,2000
3,18,2470,6212,2470
4,26,3280,6212,3280
5,28,3280,6212,3280
6,30,3750,6212,3750
7,38,5750,6212,5750
8,39,6560,6212,6560
9,41,7560,6212,7560
10,43,8560,6212,8560
11,51,8560,6212,8560
12,53,9560,6212,9560
13,57,9560,6212,9560
14,59,10560,6212,10560
15,67,11560,6212,11560
16,69,11560,6212,11560
17,71,12560,6212,12560
18,73,12560,6212,12560
19,81,13370,6212,13370
20,89,14370,6212,14370
21,91,14960,6212,14960
22,93,15770,6212,15770
23,95,16770,6212,16770
24,97,17090,6212,17090
25,99,17550,6212,17550
26,107,18020,6212,18020
27,109,18020,6212,18020
28,111,19020,6212,19020
29,115,19340,6212,19340
30,117,19990,6212,19990
31,119,19990,6212,19990
32,121,20990,6212,20990
32,121,21990,6212,21990
33,129,22990,6212,22990
34,131,22990,6212,22990
35,133,23990,6212,23990
36,141,24150,6212,24150
37,143,25150,6212,25150
38,151,26150,6212,26150
39,159,27150,6212,27150
40,161,27620,6212,27620
41,163,28430,6212,28430
42,171,28900,6212,28900
43,179,29900,6212,29900
44,187,30370,6212,30370
45,195,31180,6212,31180
46,203,32180,6212,32180
47,211,32180,6212,32180
48,219,32180,6212,32180
49,227,33180,6212,33180
50,235,34180,6212,34180
51,236,34990,6212,34990
52,238,35800,6212,35800
53,240,36260,6212,36260
54,248,37260,6212,37260
55,256,38070,6212,38070
56,264,39070,6212,39070
57,266,39720,6212,39720
58,268,40190,6212,40190
59,276,40510,6212,40510
