ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
1179817.99,19.0,0.41,218717.18,3.52
1179625.4,19.0,0.41,218709.96,3.52
1179898.57,19.0,0.41,218715.34,3.52
1179926.99,19.0,0.42,218725.98,3.52
1179926.99,19.0,0.42,218656.6,3.52
1180188.98,19.01,0.42,218751.94,3.52
1179836.85,19.01,0.42,218759.79,3.52
1179822.15,19.01,0.43,218808.1,3.53
1179655.12,19.01,0.43,218806.1,3.53
1179488.09,19.01,0.43,218797.15,3.53
1179488.09,19.01,0.43,219653.61,3.54
1179733.21,19.02,0.43,219461.8,3.54
1179883.46,19.02,0.44,219972.74,3.55
1179716.43,19.02,0.44,219951.23,3.55
1179556.89,19.02,0.44,219946.57,3.55
1180329.06,19.04,0.45,220487.58,3.56
1180162.02,19.04,0.45,220485.57,3.56
1180162.02,19.04,0.45,220416.19,3.56
1180190.44,19.04,0.45,220426.83,3.56
1180030.9,19.04,0.45,220433.0,3.56
1180225.52,19.04,0.46,219736.26,3.55
1180246.45,19.05,0.46,219833.58,3.55
1180079.42,19.05,0.46,219756.43,3.55
1180430.79,19.05,0.47,219681.75,3.55
1180700.87,19.06,0.47,219672.44,3.55
1180974.04,19.07,0.48,219677.82,3.55
1181746.21,19.08,0.49,220218.83,3.56
1181579.18,19.08,0.49,220209.89,3.56
1181930.55,19.09,0.5,220187.25,3.56
1182521.95,19.1,0.51,220289.18,3.56
1182521.95,19.1,0.51,220218.64,3.56
1182354.92,19.1,0.51,220216.63,3.56
1182222.61,19.1,0.51,220706.42,3.57
1182057.38,19.1,0.51,220692.77,3.57
1182057.38,19.1,0.51,220623.38,3.56
1181890.35,19.1,0.51,220614.44,3.57
1182271.54,19.11,0.52,220597.25,3.57
1182104.51,19.11,0.52,220519.76,3.56
1181944.96,19.11,0.52,220525.93,3.57
1181779.74,19.11,0.52,220522.99,3.57
1182539.42,19.12,0.53,220844.79,3.57
1182560.35,19.12,0.53,220942.11,3.57
1182833.52,19.13,0.54,220947.44,3.57
1182673.98,19.13,0.54,220950.7,3.57
1182947.15,19.14,0.55,220956.02,3.57
1182975.57,19.14,0.55,220966.66,3.58
1182816.02,19.14,0.55,220972.84,3.58
1182816.02,19.14,0.55,220896.72,3.57
1182832.54,19.14,0.55,220890.12,3.57
1182673.0,19.14,0.55,220885.69,3.57
1182513.45,19.14,0.55,220877.44,3.58
1182498.76,19.14,0.55,220925.75,3.58
1182519.69,19.15,0.56,220849.04,3.58
1182789.77,19.15,0.56,220839.73,3.58
1182630.23,19.15,0.56,220836.61,3.58
1182658.65,19.16,0.57,220847.25,3.58
1182499.1,19.16,0.57,220843.68,3.58
1182655.95,19.16,0.57,220881.3,3.58
1182917.94,19.17,0.58,220976.64,3.58
1183283.03,19.17,0.58,220961.64,3.58
1183303.97,19.18,0.59,221376.49,3.59
1183320.49,19.18,0.59,221369.9,3.59
1183337.01,19.18,0.59,221355.87,3.59
1183177.47,19.18,0.59,221352.31,3.59
1183017.92,19.18,0.59,221353.4,3.59
1182850.89,19.18,0.59,221276.25,3.59
1182879.31,19.18,0.59,221286.89,3.59
1183244.4,19.19,0.6,221283.76,3.59
1183249.58,19.19,0.6,220844.61,3.58
1183082.55,19.19,0.6,220824.39,3.58
1183082.55,19.19,0.6,220755.45,3.58
1183103.48,19.19,0.6,220852.78,3.58
1182943.94,19.19,0.6,220849.21,3.58
1182784.39,19.2,0.6,220841.88,3.58
1182624.84,19.2,0.6,220845.14,3.58
1182454.84,19.2,0.6,220969.43,3.59
1182087.73,19.19,0.6,220733.31,3.58
1182116.15,19.19,0.6,220743.95,3.58
1181832.66,19.19,0.6,220436.52,3.58
1181832.66,19.19,0.6,220366.63,3.58
1181667.43,19.19,0.6,220369.89,3.58
1181940.6,19.2,0.61,220375.27,3.58
1181781.05,19.2,0.61,220365.77,3.58
1182042.96,19.21,0.62,220144.96,3.58
1181883.42,19.21,0.62,220151.14,3.58
1181716.38,19.21,0.62,220149.13,3.58
1181744.8,19.21,0.62,220159.77,3.58
1181765.74,19.21,0.62,220257.09,3.58
1181897.17,19.22,0.63,220290.12,3.58
1182159.16,19.22,0.63,220385.47,3.58
1182175.68,19.22,0.63,220369.7,3.58
1182008.65,19.22,0.63,220361.59,3.58
1181849.1,19.23,0.63,220367.77,3.58
1181689.55,19.23,0.63,220363.1,3.59
1181530.01,19.23,0.63,220369.28,3.59
1181792.0,19.23,0.64,220464.62,3.59
1181624.97,19.23,0.64,220443.12,3.59
1181457.93,19.23,0.64,220441.11,3.59
1181288.32,19.23,0.64,220440.99,3.59
1181128.77,19.23,0.64,220426.52,3.59
1181398.86,19.24,0.65,220417.21,3.59
1181231.83,19.24,0.65,220395.7,3.59
1181072.28,19.24,0.65,220398.97,3.59
1180912.73,19.24,0.65,220400.05,3.59
1181175.84,19.25,0.65,220408.38,3.59
1181016.29,19.25,0.65,220405.26,3.59
1181281.3,19.25,0.66,220384.47,3.59
1181429.7,19.26,0.66,220366.24,3.59
1181586.56,19.26,0.67,220403.86,3.59
1181416.94,19.26,0.67,220413.04,3.59
1181690.11,19.27,0.67,220418.36,3.59
1181953.21,19.27,0.68,220426.75,3.59
1181786.18,19.27,0.68,220417.8,3.59
1182067.52,19.28,0.69,220415.71,3.6
1181864.86,19.28,0.69,220389.96,3.6
1181705.31,19.28,0.69,220364.18,3.6
1181978.48,19.29,0.69,220369.5,3.6
1182329.85,19.29,0.7,220294.82,3.59
1182162.82,19.29,0.7,220273.31,3.6
1181995.79,19.29,0.7,220251.81,3.6
1181836.24,19.3,0.7,220252.9,3.6
1182098.15,19.3,0.71,220032.08,3.59
1182371.32,19.31,0.71,220037.41,3.59
1182736.41,19.32,0.72,220041.14,3.59
1182576.87,19.32,0.72,220036.72,3.59
1182417.32,19.32,0.72,220032.89,3.59
1182445.74,19.32,0.73,220043.53,3.6
1182286.19,19.32,0.73,220049.7,3.6
1182302.72,19.32,0.73,220043.1,3.6
1182132.72,19.32,0.73,219834.97,3.59
1181594.05,19.31,0.72,219310.76,3.58
1181434.5,19.32,0.72,219309.86,3.59
1181467.55,19.32,0.72,219321.89,3.59
1181484.07,19.32,0.72,219306.13,3.59
1181864.4,19.32,0.73,219330.75,3.59
1181699.18,19.32,0.73,219334.01,3.59
1181715.7,19.32,0.73,219327.41,3.59
1181736.63,19.33,0.73,219424.73,3.59
1181533.97,19.33,0.73,219384.51,3.59
1181366.94,19.33,0.73,219382.51,3.59
1181628.93,19.33,0.74,219684.05,3.59
1181459.31,19.33,0.74,219693.23,3.59
1181803.56,19.34,0.75,219683.92,3.59
1181803.56,19.34,0.75,219614.98,3.59
1181644.01,19.34,0.75,219611.15,3.59
1181988.25,19.35,0.75,219601.83,3.59
1182016.67,19.35,0.76,219612.47,3.6
1181857.13,19.35,0.76,219602.55,3.6
1181690.09,19.35,0.76,219525.06,3.59
1181523.06,19.35,0.76,219523.05,3.6
1181551.48,19.35,0.76,219533.69,3.6
1181950.61,19.36,0.77,219553.74,3.6
1181785.39,19.36,0.77,219550.8,3.6
1181625.84,19.36,0.77,219551.88,3.6
1181646.77,19.37,0.77,219649.21,3.6
