ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
1,1,1000,6212,1000
2,3,2000,6212,2000
3,5,2470,6212,2470
3,5,3280,6212,3280
4,9,3280,6212,3280
5,11,3750,6212,3750
6,13,5750,6212,5750
7,14,6560,6212,6560
8,16,7560,6212,7560
8,16,8560,6212,8560
9,20,8560,6212,8560
10,22,9560,6212,9560
11,24,9560,6212,9560
11,24,10560,6212,10560
12,26,11560,6212,11560
13,28,11560,6212,11560
14,30,12560,6212,12560
15,34,12560,6212,12560
15,34,13370,6212,13370
16,36,14370,6212,14370
16,36,14960,6212,14960
16,36,15770,6212,15770
17,38,16770,6212,16770
18,40,17090,6212,17090
18,40,17550,6212,17550
19,42,18020,6212,18020
20,44,18020,6212,18020
21,46,19020,6212,19020
21,46,19340,6212,19340
22,48,19990,6212,19990
23,50,19990,6212,19990
24,52,20990,6212,20990
25,54,21990,6212,21990
26,56,22990,6212,22990
27,60,22990,6212,22990
28,62,23990,6212,23990
28,62,24150,6212,24150
29,66,25150,6212,25150
30,68,26150,6212,26150
30,68,27150,6212,27150
31,70,27620,6212,27620
31,70,28430,6212,28430
32,71,28900,6212,28900
33,73,29900,6212,29900
34,74,30370,6212,30370
34,74,31180,6212,31180
35,76,32180,6212,32180
36,78,32180,6212,32180
37,80,32180,6212,32180
38,82,33180,6212,33180
39,86,34180,6212,34180
39,86,34990,6212,34990
39,86,35800,6212,35800
40,88,36260,6212,36260
41,92,37260,6212,37260
41,92,38070,6212,38070
42,93,39070,6212,39070
43,95,39720,6212,39720
43,95,40190,6212,40190
43,95,40510,6212,40510
43,95,41320,6212,41320
44,97,41320,6212,41320
45,99,41320,6212,41320
46,100,42320,6212,42320
46,100,43320,6212,43320
47,102,44320,6212,44320
47,102,45130,6212,45130
48,104,45450,6212,45450
48,104,46260,6212,46260
49,106,47260,6212,47260
49,106,47260,6212,47260
49,106,48070,6212,48070
50,107,49070,6212,49070
51,109,50070,6212,50070
52,111,51070,6212,51070
53,115,52070,6212,52070
53,115,52540,6212,52540
53,115,53350,6212,53350
54,116,54350,6212,54350
55,118,54350,6212,54350
56,120,55350,6212,55350
57,122,55820,6212,55820
58,124,56820,6212,56820
59,126,57820,6212,57820
60,128,58820,6212,58820
61,130,59820,6212,59820
61,130,60630,6212,60630
61,130,61440,6212,61440
62,132,62090,6212,62090
62,132,62560,6212,62560
63,136,62560,6212,62560
64,138,63560,6212,63560
65,140,64560,6212,64560
66,142,65560,6212,65560
67,144,66560,6212,66560
67,144,67030,6212,67030
67,144,68030,6212,68030
68,146,69030,6212,69030
69,150,70030,6212,70030
70,152,71030,6212,71030
71,153,71490,6212,71490
71,153,72490,6212,72490
71,153,73490,6212,73490
71,153,74490,6212,74490
72,154,74960,6212,74960
73,158,75960,6212,75960
73,158,76440,6212,76440
74,160,77090,6212,77090
75,162,77740,6212,77740
75,162,78740,6212,78740
76,163,79210,6212,79210
77,165,79680,6212,79680
78,167,80680,6212,80680
79,168,81140,6212,81140
80,176,82140,6212,82140
80,176,83140,6212,83140
81,177,83610,6212,83610
82,179,83930,6212,83930
82,179,84930,6212,84930
82,179,85930,6212,85930
83,187,86930,6212,86930
84,189,87930,6212,87930
85,190,88400,6212,88400
85,190,88720,6212,88720
86,192,89720,6212,89720
87,194,90720,6212,90720
87,194,91530,6212,91530
88,196,92530,6212,92530
88,196,92530,6212,92530
89,198,93530,6212,93530
89,198,94340,6212,94340
90,200,95340,6212,95340
91,204,95340,6212,95340
92,208,95340,6212,95340
92,208,95450,6212,95450
93,210,96450,6212,96450
94,212,96450,6212,96450
94,212,97260,6212,97260
95,214,98260,6212,98260
96,216,99260,6212,99260
97,218,99730,6212,99730
98,220,100730,6212,100730
98,220,101100,6212,101100
99,222,101100,6212,101100
100,224,102100,6212,102100
100,224,102470,6212,102470
100,224,103280,6212,103280
101,226,104280,6212,104280
102,228,105280,6212,105280
103,230,106280,6212,106280
103,230,107090,6212,107090
103,230,107310,6212,107310
103,230,108310,6212,108310
103,230,109310,6212,109310
103,230,110120,6212,110120
103,230,110930,6212,110930
104,232,111930,6212,111930
104,232,112250,6212,112250
104,232,113060,6212,113060
105,236,117060,6212,117060
106,238,118060,6212,118060
107,240,119060,6212,119060
108,242,120060,6212,120060
109,250,128060,6212,128060
110,252,129060,6212,129060
110,252,129870,6212,129870
110,252,130460,6212,130460
110,252,131270,6212,131270
110,252,131820,6212,131820
111,254,132820,6212,132820
111,254,133050,6212,133050
111,254,133510,6212,133510
111,254,134320,6212,134320
112,255,135320,6212,135320
112,255,136130,6212,136130
113,257,137130,6212,137130
113,257,137940,6212,137940
113,257,138750,6212,138750
114,259,139750,6212,139750
115,260,140750,6212,140750
116,262,141220,6212,141220
116,262,142030,6212,142030
116,262,143030,6212,143030
116,262,143350,6212,143350
116,262,143670,6212,143670
117,264,144670,6212,144670
118,268,145670,6212,145670
119,270,146670,6212,146670
119,270,147140,6212,147140
119,270,147140,6212,147140
120,272,147140,6212,147140
121,274,148140,6212,148140
121,274,148950,6212,148950
122,276,149950,6212,149950
122,276,150950,6212,150950
123,278,151950,6212,151950
124,280,151950,6212,151950
125,284,152950,6212,152950
125,284,153500,6212,153500
125,284,153970,6212,153970
126,285,154970,6212,154970
126,285,155970,6212,155970
127,287,156970,6212,156970
127,287,157780,6212,157780
128,289,158780,6212,158780
129,291,159780,6212,159780
130,293,160430,6212,160430
130,293,161430,6212,161430
131,295,162430,6212,162430
132,297,162900,6212,162900
133,299,163900,6212,163900
133,299,164270,6212,164270
134,303,164270,6212,164270
134,303,165270,6212,165270
134,303,166080,6212,166080
135,305,167080,6212,167080
136,307,168080,6212,168080
137,309,168310,6212,168310
137,309,169310,6212,169310
138,311,170310,6212,170310
139,313,171310,6212,171310
140,317,171310,6212,171310
141,319,172310,6212,172310
141,319,172860,6212,172860
142,321,173860,6212,173860
142,321,174020,6212,174020
142,321,174340,6212,174340
142,321,175150,6212,175150
143,323,176150,6212,176150
143,323,176960,6212,176960
144,327,180960,6212,180960
145,329,181960,6212,181960
146,331,182960,6212,182960
147,335,182960,6212,182960
148,337,182960,6212,182960
149,341,183960,6212,183960
149,341,184430,6212,184430
149,341,185240,6212,185240
150,345,185240,6212,185240
151,347,186240,6212,186240
152,351,187240,6212,187240
152,351,187710,6212,187710
152,351,188710,6212,188710
152,351,189520,6212,189520
153,355,190520,6212,190520
154,359,190520,6212,190520
155,361,190840,6212,190840
155,361,191650,6212,191650
155,361,191650,6212,191650
156,363,192650,6212,192650
156,363,193650,6212,193650
156,363,194650,6212,194650
156,363,195460,6212,195460
157,365,196110,6212,196110
158,367,197110,6212,197110
159,369,198110,6212,198110
160,377,206110,6212,206110
161,379,206430,6212,206430
162,381,207430,6212,207430
162,381,207750,6212,207750
163,383,208750,6212,208750
164,384,209070,6212,209070
164,384,209880,6212,209880
165,388,209880,6212,209880
166,390,210880,6212,210880
166,390,211350,6212,211350
166,390,212160,6212,212160
167,391,213160,6212,213160
168,393,214160,6212,214160
168,393,214160,6212,214160
168,393,215160,6212,215160
169,395,216160,6212,216160
169,395,217160,6212,217160
169,395,217630,6212,217630
169,395,218630,6212,218630
170,397,219630,6212,219630
170,397,219850,6212,219850
170,397,220850,6212,220850
170,397,221500,6212,221500
171,399,222500,6212,222500
172,400,222970,6212,222970
172,400,223780,6212,223780
172,400,224780,6212,224780
172,400,225100,6212,225100
173,402,226100,6212,226100
173,402,227100,6212,227100
174,403,228100,6212,228100
175,404,228570,6212,228570
176,406,229570,6212,229570
177,410,230570,6212,230570
177,410,230570,6212,230570
177,410,231380,6212,231380
177,410,231380,6212,231380
178,412,232380,6212,232380
178,412,232380,6212,232380
179,416,232380,6212,232380
179,416,233190,6212,233190
179,416,234190,6212,234190
179,416,235190,6212,235190
179,416,236190,6212,236190
179,416,236190,6212,236190
180,418,237190,6212,237190
180,418,237190,6212,237190
180,418,237650,6212,237650
180,418,237700,6212,237700
180,418,238700,6212,238700
180,418,238700,6212,238700
181,422,238700,6212,238700
181,422,239700,6212,239700
181,422,240700,6212,240700
181,422,241700,6212,241700
182,424,242700,6212,242700
182,424,243510,6212,243510
182,424,243670,6212,243670
182,424,244480,6212,244480
182,424,244950,6212,244950
183,426,245950,6212,245950
183,426,246320,6212,246320
183,426,246790,6212,246790
183,426,247160,6212,247160
184,430,247630,6212,247630
185,432,248630,6212,248630
185,432,249630,6212,249630
185,432,250630,6212,250630
185,432,250630,6212,250630
185,432,251280,6212,251280
186,434,252280,6212,252280
186,434,253090,6212,253090
186,434,254090,6212,254090
186,434,254460,6212,254460
187,436,255460,6212,255460
187,436,256270,6212,256270
187,436,257080,6212,257080
188,438,258080,6212,258080
188,438,258400,6212,258400
188,438,259400,6212,259400
188,438,260400,6212,260400
189,440,261400,6212,261400
189,440,262400,6212,262400
189,440,263400,6212,263400
190,442,264400,6212,264400
190,442,265400,6212,265400
190,442,265630,6212,265630
191,444,266630,6212,266630
191,444,267630,6212,267630
191,444,268100,6212,268100
191,444,268750,6212,268750
192,446,269750,6212,269750
192,446,270560,6212,270560
192,446,271560,6212,271560
193,450,272560,6212,272560
193,450,273560,6212,273560
193,450,274560,6212,274560
194,454,275030,6212,275030
194,454,275490,6212,275490
194,454,276490,6212,276490
194,454,277490,6212,277490
194,454,278490,6212,278490
194,454,278960,6212,278960
194,454,279190,6212,279190
194,454,280190,6212,280190
194,454,281000,6212,281000
195,456,282000,6212,282000
195,456,283000,6212,283000
196,458,284000,6212,284000
196,458,285000,6212,285000
196,458,286000,6212,286000
197,460,287000,6212,287000
197,460,287590,6212,287590
197,460,288400,6212,288400
197,460,289210,6212,289210
197,460,290210,6212,290210
198,462,291210,6212,291210
198,462,292210,6212,292210
198,462,293020,6212,293020
199,466,294020,6212,294020
199,466,295020,6212,295020
200,474,296020,6212,296020
200,474,296020,6212,296020
201,476,297020,6212,297020
202,478,299020,6212,299020
202,478,299020,6212,299020
203,479,299830,6212,299830
203,479,300830,6212,300830
204,480,301830,6212,301830
204,480,301830,6212,301830
205,484,302300,6212,302300
205,484,302890,6212,302890
205,484,302890,6212,302890
205,484,303210,6212,303210
206,486,304210,6212,304210
206,486,305210,6212,305210
206,486,306210,6212,306210
206,486,307210,6212,307210
206,486,308210,6212,308210
206,486,308680,6212,308680
206,486,309680,6212,309680
207,490,310680,6212,310680
207,490,311490,6212,311490
207,490,312300,6212,312300
208,498,320300,6212,320300
208,498,321300,6212,321300
208,498,322300,6212,322300
208,498,322530,6212,322530
208,498,323000,6212,323000
208,498,323810,6212,323810
209,502,324810,6212,324810
209,502,325810,6212,325810
209,502,325810,6212,325810
209,502,325810,6212,325810
210,506,326810,6212,326810
210,506,327810,6212,327810
210,506,328280,6212,328280
210,506,328280,6212,328280
210,506,328600,6212,328600
210,506,328600,6212,328600
210,506,329250,6212,329250
211,508,329720,6212,329720
211,508,330530,6212,330530
212,510,331530,6212,331530
212,510,332000,6212,332000
212,510,333000,6212,333000
213,512,334000,6212,334000
213,512,335000,6212,335000
213,512,336000,6212,336000
213,512,336000,6212,336000
214,514,336470,6212,336470
214,514,337470,6212,337470
215,516,338470,6212,338470
215,516,339470,6212,339470
216,518,340470,6212,340470
216,518,341470,6212,341470
216,518,341930,6212,341930
217,522,342400,6212,342400
217,522,342630,6212,342630
217,522,343630,6212,343630
217,522,344630,6212,344630
217,522,344950,6212,344950
217,522,344950,6212,344950
217,522,345950,6212,345950
217,522,346950,6212,346950
217,522,346950,6212,346950
217,522,346950,6212,346950
217,522,346950,6212,346950
218,524,347950,6212,347950
218,524,348950,6212,348950
218,524,348950,6212,348950
218,524,348950,6212,348950
218,524,349410,6212,349410
219,526,350410,6212,350410
219,526,351410,6212,351410
220,528,352410,6212,352410
220,528,353410,6212,353410
221,530,354410,6212,354410
221,530,355410,6212,355410
222,532,356410,6212,356410
222,532,356410,6212,357220
222,532,357410,6212,358220
223,534,358410,6212,359220
223,534,358880,6212,359690
224,536,359530,6212,360340
224,536,359850,6212,360660
224,536,359850,6212,360660
