ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
1179351.88,18.99,0.4,217986.95,3.51
1179597.01,19.0,0.41,217806.28,3.51
1180356.69,19.01,0.42,218128.08,3.51
1179834.8,19.0,0.42,217563.72,3.5
1183041.72,19.05,0.47,220611.51,3.55
1183303.71,19.06,0.47,220706.85,3.56
1182836.95,19.06,0.47,219771.82,3.54
1182399.74,19.05,0.47,219238.25,3.53
1182644.87,19.06,0.47,219057.58,3.53
1182477.84,19.06,0.47,219234.31,3.53
1185684.76,19.11,0.53,222282.09,3.58
1185929.88,19.12,0.53,222090.29,3.58
1187463.12,19.15,0.56,223155.26,3.6
1186751.23,19.14,0.55,222400.9,3.59
1187013.14,19.14,0.56,222180.09,3.58
1187774.21,19.16,0.57,222704.05,3.59
1188019.34,19.16,0.58,222523.38,3.59
1191226.26,19.22,0.63,225571.16,3.64
1190704.37,19.21,0.62,225017.94,3.63
1190949.49,19.22,0.63,224837.27,3.63
1190663.05,19.21,0.63,224520.44,3.62
1190124.38,19.21,0.62,223996.23,3.62
1190386.29,19.21,0.63,223775.41,3.61
1191112.61,19.23,0.64,223811.69,3.61
1191135.27,19.23,0.64,224057.74,3.62
1191894.95,19.24,0.66,224379.54,3.62
1192667.12,19.26,0.67,224920.55,3.63
1192912.25,19.26,0.68,224728.75,3.63
1192690.98,19.26,0.67,224577.82,3.63
1193282.37,19.27,0.68,224679.75,3.63
1194815.61,19.3,0.71,225744.72,3.65
1195060.74,19.3,0.72,225564.05,3.64
1195305.87,19.31,0.72,225383.38,3.64
1195534.21,19.32,0.73,225129.0,3.64
1198741.13,19.37,0.78,228176.79,3.69
1198986.26,19.38,0.79,227984.98,3.68
1199580.68,19.39,0.8,228346.59,3.69
1200891.51,19.41,0.82,229642.16,3.71
1201136.64,19.42,0.83,229461.49,3.71
1200424.75,19.41,0.82,228707.13,3.7
1201184.44,19.42,0.84,229028.93,3.7
1200662.55,19.42,0.83,228464.57,3.69
1200566.89,19.42,0.83,228272.54,3.69
1200812.01,19.42,0.84,228080.74,3.69
1200716.35,19.42,0.84,227888.71,3.69
1200177.68,19.42,0.83,227364.5,3.68
1200422.81,19.42,0.84,227183.83,3.68
1201956.05,19.45,0.86,228248.8,3.69
1203098.94,19.47,0.88,229119.81,3.71
1203632.18,19.48,0.89,229184.78,3.71
1204943.01,19.5,0.92,230480.35,3.73
1204421.12,19.5,0.91,229927.13,3.72
1203899.23,19.49,0.91,229362.77,3.71
1204169.32,19.5,0.91,229353.46,3.71
1204245.22,19.5,0.92,230270.98,3.73
1203727.06,19.5,0.91,229774.02,3.72
1203101.4,19.49,0.9,229051.99,3.71
1203692.79,19.5,0.92,229153.92,3.71
1203325.68,19.5,0.91,229257.38,3.71
1203677.05,19.5,0.92,229545.72,3.72
1203155.16,19.5,0.91,228981.37,3.71
1204298.06,19.52,0.93,229852.38,3.72
1205831.29,19.54,0.96,230917.35,3.74
1205205.63,19.53,0.95,230195.32,3.73
1204510.53,19.53,0.94,229514.67,3.72
1204343.49,19.53,0.94,229437.52,3.72
1203821.6,19.52,0.93,228884.3,3.71
1204547.92,19.53,0.95,228920.58,3.71
1204026.04,19.53,0.94,228356.22,3.7
1204559.27,19.54,0.95,228421.2,3.71
1206690.29,19.57,0.99,229551.46,3.72
1206168.4,19.57,0.98,228998.23,3.72
1205548.94,19.56,0.98,228420.08,3.71
1206077.92,19.57,0.99,228480.79,3.71
