ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
1,1,1000,6212,1000
2,2,2000,6212,2000
3,3,2470,6212,2470
4,4,3280,6212,3280
5,12,3280,6212,3280
6,14,3750,6212,3750
7,16,5750,6212,5750
7,16,6560,6212,6560
8,18,7560,6212,7560
8,18,8560,6212,8560
8,18,8560,6212,8560
9,20,9560,6212,9560
9,20,9560,6212,9560
9,20,10560,6212,10560
10,22,11560,6212,11560
10,22,11560,6212,11560
10,22,12560,6212,12560
11,30,12560,6212,12560
12,31,13370,6212,13370
13,33,14370,6212,14370
14,34,14960,6212,14960
15,35,15770,6212,15770
15,35,16770,6212,16770
15,35,17090,6212,17090
15,35,17550,6212,17550
16,37,18020,6212,18020
16,37,18020,6212,18020
17,39,19020,6212,19020
17,39,19340,6212,19340
17,39,19990,6212,19990
17,39,19990,6212,19990
18,41,20990,6212,20990
19,43,21990,6212,21990
19,43,22990,6212,22990
19,43,22990,6212,22990
20,45,23990,6212,23990
20,45,24150,6212,24150
20,45,25150,6212,25150
21,47,26150,6212,26150
21,47,27150,6212,27150
22,49,27620,6212,27620
22,49,28430,6212,28430
22,49,28900,6212,28900
22,49,29900,6212,29900
23,50,30370,6212,30370
24,51,31180,6212,31180
25,53,32180,6212,32180
25,53,32180,6212,32180
26,61,32180,6212,32180
26,61,33180,6212,33180
27,63,34180,6212,34180
28,64,34990,6212,34990
29,65,35800,6212,35800
30,67,36260,6212,36260
30,67,37260,6212,37260
30,67,38070,6212,38070
31,68,39070,6212,39070
32,70,39720,6212,39720
32,70,40190,6212,40190
32,70,40510,6212,40510
32,70,41320,6212,41320
32,70,41320,6212,41320
32,70,41320,6212,41320
33,71,42320,6212,42320
33,71,43320,6212,43320
34,73,44320,6212,44320
35,74,45130,6212,45130
35,74,45450,6212,45450
36,75,46260,6212,46260
36,75,47260,6212,47260
36,75,47260,6212,47260
37,76,48070,6212,48070
38,77,49070,6212,49070
39,79,50070,6212,50070
40,81,51070,6212,51070
41,85,52070,6212,52070
42,86,52540,6212,52540
43,87,53350,6212,53350
43,87,54350,6212,54350
43,87,54350,6212,54350
44,89,55350,6212,55350
45,91,55820,6212,55820
45,91,56820,6212,56820
46,93,57820,6212,57820
46,93,58820,6212,58820
47,95,59820,6212,59820
47,95,60630,6212,60630
48,96,61440,6212,61440
49,98,62090,6212,62090
49,98,62560,6212,62560
49,98,62560,6212,62560
49,98,63560,6212,63560
50,100,64560,6212,64560
50,100,65560,6212,65560
51,102,66560,6212,66560
51,102,67030,6212,67030
51,102,68030,6212,68030
52,104,69030,6212,69030
52,104,70030,6212,70030
53,106,71030,6212,71030
53,106,71490,6212,71490
53,106,72490,6212,72490
54,108,73490,6212,73490
54,108,74490,6212,74490
55,109,74960,6212,74960
56,111,75960,6212,75960
57,112,76440,6212,76440
58,114,77090,6212,77090
59,116,77740,6212,77740
59,116,78740,6212,78740
60,117,79210,6212,79210
61,119,79680,6212,79680
62,121,80680,6212,80680
62,121,81140,6212,81140
63,129,82140,6212,82140
63,129,83140,6212,83140
63,129,83610,6212,83610
63,129,83930,6212,83930
63,129,84930,6212,84930
63,129,85930,6212,85930
63,129,86930,6212,86930
63,129,87930,6212,87930
63,129,88400,6212,88400
63,129,88720,6212,88720
63,129,89720,6212,89720
63,129,90720,6212,90720
63,129,91530,6212,91530
63,129,92530,6212,92530
63,129,92530,6212,92530
63,129,93530,6212,93530
64,130,94340,6212,94340
64,130,95340,6212,95340
64,130,95340,6212,95340
64,130,95340,6212,95340
64,130,95450,6212,95450
64,130,96450,6212,96450
64,130,96450,6212,96450
65,132,97260,6212,97260
65,132,98260,6212,98260
66,134,99260,6212,99260
66,134,99730,6212,99730
66,134,100730,6212,100730
66,134,101100,6212,101100
67,142,101100,6212,101100
68,144,102100,6212,102100
69,146,102470,6212,102470
69,146,103280,6212,103280
70,148,104280,6212,104280
70,148,105280,6212,105280
71,150,106280,6212,106280
72,152,107090,6212,107090
72,152,107310,6212,107310
72,152,108310,6212,108310
72,152,109310,6212,109310
73,154,110120,6212,110120
74,156,110930,6212,110930
75,158,111930,6212,111930
75,158,112250,6212,112250
75,158,113060,6212,113060
76,162,117060,6212,117060
76,162,118060,6212,118060
77,164,119060,6212,119060
77,164,120060,6212,120060
78,172,128060,6212,128060
79,174,129060,6212,129060
79,174,129870,6212,129870
80,176,130460,6212,130460
80,176,131270,6212,131270
81,178,131820,6212,131820
82,180,132820,6212,132820
82,180,133050,6212,133050
82,180,133510,6212,133510
82,180,134320,6212,134320
83,182,135320,6212,135320
84,184,136130,6212,136130
85,186,137130,6212,137130
85,186,137940,6212,137940
86,188,138750,6212,138750
86,188,139750,6212,139750
86,188,140750,6212,140750
86,188,141220,6212,141220
87,190,142030,6212,142030
87,190,143030,6212,143030
87,190,143350,6212,143350
87,190,143670,6212,143670
88,192,144670,6212,144670
88,192,145670,6212,145670
89,194,146670,6212,146670
89,194,147140,6212,147140
89,194,147140,6212,147140
89,194,147140,6212,147140
90,196,148140,6212,148140
91,198,148950,6212,148950
91,198,149950,6212,149950
92,200,150950,6212,150950
92,200,151950,6212,151950
92,200,151950,6212,151950
93,202,152950,6212,152950
93,202,153500,6212,153500
94,204,153970,6212,153970
94,204,154970,6212,154970
94,204,155970,6212,155970
94,204,156970,6212,156970
94,204,157780,6212,157780
95,206,158780,6212,158780
95,206,159780,6212,159780
96,208,160430,6212,160430
96,208,161430,6212,161430
96,208,162430,6212,162430
96,208,162900,6212,162900
96,208,163900,6212,163900
96,208,164270,6212,164270
96,208,164270,6212,164270
96,208,165270,6212,165270
96,208,166080,6212,166080
97,210,167080,6212,167080
97,210,168080,6212,168080
98,212,168310,6212,168310
98,212,169310,6212,169310
99,214,170310,6212,170310
100,216,171310,6212,171310
100,216,171310,6212,171310
100,216,172310,6212,172310
100,216,172860,6212,172860
101,218,173860,6212,173860
101,218,174020,6212,174020
101,218,174340,6212,174340
102,220,175150,6212,175150
102,220,176150,6212,176150
102,220,176960,6212,176960
103,224,180960,6212,180960
104,226,181960,6212,181960
104,226,182960,6212,182960
105,234,182960,6212,182960
105,234,182960,6212,182960
106,236,183960,6212,183960
106,236,184430,6212,184430
107,238,185240,6212,185240
107,238,185240,6212,185240
107,238,186240,6212,186240
108,240,187240,6212,187240
108,240,187710,6212,187710
108,240,188710,6212,188710
109,242,189520,6212,189520
110,244,190520,6212,190520
110,244,190520,6212,190520
110,244,190840,6212,190840
110,244,191650,6212,191650
110,244,191650,6212,191650
110,244,192650,6212,192650
110,244,193650,6212,193650
110,244,194650,6212,194650
111,246,195460,6212,195460
111,246,196110,6212,196110
112,248,197110,6212,197110
112,248,198110,6212,198110
113,256,206110,6212,206110
114,258,206430,6212,206430
115,260,207430,6212,207430
115,260,207750,6212,207750
115,260,208750,6212,208750
115,260,209070,6212,209070
115,260,209880,6212,209880
116,268,209880,6212,209880
117,270,210880,6212,210880
118,272,211350,6212,211350
118,272,212160,6212,212160
118,272,213160,6212,213160
119,274,214160,6212,214160
119,274,214160,6212,214160
120,276,215160,6212,215160
120,276,216160,6212,216160
121,278,217160,6212,217160
121,278,217630,6212,217630
121,278,218630,6212,218630
122,280,219630,6212,219630
122,280,219850,6212,219850
122,280,220850,6212,220850
123,282,221500,6212,221500
124,284,222500,6212,222500
124,284,222970,6212,222970
125,286,223780,6212,223780
126,290,224780,6212,224780
126,290,225100,6212,225100
126,290,226100,6212,226100
126,290,227100,6212,227100
126,290,228100,6212,228100
126,290,228570,6212,228570
126,290,229570,6212,229570
127,292,230570,6212,230570
127,292,230570,6212,230570
127,292,231380,6212,231380
127,292,231380,6212,231380
127,292,232380,6212,232380
127,292,232380,6212,232380
127,292,232380,6212,232380
128,294,233190,6212,233190
129,296,234190,6212,234190
129,296,235190,6212,235190
130,298,236190,6212,236190
130,298,236190,6212,236190
130,298,237190,6212,237190
130,298,237190,6212,237190
130,298,237650,6212,237650
130,298,237700,6212,237700
131,300,238700,6212,238700
131,300,238700,6212,238700
131,300,238700,6212,238700
131,300,239700,6212,239700
132,302,240700,6212,240700
132,302,241700,6212,241700
133,304,242700,6212,242700
134,306,243510,6212,243510
134,306,243670,6212,243670
134,306,244480,6212,244480
135,308,244950,6212,244950
135,308,245950,6212,245950
135,308,246320,6212,246320
135,308,246790,6212,246790
135,308,247160,6212,247160
135,308,247630,6212,247630
136,310,248630,6212,248630
136,310,249630,6212,249630
137,312,250630,6212,250630
137,312,250630,6212,250630
138,314,251280,6212,251280
138,314,252280,6212,252280
138,314,253090,6212,253090
139,316,254090,6212,254090
140,318,254460,6212,254460
140,318,255460,6212,255460
140,318,256270,6212,256270
141,320,257080,6212,257080
142,322,258080,6212,258080
142,322,258400,6212,258400
142,322,259400,6212,259400
143,324,260400,6212,260400
144,326,261400,6212,261400
144,326,262400,6212,262400
144,326,263400,6212,263400
145,328,264400,6212,264400
145,328,265400,6212,265400
145,328,265630,6212,265630
145,328,266630,6212,266630
146,330,267630,6212,267630
146,330,268100,6212,268100
147,332,268750,6212,268750
148,334,269750,6212,269750
148,334,270560,6212,270560
148,334,271560,6212,271560
149,336,272560,6212,272560
149,336,273560,6212,273560
150,338,274560,6212,274560
150,338,275030,6212,275030
151,340,275490,6212,275490
151,340,276490,6212,276490
152,342,277490,6212,277490
153,350,278490,6212,278490
153,350,278960,6212,278960
153,350,279190,6212,279190
153,350,280190,6212,280190
153,350,281000,6212,281000
153,350,282000,6212,282000
153,350,283000,6212,283000
153,350,284000,6212,284000
153,350,285000,6212,285000
153,350,286000,6212,286000
153,350,287000,6212,287000
154,352,287590,6212,287590
154,352,288400,6212,288400
155,354,289210,6212,289210
155,354,290210,6212,290210
156,356,291210,6212,291210
156,356,292210,6212,292210
156,356,293020,6212,293020
157,358,294020,6212,294020
157,358,295020,6212,295020
157,358,296020,6212,296020
157,358,296020,6212,296020
158,360,297020,6212,297020
159,362,299020,6212,299020
159,362,299020,6212,299020
160,364,299830,6212,299830
161,366,300830,6212,300830
161,366,301830,6212,301830
161,366,301830,6212,301830
161,366,302300,6212,302300
162,368,302890,6212,302890
162,368,302890,6212,302890
162,368,303210,6212,303210
163,370,304210,6212,304210
164,378,305210,6212,305210
164,378,306210,6212,306210
164,378,307210,6212,307210
164,378,308210,6212,308210
164,378,308680,6212,308680
164,378,309680,6212,309680
164,378,310680,6212,310680
164,378,311490,6212,311490
165,380,312300,6212,312300
166,388,320300,6212,320300
166,388,321300,6212,321300
167,390,322300,6212,322300
167,390,322530,6212,322530
167,390,323000,6212,323000
168,392,323810,6212,323810
168,392,324810,6212,324810
168,392,325810,6212,325810
168,392,325810,6212,325810
168,392,325810,6212,325810
168,392,326810,6212,326810
168,392,327810,6212,327810
168,392,328280,6212,328280
168,392,328280,6212,328280
168,392,328600,6212,328600
168,392,328600,6212,328600
168,392,329250,6212,329250
169,394,329720,6212,329720
169,394,330530,6212,330530
170,396,331530,6212,331530
170,396,332000,6212,332000
170,396,333000,6212,333000
171,398,334000,6212,334000
171,398,335000,6212,335000
172,400,336000,6212,336000
172,400,336000,6212,336000
173,402,336470,6212,336470
173,402,337470,6212,337470
174,404,338470,6212,338470
174,404,339470,6212,339470
175,406,340470,6212,340470
175,406,341470,6212,341470
175,406,341930,6212,341930
175,406,342400,6212,342400
175,406,342630,6212,342630
176,408,343630,6212,343630
176,408,344630,6212,344630
177,410,344950,6212,344950
177,410,344950,6212,344950
178,412,345950,6212,345950
178,412,346950,6212,346950
178,412,346950,6212,346950
178,412,346950,6212,346950
178,412,346950,6212,346950
179,414,347950,6212,347950
179,414,348950,6212,348950
179,414,348950,6212,348950
179,414,348950,6212,348950
179,414,349410,6212,349410
180,416,350410,6212,350410
181,418,351410,6212,351410
181,418,352410,6212,352410
182,420,353410,6212,353410
182,420,354410,6212,354410
183,422,355410,6212,355410
183,422,356410,6212,356410
184,424,357220,6212,357220
185,426,358220,6212,358220
185,426,359220,6212,359220
185,426,359690,6212,359690
185,426,360340,6212,360340
185,426,360660,6212,360660
185,426,360660,6212,360660
186,428,361660,6212,361660
187,430,362130,6212,362130
187,430,363130,6212,363130
187,430,363130,6212,363130
188,432,364130,6212,364130
188,432,365130,6212,365130
189,434,366130,6212,366130
189,434,366130,6212,366130
190,436,367130,6212,367130
190,436,368130,6212,368130
190,436,368130,6212,368130
191,438,369130,6212,369130
191,438,369940,6212,369940
191,438,370940,6212,370940
191,438,371050,6212,371050
191,438,372050,6212,372050
192,440,372860,6212,372860
192,440,373860,6212,373860
193,442,374860,6212,374860
193,442,374860,6212,374860
193,442,375860,6212,375860
193,442,375860,6212,375860
193,442,376090,6212,376090
194,444,377090,6212,377090
194,444,377900,6212,377900
194,444,378900,6212,378900
194,444,379370,6212,379370
194,444,379370,6212,379370
195,446,380370,6212,380370
195,446,381370,6212,381370
196,448,382180,6212,382180
196,448,382990,6212,382990
197,450,383990,6212,383990
197,450,384990,6212,384990
198,452,385800,6212,385800
199,454,386800,6212,386800
199,454,387800,6212,387800
200,456,388800,6212,388800
200,456,389800,6212,389800
201,458,390800,6212,390800
201,458,391800,6212,391800
202,460,392800,6212,392800
202,460,392800,6212,392800
202,460,393800,6212,393800
202,460,394450,6212,394450
203,462,394770,6212,394770
203,462,395580,6212,395580
204,464,396390,6212,396390
204,464,396710,6212,396710
205,466,397710,6212,397710
205,466,398030,6212,398030
206,468,398840,6212,398840
206,468,399840,6212,399840
206,468,400310,6212,400310
207,470,401310,6212,401310
207,470,401310,6212,401310
