ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
1179351.88,18.99,0.4,217986.95,3.51
1179149.22,18.99,0.4,217866.19,3.51
1179379.28,18.99,0.41,218115.83,3.51
1178942.07,18.99,0.4,217582.25,3.5
1178975.11,18.99,0.4,217594.29,3.5
1179237.1,18.99,0.41,217689.63,3.51
1178770.34,18.99,0.41,216754.6,3.49
1178791.27,19.0,0.41,217058.13,3.5
1178624.24,19.0,0.41,217056.12,3.5
1178457.21,19.0,0.41,216976.5,3.5
1178457.21,19.0,0.41,216978.96,3.5
1178290.18,19.0,0.41,216970.02,3.5
1178602.04,19.0,0.41,223446.69,3.6
1178435.01,19.0,0.41,223374.01,3.6
1178267.97,19.0,0.41,223296.52,3.6
1181363.88,19.05,0.46,223771.7,3.61
1181196.85,19.05,0.46,223767.57,3.61
1181229.9,19.05,0.46,223779.6,3.61
1180792.69,19.05,0.46,223246.03,3.6
1180625.66,19.05,0.46,223244.02,3.6
1180384.33,19.05,0.46,222905.11,3.6
1179947.12,19.04,0.45,222371.53,3.59
1179780.09,19.04,0.45,222291.92,3.59
1179555.12,19.04,0.45,222124.28,3.59
1179196.1,19.04,0.45,221894.83,3.58
1179458.09,19.04,0.45,221990.18,3.58
1182509.59,19.09,0.5,222965.0,3.6
1182754.72,19.1,0.51,222773.2,3.6
1182460.39,19.09,0.5,222480.08,3.59
1182617.24,19.1,0.51,222890.38,3.6
1182617.24,19.1,0.51,222852.57,3.6
1182862.37,19.11,0.52,222671.9,3.6
1182695.34,19.11,0.52,222669.89,3.6
1182528.31,19.11,0.52,222590.27,3.6
1182840.17,19.11,0.52,229107.22,3.7
1182673.14,19.11,0.52,229098.28,3.7
1182515.17,19.11,0.52,228947.23,3.7
1182348.14,19.11,0.52,228874.55,3.7
1182181.11,19.11,0.52,228872.54,3.7
1181469.22,19.1,0.51,228129.32,3.69
1182228.9,19.12,0.52,228451.11,3.69
1181722.46,19.11,0.52,227914.29,3.69
1181353.43,19.11,0.51,227698.73,3.68
1181186.4,19.11,0.51,227619.11,3.68
1181090.74,19.11,0.51,227427.08,3.68
1180659.73,19.1,0.51,227037.38,3.67
1180492.7,19.1,0.51,227035.37,3.67
1186606.03,19.2,0.61,228451.3,3.7
1186622.55,19.2,0.61,228444.7,3.7
1186455.52,19.2,0.61,228365.08,3.7
1186288.49,19.2,0.61,228287.58,3.7
1185851.28,19.2,0.6,227754.01,3.69
1185415.62,19.19,0.6,227221.98,3.68
1185685.71,19.2,0.61,227212.67,3.68
1185518.67,19.2,0.61,227208.54,3.68
1185539.61,19.2,0.61,227623.39,3.69
1184913.94,19.2,0.6,226901.37,3.68
1185070.8,19.2,0.61,226938.98,3.68
1184703.68,19.2,0.6,226702.86,3.67
1184409.79,19.19,0.6,226421.15,3.67
1184430.73,19.19,0.6,226725.57,3.67
1184430.73,19.19,0.6,226699.25,3.67
1184447.25,19.19,0.6,227076.28,3.68
1183821.59,19.19,0.59,226354.25,3.67
1183109.7,19.18,0.58,225599.89,3.66
1182942.67,19.18,0.58,225522.75,3.66
1182505.46,19.18,0.58,224989.18,3.65
1182211.57,19.17,0.58,224777.94,3.65
1181780.56,19.17,0.57,224388.24,3.64
1181613.53,19.17,0.57,224383.76,3.64
1181613.53,19.17,0.57,224468.51,3.64
1181176.32,19.16,0.57,223934.94,3.63
1180550.66,19.16,0.56,223212.91,3.62
1181079.64,19.17,0.57,223273.62,3.62
1180887.05,19.17,0.57,223259.8,3.62
1182197.88,19.19,0.6,224555.36,3.65
1182102.22,19.19,0.6,224363.34,3.64
1181665.01,19.19,0.59,223829.76,3.63
1181472.42,19.19,0.59,223754.94,3.63
1181472.42,19.19,0.59,223348.31,3.63
1181305.39,19.19,0.59,223339.36,3.63
1181567.38,19.19,0.6,223434.7,3.63
1181400.35,19.19,0.6,223362.02,3.63
1181233.31,19.19,0.6,223284.53,3.63
1181066.28,19.19,0.6,223280.4,3.63
1180899.25,19.19,0.6,223278.39,3.63
1180920.18,19.2,0.6,223581.92,3.63
1180489.17,19.19,0.6,223192.21,3.63
1180646.02,19.2,0.6,223229.83,3.63
1180277.0,19.19,0.6,222990.73,3.63
1180588.87,19.2,0.6,229209.66,3.73
1180421.83,19.2,0.6,229130.04,3.73
1180254.8,19.2,0.6,229128.04,3.73
1180087.77,19.2,0.6,229048.42,3.73
