ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
1179351.88,18.99,0.4,217986.95,3.51
1179149.22,18.99,0.4,217866.19,3.51
1179379.28,18.99,0.41,218115.83,3.51
1178942.07,18.99,0.4,217582.25,3.5
1178975.11,18.99,0.4,217594.29,3.5
1179237.1,18.99,0.41,217689.63,3.51
1178770.34,18.99,0.41,216754.6,3.49
1178791.27,19.0,0.41,217058.13,3.5
1178624.24,19.0,0.41,217056.12,3.5
1178457.21,19.0,0.41,216976.5,3.5
1178457.21,19.0,0.41,216978.96,3.5
1178290.18,19.0,0.41,216970.02,3.5
1178602.04,19.0,0.41,223446.69,3.6
1178435.01,19.0,0.41,223374.01,3.6
1178267.97,19.0,0.41,223296.52,3.6
1181363.88,19.05,0.46,223771.7,3.61
1181196.85,19.05,0.46,223767.57,3.61
1181229.9,19.05,0.46,223779.6,3.61
1180792.69,19.05,0.46,223246.03,3.6
1180625.66,19.05,0.46,223244.02,3.6
1180835.86,19.05,0.47,223533.59,3.61
1180398.66,19.05,0.46,223000.02,3.6
1180231.63,19.05,0.46,222922.87,3.6
1179944.38,19.05,0.46,222643.69,3.59
1179585.36,19.04,0.45,222414.24,3.59
1179212.65,19.04,0.45,222103.83,3.59
1182264.15,19.09,0.5,223078.65,3.6
1182097.12,19.09,0.5,223074.17,3.6
1182084.57,19.09,0.5,222963.24,3.6
1182675.97,19.1,0.51,223065.17,3.6
1182675.97,19.1,0.51,223027.35,3.6
1182921.1,19.11,0.52,222846.68,3.6
1182754.06,19.11,0.52,222844.68,3.6
1182587.03,19.11,0.52,222765.06,3.6
1182898.89,19.11,0.52,229282.01,3.7
1182731.86,19.11,0.52,229273.06,3.71
1182573.9,19.11,0.52,229122.01,3.7
1182406.86,19.11,0.52,229049.33,3.7
1182239.83,19.11,0.52,229047.33,3.7
1181531.67,19.1,0.51,228360.37,3.69
1182291.36,19.12,0.53,228682.16,3.7
1181769.47,19.11,0.52,228117.81,3.69
1182031.46,19.12,0.52,228391.89,3.69
1181864.43,19.12,0.52,228382.94,3.69
1181495.41,19.11,0.52,228089.24,3.69
1181516.34,19.12,0.52,228178.02,3.69
1181349.31,19.12,0.52,228176.01,3.69
1187462.64,19.22,0.62,229591.94,3.72
1187479.16,19.22,0.62,229585.34,3.72
1187312.13,19.22,0.62,229505.72,3.71
1187145.1,19.22,0.62,229428.22,3.71
1187166.03,19.22,0.62,229607.55,3.72
1186730.37,19.21,0.62,229075.52,3.71
1187000.45,19.22,0.63,229066.21,3.71
1186833.42,19.22,0.63,229425.92,3.72
1186326.97,19.22,0.62,228889.1,3.71
1185707.51,19.21,0.61,228310.94,3.7
1186298.9,19.22,0.62,228412.87,3.7
1185931.79,19.22,0.62,228050.85,3.7
1185899.37,19.22,0.62,228041.51,3.7
1185462.16,19.21,0.62,227507.94,3.69
1185462.16,19.21,0.62,227481.62,3.69
1185478.69,19.21,0.62,227858.64,3.69
1184853.02,19.2,0.61,227136.62,3.68
1184227.36,19.2,0.6,226414.59,3.67
1184060.33,19.2,0.6,226337.44,3.67
1184081.26,19.2,0.61,226516.42,3.67
1184135.6,19.2,0.61,226474.39,3.67
1183704.59,19.2,0.6,226084.69,3.67
1183512.0,19.2,0.6,226000.17,3.67
1183512.0,19.2,0.6,226084.93,3.67
1183507.37,19.2,0.61,226264.93,3.67
1182881.71,19.19,0.6,225542.9,3.66
1182714.68,19.19,0.6,225465.6,3.66
1182547.65,19.19,0.6,225461.28,3.66
1183858.48,19.22,0.62,226756.85,3.68
1183762.82,19.22,0.62,226564.82,3.68
1183283.53,19.21,0.62,225844.41,3.67
1182657.87,19.21,0.61,225122.38,3.66
1182657.87,19.21,0.61,224715.74,3.65
1182490.83,19.21,0.61,224706.8,3.65
1182752.82,19.21,0.62,224987.82,3.65
1182585.79,19.21,0.62,224910.32,3.65
1182418.76,19.21,0.62,224906.19,3.65
1182251.73,19.21,0.62,224904.19,3.66
1182084.69,19.21,0.62,224824.57,3.65
1181835.81,19.21,0.62,224674.32,3.65
1181398.6,19.21,0.61,224140.75,3.64
1181555.46,19.21,0.62,224178.36,3.65
1181186.44,19.21,0.61,223884.67,3.64
1181498.3,19.21,0.62,230103.6,3.74
1181331.27,19.21,0.62,230298.86,3.75
1181164.23,19.21,0.62,230296.85,3.75
