ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
1,1,1000,6212,1000
2,3,2000,6212,2000
3,5,2470,6212,2470
3,5,3280,6212,3280
4,9,3280,6212,3280
5,11,3750,6212,3750
6,13,5750,6212,5750
7,14,6560,6212,6560
8,16,7560,6212,7560
8,16,8560,6212,8560
8,16,8560,6212,8560
9,18,9560,6212,9560
10,20,9560,6212,9560
10,20,10560,6212,10560
11,22,11560,6212,11560
12,23,11560,6212,11560
13,25,12560,6212,12560
13,25,12560,6212,12560
13,25,13370,6212,13370
14,27,14370,6212,14370
14,27,14960,6212,14960
14,27,15770,6212,15770
15,29,16770,6212,16770
16,30,17090,6212,17090
17,31,17550,6212,17550
17,31,18020,6212,18020
17,31,18020,6212,18020
18,33,19020,6212,19020
18,33,19340,6212,19340
19,35,19990,6212,19990
20,37,19990,6212,19990
21,39,20990,6212,20990
22,41,21990,6212,21990
23,43,22990,6212,22990
24,45,22990,6212,22990
25,47,23990,6212,23990
25,47,24150,6212,24150
25,47,25150,6212,25150
26,49,26150,6212,26150
26,49,27150,6212,27150
27,51,27620,6212,27620
27,51,28430,6212,28430
28,52,28900,6212,28900
29,54,29900,6212,29900
30,55,30370,6212,30370
30,55,31180,6212,31180
31,57,32180,6212,32180
32,59,32180,6212,32180
33,61,32180,6212,32180
34,63,33180,6212,33180
35,67,34180,6212,34180
35,67,34990,6212,34990
35,67,35800,6212,35800
36,69,36260,6212,36260
37,73,37260,6212,37260
37,73,38070,6212,38070
38,74,39070,6212,39070
39,76,39720,6212,39720
39,76,40190,6212,40190
39,76,40510,6212,40510
39,76,41320,6212,41320
40,78,41320,6212,41320
41,80,41320,6212,41320
42,81,42320,6212,42320
42,81,43320,6212,43320
42,81,44320,6212,44320
42,81,45130,6212,45130
43,82,45450,6212,45450
43,82,46260,6212,46260
44,84,47260,6212,47260
45,86,47260,6212,47260
45,86,48070,6212,48070
46,87,49070,6212,49070
47,89,50070,6212,50070
48,91,51070,6212,51070
49,95,52070,6212,52070
50,96,52540,6212,52540
50,96,53350,6212,53350
51,97,54350,6212,54350
52,98,54350,6212,54350
53,100,55350,6212,55350
54,102,55820,6212,55820
55,104,56820,6212,56820
56,106,57820,6212,57820
57,108,58820,6212,58820
58,110,59820,6212,59820
58,110,60630,6212,60630
58,110,61440,6212,61440
59,112,62090,6212,62090
60,113,62560,6212,62560
60,113,62560,6212,62560
61,115,63560,6212,63560
62,117,64560,6212,64560
63,119,65560,6212,65560
64,121,66560,6212,66560
65,123,67030,6212,67030
65,123,68030,6212,68030
66,125,69030,6212,69030
67,127,70030,6212,70030
68,129,71030,6212,71030
69,130,71490,6212,71490
69,130,72490,6212,72490
70,132,73490,6212,73490
70,132,74490,6212,74490
71,133,74960,6212,74960
71,133,75960,6212,75960
71,133,76440,6212,76440
72,135,77090,6212,77090
73,137,77740,6212,77740
74,139,78740,6212,78740
75,140,79210,6212,79210
76,142,79680,6212,79680
77,144,80680,6212,80680
78,145,81140,6212,81140
79,153,82140,6212,82140
79,153,83140,6212,83140
80,154,83610,6212,83610
80,154,83930,6212,83930
80,154,84930,6212,84930
80,154,85930,6212,85930
81,162,86930,6212,86930
82,164,87930,6212,87930
83,165,88400,6212,88400
83,165,88720,6212,88720
84,167,89720,6212,89720
85,169,90720,6212,90720
85,169,91530,6212,91530
86,171,92530,6212,92530
86,171,92530,6212,92530
87,173,93530,6212,93530
87,173,94340,6212,94340
88,175,95340,6212,95340
88,175,95340,6212,95340
88,175,95340,6212,95340
89,176,95450,6212,95450
90,178,96450,6212,96450
90,178,96450,6212,96450
91,180,97260,6212,97260
92,182,98260,6212,98260
93,184,99260,6212,99260
94,186,99730,6212,99730
95,188,100730,6212,100730
95,188,101100,6212,101100
96,190,101100,6212,101100
97,192,102100,6212,102100
97,192,102470,6212,102470
97,192,103280,6212,103280
98,194,104280,6212,104280
99,196,105280,6212,105280
100,198,106280,6212,106280
100,198,107090,6212,107090
100,198,107310,6212,107310
100,198,108310,6212,108310
100,198,109310,6212,109310
100,198,110120,6212,110120
100,198,110930,6212,110930
101,200,111930,6212,111930
101,200,112250,6212,112250
101,200,113060,6212,113060
102,204,117060,6212,117060
102,204,118060,6212,118060
103,206,119060,6212,119060
104,208,120060,6212,120060
105,216,128060,6212,128060
106,218,129060,6212,129060
106,218,129870,6212,129870
106,218,130460,6212,130460
106,218,131270,6212,131270
106,218,131820,6212,131820
107,220,132820,6212,132820
107,220,133050,6212,133050
108,222,133510,6212,133510
109,224,134320,6212,134320
110,226,135320,6212,135320
110,226,136130,6212,136130
111,228,137130,6212,137130
111,228,137940,6212,137940
111,228,138750,6212,138750
112,230,139750,6212,139750
113,232,140750,6212,140750
114,234,141220,6212,141220
114,234,142030,6212,142030
114,234,143030,6212,143030
114,234,143350,6212,143350
114,234,143670,6212,143670
115,236,144670,6212,144670
116,238,145670,6212,145670
117,240,146670,6212,146670
118,242,147140,6212,147140
118,242,147140,6212,147140
119,244,147140,6212,147140
120,246,148140,6212,148140
120,246,148950,6212,148950
120,246,149950,6212,149950
121,248,150950,6212,150950
122,250,151950,6212,151950
123,252,151950,6212,151950
123,252,152950,6212,152950
123,252,153500,6212,153500
123,252,153970,6212,153970
124,254,154970,6212,154970
124,254,155970,6212,155970
125,256,156970,6212,156970
125,256,157780,6212,157780
126,258,158780,6212,158780
127,260,159780,6212,159780
128,262,160430,6212,160430
128,262,161430,6212,161430
129,264,162430,6212,162430
130,266,162900,6212,162900
131,268,163900,6212,163900
131,268,164270,6212,164270
131,268,164270,6212,164270
131,268,165270,6212,165270
131,268,166080,6212,166080
132,270,167080,6212,167080
133,272,168080,6212,168080
133,272,168310,6212,168310
133,272,169310,6212,169310
134,274,170310,6212,170310
135,276,171310,6212,171310
135,276,171310,6212,171310
136,278,172310,6212,172310
136,278,172860,6212,172860
137,280,173860,6212,173860
137,280,174020,6212,174020
137,280,174340,6212,174340
137,280,175150,6212,175150
138,282,176150,6212,176150
138,282,176960,6212,176960
139,286,180960,6212,180960
140,288,181960,6212,181960
141,290,182960,6212,182960
141,290,182960,6212,182960
141,290,182960,6212,182960
142,294,183960,6212,183960
143,296,184430,6212,184430
144,298,185240,6212,185240
144,298,185240,6212,185240
145,300,186240,6212,186240
146,302,187240,6212,187240
146,302,187710,6212,187710
147,304,188710,6212,188710
147,304,189520,6212,189520
147,304,190520,6212,190520
147,304,190520,6212,190520
147,304,190840,6212,190840
147,304,191650,6212,191650
147,304,191650,6212,191650
148,306,192650,6212,192650
148,306,193650,6212,193650
148,306,194650,6212,194650
148,306,195460,6212,195460
149,308,196110,6212,196110
150,310,197110,6212,197110
151,312,198110,6212,198110
152,320,206110,6212,206110
152,320,206430,6212,206430
153,322,207430,6212,207430
153,322,207750,6212,207750
153,322,208750,6212,208750
153,322,209070,6212,209070
153,322,209880,6212,209880
153,322,209880,6212,209880
154,326,210880,6212,210880
154,326,211350,6212,211350
155,328,212160,6212,212160
155,328,213160,6212,213160
156,332,214160,6212,214160
156,332,214160,6212,214160
157,334,215160,6212,215160
157,334,216160,6212,216160
157,334,217160,6212,217160
158,338,217630,6212,217630
158,338,218630,6212,218630
158,338,219630,6212,219630
158,338,219850,6212,219850
158,338,220850,6212,220850
158,338,221500,6212,221500
159,342,222500,6212,222500
159,342,222970,6212,222970
159,342,223780,6212,223780
159,342,224780,6212,224780
159,342,225100,6212,225100
159,342,226100,6212,226100
160,344,227100,6212,227100
160,344,228100,6212,228100
161,348,228570,6212,228570
161,348,229570,6212,229570
162,352,230570,6212,230570
162,352,230570,6212,230570
162,352,231380,6212,231380
162,352,231380,6212,231380
163,354,232380,6212,232380
163,354,232380,6212,232380
163,354,232380,6212,232380
163,354,233190,6212,233190
163,354,234190,6212,234190
163,354,235190,6212,235190
163,354,236190,6212,236190
163,354,236190,6212,236190
164,356,237190,6212,237190
164,356,237190,6212,237190
164,356,237650,6212,237650
164,356,237700,6212,237700
164,356,238700,6212,238700
164,356,238700,6212,238700
164,356,238700,6212,238700
165,360,239700,6212,239700
165,360,240700,6212,240700
165,360,241700,6212,241700
166,362,242700,6212,242700
166,362,243510,6212,243510
166,362,243670,6212,243670
166,362,244480,6212,244480
166,362,244950,6212,244950
166,362,245950,6212,245950
166,362,246320,6212,246320
166,362,246790,6212,246790
166,362,247160,6212,247160
167,366,247630,6212,247630
168,368,248630,6212,248630
168,368,249630,6212,249630
169,370,250630,6212,250630
169,370,250630,6212,250630
169,370,251280,6212,251280
170,374,252280,6212,252280
170,374,253090,6212,253090
170,374,254090,6212,254090
170,374,254460,6212,254460
171,378,255460,6212,255460
171,378,256270,6212,256270
171,378,257080,6212,257080
171,378,258080,6212,258080
171,378,258400,6212,258400
171,378,259400,6212,259400
171,378,260400,6212,260400
172,382,261400,6212,261400
172,382,262400,6212,262400
172,382,263400,6212,263400
172,382,264400,6212,264400
172,382,265400,6212,265400
172,382,265630,6212,265630
173,384,266630,6212,266630
173,384,267630,6212,267630
174,386,268100,6212,268100
174,386,268750,6212,268750
174,386,269750,6212,269750
174,386,270560,6212,270560
175,388,271560,6212,271560
175,388,272560,6212,272560
176,390,273560,6212,273560
176,390,274560,6212,274560
176,390,275030,6212,275030
176,390,275490,6212,275490
177,394,276490,6212,276490
177,394,277490,6212,277490
177,394,278490,6212,278490
177,394,278960,6212,278960
177,394,279190,6212,279190
177,394,280190,6212,280190
177,394,281000,6212,281000
178,398,282000,6212,282000
178,398,283000,6212,283000
179,400,284000,6212,284000
179,400,285000,6212,285000
179,400,286000,6212,286000
180,404,287000,6212,287000
180,404,287590,6212,287590
180,404,288400,6212,288400
180,404,289210,6212,289210
180,404,290210,6212,290210
181,406,291210,6212,291210
181,406,292210,6212,292210
181,406,293020,6212,293020
182,410,294020,6212,294020
183,414,295020,6212,295020
184,422,296020,6212,296020
184,422,296020,6212,296020
184,422,297020,6212,297020
184,422,299020,6212,299020
184,422,299020,6212,299020
184,422,299830,6212,299830
185,426,300830,6212,300830
185,426,301830,6212,301830
185,426,301830,6212,301830
185,426,302300,6212,302300
185,426,302890,6212,302890
185,426,302890,6212,302890
185,426,303210,6212,303210
185,426,304210,6212,304210
185,426,305210,6212,305210
186,428,306210,6212,306210
186,428,307210,6212,307210
186,428,308210,6212,308210
187,430,308680,6212,308680
187,430,309680,6212,309680
187,430,310680,6212,310680
187,430,311490,6212,311490
188,432,312300,6212,312300
189,440,320300,6212,320300
189,440,321300,6212,321300
190,442,322300,6212,322300
190,442,322530,6212,322530
190,442,323000,6212,323000
191,444,323810,6212,323810
191,444,324810,6212,324810
192,448,325810,6212,325810
192,448,325810,6212,325810
192,448,325810,6212,325810
192,448,326810,6212,326810
193,452,327810,6212,327810
193,452,328280,6212,328280
193,452,328280,6212,328280
193,452,328600,6212,328600
193,452,328600,6212,328600
193,452,329250,6212,329250
193,452,329720,6212,329720
193,452,330530,6212,330530
193,452,331530,6212,331530
194,454,332000,6212,332000
194,454,333000,6212,333000
195,458,334000,6212,334000
195,458,335000,6212,335000
195,458,336000,6212,336000
195,458,336000,6212,336000
195,458,336470,6212,336470
196,460,337470,6212,337470
196,460,338470,6212,338470
197,464,339470,6212,339470
198,468,340470,6212,340470
198,468,341470,6212,341470
198,468,341930,6212,341930
198,468,342400,6212,342400
198,468,342630,6212,342630
199,472,343630,6212,343630
199,472,344630,6212,344630
199,472,344950,6212,344950
199,472,344950,6212,344950
199,472,345950,6212,345950
199,472,346950,6212,346950
199,472,346950,6212,346950
199,472,346950,6212,346950
199,472,346950,6212,346950
200,476,347950,6212,347950
200,476,348950,6212,348950
200,476,348950,6212,348950
200,476,348950,6212,348950
200,476,349410,6212,349410
200,476,350410,6212,350410
201,480,351410,6212,351410
201,480,352410,6212,352410
202,484,353410,6212,353410
202,484,354410,6212,354410
202,484,355410,6212,355410
202,484,356410,6212,356410
202,484,356410,6212,357220
203,488,357410,6212,358220
203,488,358410,6212,359220
203,488,358880,6212,359690
203,488,359530,6212,360340
203,488,359850,6212,360660
203,488,359850,6212,360660
