ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
1179351.88,18.99,0.4,217986.95,3.51
1179597.01,19.0,0.41,217806.28,3.51
1180356.69,19.01,0.42,218128.08,3.51
1179834.8,19.0,0.42,217563.72,3.5
1183041.72,19.05,0.47,220611.51,3.55
1183303.71,19.06,0.47,220706.85,3.56
1182836.95,19.06,0.47,219771.82,3.54
1182399.74,19.05,0.47,219238.25,3.53
1182644.87,19.06,0.47,219057.58,3.53
1182477.84,19.06,0.47,219234.31,3.53
1182477.84,19.06,0.47,219303.33,3.54
1182722.96,19.07,0.48,219111.53,3.53
1184256.2,19.09,0.51,220176.5,3.55
1183544.31,19.08,0.5,219422.14,3.54
1183806.22,19.09,0.51,219201.33,3.54
1184180.56,19.1,0.51,219479.3,3.54
1184425.69,19.11,0.52,219298.63,3.54
1184425.69,19.11,0.52,219249.45,3.54
1183903.8,19.1,0.51,218696.22,3.53
1184148.93,19.11,0.52,218515.55,3.53
1183830.26,19.1,0.52,218211.34,3.52
1183308.37,19.1,0.51,217646.98,3.51
1183570.28,19.1,0.52,217426.17,3.51
1183624.61,19.11,0.52,217384.14,3.51
1183537.42,19.11,0.52,217200.58,3.51
1183168.4,19.1,0.52,216887.04,3.5
1183168.4,19.1,0.52,216887.04,3.5
1183413.53,19.11,0.52,216695.24,3.5
1183095.06,19.1,0.52,216376.77,3.49
1183686.46,19.12,0.53,216478.7,3.5
1185219.69,19.14,0.55,217543.67,3.51
1185464.82,19.15,0.56,217363.0,3.51
1185709.95,19.16,0.57,217182.33,3.51
1185938.29,19.16,0.58,216927.95,3.51
1185938.29,19.16,0.58,216982.28,3.51
1186183.42,19.17,0.58,216790.48,3.5
1186325.93,19.17,0.59,216948.92,3.51
1186635.86,19.18,0.59,217486.6,3.52
1186880.98,19.19,0.6,217305.93,3.51
1186152.31,19.18,0.59,216591.71,3.5
1186912.0,19.19,0.61,216913.51,3.51
1186390.11,19.19,0.6,216349.15,3.5
1186294.45,19.19,0.6,216157.13,3.5
1186539.58,19.19,0.61,215965.32,3.49
1186450.11,19.19,0.61,215917.16,3.49
1185928.22,19.19,0.6,215363.94,3.48
1186173.35,19.19,0.61,215183.27,3.48
1187706.59,19.22,0.63,216248.24,3.5
1188849.48,19.24,0.65,217119.25,3.51
1189382.72,19.25,0.66,217184.22,3.51
1190693.55,19.27,0.69,218479.79,3.54
1190171.66,19.27,0.68,217915.43,3.53
1189649.77,19.26,0.68,217351.08,3.52
1189919.86,19.27,0.68,217341.76,3.52
1189995.76,19.27,0.69,218259.28,3.53
1189473.87,19.27,0.68,217706.06,3.53
1188848.21,19.26,0.67,216984.03,3.52
1189439.6,19.27,0.68,217085.96,3.52
1189072.49,19.27,0.68,217189.42,3.52
1188754.87,19.26,0.68,216870.32,3.51
1188232.98,19.26,0.67,216305.97,3.51
1189375.88,19.27,0.69,217176.98,3.52
1190909.12,19.3,0.71,218241.95,3.54
1190283.46,19.29,0.71,217519.92,3.53
1189571.57,19.28,0.7,216776.7,3.51
1189404.53,19.28,0.7,216670.93,3.51
1188882.65,19.28,0.69,216106.57,3.5
1188936.98,19.28,0.69,216064.54,3.5
1188430.33,19.27,0.69,215572.35,3.5
1188963.57,19.29,0.7,215637.32,3.5
1190106.46,19.31,0.72,216508.33,3.51
1189588.31,19.3,0.71,216011.37,3.5
1188962.64,19.29,0.71,215289.34,3.49
1189491.62,19.3,0.72,215350.06,3.49
