name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0764,,G2,96,8,412316860416,20000,12,1432,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,10,200,0,0,10,200
0001-openb-node-0033,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002-openb-node-1085,,G2,96,8,412316860416,20000,10,224,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,30,600,0,0,30,600
0003-openb-node-0775,,T4,104,2,549755813888,15109,6,692,549755813888,60,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0004-openb-node-1071,,G2,96,8,412316860416,20000,3,3900,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005-openb-node-0712,,G2,96,8,412316860416,20000,8,640,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,1000,20000
0006-openb-node-0869,,P100,16,2,128849018880,16280,3,548,128849018880,0,0,50,814,0,0,0,0,0,0,0,0,0,0,0,0,50,814
0007-openb-node-1093,,T4,104,2,549755813888,15109,6,2384,549755813888,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0008-openb-node-0364,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0009-openb-node-0782,,G2,96,8,412316860416,20000,9,3488,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,540,10800,0,0,730,14600
0010-openb-node-0839,,G2,96,8,412316860416,20000,11,692,412316860416,0,0,0,0,130,2600,0,0,70,1400,0,0,190,3800,0,0,390,7800
0011-openb-node-0482,,T4,104,2,549755813888,15109,7,440,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0012-openb-node-0716,,T4,104,2,549755813888,15109,7,348,549755813888,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0013-openb-node-0297,,T4,104,2,549755813888,15109,2,97696,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0014-openb-node-0169,,G3,128,8,824633720832,30000,9,4476,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0274,,G2,96,8,412316860416,20000,3,2800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016-openb-node-0185,,G2,96,8,412316860416,20000,7,4740,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,600,30,600
0017-openb-node-0552,,T4,104,2,549755813888,15109,9,1500,549755813888,0,0,40,604,0,0,0,0,0,0,0,0,0,0,0,0,40,604
0018-openb-node-0966,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,8628
0019-openb-node-0118,,P100,16,2,128849018880,16280,1,2000,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020-openb-node-0348,,T4,104,2,549755813888,15109,7,440,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0021-openb-node-1080,,V100M16,8,1,34359738368,16160,1,4848,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022-openb-node-0521,,G2,96,8,412316860416,20000,11,1584,412316860416,210,4200,0,0,190,3800,0,0,0,0,0,0,190,3800,0,0,590,11800
0023-openb-node-0213,,T4,104,2,549755813888,15109,2,86648,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0024-openb-node-0588,,T4,104,2,549755813888,15109,5,4600,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-1135,,G2,96,8,412316860416,20000,13,120,412316860416,30,600,60,1200,0,0,70,1400,0,0,20,400,190,3800,0,0,370,7400
0026-openb-node-0643,,T4,104,2,549755813888,15109,8,2192,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027-openb-node-0760,,T4,104,2,549755813888,15109,2,89548,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0028-openb-node-0850,,G2,96,8,412316860416,20000,11,2428,412316860416,0,0,0,0,0,0,0,0,60,1200,190,3800,0,0,0,0,250,5000
0029-openb-node-0601,,T4,104,2,549755813888,15109,2,88548,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0030-openb-node-0990,,P100,8,2,64424509440,16280,2,0,64424509440,540,8791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0031-openb-node-1082,,T4,104,2,549755813888,15109,3,88848,549755813888,0,0,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,210,3172
0032-openb-node-0439,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0033-openb-node-0115,,G2,96,8,412316860416,20000,10,1978,412316860416,0,0,210,4200,0,0,0,0,0,0,0,0,0,0,190,3800,400,8000
0034-openb-node-0660,,G2,96,8,412316860416,20000,10,232,412316860416,30,600,0,0,0,0,0,0,190,3800,0,0,190,3800,190,3800,600,12000
0035-openb-node-0195,,G2,96,8,412316860416,20000,11,380,412316860416,0,0,0,0,120,2400,0,0,0,0,30,600,120,2400,0,0,270,5400
0036-openb-node-0259,,G2,96,8,412316860416,20000,11,276,412316860416,60,1200,0,0,0,0,80,1600,90,1800,0,0,190,3800,190,3800,610,12200
0037-openb-node-1054,,P100,16,2,128849018880,16280,2,1448,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0038-openb-node-0226,,V100M16,32,4,137438953472,16160,1,0,137438953472,1000,16160,1000,16160,1000,16160,1000,16160,0,0,0,0,0,0,0,0,4000,64640
0039-openb-node-0013,,P100,64,2,274877906944,16280,4,648,274877906944,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0040-openb-node-0589,,T4,104,2,549755813888,15109,7,1100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0041-openb-node-0404,,T4,104,2,549755813888,15109,2,97696,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0042-openb-node-0279,,G2,96,8,412316860416,20000,9,830,412316860416,0,0,0,0,0,0,0,0,0,0,530,10600,0,0,0,0,530,10600
0043-openb-node-1035,,G2,96,8,412316860416,20000,9,380,412316860416,190,3800,0,0,0,0,190,3800,0,0,0,0,60,1200,0,0,440,8800
0044-openb-node-0895,,G2,96,8,412316860416,20000,8,440,412316860416,260,5200,0,0,0,0,0,0,0,0,0,0,0,0,1000,20000,1260,25200
0045-openb-node-1024,,G2,96,8,412316860416,20000,8,638,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046-openb-node-0835,,G3,128,8,824633720832,30000,1,7800,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0047-openb-node-0434,,G2,96,8,412316860416,20000,12,2882,412316860416,100,2000,0,0,0,0,0,0,130,2600,190,3800,0,0,190,3800,610,12200
0048-openb-node-0884,,T4,104,2,549755813888,15109,5,3482,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0049-openb-node-0134,,T4,104,2,549755813888,15109,2,88848,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0050-openb-node-0704,,T4,104,2,549755813888,15109,6,2000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0051-openb-node-1070,,T4,96,4,412316860416,15109,2,3800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0052-openb-node-0873,,T4,104,2,549755813888,15109,2,89448,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053-openb-node-0981,,G2,96,8,412316860416,20000,10,2638,412316860416,190,3800,0,0,0,0,0,0,210,4200,0,0,0,0,0,0,400,8000
0054-openb-node-0505,,G2,96,8,412316860416,20000,9,10992,412316860416,0,0,190,3800,0,0,0,0,0,0,190,3800,190,3800,190,3800,760,15200
0055-openb-node-1202,,G2,96,8,412316860416,20000,10,2478,412316860416,0,0,0,0,0,0,210,4200,0,0,0,0,190,3800,190,3800,590,11800
0056-openb-node-1147,,G2,96,8,412316860416,20000,9,192,412316860416,50,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1000
0057-openb-node-0321,,G2,96,8,412316860416,20000,12,2836,412316860416,0,0,0,0,210,4200,190,3800,40,800,190,3800,0,0,0,0,630,12600
0058-openb-node-0538,,T4,104,2,549755813888,15109,7,992,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0059-openb-node-0099,,V100M16,32,4,137438953472,16160,2,1800,137438953472,0,0,540,8726,1000,16160,1000,16160,0,0,0,0,0,0,0,0,2540,41046
0060-openb-node-1112,,P100,16,2,128849018880,16280,1,600,128849018880,1000,16280,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,2000,32560
0061-openb-node-0249,,G2,96,8,412316860416,20000,10,714,412316860416,60,1200,0,0,0,0,0,0,190,3800,30,600,0,0,0,0,280,5600
0062-openb-node-0830,,G2,96,8,412316860416,20000,10,364,412316860416,160,3200,0,0,30,600,0,0,0,0,190,3800,0,0,0,0,380,7600
0063-openb-node-0089,,G2,96,8,412316860416,20000,10,120,412316860416,0,0,50,1000,0,0,190,3800,130,2600,0,0,0,0,0,0,370,7400
0064-openb-node-0048,,G2,96,8,412316860416,20000,11,3736,412316860416,0,0,0,0,0,0,0,0,190,3800,0,0,190,3800,0,0,380,7600
0065-openb-node-1201,,T4,104,2,549755813888,15109,7,192,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0066-openb-node-0187,,T4,104,2,549755813888,15109,2,97696,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0067-openb-node-1065,,P100,16,2,128849018880,16280,2,940,128849018880,0,0,410,6674,0,0,0,0,0,0,0,0,0,0,0,0,410,6674
0068-openb-node-0979,,G2,96,8,412316860416,20000,11,3180,412316860416,0,0,60,1200,0,0,190,3800,0,0,300,6000,0,0,30,600,580,11600
0069-openb-node-0920,,T4,104,2,549755813888,15109,3,84848,549755813888,0,0,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,210,3172
0070-openb-node-0024,,V100M32,96,8,824633720832,32510,10,1126,824633720832,0,0,0,0,190,6176,0,0,190,6176,190,6176,0,0,0,0,570,18528
0071-openb-node-0811,,G2,96,8,412316860416,20000,9,4936,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0072-openb-node-0283,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0073-openb-node-0427,,G2,96,8,412316860416,20000,9,9380,412316860416,350,7000,0,0,70,1400,0,0,0,0,0,0,0,0,0,0,420,8400
0074-openb-node-0257,,G2,96,8,412316860416,20000,10,1124,412316860416,0,0,0,0,60,1200,0,0,0,0,0,0,190,3800,70,1400,320,6400
0075-openb-node-1000,,G2,96,8,412316860416,20000,12,1968,412316860416,70,1400,190,3800,190,3800,0,0,130,2600,30,600,190,3800,0,0,800,16000
0076-openb-node-0942,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0077-openb-node-0349,,G2,96,8,412316860416,20000,8,4232,412316860416,0,0,0,0,0,0,190,3800,350,7000,0,0,0,0,530,10600,1070,21400
0078-openb-node-0617,,T4,104,2,549755813888,15109,2,91038,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0079-openb-node-0432,,G2,96,8,412316860416,20000,11,2572,412316860416,0,0,0,0,0,0,30,600,190,3800,60,1200,0,0,30,600,310,6200
0080-openb-node-0882,,T4,104,2,549755813888,15109,7,2200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0081-openb-node-0117,,G2,96,8,412316860416,20000,9,388,412316860416,190,3800,0,0,190,3800,0,0,0,0,0,0,0,0,30,600,410,8200
0082-openb-node-0844,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0083-openb-node-0612,,T4,104,2,549755813888,15109,2,88100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0084-openb-node-0916,,G2,96,8,412316860416,20000,8,888,412316860416,0,0,190,3800,30,600,190,3800,0,0,0,0,0,0,0,0,410,8200
0085-openb-node-1092,,G2,96,8,412316860416,20000,9,686,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,0,0,190,3800
0086-openb-node-1014,,T4,104,2,549755813888,15109,6,3892,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0087-openb-node-0325,,G2,96,8,412316860416,20000,11,3588,412316860416,0,0,70,1400,0,0,0,0,60,1200,0,0,190,3800,0,0,320,6400
0088-openb-node-0997,,V100M32,48,4,395136991232,32510,6,600,395136991232,0,0,0,0,70,2275,450,14629,0,0,0,0,0,0,0,0,520,16904
0089-openb-node-0823,,G2,96,8,412316860416,20000,11,3028,412316860416,0,0,0,0,60,1200,0,0,0,0,130,2600,190,3800,0,0,380,7600
0090-openb-node-0532,,T4,96,4,412316860416,15109,8,2396,412316860416,0,0,0,0,30,453,80,1208,0,0,0,0,0,0,0,0,110,1661
0091-openb-node-1055,,P100,16,2,128849018880,16280,2,0,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0092-openb-node-0282,,G2,96,8,412316860416,20000,10,2786,412316860416,0,0,0,0,190,3800,0,0,0,0,0,0,0,0,0,0,190,3800
0093-openb-node-0671,,T4,104,2,549755813888,15109,8,4000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0094-openb-node-1059,,P100,16,2,128849018880,16280,2,1448,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
