ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
1179351.88,18.99,0.4,217986.95,3.51
1179149.22,18.99,0.4,217866.19,3.51
1179387.98,18.99,0.41,217957.28,3.51
1178950.77,18.99,0.4,217423.7,3.5
1178950.77,18.99,0.4,217354.32,3.5
1179212.76,18.99,0.41,217348.4,3.5
1178746.0,18.99,0.41,216413.37,3.49
1178308.79,18.99,0.4,215879.8,3.48
1178106.13,18.99,0.4,215759.03,3.48
1177939.1,18.99,0.4,216175.43,3.48
1177939.1,18.99,0.4,216126.25,3.48
1177772.07,18.99,0.4,216117.3,3.48
1177772.07,18.99,0.4,216048.8,3.48
1177146.41,18.98,0.39,215326.78,3.47
1176979.37,18.98,0.39,215322.59,3.47
1176979.37,18.98,0.39,215295.26,3.47
1176812.34,18.98,0.39,215293.25,3.47
1176812.34,18.98,0.39,215293.25,3.47
1176375.13,18.98,0.39,214759.68,3.46
1176208.1,18.98,0.39,214680.06,3.46
1175966.77,18.98,0.39,214341.15,3.46
1175535.76,18.97,0.38,213951.44,3.45
1175368.73,18.97,0.38,213874.3,3.45
1175147.46,18.97,0.38,213708.17,3.45
1174786.11,18.97,0.38,213717.18,3.45
1175024.87,18.97,0.38,213971.22,3.45
1175024.87,18.97,0.38,213943.89,3.45
1174857.83,18.97,0.38,213939.41,3.45
1174563.5,18.97,0.38,213646.3,3.45
1174720.36,18.97,0.38,213683.91,3.45
1174720.36,18.97,0.38,213683.91,3.45
1174553.32,18.97,0.38,213879.17,3.45
1174383.71,18.97,0.38,213888.35,3.46
1174181.05,18.97,0.38,213848.26,3.46
1174181.05,18.97,0.38,213848.26,3.46
1173978.39,18.97,0.38,213875.74,3.46
1173820.64,18.97,0.38,213718.33,3.45
1173617.98,18.97,0.38,213690.55,3.45
1173415.32,18.97,0.38,213678.32,3.45
1172789.66,18.96,0.37,212956.29,3.44
1172418.31,18.96,0.37,212643.51,3.44
1171981.11,18.95,0.37,212109.93,3.43
1171885.45,18.95,0.37,211917.9,3.43
1171682.79,18.95,0.37,212032.17,3.43
1171587.13,18.95,0.37,211840.14,3.43
1171149.92,18.95,0.36,211306.56,3.42
1170947.26,18.95,0.36,211290.71,3.42
1170947.26,18.95,0.36,211290.71,3.42
1170947.26,18.95,0.36,211290.71,3.42
1170744.6,18.95,0.36,211179.91,3.42
1170577.57,18.95,0.36,211102.41,3.42
1170140.36,18.94,0.36,210568.84,3.41
1169704.7,18.94,0.35,210036.81,3.4
1169974.78,18.94,0.36,210464.71,3.41
1169807.75,18.95,0.36,210387.56,3.41
1169376.74,18.94,0.35,209997.86,3.4
1168751.08,18.93,0.35,209275.83,3.39
1168907.93,18.94,0.35,209585.84,3.4
1168540.82,18.93,0.35,209223.82,3.39
1168246.93,18.93,0.34,208939.32,3.39
1167809.72,18.93,0.34,208405.75,3.38
1167809.72,18.93,0.34,208405.75,3.38
1167809.72,18.93,0.34,208405.75,3.38
1167190.26,18.92,0.33,207827.59,3.37
1166564.6,18.91,0.32,207105.56,3.36
1166397.56,18.91,0.32,207028.42,3.36
1165960.36,18.91,0.32,206494.84,3.35
1165666.47,18.9,0.31,206210.35,3.34
1165327.88,18.9,0.31,205564.25,3.33
1165160.85,18.9,0.31,205559.77,3.33
1165160.85,18.9,0.31,205559.77,3.33
1164640.51,18.89,0.31,205109.83,3.33
1164014.85,18.89,0.3,204387.8,3.32
1163847.81,18.89,0.3,204310.5,3.32
1163680.78,18.89,0.3,204306.17,3.32
1163515.56,18.89,0.3,204297.92,3.32
1163419.89,18.89,0.3,204105.89,3.31
1163081.31,18.89,0.3,203459.79,3.3
1162914.27,18.89,0.3,203498.93,3.3
1162914.27,18.89,0.3,203471.6,3.3
1162747.24,18.89,0.3,203350.83,3.3
1162981.69,18.89,0.3,203327.23,3.3
1162814.65,18.89,0.3,203249.74,3.3
1162647.62,18.89,0.3,203245.61,3.3
1162480.59,18.89,0.3,203243.6,3.3
1162313.56,18.89,0.3,203163.98,3.3
1161793.21,18.89,0.3,202714.04,3.3
1161782.91,18.89,0.3,202174.42,3.29
1161939.76,18.89,0.3,202212.04,3.29
1161567.05,18.89,0.3,202535.92,3.29
1161567.05,18.89,0.3,202535.92,3.29
1161400.01,18.89,0.3,202731.18,3.3
1161232.98,18.89,0.3,202729.17,3.3
