name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0764,,G2,96,8,412316860416,20000,14,1682,412316860416,70,1400,0,0,0,0,50,1000,0,0,190,3800,0,0,0,0,310,6200
0001-openb-node-0033,,G2,96,8,412316860416,20000,10,44,412316860416,0,0,0,0,40,800,190,3800,0,0,0,0,0,0,0,0,230,4600
0002-openb-node-1085,,G2,96,8,412316860416,20000,13,926,412316860416,70,1400,0,0,30,600,0,0,80,1600,190,3800,0,0,0,0,370,7400
0003-openb-node-0775,,T4,104,2,549755813888,15109,7,600,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-1071,,G2,96,8,412316860416,20000,10,11988,412316860416,0,0,0,0,190,3800,0,0,30,600,0,0,0,0,0,0,220,4400
0005-openb-node-0712,,G2,96,8,412316860416,20000,11,44,412316860416,0,0,30,600,0,0,0,0,0,0,0,0,0,0,0,0,30,600
0006-openb-node-0869,,P100,16,2,128849018880,16280,1,2000,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0007-openb-node-1093,,T4,104,2,549755813888,15109,6,2492,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-0364,,G2,96,8,412316860416,20000,11,280,412316860416,0,0,0,0,60,1200,0,0,190,3800,0,0,0,0,220,4400,470,9400
0009-openb-node-0782,,G2,96,8,412316860416,20000,11,1296,412316860416,0,0,10,200,0,0,190,3800,0,0,0,0,0,0,0,0,200,4000
0010-openb-node-0839,,G2,96,8,412316860416,20000,13,2382,412316860416,0,0,0,0,80,1600,0,0,0,0,90,1800,0,0,0,0,170,3400
0011-openb-node-0482,,T4,104,2,549755813888,15109,7,1000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-0716,,T4,104,2,549755813888,15109,6,3100,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0013-openb-node-0297,,T4,104,2,549755813888,15109,8,2292,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0014-openb-node-0169,,G3,128,8,824633720832,30000,10,2700,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015-openb-node-0274,,G2,96,8,412316860416,20000,11,3080,412316860416,0,0,0,0,0,0,0,0,30,600,30,600,0,0,60,1200,120,2400
0016-openb-node-0185,,G2,96,8,412316860416,20000,9,3072,412316860416,70,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1400
0017-openb-node-0552,,T4,104,2,549755813888,15109,7,892,549755813888,0,0,20,302,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0018-openb-node-0966,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019-openb-node-0118,,P100,16,2,128849018880,16280,3,2848,128849018880,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0020-openb-node-0348,,T4,104,2,549755813888,15109,5,1384,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0021-openb-node-1080,,V100M16,8,1,34359738368,16160,1,4848,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022-openb-node-0521,,G2,96,8,412316860416,20000,13,3170,412316860416,0,0,0,0,190,3800,0,0,0,0,0,0,60,1200,0,0,250,5000
0023-openb-node-0213,,T4,104,2,549755813888,15109,4,5592,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0024-openb-node-0588,,T4,104,2,549755813888,15109,6,6000,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0025-openb-node-1135,,G2,96,8,412316860416,20000,11,336,412316860416,70,1400,190,3800,0,0,30,600,0,0,0,0,680,13600,1000,20000,1970,39400
0026-openb-node-0643,,T4,104,2,549755813888,15109,8,7700,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027-openb-node-0760,,T4,104,2,549755813888,15109,8,392,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0028-openb-node-0850,,G2,96,8,412316860416,20000,12,3628,412316860416,0,0,0,0,80,1600,0,0,120,2400,0,0,0,0,0,0,200,4000
0029-openb-node-0601,,T4,104,2,549755813888,15109,8,2900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030-openb-node-0990,,P100,8,2,64424509440,16280,2,1696,64424509440,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0031-openb-node-1082,,T4,104,2,549755813888,15109,7,7392,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0032-openb-node-0439,,P100,16,2,128849018880,16280,4,0,128849018880,0,0,40,651,0,0,0,0,0,0,0,0,0,0,0,0,40,651
0033-openb-node-0115,,G2,96,8,412316860416,20000,10,2544,412316860416,10,200,0,0,190,3800,0,0,0,0,190,3800,0,0,0,0,390,7800
0034-openb-node-0660,,G2,96,8,412316860416,20000,12,134,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,600,30,600
0035-openb-node-0195,,G2,96,8,412316860416,20000,8,276,412316860416,70,1400,0,0,0,0,0,0,350,7000,1000,20000,1000,20000,1000,20000,3420,68400
0036-openb-node-0259,,G2,96,8,412316860416,20000,11,5340,412316860416,70,1400,0,0,0,0,190,3800,0,0,30,600,0,0,0,0,290,5800
0037-openb-node-1054,,P100,16,2,128849018880,16280,3,5696,128849018880,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0038-openb-node-0226,,V100M16,32,4,137438953472,16160,3,2838,137438953472,190,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3070
0039-openb-node-0013,,P100,64,2,274877906944,16280,6,1776,274877906944,70,1139,60,976,0,0,0,0,0,0,0,0,0,0,0,0,130,2115
0040-openb-node-0589,,T4,104,2,549755813888,15109,5,1392,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0041-openb-node-0404,,T4,104,2,549755813888,15109,6,2792,549755813888,0,0,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0042-openb-node-0279,,G2,96,8,412316860416,20000,11,388,412316860416,0,0,0,0,0,0,60,1200,0,0,0,0,190,3800,80,1600,330,6600
