ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,2,810,6212,810
2,6,1810,6212,1810
3,8,1810,6212,1810
4,10,2810,6212,2810
5,11,3620,6212,3620
6,19,4620,6212,4620
7,21,5430,6212,5430
8,29,5900,6212,5900
9,31,6900,6212,6900
10,39,6900,6212,6900
11,41,6900,6212,6900
12,49,7220,6212,7220
12,49,8220,6212,8220
13,57,9030,6212,9030
14,59,10030,6212,10030
15,67,10620,6212,10620
16,75,10620,6212,10620
17,77,10620,6212,10620
18,79,11170,6212,11170
19,81,11980,6212,11980
20,83,12980,6212,12980
21,91,13980,6212,13980
22,99,14450,6212,14450
23,107,14920,6212,14920
24,115,15920,6212,15920
25,117,16920,6212,16920
26,125,16920,6212,16920
27,127,17920,6212,17920
28,135,18920,6212,18920
29,143,19920,6212,19920
30,145,20920,6212,20920
31,153,21730,6212,21730
32,161,22540,6212,22540
32,161,23540,6212,23540
33,169,27540,6212,27540
34,171,28540,6212,28540
35,179,29540,6212,29540
35,179,30010,6212,30010
36,187,30480,6212,30480
37,195,30950,6212,30950
38,197,31950,6212,31950
39,199,32410,6212,32410
40,207,33060,6212,33060
41,209,34060,6212,34060
42,211,35060,6212,35060
43,215,35060,6212,35060
44,223,35870,6212,35870
45,231,36870,6212,36870
46,239,37340,6212,37340
47,243,37340,6212,37340
48,245,38340,6212,38340
49,253,39340,6212,39340
50,261,40340,6212,40340
51,269,41340,6212,41340
52,271,41800,6212,41800
53,273,41800,6212,41800
54,281,42610,6212,42610
55,289,50610,6212,50610
56,291,51610,6212,51610
57,299,52610,6212,52610
58,301,53080,6212,53080
59,303,54080,6212,54080
60,311,54890,6212,54890
61,319,55890,6212,55890
62,327,56700,6212,56700
63,335,57700,6212,57700
64,337,57700,6212,57700
65,339,58700,6212,58700
66,347,59510,6212,59510
67,349,60510,6212,60510
68,351,60830,6212,60830
69,359,61830,6212,61830
70,363,62830,6212,62830
71,371,63310,6212,63310
72,379,63790,6212,63790
73,381,64260,6212,64260
74,383,64910,6212,64910
75,391,72910,6212,72910
76,393,73910,6212,73910
77,401,74910,6212,74910
78,403,75910,6212,75910
78,403,76380,6212,76380
79,405,77380,6212,77380
80,407,78190,6212,78190
81,415,78510,6212,78510
82,423,79510,6212,79510
83,431,83510,6212,83510
84,433,84510,6212,84510
85,441,85320,6212,85320
86,449,86320,6212,86320
87,457,86910,6212,86910
88,459,86910,6212,86910
89,461,87910,6212,87910
90,469,88380,6212,88380
91,471,88380,6212,88380
92,479,88700,6212,88700
93,481,89020,6212,89020
94,483,90020,6212,90020
95,491,91020,6212,91020
96,499,91490,6212,91490
97,507,91960,6212,91960
98,509,91960,6212,91960
99,517,92960,6212,92960
100,525,93960,6212,93960
101,527,94430,6212,94430
102,529,95430,6212,95430
103,531,95800,6212,95800
104,539,95800,6212,95800
105,547,96610,6212,96610
106,555,97080,6212,97080
107,563,97550,6212,97550
108,571,98360,6212,98360
109,579,99360,6212,99360
110,587,100170,6212,100170
111,589,101170,6212,101170
112,591,101980,6212,101980
113,593,101980,6212,101980
114,595,102530,6212,102530
115,603,103530,6212,103530
116,611,104530,6212,104530
117,613,104530,6212,104530
117,613,104530,6212,104530
118,621,105530,6212,105530
119,629,106530,6212,106530
120,631,107080,6212,107080
121,639,108080,6212,108080
122,641,108080,6212,108080
123,643,109080,6212,109080
124,651,110080,6212,110080
125,653,111080,6212,111080
126,655,112080,6212,112080
127,657,113080,6212,113080
128,665,114080,6212,114080
129,669,114890,6212,114890
130,677,115890,6212,115890
131,679,116110,6212,116110
132,687,116760,6212,116760
133,689,117760,6212,117760
134,697,118760,6212,118760
135,705,118760,6212,118760
136,707,119760,6212,119760
137,709,120760,6212,120760
138,711,120760,6212,120760
139,719,120760,6212,120760
139,719,121080,6212,121080
140,727,121890,6212,121890
141,729,122360,6212,122360
142,737,123360,6212,123360
143,739,124360,6212,124360
144,741,125360,6212,125360
145,749,127360,6212,127360
146,753,128360,6212,128360
147,761,129360,6212,129360
148,769,133360,6212,133360
149,777,133830,6212,133830
149,777,134300,6212,134300
150,785,135300,6212,135300
151,793,135300,6212,135300
152,801,143300,6212,143300
152,801,144300,6212,144300
153,809,145300,6212,145300
154,817,146300,6212,146300
155,825,147300,6212,147300
156,833,148300,6212,148300
157,835,149110,6212,149110
157,835,150110,6212,150110
158,843,151110,6212,151110
158,843,151270,6212,151270
159,845,151820,6212,151820
160,853,152820,6212,152820
161,855,153820,6212,153820
162,863,154820,6212,154820
163,865,155820,6212,155820
164,867,156820,6212,156820
165,869,157820,6212,157820
166,871,158820,6212,158820
167,879,158820,6212,158820
168,883,159820,6212,159820
169,885,160820,6212,160820
170,887,161630,6212,161630
171,895,162630,6212,162630
172,897,163630,6212,163630
173,905,164100,6212,164100
174,913,164570,6212,164570
175,921,165570,6212,165570
176,929,173570,6212,173570
176,929,174570,6212,174570
177,933,175570,6212,175570
178,935,176570,6212,176570
179,937,176800,6212,176800
180,939,177610,6212,177610
181,947,178610,6212,178610
182,955,178610,6212,178610
182,955,179610,6212,179610
183,957,179610,6212,179610
184,959,180610,6212,180610
185,967,181610,6212,181610
186,975,182610,6212,182610
186,975,183610,6212,183610
187,977,183610,6212,183610
188,979,184610,6212,184610
189,987,185610,6212,185610
190,989,186420,6212,186420
191,997,186420,6212,186420
192,1005,187420,6212,187420
192,1005,188420,6212,188420
193,1013,189420,6212,189420
193,1013,189890,6212,189890
194,1021,189890,6212,189890
195,1029,190890,6212,190890
196,1037,198890,6212,198890
196,1037,199890,6212,199890
197,1039,200890,6212,200890
198,1047,201700,6212,201700
199,1049,201700,6212,201700
200,1057,202020,6212,202020
201,1059,203020,6212,203020
202,1067,204020,6212,204020
203,1075,205020,6212,205020
204,1077,206020,6212,206020
205,1079,206180,6212,206180
205,1079,207180,6212,207180
206,1083,207770,6212,207770
207,1091,208770,6212,208770
208,1099,216770,6212,216770
209,1101,217770,6212,217770
209,1101,217770,6212,217770
209,1101,218770,6212,218770
210,1105,219580,6212,219580
211,1113,220390,6212,220390
212,1115,220390,6212,220390
213,1123,221390,6212,221390
214,1131,222390,6212,222390
215,1135,222390,6212,222390
216,1137,222940,6212,222940
217,1145,223940,6212,223940
218,1153,224940,6212,224940
219,1155,225940,6212,225940
220,1157,225940,6212,225940
221,1165,226940,6212,226940
222,1167,227940,6212,227940
223,1175,228940,6212,228940
224,1183,229940,6212,229940
225,1185,230940,6212,230940
225,1185,231940,6212,231940
226,1187,232400,6212,232400
