ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
871039.22,14.02,0.68,345320.28,5.56
870922.59,14.02,0.68,344805.29,5.55
870922.59,14.02,0.68,344723.24,5.55
870774.12,14.02,0.68,344680.58,5.55
870350.24,14.02,0.68,344143.69,5.54
870322.06,14.02,0.68,344136.43,5.54
870362.29,14.02,0.68,344216.55,5.55
870767.95,14.03,0.69,344239.89,5.55
870619.48,14.03,0.69,344213.35,5.55
870739.77,14.03,0.69,344251.68,5.55
872349.83,14.06,0.72,345290.64,5.56
872845.27,14.07,0.72,345306.19,5.57
872696.8,14.07,0.72,345204.58,5.56
872857.32,14.07,0.73,345242.4,5.57
872708.85,14.07,0.73,345169.95,5.57
873061.25,14.08,0.74,345150.79,5.57
873181.54,14.08,0.74,345189.11,5.57
874791.6,14.11,0.76,346228.08,5.58
875060.83,14.11,0.77,346121.73,5.58
875101.06,14.11,0.77,346201.85,5.58
874952.59,14.11,0.77,346090.27,5.58
874924.41,14.12,0.77,346079.81,5.58
875330.07,14.12,0.78,346102.05,5.58
875735.72,14.13,0.79,346124.28,5.59
875707.54,14.13,0.79,346131.81,5.59
875559.07,14.13,0.79,346018.7,5.59
875616.69,14.13,0.79,345958.22,5.58
875468.22,14.13,0.79,345931.68,5.58
875440.04,14.14,0.79,345946.64,5.59
875411.87,14.14,0.79,345972.21,5.59
875263.39,14.14,0.79,345859.1,5.59
875423.92,14.14,0.8,345906.6,5.59
875584.45,14.15,0.8,345852.2,5.59
875435.97,14.15,0.8,345701.36,5.59
874962.38,14.15,0.8,346271.67,5.6
874813.91,14.15,0.8,346158.56,5.6
874785.73,14.15,0.81,346129.42,5.6
875071.09,14.16,0.81,346067.08,5.6
875476.75,14.16,0.82,346090.42,5.6
875882.4,14.17,0.83,346112.66,5.6
876180.35,14.18,0.83,345839.51,5.6
876473.9,14.18,0.84,345801.76,5.6
876772.59,14.19,0.85,345805.09,5.6
876624.12,14.19,0.85,345757.88,5.6
876475.65,14.19,0.85,345644.95,5.6
876475.65,14.19,0.85,345609.56,5.6
876636.18,14.19,0.85,345647.38,5.6
876608.0,14.2,0.85,345662.33,5.6
877013.65,14.2,0.86,345684.57,5.6
877013.65,14.2,0.86,345683.16,5.6
876865.18,14.2,0.86,345570.05,5.6
876837.0,14.21,0.86,345556.77,5.6
876808.82,14.21,0.86,345540.87,5.6
876780.65,14.21,0.87,345527.59,5.6
877074.19,14.21,0.87,345489.84,5.6
877074.19,14.21,0.87,345407.78,5.6
877234.72,14.22,0.88,345445.6,5.6
876167.24,14.22,0.88,345227.82,5.6
876018.77,14.22,0.88,345184.93,5.6
875990.59,14.22,0.88,345210.49,5.6
876275.95,14.23,0.88,345297.78,5.61
876589.07,14.24,0.89,345096.74,5.6
876749.59,14.24,0.9,345134.55,5.61
876721.42,14.24,0.9,345124.1,5.61
876881.94,14.25,0.9,345161.91,5.61
876853.76,14.25,0.9,345187.48,5.61
876853.76,14.25,0.9,345105.42,5.61
876705.29,14.25,0.9,344992.31,5.61
876865.82,14.25,0.91,345039.81,5.61
876717.35,14.25,0.91,345013.28,5.61
877092.5,14.26,0.92,345090.59,5.61
877064.32,14.26,0.92,345098.12,5.61
877221.0,14.27,0.92,345945.56,5.63
877618.47,14.27,0.93,346048.55,5.63
