ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
1,2,1000,6212,1000
2,4,1810,6212,1810
3,12,2130,6212,2130
4,20,2940,6212,2940
5,22,3310,6212,3310
6,30,4310,6212,4310
7,32,5310,6212,5310
8,34,6310,6212,6310
9,42,7310,6212,7310
10,50,8310,6212,8310
11,52,9310,6212,9310
12,54,9310,6212,9310
13,62,10310,6212,10310
14,64,10310,6212,10310
15,72,11310,6212,11310
16,74,11310,6212,11310
17,76,11310,6212,11310
18,84,12310,6212,12310
19,86,13310,6212,13310
20,94,14310,6212,14310
21,102,15310,6212,15310
22,104,15780,6212,15780
23,112,15940,6212,15940
24,120,16170,6212,16170
25,124,17170,6212,17170
26,132,18170,6212,18170
27,140,19170,6212,19170
28,142,19490,6212,19490
29,150,20300,6212,20300
30,158,21110,6212,21110
31,166,29110,6212,29110
32,168,29920,6212,29920
33,170,29920,6212,29920
34,172,30920,6212,30920
35,180,31920,6212,31920
36,182,32920,6212,32920
37,184,33240,6212,33240
38,192,33710,6212,33710
39,200,33710,6212,33710
40,208,41710,6212,41710
41,216,42180,6212,42180
42,224,42500,6212,42500
43,226,42500,6212,42500
44,234,43310,6212,43310
45,238,44310,6212,44310
46,240,45310,6212,45310
47,242,46310,6212,46310
48,244,47310,6212,47310
49,246,47780,6212,47780
50,254,48590,6212,48590
51,262,49590,6212,49590
52,270,49590,6212,49590
53,278,50590,6212,50590
54,280,51590,6212,51590
55,282,51590,6212,51590
56,290,52590,6212,52590
57,298,60590,6212,60590
58,306,60750,6212,60750
59,308,60980,6212,60980
60,316,61790,6212,61790
61,324,62790,6212,62790
62,332,66790,6212,66790
63,340,67600,6212,67600
63,340,68600,6212,68600
64,342,69600,6212,69600
65,344,69600,6212,69600
66,352,69600,6212,69600
67,360,70600,6212,70600
68,362,70600,6212,70600
69,364,70600,6212,70600
70,372,71600,6212,71600
71,374,72410,6212,72410
72,376,73410,6212,73410
73,380,74220,6212,74220
74,382,74690,6212,74690
74,382,75690,6212,75690
75,390,76690,6212,76690
76,398,77690,6212,77690
77,400,77690,6212,77690
78,402,78690,6212,78690
79,410,86690,6212,86690
80,418,87010,6212,87010
81,426,87820,6212,87820
82,434,87820,6212,87820
83,436,88820,6212,88820
84,440,89820,6212,89820
85,442,89820,6212,89820
86,450,97820,6212,97820
87,458,98630,6212,98630
88,466,99440,6212,99440
89,468,100250,6212,100250
90,470,100900,6212,100900
91,478,101120,6212,101120
92,486,101930,6212,101930
93,494,102400,6212,102400
94,502,103400,6212,103400
95,504,103870,6212,103870
96,512,104190,6212,104190
96,512,104660,6212,104660
97,514,104820,6212,104820
97,514,105820,6212,105820
98,516,106820,6212,106820
98,516,107470,6212,107470
99,518,108280,6212,108280
100,526,109090,6212,109090
101,534,110090,6212,110090
102,542,111090,6212,111090
103,550,112090,6212,112090
104,558,112900,6212,112900
105,560,113710,6212,113710
106,568,114030,6212,114030
107,576,114680,6212,114680
108,584,116680,6212,116680
109,592,117490,6212,117490
110,594,118490,6212,118490
111,602,119490,6212,119490
112,604,120300,6212,120300
112,604,121300,6212,121300
113,612,122300,6212,122300
114,614,122950,6212,122950
115,622,123950,6212,123950
116,624,124300,6212,124300
117,626,125300,6212,125300
118,628,126300,6212,126300
119,630,126300,6212,126300
120,638,127300,6212,127300
121,640,128300,6212,128300
122,642,129300,6212,129300
123,650,130300,6212,130300
124,652,130300,6212,130300
125,660,130770,6212,130770
126,668,131240,6212,131240
127,676,132240,6212,132240
128,684,132240,6212,132240
129,692,132890,6212,132890
130,700,133890,6212,133890
131,702,134120,6212,134120
132,710,142120,6212,142120
133,718,150120,6212,150120
134,720,150440,6212,150440
134,720,151440,6212,151440
135,728,152440,6212,152440
136,736,153440,6212,153440
137,740,153760,6212,153760
137,740,154760,6212,154760
138,748,155230,6212,155230
139,752,156040,6212,156040
140,754,158040,6212,158040
141,756,158510,6212,158510
142,758,159510,6212,159510
143,766,160510,6212,160510
144,768,161320,6212,161320
145,770,162130,6212,162130
146,778,163130,6212,163130
146,778,164130,6212,164130
147,786,164940,6212,164940
148,794,165530,6212,165530
149,796,166530,6212,166530
150,798,166530,6212,166530
150,798,167340,6212,167340
151,806,167800,6212,167800
152,808,168800,6212,168800
153,816,169610,6212,169610
154,820,170260,6212,170260
155,822,170740,6212,170740
156,824,171740,6212,171740
157,826,171970,6212,171970
158,834,172970,6212,172970
159,842,173970,6212,173970
160,846,174970,6212,174970
161,848,175780,6212,175780
162,856,176780,6212,176780
163,858,177590,6212,177590
164,860,177750,6212,177750
165,862,178560,6212,178560
166,870,179030,6212,179030
167,878,180030,6212,180030
168,886,181030,6212,181030
169,894,182030,6212,182030
170,896,183030,6212,183030
171,898,183030,6212,183030
172,906,184030,6212,184030
173,908,184030,6212,184030
174,916,184030,6212,184030
175,918,184620,6212,184620
176,926,185620,6212,185620
177,934,186090,6212,186090
178,942,187090,6212,187090
179,950,195090,6212,195090
179,950,195410,6212,195410
180,952,196410,6212,196410
180,952,197220,6212,197220
180,952,197220,6212,197220
181,960,198220,6212,198220
182,962,200220,6212,200220
183,970,200690,6212,200690
184,978,201500,6212,201500
185,986,201730,6212,201730
186,987,201960,6212,201960
187,989,202960,6212,202960
188,991,203960,6212,203960
189,999,204430,6212,204430
190,1001,205240,6212,205240
191,1003,206240,6212,206240
192,1005,207050,6212,207050
193,1013,208050,6212,208050
193,1013,209050,6212,209050
193,1013,210050,6212,210050
194,1015,210520,6212,210520
195,1023,210520,6212,210520
195,1023,210990,6212,210990
196,1031,211990,6212,211990
197,1033,212800,6212,212800
198,1035,213610,6212,213610
199,1037,214610,6212,214610
200,1045,215090,6212,215090
201,1047,215410,6212,215410
202,1051,216410,6212,216410
203,1053,217410,6212,217410
204,1061,218410,6212,218410
205,1069,219410,6212,219410
206,1077,220410,6212,220410
207,1085,221410,6212,221410
208,1089,221410,6212,221410
209,1091,222410,6212,222410
210,1093,223060,6212,223060
211,1101,231060,6212,231060
212,1103,231870,6212,231870
213,1105,232340,6212,232340
214,1107,232340,6212,232340
214,1107,233340,6212,233340
214,1107,234340,6212,234340
215,1109,235150,6212,235150
215,1109,235620,6212,235620
216,1117,236620,6212,236620
217,1119,237620,6212,237620
218,1127,238620,6212,238620
219,1135,239430,6212,239430
220,1137,240430,6212,240430
220,1137,241430,6212,241430
221,1139,242430,6212,242430
221,1139,242430,6212,242430
222,1141,242900,6212,242900
223,1149,243550,6212,243550
224,1157,243780,6212,243780
225,1165,244590,6212,244590
226,1173,252590,6212,252590
226,1173,253060,6212,253060
227,1181,253870,6212,253870
228,1183,254340,6212,254340
229,1191,254800,6212,254800
230,1199,254800,6212,254800
231,1207,255120,6212,255120
232,1215,255930,6212,255930
233,1217,256740,6212,256740
234,1219,257550,6212,257550
235,1221,258360,6212,258360
236,1229,259360,6212,259360
237,1233,260360,6212,260360
