ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6ae2-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
870850.52,14.02,0.68,345192.58,5.56
870899.47,14.02,0.68,344756.91,5.55
871394.91,14.03,0.69,344772.46,5.55
871555.44,14.04,0.69,344810.27,5.55
872097.0,14.05,0.7,344457.65,5.55
872068.83,14.05,0.7,344483.22,5.55
871920.36,14.05,0.7,344456.68,5.55
871771.88,14.05,0.7,344413.79,5.55
871743.71,14.05,0.71,344439.36,5.55
871715.53,14.05,0.71,344446.89,5.55
871567.06,14.05,0.71,344334.47,5.55
871567.06,14.05,0.71,344252.42,5.55
871538.88,14.05,0.71,344239.14,5.55
871538.88,14.05,0.71,344155.17,5.55
871510.7,14.06,0.71,344147.91,5.55
871510.7,14.06,0.71,344049.84,5.55
871510.7,14.06,0.71,343961.92,5.55
871482.52,14.06,0.71,343960.63,5.55
871795.64,14.06,0.72,343759.59,5.55
871767.46,14.07,0.72,343752.33,5.55
871739.28,14.07,0.72,343777.89,5.55
872024.64,14.07,0.73,343850.05,5.55
872528.87,14.08,0.74,343830.94,5.55
873093.61,14.09,0.75,343835.5,5.55
873084.64,14.09,0.75,343863.06,5.55
873056.46,14.1,0.75,343888.63,5.55
873028.29,14.1,0.75,343872.73,5.55
873403.43,14.1,0.76,343843.11,5.55
873563.96,14.11,0.77,343880.93,5.55
873724.48,14.11,0.77,343918.75,5.56
872657.01,14.11,0.77,343700.97,5.56
872697.24,14.12,0.77,343781.08,5.56
872697.24,14.12,0.77,343697.11,5.56
872548.77,14.12,0.77,343654.22,5.56
872520.59,14.12,0.77,343730.07,5.56
872372.12,14.12,0.77,343687.41,5.56
872747.27,14.12,0.78,343769.08,5.56
873152.92,14.13,0.79,343792.42,5.56
873152.92,14.13,0.79,343694.75,5.56
872085.45,14.13,0.79,343476.98,5.57
872491.1,14.14,0.8,343499.21,5.57
872986.54,14.15,0.81,343514.76,5.57
872986.54,14.15,0.81,343431.04,5.57
873147.07,14.15,0.81,343468.85,5.57
872998.6,14.15,0.81,343188.34,5.56
873608.65,14.17,0.82,343227.3,5.57
873460.18,14.17,0.82,343114.19,5.56
873311.71,14.17,0.82,343001.08,5.56
873597.07,14.17,0.83,343073.24,5.57
873757.6,14.18,0.83,343111.06,5.57
873729.42,14.18,0.83,343136.62,5.57
873787.04,14.18,0.84,343108.8,5.57
873758.86,14.18,0.84,343134.37,5.57
873610.39,14.18,0.84,343091.48,5.57
873610.39,14.18,0.84,342999.13,5.57
873582.21,14.18,0.84,343024.7,5.57
872514.74,14.18,0.84,342806.92,5.57
873018.96,14.19,0.85,342936.47,5.58
873463.41,14.2,0.86,342971.15,5.58
873623.94,14.2,0.86,343008.97,5.58
873595.76,14.21,0.86,343044.13,5.58
873122.17,14.21,0.86,343614.44,5.59
873282.7,14.21,0.87,343652.26,5.59
873134.22,14.21,0.87,343636.52,5.59
872985.75,14.21,0.87,343593.86,5.59
872985.75,14.21,0.87,343511.81,5.59
873043.37,14.21,0.87,343451.32,5.59
873015.19,14.22,0.87,343476.32,5.59
873015.19,14.22,0.87,343392.59,5.59
873015.19,14.22,0.87,343304.67,5.59
872987.02,14.22,0.87,343319.62,5.59
873027.25,14.22,0.88,343399.74,5.59
872878.78,14.22,0.88,343287.32,5.59
872919.01,14.22,0.88,342731.48,5.58
873204.37,14.23,0.88,342818.77,5.59
873055.9,14.23,0.88,342727.25,5.59
873027.72,14.23,0.89,342698.1,5.59
872999.54,14.23,0.89,342705.64,5.59
872999.54,14.23,0.89,342613.29,5.59
872851.07,14.23,0.89,342500.18,5.58
871783.6,14.23,0.89,342292.45,5.59
872279.04,14.24,0.9,342308.0,5.59
872439.56,14.25,0.9,342345.82,5.59
872497.18,14.25,0.9,342318.0,5.59
872348.71,14.25,0.9,342275.34,5.59
872200.24,14.25,0.9,342211.4,5.59
872200.24,14.25,0.9,342123.47,5.59
871132.77,14.25,0.9,341915.74,5.59
871293.29,14.25,0.91,341953.55,5.59
871453.82,14.26,0.91,341991.37,5.59
871494.05,14.26,0.92,341881.11,5.59
871672.45,14.26,0.92,341920.06,5.6
872244.89,14.27,0.93,341892.36,5.59
872405.42,14.28,0.93,341930.17,5.6
872811.07,14.29,0.94,341953.52,5.6
872782.89,14.29,0.94,341961.05,5.6
873068.25,14.29,0.95,342048.33,5.6
873563.69,14.3,0.96,342063.89,5.6
