ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
1,2,1000,6212,1000
2,3,1810,6212,1810
3,4,2130,6212,2130
3,4,2940,6212,2940
4,6,3310,6212,3310
4,6,4310,6212,4310
5,8,5310,6212,5310
5,8,6310,6212,6310
6,10,7310,6212,7310
6,10,8310,6212,8310
7,12,9310,6212,9310
8,14,9310,6212,9310
9,16,10310,6212,10310
10,20,10310,6212,10310
10,20,11310,6212,11310
11,22,11310,6212,11310
12,24,11310,6212,11310
13,26,12310,6212,12310
14,28,13310,6212,13310
15,32,14310,6212,14310
15,32,15310,6212,15310
16,33,15780,6212,15780
16,33,15940,6212,15940
16,33,16170,6212,16170
17,35,17170,6212,17170
18,37,18170,6212,18170
19,39,19170,6212,19170
20,41,19490,6212,19490
20,41,20300,6212,20300
20,41,21110,6212,21110
21,49,29110,6212,29110
21,49,29920,6212,29920
21,49,29920,6212,29920
21,49,30920,6212,30920
21,49,31920,6212,31920
22,51,32920,6212,32920
22,51,33240,6212,33240
23,53,33710,6212,33710
24,57,33710,6212,33710
25,65,41710,6212,41710
25,65,42180,6212,42180
25,65,42500,6212,42500
26,69,42500,6212,42500
27,70,43310,6212,43310
28,71,44310,6212,44310
29,73,45310,6212,45310
30,75,46310,6212,46310
31,77,47310,6212,47310
32,79,47780,6212,47780
32,79,48590,6212,48590
33,81,49590,6212,49590
33,81,49590,6212,49590
34,83,50590,6212,50590
34,83,51590,6212,51590
34,83,51590,6212,51590
35,85,52590,6212,52590
36,93,60590,6212,60590
36,93,60750,6212,60750
36,93,60980,6212,60980
36,93,61790,6212,61790
37,95,62790,6212,62790
38,99,66790,6212,66790
38,99,67600,6212,67600
38,99,68600,6212,68600
39,101,69600,6212,69600
40,103,69600,6212,69600
40,103,69600,6212,69600
41,105,70600,6212,70600
42,109,70600,6212,70600
43,111,70600,6212,70600
44,113,71600,6212,71600
44,113,72410,6212,72410
45,115,73410,6212,73410
45,115,74220,6212,74220
46,117,74690,6212,74690
47,119,75690,6212,75690
48,123,76690,6212,76690
48,123,77690,6212,77690
49,127,77690,6212,77690
50,129,78690,6212,78690
51,137,86690,6212,86690
51,137,87010,6212,87010
51,137,87820,6212,87820
52,139,87820,6212,87820
53,141,88820,6212,88820
54,143,89820,6212,89820
54,143,89820,6212,89820
55,151,97820,6212,97820
55,151,98630,6212,98630
55,151,99440,6212,99440
55,151,100250,6212,100250
56,153,100900,6212,100900
56,153,101120,6212,101120
57,154,101930,6212,101930
58,156,102400,6212,102400
59,157,103400,6212,103400
60,159,103870,6212,103870
60,159,104190,6212,104190
61,160,104660,6212,104660
61,160,104820,6212,104820
62,162,105820,6212,105820
63,164,106820,6212,106820
64,166,107470,6212,107470
64,166,108280,6212,108280
64,166,109090,6212,109090
65,167,110090,6212,110090
66,171,111090,6212,111090
66,171,112090,6212,112090
66,171,112900,6212,112900
67,172,113710,6212,113710
68,174,114030,6212,114030
69,176,114680,6212,114680
70,178,116680,6212,116680
70,178,117490,6212,117490
71,179,118490,6212,118490
72,181,119490,6212,119490
73,182,120300,6212,120300
74,183,121300,6212,121300
75,184,122300,6212,122300
76,186,122950,6212,122950
77,187,123950,6212,123950
77,187,124300,6212,124300
78,188,125300,6212,125300
79,190,126300,6212,126300
80,192,126300,6212,126300
81,194,127300,6212,127300
82,196,128300,6212,128300
83,198,129300,6212,129300
84,200,130300,6212,130300
85,202,130300,6212,130300
85,202,130770,6212,130770
86,204,131240,6212,131240
87,208,132240,6212,132240
87,208,132240,6212,132240
88,210,132890,6212,132890
89,211,133890,6212,133890
89,211,134120,6212,134120
90,219,142120,6212,142120
91,227,150120,6212,150120
92,229,150440,6212,150440
92,229,151440,6212,151440
93,231,152440,6212,152440
93,231,153440,6212,153440
93,231,153760,6212,153760
94,233,154760,6212,154760
95,235,155230,6212,155230
95,235,156040,6212,156040
96,237,158040,6212,158040
97,239,158510,6212,158510
98,241,159510,6212,159510
99,245,160510,6212,160510
99,245,161320,6212,161320
99,245,162130,6212,162130
99,245,163130,6212,163130
100,249,164130,6212,164130
100,249,164940,6212,164940
100,249,165530,6212,165530
100,249,166530,6212,166530
101,251,166530,6212,166530
101,251,167340,6212,167340
101,251,167800,6212,167800
102,252,168800,6212,168800
103,253,169610,6212,169610
104,255,170260,6212,170260
104,255,170740,6212,170740
105,257,171740,6212,171740
105,257,171970,6212,171970
106,259,172970,6212,172970
107,261,173970,6212,173970
108,262,174970,6212,174970
108,262,175780,6212,175780
109,264,176780,6212,176780
110,265,177590,6212,177590
110,265,177750,6212,177750
111,266,178560,6212,178560
112,268,179030,6212,179030
113,272,180030,6212,180030
113,272,181030,6212,181030
113,272,182030,6212,182030
114,274,183030,6212,183030
114,274,183030,6212,183030
114,274,184030,6212,184030
114,274,184030,6212,184030
115,276,184030,6212,184030
115,276,184620,6212,184620
116,278,185620,6212,185620
117,280,186090,6212,186090
118,282,187090,6212,187090
119,290,195090,6212,195090
120,292,195410,6212,195410
121,294,196410,6212,196410
121,294,197220,6212,197220
122,298,197220,6212,197220
123,302,198220,6212,198220
124,304,200220,6212,200220
124,304,200690,6212,200690
124,304,201500,6212,201500
124,304,201730,6212,201730
124,304,201960,6212,201960
125,306,202960,6212,202960
125,306,203960,6212,203960
126,308,204430,6212,204430
126,308,205240,6212,205240
127,312,206240,6212,206240
128,314,207050,6212,207050
129,316,208050,6212,208050
130,318,209050,6212,209050
130,318,210050,6212,210050
130,318,210520,6212,210520
130,318,210520,6212,210520
131,320,210990,6212,210990
132,322,211990,6212,211990
132,322,212800,6212,212800
132,322,213610,6212,213610
133,324,214610,6212,214610
133,324,215090,6212,215090
133,324,215410,6212,215410
134,326,216410,6212,216410
135,328,217410,6212,217410
136,330,218410,6212,218410
137,332,219410,6212,219410
138,334,220410,6212,220410
138,334,221410,6212,221410
139,336,221410,6212,221410
140,338,222410,6212,222410
141,340,223060,6212,223060
142,348,231060,6212,231060
142,348,231870,6212,231870
143,350,232340,6212,232340
143,350,232340,6212,232340
144,352,233340,6212,233340
144,352,234340,6212,234340
144,352,235150,6212,235150
144,352,235620,6212,235620
145,354,236620,6212,236620
146,356,237620,6212,237620
147,360,238620,6212,238620
147,360,239430,6212,239430
148,364,240430,6212,240430
148,364,241430,6212,241430
149,366,242430,6212,242430
150,368,242430,6212,242430
151,370,242900,6212,242900
152,372,243550,6212,243550
152,372,243780,6212,243780
152,372,244590,6212,244590
153,380,252590,6212,252590
154,382,253060,6212,253060
154,382,253870,6212,253870
155,384,254340,6212,254340
156,386,254800,6212,254800
