ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
871312.11,14.03,0.69,345547.82,5.56
870888.22,14.02,0.68,345010.94,5.56
870910.44,14.02,0.68,344920.15,5.55
870397.38,14.02,0.67,344328.62,5.55
870938.95,14.03,0.68,344040.82,5.54
870637.44,14.03,0.68,343992.83,5.54
870950.56,14.03,0.69,343808.57,5.54
870247.5,14.02,0.68,343027.04,5.53
870560.62,14.03,0.69,342842.77,5.53
869857.56,14.02,0.68,342061.24,5.51
870155.51,14.03,0.69,341783.34,5.51
871363.24,14.05,0.7,342632.04,5.52
871661.2,14.06,0.71,342354.15,5.52
871703.65,14.06,0.71,342171.96,5.52
873176.49,14.08,0.74,343432.88,5.54
874786.55,14.11,0.76,344467.09,5.56
876396.6,14.13,0.79,345501.29,5.57
876728.42,14.14,0.8,345282.39,5.57
877041.54,14.15,0.81,345098.13,5.57
877198.22,14.15,0.81,345945.57,5.58
878447.65,14.18,0.83,346027.51,5.58
878365.07,14.18,0.83,345831.92,5.58
878206.36,14.17,0.83,345673.22,5.58
878867.19,14.18,0.84,346293.86,5.59
879477.25,14.2,0.85,346328.07,5.59
879790.36,14.2,0.86,346143.81,5.59
880400.42,14.22,0.87,346178.01,5.59
881200.39,14.23,0.89,346307.84,5.59
880702.49,14.22,0.88,345809.94,5.59
880204.6,14.22,0.87,345312.05,5.58
879137.12,14.22,0.88,345094.27,5.58
878605.36,14.21,0.87,344537.37,5.57
878605.36,14.21,0.87,344537.37,5.57
877902.3,14.2,0.86,343755.84,5.56
877199.25,14.19,0.85,342974.31,5.55
877512.36,14.2,0.86,342756.65,5.55
877237.56,14.2,0.85,342481.84,5.54
878069.17,14.21,0.87,342782.54,5.55
878111.63,14.21,0.87,342600.35,5.55
876986.53,14.21,0.87,342316.12,5.55
877006.63,14.21,0.87,342430.5,5.55
876983.57,14.21,0.87,342362.37,5.55
880389.69,14.27,0.93,345291.76,5.6
879965.8,14.27,0.92,344754.87,5.59
879353.22,14.26,0.91,344029.28,5.58
879963.28,14.27,0.93,344063.49,5.58
880573.33,14.28,0.94,344097.69,5.58
880905.15,14.29,0.95,343853.66,5.58
881209.98,14.3,0.95,343885.39,5.58
880678.22,14.29,0.95,343353.63,5.57
880991.34,14.3,0.95,343169.37,5.57
881941.55,14.31,0.97,343815.45,5.58
882254.67,14.32,0.98,343631.18,5.58
881551.61,14.31,0.97,342849.65,5.57
881551.61,14.31,0.97,342849.65,5.57
881864.73,14.32,0.97,342665.39,5.56
880676.96,14.32,0.97,342230.96,5.56
881856.91,14.34,0.99,344318.72,5.6
881935.35,14.34,0.99,344352.23,5.6
881422.29,14.33,0.99,343760.7,5.59
881735.41,14.34,1.0,343576.44,5.59
881141.53,14.34,1.0,343432.56,5.59
880628.47,14.33,0.99,342841.03,5.58
879925.41,14.32,0.98,342059.5,5.57
880238.53,14.33,0.99,341841.83,5.57
881446.26,14.35,1.01,342690.54,5.58
881446.26,14.35,1.01,342690.54,5.58
881759.38,14.36,1.01,342472.87,5.58
885165.49,14.41,1.07,345402.25,5.62
886775.55,14.44,1.1,346436.46,5.64
887088.67,14.45,1.1,346218.79,5.64
886575.61,14.44,1.1,345660.66,5.63
886873.56,14.45,1.1,345382.77,5.63
886360.5,14.44,1.1,344824.64,5.62
887192.12,14.46,1.11,345125.33,5.62
887505.23,14.46,1.12,344941.07,5.62
888975.03,14.49,1.15,346221.34,5.64
888271.97,14.48,1.14,345473.21,5.63
888613.65,14.49,1.14,346315.49,5.65
888945.46,14.49,1.15,346071.46,5.64
887877.99,14.5,1.15,345853.68,5.65
887870.09,14.5,1.15,345845.78,5.65
887357.04,14.49,1.15,345254.25,5.64
888564.77,14.51,1.17,346102.96,5.65
