ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
1,1,1000,6212,1000
2,2,1810,6212,1810
3,3,2130,6212,2130
4,4,2940,6212,2940
5,5,3310,6212,3310
6,6,4310,6212,4310
7,8,5310,6212,5310
7,8,6310,6212,6310
8,10,7310,6212,7310
8,10,8310,6212,8310
9,12,9310,6212,9310
10,20,9310,6212,9310
10,20,10310,6212,10310
10,20,10310,6212,10310
11,22,11310,6212,11310
11,22,11310,6212,11310
11,22,11310,6212,11310
11,22,12310,6212,12310
12,24,13310,6212,13310
12,24,14310,6212,14310
13,26,15310,6212,15310
14,27,15780,6212,15780
14,27,15940,6212,15940
15,28,16170,6212,16170
15,28,17170,6212,17170
16,30,18170,6212,18170
16,30,19170,6212,19170
17,31,19490,6212,19490
18,32,20300,6212,20300
19,33,21110,6212,21110
20,41,29110,6212,29110
21,42,29920,6212,29920
21,42,29920,6212,29920
22,43,30920,6212,30920
23,44,31920,6212,31920
24,46,32920,6212,32920
24,46,33240,6212,33240
25,48,33710,6212,33710
25,48,33710,6212,33710
26,56,41710,6212,41710
27,57,42180,6212,42180
27,57,42500,6212,42500
27,57,42500,6212,42500
28,58,43310,6212,43310
28,58,44310,6212,44310
29,60,45310,6212,45310
30,62,46310,6212,46310
30,62,47310,6212,47310
31,63,47780,6212,47780
32,64,48590,6212,48590
33,66,49590,6212,49590
33,66,49590,6212,49590
33,66,50590,6212,50590
34,67,51590,6212,51590
34,67,51590,6212,51590
35,69,52590,6212,52590
