ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
870850.52,14.02,0.68,345092.44,5.56
870426.64,14.02,0.67,344555.55,5.55
870448.86,14.02,0.67,344464.77,5.55
870024.97,14.01,0.67,343927.88,5.54
870036.42,14.01,0.67,343826.32,5.54
869887.95,14.01,0.67,343695.54,5.54
869739.48,14.01,0.67,343664.89,5.54
869591.0,14.01,0.67,343561.55,5.54
869442.53,14.01,0.67,343535.02,5.54
869294.06,14.01,0.67,343433.41,5.54
869145.59,14.01,0.67,343320.99,5.54
869203.21,14.01,0.67,343293.17,5.53
869054.74,14.01,0.67,343277.44,5.54
869054.74,14.01,0.67,343162.21,5.53
868906.27,14.01,0.67,343050.35,5.53
868968.94,14.01,0.67,343479.79,5.54
868968.94,14.01,0.67,343334.71,5.54
868820.47,14.01,0.67,343318.43,5.54
868672.0,14.01,0.67,343291.89,5.54
868523.53,14.01,0.67,343190.28,5.54
868375.06,14.01,0.67,343163.74,5.54
868292.47,14.01,0.67,342968.15,5.54
868133.77,14.01,0.67,342809.45,5.53
868240.01,14.01,0.67,342802.68,5.53
868091.54,14.01,0.67,342701.07,5.53
867943.06,14.01,0.67,342674.54,5.53
867794.59,14.01,0.67,342572.93,5.53
867862.01,14.01,0.67,342527.34,5.53
867438.13,14.01,0.67,341990.45,5.52
867014.24,14.0,0.66,341589.95,5.52
865946.77,14.01,0.66,341372.17,5.52
865522.89,14.0,0.66,340835.28,5.51
865522.89,14.0,0.66,340598.64,5.51
864910.3,13.99,0.65,339873.05,5.5
864297.72,13.99,0.64,339147.46,5.49
864610.83,13.99,0.65,338934.55,5.49
864336.03,13.99,0.65,338659.75,5.48
865167.64,14.0,0.66,338965.2,5.49
