ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
1,1,1000,6212,1000
2,2,1810,6212,1810
3,3,2130,6212,2130
4,4,2940,6212,2940
5,5,3310,6212,3310
6,6,4310,6212,4310
7,8,5310,6212,5310
7,8,6310,6212,6310
8,10,7310,6212,7310
8,10,8310,6212,8310
9,12,9310,6212,9310
10,20,9310,6212,9310
10,20,10310,6212,10310
10,20,10310,6212,10310
11,22,11310,6212,11310
11,22,11310,6212,11310
11,22,11310,6212,11310
11,22,12310,6212,12310
12,24,13310,6212,13310
12,24,14310,6212,14310
13,26,15310,6212,15310
13,26,15780,6212,15780
13,26,15940,6212,15940
13,26,16170,6212,16170
14,28,17170,6212,17170
14,28,18170,6212,18170
15,30,19170,6212,19170
16,31,19490,6212,19490
17,32,20300,6212,20300
18,33,21110,6212,21110
19,41,29110,6212,29110
20,42,29920,6212,29920
20,42,29920,6212,29920
21,43,30920,6212,30920
22,44,31920,6212,31920
23,46,32920,6212,32920
23,46,33240,6212,33240
24,48,33710,6212,33710
24,48,33710,6212,33710
25,56,41710,6212,41710
26,57,42180,6212,42180
26,57,42500,6212,42500
26,57,42500,6212,42500
26,57,43310,6212,43310
27,58,44310,6212,44310
28,60,45310,6212,45310
28,60,46310,6212,46310
29,62,47310,6212,47310
29,62,47780,6212,47780
30,63,48590,6212,48590
31,65,49590,6212,49590
31,65,49590,6212,49590
31,65,50590,6212,50590
32,66,51590,6212,51590
32,66,51590,6212,51590
33,68,52590,6212,52590
