ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
870850.52,14.02,0.68,345092.44,5.56
870426.64,14.02,0.67,344555.55,5.55
870448.86,14.02,0.67,344464.77,5.55
870024.97,14.01,0.67,343927.88,5.54
870036.42,14.01,0.67,343826.32,5.54
869887.95,14.01,0.67,343695.54,5.54
869739.48,14.01,0.67,343664.89,5.54
869591.0,14.01,0.67,343561.55,5.54
869442.53,14.01,0.67,343535.02,5.54
869294.06,14.01,0.67,343433.41,5.54
869145.59,14.01,0.67,343320.99,5.54
869203.21,14.01,0.67,343293.17,5.53
869054.74,14.01,0.67,343277.44,5.54
869054.74,14.01,0.67,343162.21,5.53
868906.27,14.01,0.67,343050.35,5.53
868968.94,14.01,0.67,343479.79,5.54
868968.94,14.01,0.67,343334.71,5.54
868820.47,14.01,0.67,343318.43,5.54
868672.0,14.01,0.67,343291.89,5.54
868523.53,14.01,0.67,343190.28,5.54
868375.06,14.01,0.67,343163.74,5.54
868660.42,14.02,0.68,343425.24,5.54
868501.71,14.02,0.67,343266.54,5.54
868359.58,14.02,0.67,343189.76,5.54
868211.11,14.02,0.67,343076.65,5.54
868062.64,14.01,0.67,343061.61,5.54
868672.7,14.03,0.68,343100.57,5.54
868740.11,14.03,0.69,343054.98,5.54
868316.23,14.02,0.68,342518.1,5.53
867892.35,14.02,0.68,341981.21,5.52
866824.87,14.02,0.68,341763.43,5.53
866400.99,14.01,0.67,341226.55,5.52
866400.99,14.01,0.67,340989.91,5.52
865788.41,14.01,0.66,340400.7,5.51
865175.82,14.0,0.66,339675.11,5.5
865488.94,14.01,0.66,339462.2,5.49
865214.13,14.0,0.66,339187.39,5.49
866045.75,14.02,0.67,339492.85,5.49
