ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
1,2,1000,6212,1000
1,2,1810,6212,1810
2,3,2130,6212,2130
3,4,2940,6212,2940
4,5,3310,6212,3310
5,7,4310,6212,4310
6,9,5310,6212,5310
6,9,6310,6212,6310
7,11,7310,6212,7310
7,11,8310,6212,8310
8,13,9310,6212,9310
9,15,9310,6212,9310
10,17,10310,6212,10310
11,18,10310,6212,10310
12,20,11310,6212,11310
13,22,11310,6212,11310
14,24,11310,6212,11310
15,26,12310,6212,12310
16,28,13310,6212,13310
16,28,14310,6212,14310
17,30,15310,6212,15310
18,31,15780,6212,15780
18,31,15940,6212,15940
18,31,16170,6212,16170
19,33,17170,6212,17170
20,35,18170,6212,18170
21,37,19170,6212,19170
22,38,19490,6212,19490
22,38,20300,6212,20300
22,38,21110,6212,21110
23,46,29110,6212,29110
23,46,29920,6212,29920
23,46,29920,6212,29920
23,46,30920,6212,30920
23,46,31920,6212,31920
24,48,32920,6212,32920
24,48,33240,6212,33240
25,50,33710,6212,33710
26,51,33710,6212,33710
27,59,41710,6212,41710
28,60,42180,6212,42180
28,60,42500,6212,42500
29,64,42500,6212,42500
29,64,43310,6212,43310
30,65,44310,6212,44310
31,67,45310,6212,45310
32,69,46310,6212,46310
33,71,47310,6212,47310
34,72,47780,6212,47780
34,72,48590,6212,48590
35,74,49590,6212,49590
35,74,49590,6212,49590
36,76,50590,6212,50590
36,76,51590,6212,51590
36,76,51590,6212,51590
37,78,52590,6212,52590
38,86,60590,6212,60590
39,87,60750,6212,60750
39,87,60980,6212,60980
39,87,61790,6212,61790
40,89,62790,6212,62790
41,93,66790,6212,66790
41,93,67600,6212,67600
42,94,68600,6212,68600
43,96,69600,6212,69600
43,96,69600,6212,69600
44,100,69600,6212,69600
45,102,70600,6212,70600
46,106,70600,6212,70600
47,108,70600,6212,70600
48,110,71600,6212,71600
48,110,72410,6212,72410
49,112,73410,6212,73410
49,112,74220,6212,74220
50,114,74690,6212,74690
51,116,75690,6212,75690
52,118,76690,6212,76690
52,118,77690,6212,77690
52,118,77690,6212,77690
52,118,78690,6212,78690
53,126,86690,6212,86690
53,126,87010,6212,87010
53,126,87820,6212,87820
53,126,87820,6212,87820
54,128,88820,6212,88820
55,130,89820,6212,89820
55,130,89820,6212,89820
56,138,97820,6212,97820
56,138,98630,6212,98630
56,138,99440,6212,99440
57,139,100250,6212,100250
58,141,100900,6212,100900
59,142,101120,6212,101120
59,142,101930,6212,101930
60,144,102400,6212,102400
61,145,103400,6212,103400
62,147,103870,6212,103870
63,148,104190,6212,104190
64,149,104660,6212,104660
65,150,104820,6212,104820
66,152,105820,6212,105820
67,154,106820,6212,106820
