ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-id,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-event,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-pod_name,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-cum_pod
0,create,paib-gpu/openb-pod-4863,1
1,create,paib-gpu/openb-pod-3205,2
2,create,paib-gpu/openb-pod-6927,3
3,create,paib-gpu/openb-pod-4166,4
4,create,paib-gpu/openb-pod-2287,5
5,create,paib-gpu/openb-pod-7775,6
6,create,paib-gpu/openb-pod-7057,7
7,create,paib-gpu/openb-pod-0537,8
8,create,paib-gpu/openb-pod-5203,9
9,create,paib-gpu/openb-pod-1117,10
10,create,paib-gpu/openb-pod-3162,11
11,create,paib-gpu/openb-pod-1638,12
12,create,paib-gpu/openb-pod-3850,13
13,create,paib-gpu/openb-pod-0830,14
14,create,paib-gpu/openb-pod-3523,15
15,create,paib-gpu/openb-pod-4885,16
16,create,paib-gpu/openb-pod-3142,17
17,create,paib-gpu/openb-pod-1807,18
18,create,paib-gpu/openb-pod-5145,19
19,create,paib-gpu/openb-pod-0708,20
20,create,paib-gpu/openb-pod-7849,21
21,create,paib-gpu/openb-pod-0139,22
22,create,paib-gpu/openb-pod-4693,23
23,create,paib-gpu/openb-pod-1702,24
24,create,paib-gpu/openb-pod-1281,25
25,create,paib-gpu/openb-pod-5200,26
26,create,paib-gpu/openb-pod-1554,27
27,create,paib-gpu/openb-pod-3960,28
28,create,paib-gpu/openb-pod-7506,29
29,create,paib-gpu/openb-pod-7434,30
30,create,paib-gpu/openb-pod-8266,31
31,create,paib-gpu/openb-pod-3407,32
32,create,paib-gpu/openb-pod-4327,33
33,create,paib-gpu/openb-pod-0345,34
34,create,paib-gpu/openb-pod-2661,35
35,create,paib-gpu/openb-pod-2042,36
36,create,paib-gpu/openb-pod-7259,37
37,create,paib-gpu/openb-pod-6246,38
38,create,paib-gpu/openb-pod-0825,39
