ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
871312.11,14.03,0.69,345547.82,5.56
870799.05,14.02,0.68,344956.29,5.55
870821.27,14.02,0.68,344865.51,5.55
870397.38,14.02,0.67,344328.62,5.55
870408.83,14.02,0.68,344227.06,5.54
870721.94,14.03,0.68,344042.8,5.54
871035.06,14.03,0.69,343858.54,5.54
870332.0,14.02,0.68,343077.01,5.53
870645.12,14.03,0.69,342892.74,5.53
869942.06,14.02,0.68,342111.21,5.51
870240.01,14.03,0.69,341833.31,5.51
871447.75,14.05,0.71,342682.02,5.52
871745.7,14.06,0.71,342404.12,5.52
872133.11,14.06,0.72,342678.53,5.53
871984.64,14.06,0.72,342566.89,5.52
873594.7,14.09,0.75,343601.09,5.54
875204.76,14.11,0.77,344635.3,5.56
875536.58,14.12,0.78,344416.4,5.56
875849.69,14.13,0.79,344232.14,5.55
875701.22,14.13,0.79,344209.79,5.55
876014.34,14.14,0.79,344025.52,5.55
875931.75,14.14,0.79,343829.93,5.55
875773.05,14.13,0.79,343671.23,5.55
875821.29,14.14,0.79,343694.34,5.55
876431.35,14.15,0.8,343728.54,5.55
876744.46,14.16,0.81,343544.28,5.55
877354.52,14.17,0.82,343578.48,5.55
877421.94,14.17,0.83,343532.89,5.55
876908.88,14.16,0.82,342941.36,5.54
876395.82,14.16,0.81,342349.83,5.53
875328.35,14.16,0.81,342132.06,5.53
874815.29,14.15,0.81,341540.53,5.52
874815.29,14.15,0.81,341540.53,5.52
874112.23,14.14,0.8,340759.0,5.51
873424.34,14.13,0.79,340071.1,5.5
873737.45,14.14,0.8,339853.44,5.5
873462.65,14.14,0.79,339578.63,5.5
874294.26,14.15,0.81,339879.33,5.5
874681.68,14.16,0.81,340153.74,5.51
873556.58,14.16,0.81,339869.51,5.51
873474.0,14.16,0.81,339673.92,5.51
873450.94,14.16,0.81,339605.79,5.5
876857.05,14.21,0.87,342535.17,5.55
876359.16,14.21,0.86,342037.27,5.54
875746.57,14.2,0.86,341448.07,5.54
876356.63,14.21,0.87,341482.27,5.54
876966.69,14.22,0.88,341516.48,5.54
877298.51,14.23,0.89,341272.44,5.54
877215.92,14.23,0.89,341076.85,5.53
876684.16,14.22,0.88,340545.09,5.53
876997.28,14.23,0.89,340360.83,5.52
876997.28,14.23,0.89,340360.83,5.52
877310.39,14.24,0.9,340176.57,5.52
876607.34,14.23,0.89,339395.04,5.51
876607.34,14.23,0.89,339395.04,5.51
876920.45,14.24,0.89,339210.77,5.51
875732.68,14.24,0.89,338776.34,5.51
875960.1,14.24,0.9,338890.75,5.51
876027.04,14.24,0.9,338879.22,5.51
