ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
1,2,1000,6212,1000
2,3,1810,6212,1810
3,4,2130,6212,2130
4,5,2940,6212,2940
5,6,3310,6212,3310
5,6,4310,6212,4310
6,8,5310,6212,5310
7,9,6310,6212,6310
7,9,7310,6212,7310
8,10,8310,6212,8310
9,12,9310,6212,9310
9,12,9310,6212,9310
9,12,10310,6212,10310
10,20,10310,6212,10310
11,22,11310,6212,11310
11,22,11310,6212,11310
11,22,11310,6212,11310
11,22,12310,6212,12310
12,24,13310,6212,13310
12,24,14310,6212,14310
13,26,15310,6212,15310
14,27,15780,6212,15780
14,27,15940,6212,15940
15,28,16170,6212,16170
15,28,17170,6212,17170
16,30,18170,6212,18170
16,30,19170,6212,19170
17,31,19490,6212,19490
18,32,20300,6212,20300
19,33,21110,6212,21110
19,33,29110,6212,29110
20,34,29920,6212,29920
21,42,29920,6212,29920
22,43,30920,6212,30920
23,44,31920,6212,31920
24,46,32920,6212,32920
24,46,33240,6212,33240
25,50,33710,6212,33710
26,58,33710,6212,33710
27,66,41710,6212,41710
27,66,42180,6212,42180
28,67,42500,6212,42500
28,67,42500,6212,42500
29,68,43310,6212,43310
30,69,44310,6212,44310
30,69,45310,6212,45310
31,71,46310,6212,46310
31,71,47310,6212,47310
32,72,47780,6212,47780
33,73,48590,6212,48590
34,75,49590,6212,49590
34,75,49590,6212,49590
34,75,50590,6212,50590
35,76,51590,6212,51590
35,76,51590,6212,51590
36,78,52590,6212,52590
37,86,60590,6212,60590
38,87,60750,6212,60750
39,88,60980,6212,60980
40,90,61790,6212,61790
40,90,62790,6212,62790
41,94,66790,6212,66790
41,94,67600,6212,67600
42,96,68600,6212,68600
43,98,69600,6212,69600
43,98,69600,6212,69600
43,98,69600,6212,69600
43,98,70600,6212,70600
43,98,70600,6212,70600
43,98,70600,6212,70600
44,100,71600,6212,71600
44,100,72410,6212,72410
44,100,73410,6212,73410
45,102,74220,6212,74220
45,102,74690,6212,74690
46,104,75690,6212,75690
46,104,76690,6212,76690
47,106,77690,6212,77690
47,106,77690,6212,77690
47,106,78690,6212,78690
47,106,86690,6212,86690
48,108,87010,6212,87010
48,108,87820,6212,87820
48,108,87820,6212,87820
49,110,88820,6212,88820
49,110,89820,6212,89820
49,110,89820,6212,89820
50,118,97820,6212,97820
51,120,98630,6212,98630
51,120,99440,6212,99440
52,122,100250,6212,100250
52,122,100900,6212,100900
52,122,101120,6212,101120
53,124,101930,6212,101930
53,124,102400,6212,102400
54,126,103400,6212,103400
54,126,103870,6212,103870
54,126,104190,6212,104190
54,126,104660,6212,104660
54,126,104820,6212,104820
55,128,105820,6212,105820
55,128,106820,6212,106820
56,130,107470,6212,107470
56,130,108280,6212,108280
57,134,109090,6212,109090
57,134,110090,6212,110090
57,134,111090,6212,111090
57,134,112090,6212,112090
58,138,112900,6212,112900
58,138,113710,6212,113710
58,138,114030,6212,114030
58,138,114680,6212,114680
59,140,116680,6212,116680
59,140,117490,6212,117490
60,142,118490,6212,118490
60,142,119490,6212,119490
61,144,120300,6212,120300
61,144,121300,6212,121300
62,146,122300,6212,122300
62,146,122950,6212,122950
63,148,123950,6212,123950
63,148,124300,6212,124300
63,148,125300,6212,125300
64,150,126300,6212,126300
64,150,126300,6212,126300
64,150,127300,6212,127300
65,152,128300,6212,128300
65,152,129300,6212,129300
66,154,130300,6212,130300
66,154,130300,6212,130300
66,154,130770,6212,130770
66,154,131240,6212,131240
67,156,132240,6212,132240
67,156,132240,6212,132240
67,156,132890,6212,132890
68,158,133890,6212,133890
68,158,134120,6212,134120
68,158,142120,6212,142120
69,166,150120,6212,150120
69,166,150440,6212,150440
70,168,151440,6212,151440
70,168,152440,6212,152440
70,168,153440,6212,153440
70,168,153760,6212,153760
71,170,154760,6212,154760
72,174,155230,6212,155230
73,176,156040,6212,156040
74,178,158040,6212,158040
74,178,158510,6212,158510
74,178,159510,6212,159510
75,180,160510,6212,160510
76,182,161320,6212,161320
76,182,162130,6212,162130
76,182,163130,6212,163130
77,184,164130,6212,164130
78,186,164940,6212,164940
78,186,165530,6212,165530
78,186,166530,6212,166530
78,186,166530,6212,166530
78,186,167340,6212,167340
78,186,167800,6212,167800
79,188,168800,6212,168800
79,188,169610,6212,169610
80,190,170260,6212,170260
80,190,170740,6212,170740
81,192,171740,6212,171740
81,192,171970,6212,171970
81,192,172970,6212,172970
82,194,173970,6212,173970
83,196,174970,6212,174970
83,196,175780,6212,175780
83,196,176780,6212,176780
84,198,177590,6212,177590
84,198,177750,6212,177750
84,198,178560,6212,178560
84,198,179030,6212,179030
85,202,180030,6212,180030
85,202,181030,6212,181030
86,204,182030,6212,182030
86,204,183030,6212,183030
86,204,183030,6212,183030
86,204,184030,6212,184030
86,204,184030,6212,184030
86,204,184030,6212,184030
86,204,184620,6212,184620
86,204,185620,6212,185620
87,208,186090,6212,186090
88,210,187090,6212,187090
89,218,195090,6212,195090
89,218,195410,6212,195410
89,218,196410,6212,196410
90,220,197220,6212,197220
90,220,197220,6212,197220
91,222,198220,6212,198220
92,224,200220,6212,200220
92,224,200690,6212,200690
92,224,201500,6212,201500
93,226,201730,6212,201730
93,226,201960,6212,201960
93,226,202960,6212,202960
94,228,203960,6212,203960
94,228,204430,6212,204430
94,228,205240,6212,205240
95,232,206240,6212,206240
96,234,207050,6212,207050
96,234,208050,6212,208050
96,234,209050,6212,209050
96,234,210050,6212,210050
96,234,210520,6212,210520
96,234,210520,6212,210520
96,234,210990,6212,210990
97,236,211990,6212,211990
97,236,212800,6212,212800
98,238,213610,6212,213610
98,238,214610,6212,214610
99,240,215090,6212,215090
99,240,215410,6212,215410
99,240,216410,6212,216410
100,242,217410,6212,217410
100,242,218410,6212,218410
101,244,219410,6212,219410
101,244,220410,6212,220410
102,246,221410,6212,221410
102,246,221410,6212,221410
102,246,222410,6212,222410
103,248,223060,6212,223060
104,256,231060,6212,231060
105,258,231870,6212,231870
105,258,232340,6212,232340
105,258,232340,6212,232340
105,258,233340,6212,233340
106,260,234340,6212,234340
106,260,235150,6212,235150
107,262,235620,6212,235620
107,262,236620,6212,236620
108,264,237620,6212,237620
108,264,238620,6212,238620
109,266,239430,6212,239430
110,268,240430,6212,240430
110,268,241430,6212,241430
110,268,242430,6212,242430
110,268,242430,6212,242430
110,268,242900,6212,242900
111,270,243550,6212,243550
111,270,243780,6212,243780
112,272,244590,6212,244590
113,280,252590,6212,252590
113,280,253060,6212,253060
114,282,253870,6212,253870
