ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
870850.52,14.02,0.68,345402.16,5.56
870426.64,14.02,0.67,344865.27,5.55
870448.86,14.02,0.67,344774.49,5.55
870024.97,14.01,0.67,344237.6,5.54
870036.42,14.01,0.67,344136.04,5.54
869887.95,14.01,0.67,344001.45,5.54
869739.48,14.01,0.67,343974.91,5.54
869126.89,14.01,0.66,343249.32,5.53
868978.42,14.01,0.66,343147.71,5.53
868365.83,14.0,0.65,342422.13,5.52
868217.36,14.0,0.65,342309.71,5.52
868217.36,14.0,0.65,342309.71,5.52
868068.89,14.0,0.65,342293.98,5.52
868068.89,14.0,0.65,342196.31,5.52
867920.42,14.0,0.65,342084.45,5.52
867920.42,14.0,0.65,342084.45,5.52
867920.42,14.0,0.65,342084.45,5.52
867771.95,14.0,0.65,342068.17,5.52
867623.48,14.0,0.65,342041.63,5.52
867475.01,14.0,0.65,341940.02,5.52
867326.54,14.0,0.65,341913.48,5.52
867243.95,14.0,0.65,341717.89,5.51
867085.25,13.99,0.65,341559.19,5.51
867191.48,14.0,0.65,341552.42,5.51
867043.01,14.0,0.65,341450.81,5.51
866894.54,14.0,0.65,341424.28,5.51
866746.07,14.0,0.65,341322.67,5.51
866813.49,14.0,0.65,341413.46,5.51
866389.6,13.99,0.65,340876.57,5.51
865965.72,13.99,0.64,340339.69,5.5
864898.25,13.99,0.65,340219.58,5.5
864474.37,13.98,0.64,339682.69,5.49
864474.37,13.98,0.64,339585.02,5.49
863861.78,13.98,0.63,338859.43,5.48
863249.2,13.97,0.62,338133.85,5.47
863100.72,13.97,0.62,338091.18,5.47
862825.92,13.96,0.62,337816.38,5.47
863143.12,13.97,0.63,338059.79,5.47
863143.12,13.97,0.63,337962.12,5.47
862018.03,13.97,0.63,337677.89,5.47
861917.51,13.97,0.63,337057.91,5.46
861939.73,13.97,0.63,336967.12,5.46
861939.73,13.97,0.63,336967.12,5.46
861515.85,13.97,0.62,336430.24,5.45
860903.26,13.96,0.61,335841.03,5.45
860754.79,13.96,0.61,335755.54,5.44
860606.32,13.96,0.61,335642.43,5.44
860457.85,13.96,0.61,335627.4,5.44
860375.26,13.96,0.61,335431.81,5.44
859951.38,13.95,0.61,334894.92,5.43
859802.91,13.95,0.61,334868.39,5.43
859802.91,13.95,0.61,334868.39,5.43
859654.44,13.95,0.61,334766.78,5.43
859041.85,13.94,0.6,334177.57,5.42
859041.85,13.94,0.6,334177.57,5.42
858893.38,13.94,0.6,334151.03,5.43
857705.61,13.94,0.6,333716.6,5.43
857933.03,13.95,0.6,333831.01,5.43
858039.27,13.95,0.61,333824.25,5.43
857705.86,13.95,0.6,333166.44,5.42
857557.39,13.95,0.6,333064.83,5.42
856963.5,13.95,0.6,332920.95,5.42
856451.74,13.94,0.6,332460.5,5.41
855929.63,13.93,0.59,331665.29,5.4
855781.16,13.93,0.59,331622.63,5.4
855781.16,13.93,0.59,331622.63,5.4
855781.16,13.93,0.59,331622.63,5.4
855632.69,13.93,0.59,331537.14,5.4
855632.69,13.93,0.59,331537.14,5.4
855632.69,13.93,0.59,331537.14,5.4
855484.21,13.93,0.59,331494.48,5.4
854971.16,13.93,0.58,330981.42,5.39
854822.69,13.93,0.58,330895.94,5.39
854871.64,13.93,0.58,330460.27,5.38
855152.74,13.93,0.59,330654.9,5.39
855004.27,13.93,0.59,330628.36,5.39
854855.8,13.93,0.59,330526.75,5.39
854716.05,13.93,0.59,329898.38,5.38
854716.05,13.93,0.59,329898.38,5.38
854465.86,13.93,0.59,329565.72,5.37
853398.38,13.93,0.59,329445.61,5.38
853782.25,13.94,0.6,329271.43,5.38
