order,workload,sc_policy,tune,seed,num_pod,cpu_milli,num_gpu,gpu_milli,gpu_type_req
0,openb_pod_list_cpu050,01-Random,1.3,42,462,3150,1,810,<none>
1,openb_pod_list_cpu050,01-Random,1.3,42,348,11300,1,1000,<none>
2,openb_pod_list_cpu050,01-Random,1.3,42,240,11400,1,1000,<none>
3,openb_pod_list_cpu050,01-Random,1.3,42,211,3150,1,1000,<none>
4,openb_pod_list_cpu050,01-Random,1.3,42,143,12000,1,1000,<none>
5,openb_pod_list_cpu050,01-Random,1.3,42,117,18710,1,1000,<none>
6,openb_pod_list_cpu050,01-Random,1.3,42,109,11910,1,470,<none>
7,openb_pod_list_cpu050,01-Random,1.3,42,86,9810,1,1000,<none>
8,openb_pod_list_cpu050,01-Random,1.3,42,79,11910,1,650,<none>
9,openb_pod_list_cpu050,01-Random,1.3,42,79,8000,1,470,<none>
10,openb_pod_list_cpu050,01-Random,1.3,42,73,15700,1,1000,<none>
11,openb_pod_list_cpu050,01-Random,1.3,42,67,4000,1,1000,<none>
12,openb_pod_list_cpu050,01-Random,1.3,42,66,8000,1,1000,<none>
13,openb_pod_list_cpu050,01-Random,1.3,42,56,11910,1,1000,<none>
14,openb_pod_list_cpu050,01-Random,1.3,42,55,16000,1,1000,<none>
15,openb_pod_list_cpu050,01-Random,1.3,42,40,14200,1,1000,<none>
16,openb_pod_list_cpu050,01-Random,1.3,42,25,4150,1,550,<none>
17,openb_pod_list_cpu050,01-Random,1.3,42,23,24200,1,1000,<none>
18,openb_pod_list_cpu050,01-Random,1.3,42,22,11900,1,1000,<none>
19,openb_pod_list_cpu050,01-Random,1.3,42,20,3150,1,590,<none>
20,openb_pod_list_cpu050,01-Random,1.3,42,20,6000,1,460,<none>
21,openb_pod_list_cpu050,01-Random,1.3,42,14,15200,1,1000,<none>
22,openb_pod_list_cpu050,01-Random,1.3,42,13,8200,1,1000,<none>
23,openb_pod_list_cpu050,01-Random,1.3,42,13,16400,1,1000,<none>
24,openb_pod_list_cpu050,01-Random,1.3,42,11,88000,8,1000,<none>
25,openb_pod_list_cpu050,01-Random,1.3,42,11,4150,1,810,<none>
26,openb_pod_list_cpu050,01-Random,1.3,42,7,64200,8,1000,<none>
27,openb_pod_list_cpu050,01-Random,1.3,42,5,9400,1,1000,<none>
28,openb_pod_list_cpu050,01-Random,1.3,42,5,32200,4,1000,<none>
29,openb_pod_list_cpu050,01-Random,1.3,42,4,120200,8,1000,<none>
30,openb_pod_list_cpu050,01-Random,1.3,42,4,15400,1,1000,<none>
31,openb_pod_list_cpu050,01-Random,1.3,42,4,6000,1,1000,<none>
32,openb_pod_list_cpu050,01-Random,1.3,42,4,7000,1,1000,<none>
33,openb_pod_list_cpu050,01-Random,1.3,42,3,8000,1,650,<none>
34,openb_pod_list_cpu050,01-Random,1.3,42,2,120000,8,1000,<none>
35,openb_pod_list_cpu050,01-Random,1.3,42,2,14900,1,1000,<none>
36,openb_pod_list_cpu050,01-Random,1.3,42,2,16200,2,1000,<none>
37,openb_pod_list_cpu050,01-Random,1.3,42,2,32000,4,1000,<none>
38,openb_pod_list_cpu050,01-Random,1.3,42,1,64000,8,1000,<none>
39,openb_pod_list_cpu050,01-Random,1.3,42,1,12000,1,460,<none>
40,openb_pod_list_cpu050,01-Random,1.3,42,1,8000,1,460,<none>
41,openb_pod_list_cpu050,01-Random,1.3,42,1,6000,2,1000,<none>
42,openb_pod_list_cpu050,01-Random,1.3,42,1,30200,2,1000,<none>
43,openb_pod_list_cpu050,01-Random,1.3,42,1,11800,1,1000,<none>
0,openb_pod_list_cpu050,01-Random,1.3,43,421,3150,1,810,<none>
1,openb_pod_list_cpu050,01-Random,1.3,43,361,11300,1,1000,<none>
2,openb_pod_list_cpu050,01-Random,1.3,43,222,11400,1,1000,<none>
3,openb_pod_list_cpu050,01-Random,1.3,43,204,3150,1,1000,<none>
4,openb_pod_list_cpu050,01-Random,1.3,43,147,12000,1,1000,<none>
5,openb_pod_list_cpu050,01-Random,1.3,43,97,18710,1,1000,<none>
6,openb_pod_list_cpu050,01-Random,1.3,43,83,8000,1,1000,<none>
7,openb_pod_list_cpu050,01-Random,1.3,43,83,8000,1,470,<none>
8,openb_pod_list_cpu050,01-Random,1.3,43,77,11910,1,470,<none>
9,openb_pod_list_cpu050,01-Random,1.3,43,73,9810,1,1000,<none>
10,openb_pod_list_cpu050,01-Random,1.3,43,73,11910,1,650,<none>
11,openb_pod_list_cpu050,01-Random,1.3,43,72,11910,1,1000,<none>
12,openb_pod_list_cpu050,01-Random,1.3,43,60,4000,1,1000,<none>
13,openb_pod_list_cpu050,01-Random,1.3,43,59,16000,1,1000,<none>
14,openb_pod_list_cpu050,01-Random,1.3,43,57,15700,1,1000,<none>
15,openb_pod_list_cpu050,01-Random,1.3,43,46,14200,1,1000,<none>
16,openb_pod_list_cpu050,01-Random,1.3,43,33,24200,1,1000,<none>
17,openb_pod_list_cpu050,01-Random,1.3,43,27,11900,1,1000,<none>
18,openb_pod_list_cpu050,01-Random,1.3,43,17,4150,1,550,<none>
19,openb_pod_list_cpu050,01-Random,1.3,43,15,64200,8,1000,<none>
20,openb_pod_list_cpu050,01-Random,1.3,43,14,8200,1,1000,<none>
21,openb_pod_list_cpu050,01-Random,1.3,43,14,4150,1,810,<none>
22,openb_pod_list_cpu050,01-Random,1.3,43,13,88000,8,1000,<none>
23,openb_pod_list_cpu050,01-Random,1.3,43,13,6000,1,460,<none>
24,openb_pod_list_cpu050,01-Random,1.3,43,12,15200,1,1000,<none>
25,openb_pod_list_cpu050,01-Random,1.3,43,9,16400,1,1000,<none>
26,openb_pod_list_cpu050,01-Random,1.3,43,9,7000,1,1000,<none>
27,openb_pod_list_cpu050,01-Random,1.3,43,7,32200,4,1000,<none>
28,openb_pod_list_cpu050,01-Random,1.3,43,5,15400,1,1000,<none>
29,openb_pod_list_cpu050,01-Random,1.3,43,4,64000,8,1000,<none>
30,openb_pod_list_cpu050,01-Random,1.3,43,4,120000,8,1000,<none>
31,openb_pod_list_cpu050,01-Random,1.3,43,4,14900,1,1000,<none>
32,openb_pod_list_cpu050,01-Random,1.3,43,3,120200,8,1000,<none>
33,openb_pod_list_cpu050,01-Random,1.3,43,3,6000,1,1000,<none>
34,openb_pod_list_cpu050,01-Random,1.3,43,3,16200,2,1000,<none>
